codec,bits,reference_gap,method,sequence_count,frame_count,middle_frame_count,mean_anchor_mib_per_frame_with_metadata,mean_all_psnr,mean_middle_psnr,mean_given_psnr,mean_all_ssim,mean_middle_ssim,mean_given_ssim,delta_middle_vs_float32_same_method,delta_middle_vs_linear_same_codec,gap_to_stage75_middle_target
q12,12,4,linear,4,309,227,0.18193822076791313,20.84685363395712,17.660043557330432,29.668876650960268,0.4621698668521971,0.30435450818176313,0.8990489695130325,-0.0002577489048469772,0.0,-5.344293663697343
q12,12,8,adapter,4,309,265,0.09762538675351436,18.85917872255155,17.06788939572344,29.64762580458447,0.3870577344182626,0.3021918718263788,0.898181679573926,1.6654591867393265e-05,0.5261505815582552,-4.4921597037645675
q12,12,8,dense_direct,4,309,265,0.09762538675351436,29.708204125401867,29.718262412631926,29.64762580458447,0.8999670765160742,0.9002635197819404,0.898181679573926,-0.027242127490104906,13.17652359846674,8.158213313143918
q12,12,8,linear,4,309,265,0.09762538675351436,18.407949259402884,16.541738814165186,29.64762580458447,0.3533157564000404,0.26284745217494243,0.898181679573926,-9.638122485355893e-05,0.0,-5.018310285322823
q12,12,16,adapter,4,309,284,0.055468969746314975,17.081329746423872,15.97133672859079,29.690850429007742,0.3208159158144954,0.2700618050048049,0.8973826146125794,0.0001359918957994921,0.42497678352131985,
q12,12,16,dense_direct,4,309,284,0.055468969746314975,29.708204125401867,29.709731739521064,29.690850429007742,0.8999670765160742,0.9001945819653255,0.8973826146125794,-0.027189656649358795,14.163371794451594,
q12,12,16,linear,4,309,284,0.055468969746314975,16.690736197815284,15.54635994506947,29.690850429007742,0.28688220238512,0.23314096891439298,0.8973826146125794,5.51532329833293e-05,0.0,
q16,16,4,adapter,4,309,227,0.242579907661117,21.29129292340963,18.255332804105823,29.695719107336018,0.49138552447160083,0.3438047860556237,0.8999322027694888,1.6368806754485377e-07,0.5950336233349702,-4.749004416921952
q16,16,4,dense_direct,4,309,227,0.242579907661117,29.73518080346308,29.749435689288717,29.695719107336018,0.9008375305959708,0.9011645653174312,0.8999322027694888,-0.00021867404771924726,12.089136508517864,6.745098468260942
q16,16,4,linear,4,309,227,0.242579907661117,20.854164662901418,17.660299180770853,29.695719107336018,0.4625351461777795,0.30453268520632504,0.8999322027694888,-2.1254644266832656e-06,0.0,-5.3440380402569225
q16,16,8,adapter,4,309,265,0.13016482850108718,18.862964014594763,17.067879472412265,29.674268643648432,0.3871873233069494,0.3021999163166532,0.8990432972257788,6.731280691951724e-06,0.5260469625346609,-4.492169627075743
q16,16,8,dense_direct,4,309,265,0.13016482850108718,29.73518080346308,29.745294520564382,29.674268643648432,0.9008375305959708,0.9011354410423422,0.8990432972257788,-0.00021001955764887725,13.203462010686778,8.185245421076374
q16,16,8,linear,4,309,265,0.13016482850108718,18.411823415657267,16.541832509877604,29.674268643648432,0.3535734832672625,0.26300491038358437,0.8990432972257788,-2.685512434652537e-06,0.0,-5.018216589610404
q16,16,16,adapter,4,309,284,0.07395728892107226,17.083387676612457,15.971200717129964,29.7178315363336,0.320896103182464,0.27007343087502766,0.8982416605949402,-1.956502693190032e-08,0.4248928624031727,
q16,16,16,dense_direct,4,309,284,0.07395728892107226,29.73518080346308,29.736708027682223,29.7178315363336,0.9008375305959708,0.90106604027916,0.8982416605949402,-0.0002133684882004161,14.190400172955432,
q16,16,16,linear,4,309,284,0.07395728892107226,16.692871259387534,15.546307854726791,29.7178315363336,0.28708037010674337,0.2332809607327824,0.8982416605949402,3.062890304050825e-06,0.0,
float32,32,4,adapter,4,309,227,0.4851466552339325,21.291341672325554,18.255332640417755,29.69590326065567,0.4913875970591619,0.3438045682820455,0.8999406157470331,0.0,0.595031334182476,-4.74900458061002
float32,32,4,dense_direct,4,309,227,0.4851466552339325,29.735390316670344,29.749654363336436,29.69590326065567,0.9008472463459645,0.9011747516724506,0.8999406157470331,0.0,12.089353057101157,6.745317142308661
float32,32,4,linear,4,309,227,0.4851466552339325,20.85421509349247,17.66030130623528,29.69590326065567,0.4625406862751951,0.3045371875232537,0.8999406157470331,0.0,0.0,-5.344035914792496
float32,32,8,adapter,4,309,265,0.26032259549137843,18.86298764116073,17.067872741131573,29.674475107245403,0.38718763958289015,0.3021987515800404,0.8990525332364169,0.0,0.5260375457415343,-4.492176358356435
float32,32,8,dense_direct,4,309,265,0.26032259549137843,29.735390316670344,29.74550454012203,29.674475107245403,0.9008472463459645,0.9011452364471724,0.8990525332364169,0.0,13.203669344731992,8.185455440634023
float32,32,8,linear,4,309,265,0.26032259549137843,18.41185511811378,16.54183519539004,29.674475107245403,0.3535769979520716,0.2630074751124067,0.8990525332364169,0.0,0.0,-5.018213904097969
float32,32,16,adapter,4,309,284,0.14791056562010138,17.08340110213629,15.97120073669499,29.717997253549466,0.3208954628183232,0.27007192129295476,0.8982508945465087,0.0,0.4248959448585037,
float32,32,16,dense_direct,4,309,284,0.14791056562010138,29.735390316670344,29.736921396170423,29.717997253549466,0.9008472463459645,0.901075798440987,0.8982508945465087,0.0,14.190616604333936,
float32,32,16,linear,4,309,284,0.14791056562010138,16.692881851845627,15.546304791836487,29.717997253549466,0.28708323824270643,0.2332832684976534,0.8982508945465087,0.0,0.0,
