sample,codec,bits,reference_gap,method,total_frames,keyframe_count,middle_count,anchor_mib_per_frame_with_metadata,all_psnr,middle_psnr,given_psnr,all_ssim,middle_ssim,given_ssim
DAVIS/val/car-shadow,q8,8,8,linear,40,6,34,0.06856212615966797,18.604637539837704,17.179084176198366,26.682773267127274,0.4643385991454124,0.40433857370825377,0.8043387432893118
DAVIS/val/car-shadow,q8,8,8,adapter,40,6,34,0.06856212615966797,19.18506378945881,17.861938587517315,26.682773267127274,0.5307488605380059,0.48246829299365773,0.8043387432893118
DAVIS/val/car-shadow,q8,8,16,dense_direct,40,4,36,0.045708084106445314,26.747252965574102,26.761003835716657,26.623495134291147,0.8084839060902596,0.8093167361285951,0.8009884357452393
DAVIS/val/car-shadow,q8,8,16,linear,40,4,36,0.045708084106445314,17.573439028143355,16.567877238571377,26.623495134291147,0.4189384900033474,0.37648849603202605,0.8009884357452393
DAVIS/val/car-shadow,q8,8,16,adapter,40,4,36,0.045708084106445314,18.12073768533537,17.17598685767362,26.623495134291147,0.49025590121746065,0.45573006404770744,0.8009884357452393
DAVIS/val/car-shadow,q12,12,4,dense_direct,40,11,29,0.1885390281677246,29.880252155675976,29.886396949938998,29.864052243528025,0.924322621524334,0.9250656571881525,0.9223637093197216
DAVIS/val/car-shadow,q12,12,4,linear,40,11,29,0.1885390281677246,21.45004796642168,18.258529102691682,29.864052243528025,0.6179148226976394,0.5024342105306429,0.9223637093197216
DAVIS/val/car-shadow,q12,12,4,adapter,40,11,29,0.1885390281677246,21.973515045361363,18.98055265984987,29.864052243528025,0.6414978846907615,0.5349625719004664,0.9223637093197216
DAVIS/val/car-shadow,q12,12,8,dense_direct,40,6,34,0.10283946990966797,29.880252155675976,29.896864562570638,29.786115183272937,0.924322621524334,0.9251585830660427,0.9195855061213175
DAVIS/val/car-shadow,q12,12,8,linear,40,6,34,0.10283946990966797,19.08758229914461,17.19960590782785,29.786115183272937,0.521442785859108,0.4511823058128357,0.9195855061213175
DAVIS/val/car-shadow,q12,12,8,adapter,40,6,34,0.10283946990966797,19.65470916769025,17.866813988469772,29.786115183272937,0.5535272851586341,0.48892877557698416,0.9195855061213175
DAVIS/val/car-shadow,q12,12,16,dense_direct,40,4,36,0.06855964660644531,29.880252155675976,29.890785258602396,29.785454229338235,0.924322621524334,0.9251568615436554,0.916814461350441
DAVIS/val/car-shadow,q12,12,16,linear,40,4,36,0.06855964660644531,17.90420022960835,16.584060896305026,29.785454229338235,0.4691826269030571,0.41944575640890336,0.916814461350441
