task_id,sequence,codec,reference_gap,target_index,base_method,keep_fraction,side_bits,keep_gaussians,fixed_payload_bytes,entropy_payload_bytes,fixed_mib_per_intermediate_frame,entropy_mib_per_intermediate_frame,entropy_ratio_vs_fixed,entropy_savings_bytes_vs_fixed,entropy_header_bytes,metadata_zlib_bytes,delta_zlib_bytes,residual_zlib_bytes,decoded_max_abs_diff_vs_fixed,base_psnr,entropy_psnr,delta_psnr_vs_base
stage79_00030513,shooting,q12,4,3,linear,0.1,6,3686,43381,28750,0.04137134552001953,0.027418136596679688,0.6627325326755953,14631,30,51,2146,26523,0.0,16.8641508760703,20.390086367756304,3.5259354916860026
stage79_00030513,shooting,q12,4,3,stage65_adapter,0.1,6,3686,43381,34900,0.04137134552001953,0.033283233642578125,0.8044996657522878,8481,30,61,2486,32323,0.0,17.230614947471654,20.639340886069448,3.4087259385977937
stage79_00024755,dog,q12,8,36,linear,0.1,6,3686,43381,29344,0.04137134552001953,0.027984619140625,0.6764251630898319,14037,30,50,2900,26364,0.0,20.50436299143824,23.393703834224446,2.8893408427862077
stage79_00024755,dog,q12,8,36,stage65_adapter,0.1,6,3686,43381,35553,0.04137134552001953,0.033905982971191406,0.8195523385814066,7828,30,63,2792,32668,0.0,21.27429037985435,23.803534533812332,2.5292441539579826
stage79_00028563,mbike-trick,q12,8,10,linear,0.1,6,3686,43381,29731,0.04137134552001953,0.02835369110107422,0.6853461192688043,13650,30,50,2473,27178,0.0,23.130744795352346,26.347580401284315,3.216835605931969
stage79_00028563,mbike-trick,q12,8,10,stage65_adapter,0.1,6,3686,43381,35000,0.04137134552001953,0.03337860107421875,0.8068048223876813,8381,30,61,2569,32340,0.0,24.04580447747877,26.348186617572253,2.3023821400934814
stage79_00025928,goat,q12,4,54,linear,0.1,6,3686,43381,30444,0.04137134552001953,0.029033660888671875,0.701781886079159,12937,30,50,3091,27273,0.0,16.38117754060043,18.62165386393886,2.240476323338431
stage79_00025928,goat,q12,4,54,stage65_adapter,0.1,6,3686,43381,36320,0.04137134552001953,0.034637451171875,0.8372328899748738,7061,30,61,3094,33135,0.0,17.065703240101836,19.2863689679358,2.220665727833964
stage79_00027294,judo,q12,8,30,linear,0.1,6,3686,43381,27890,0.04137134552001953,0.026597976684570312,0.6429081856112123,15491,30,50,1655,26155,0.0,23.84820956626688,30.217341797391338,6.369132231124457
stage79_00027294,judo,q12,8,30,stage65_adapter,0.1,6,3686,43381,32776,0.04137134552001953,0.03125762939453125,0.7555381388165325,10605,30,63,1979,30704,0.0,22.913569936265414,26.35577321727709,3.4422032810116754
stage79_00023889,cows,q12,4,99,linear,0.1,6,3686,43381,29655,0.04137134552001953,0.028281211853027344,0.6835942002259053,13726,30,51,3016,26558,0.0,21.060559546155826,22.02096499487705,0.9604054487212252
stage79_00023889,cows,q12,4,99,stage65_adapter,0.1,6,3686,43381,35669,0.04137134552001953,0.03401660919189453,0.8222263202784629,7712,30,63,2983,32593,0.0,20.704886038442968,21.426965269783867,0.7220792313408992
stage79_00027247,judo,q12,4,5,linear,0.1,6,3686,43381,25353,0.04137134552001953,0.024178504943847656,0.5844263617712824,18028,30,51,2087,23185,0.0,30.09165873001161,31.63780745479196,1.5461487247803518
stage79_00027247,judo,q12,4,5,stage65_adapter,0.1,6,3686,43381,26437,0.04137134552001953,0.02521228790283203,0.6094142596989466,16944,30,63,2228,24116,0.0,26.336828681803084,27.542992400846988,1.2061637190439036
stage79_00027520,kite-surf,q12,8,41,linear,0.1,6,3686,43381,30850,0.04137134552001953,0.029420852661132812,0.7111408220188562,12531,30,50,2307,28463,0.0,22.509531625729995,26.252132351097785,3.74260072536779
stage79_00027520,kite-surf,q12,8,41,stage65_adapter,0.1,6,3686,43381,35762,0.04137134552001953,0.03410530090332031,0.8243701159493788,7619,30,63,2381,33288,0.0,23.06942955117062,26.485629008134552,3.4161994569639305
stage79_00026424,gold-fish,q12,8,66,linear,0.1,6,3686,43381,30930,0.04137134552001953,0.029497146606445312,0.7129849473271709,12451,30,50,2452,28398,0.0,23.749329827444257,27.826944284954465,4.077614457510208
stage79_00026424,gold-fish,q12,8,66,stage65_adapter,0.1,6,3686,43381,35136,0.04137134552001953,0.03350830078125,0.8099398354118162,8245,30,61,2672,32373,0.0,23.91060908477781,27.004876693685297,3.0942676089074865
stage79_00027013,india,q12,4,75,linear,0.1,6,3686,43381,30412,0.04137134552001953,0.029003143310546875,0.7010442359558332,12969,30,50,2740,27592,0.0,20.16636918122773,23.67871255092096,3.5123433696932302
stage79_00027013,india,q12,4,75,stage65_adapter,0.1,6,3686,43381,35560,0.04137134552001953,0.03391265869140625,0.8197136995458841,7821,30,61,2797,32672,0.0,21.52204908170588,24.487014078681355,2.9649649969754748
stage79_00027725,lab-coat,q12,8,3,linear,0.1,6,3686,43381,30530,0.04137134552001953,0.029115676879882812,0.7037643207855974,12851,30,50,2662,27788,0.0,18.611963467443818,21.626976202490305,3.0150127350464864
stage79_00027725,lab-coat,q12,8,3,stage65_adapter,0.1,6,3686,43381,35942,0.04137134552001953,0.03427696228027344,0.8285193978930868,7439,30,61,2700,33151,0.0,19.334725208828782,21.99427442536766,2.6595492165388777
stage79_00029114,paragliding-launch,q12,4,25,linear,0.1,6,3686,43381,30423,0.04137134552001953,0.029013633728027344,0.7012978031857264,12958,30,50,2637,27706,0.0,23.641787825179073,25.726577111942973,2.0847892867639004
stage79_00029114,paragliding-launch,q12,4,25,stage65_adapter,0.1,6,3686,43381,35736,0.04137134552001953,0.03408050537109375,0.8237707752241765,7645,30,61,2776,32869,0.0,24.299219945688687,25.95882333583016,1.6596033901414735
stage79_00025358,drift-chicane,q12,8,38,linear,0.1,6,3686,43381,24776,0.04137134552001953,0.02362823486328125,0.5711256079850626,18605,30,50,2163,22533,0.0,28.201284603650052,30.64773220372302,2.4464476000729682
stage79_00025358,drift-chicane,q12,8,38,stage65_adapter,0.1,6,3686,43381,23217,0.04137134552001953,0.022141456604003906,0.5351882160392799,20164,30,61,2265,20861,0.0,26.78312922483187,27.785464131776227,1.0023349069443555
stage79_00021322,bike-packing,q12,4,55,linear,0.1,6,3686,43381,29714,0.04137134552001953,0.028337478637695312,0.6849542426407874,13667,30,50,2756,26878,0.0,22.603619151878675,24.753706791733325,2.1500876398546502
stage79_00021322,bike-packing,q12,4,55,stage65_adapter,0.1,6,3686,43381,34693,0.04137134552001953,0.03308582305908203,0.7997279915170236,8688,30,63,2758,31842,0.0,21.556702197757353,22.9595110206508,1.4028088228934479
stage79_00028844,motocross-jump,q12,8,23,linear,0.1,6,3686,43381,28730,0.04137134552001953,0.027399063110351562,0.6622715013485166,14651,30,50,1738,26912,0.0,12.1376456561108,16.021192030452863,3.883546374342062
stage79_00028844,motocross-jump,q12,8,23,stage65_adapter,0.1,6,3686,43381,34435,0.04137134552001953,0.03283977508544922,0.7937806873977087,8946,30,61,1826,32518,0.0,12.27306505509044,15.917097112367536,3.644032057277096
stage79_00030102,pigs,q12,8,50,linear,0.1,6,3686,43381,29751,0.04137134552001953,0.028372764587402344,0.685807150595883,13630,30,51,2914,26756,0.0,24.08733450932157,26.529809108881484,2.4424745995599153
stage79_00030102,pigs,q12,8,50,stage65_adapter,0.1,6,3686,43381,35377,0.04137134552001953,0.033738136291503906,0.8154952629031142,8004,30,61,2886,32400,0.0,24.30097759555245,26.17591260741415,1.8749350118617016
stage79_00030315,scooter-black,q12,4,13,linear,0.1,6,3686,43381,30905,0.04137134552001953,0.029473304748535156,0.7124086581683226,12476,30,50,2567,28258,0.0,13.926882108472206,17.708547790227623,3.781665681755417
stage79_00030315,scooter-black,q12,4,13,stage65_adapter,0.1,6,3686,43381,36233,0.04137134552001953,0.034554481506347656,0.8352274037020816,7148,30,63,2578,33562,0.0,14.498868132091044,18.087118170009852,3.588250037918808
stage79_00023166,car-roundabout,q12,4,1,linear,0.1,6,3686,43381,30751,0.04137134552001953,0.029326438903808594,0.7088587169498167,12630,30,50,2509,28162,0.0,15.853406238997142,20.060875369799618,4.207469130802476
stage79_00023166,car-roundabout,q12,4,1,stage65_adapter,0.1,6,3686,43381,36031,0.04137134552001953,0.034361839294433594,0.8305709872985869,7350,30,61,2563,33377,0.0,16.241874705232753,20.43725145176332,4.195376746530567
stage79_00022770,camel,q12,4,25,linear,0.1,6,3686,43381,31588,0.04137134552001953,0.030124664306640625,0.7281528779880593,11793,30,50,2853,28655,0.0,19.388468607766455,21.41576677372722,2.027298165960765
stage79_00022770,camel,q12,4,25,stage65_adapter,0.1,6,3686,43381,36539,0.04137134552001953,0.03484630584716797,0.8422811830063853,6842,30,61,2894,33554,0.0,20.332503670587222,21.989317988671427,1.656814318084205
stage79_00022345,breakdance,q12,4,41,linear,0.1,6,3686,43381,30191,0.04137134552001953,0.028792381286621094,0.6959498397916138,13190,30,50,2085,28026,0.0,19.725076716384034,24.554992035473056,4.829915319089022
stage79_00022345,breakdance,q12,4,41,stage65_adapter,0.1,6,3686,43381,34989,0.04137134552001953,0.03336811065673828,0.8065512551577879,8392,30,61,2233,32665,0.0,18.690782519559782,21.53944672650404,2.8486642069442567
stage79_00025092,dogs-jump,q12,8,58,linear,0.1,6,3686,43381,30119,0.04137134552001953,0.028723716735839844,0.6942901270141306,13262,30,50,2286,27753,0.0,25.28185056865869,30.450572653927264,5.168722085268573
stage79_00025092,dogs-jump,q12,8,58,stage65_adapter,0.1,6,3686,43381,33765,0.04137134552001953,0.03220081329345703,0.7783361379405731,9616,30,61,2604,31070,0.0,25.592827433473314,28.65271772446244,3.0598902909891272
stage79_00030950,soapbox,q12,8,21,linear,0.1,6,3686,43381,30712,0.04137134552001953,0.02928924560546875,0.7079597058620133,12669,30,50,2436,28196,0.0,18.126364222226513,21.735840519228972,3.609476297002459
stage79_00030950,soapbox,q12,8,21,stage65_adapter,0.1,6,3686,43381,35847,0.04137134552001953,0.034186363220214844,0.8263294990894632,7534,30,61,2556,33200,0.0,18.723763266597906,22.18183694319996,3.458073676602055
stage79_00022415,breakdance,q12,8,44,linear,0.1,6,3686,43381,30534,0.04137134552001953,0.029119491577148438,0.7038565270510131,12847,30,50,2173,28281,0.0,17.891418219128944,22.437288325560637,4.545870106431693
