rank_type,rank,task_id,sequence,gap,target_index,normalized_time,method,half_policy,selected_half,keep_fraction,side_bits,psnr,ssim,ms_ssim,lpips,payload_bytes,contact_sheet_path
best_half_lowest_psnr,5,stage79_00022790,camel,4,51,0.75,streamsplat_half_anchor_entropy_residual,best_half_selector,right,1.0,6,25.53339946053153,0.8007097244262695,0.979963481426239,0.18961508572101593,225503,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage156_streamsplat_half_anchor_gaussian_residual/stage156_best_half_selector_worst_lpips_contact_sheet.jpg
best_half_lowest_psnr,6,stage79_00029702,parkour,8,90,0.25,streamsplat_half_anchor_entropy_residual,best_half_selector,left,1.0,6,25.56769999688809,0.800015926361084,0.9787485599517822,0.22302022576332092,223869,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage156_streamsplat_half_anchor_gaussian_residual/stage156_best_half_selector_worst_lpips_contact_sheet.jpg
best_half_lowest_psnr,7,stage79_00021341,bike-packing,8,11,0.375,streamsplat_half_anchor_entropy_residual,best_half_selector,left,1.0,6,25.622482706829217,0.7986683249473572,0.9771068096160889,0.2319265902042389,180774,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage156_streamsplat_half_anchor_gaussian_residual/stage156_best_half_selector_worst_lpips_contact_sheet.jpg
best_half_lowest_psnr,8,stage79_00022333,breakdance,4,25,0.25,streamsplat_half_anchor_entropy_residual,best_half_selector,left,1.0,6,25.713629052613758,0.8658719062805176,0.9860079288482666,0.16875958442687988,121358,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage156_streamsplat_half_anchor_gaussian_residual/stage156_best_half_selector_worst_lpips_contact_sheet.jpg
best_half_lowest_psnr,9,stage79_00021281,bike-packing,4,1,0.25,streamsplat_half_anchor_entropy_residual,best_half_selector,left,1.0,6,26.104804335599894,0.8335300087928772,0.9830377697944641,0.20262430608272552,134579,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage156_streamsplat_half_anchor_gaussian_residual/stage156_best_half_selector_worst_lpips_contact_sheet.jpg
best_half_lowest_psnr,10,stage79_00024353,dance-twirl,4,66,0.5,streamsplat_half_anchor_entropy_residual,best_half_selector,right,1.0,6,26.122999794968553,0.7899426817893982,0.9776554703712463,0.2735501527786255,197156,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage156_streamsplat_half_anchor_gaussian_residual/stage156_best_half_selector_worst_lpips_contact_sheet.jpg
best_half_lowest_psnr,11,stage79_00022838,camel,8,23,0.875,streamsplat_half_anchor_entropy_residual,best_half_selector,right,1.0,6,26.20396708007785,0.8241334557533264,0.9818266034126282,0.18039542436599731,231360,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage156_streamsplat_half_anchor_gaussian_residual/stage156_best_half_selector_worst_lpips_contact_sheet.jpg
best_half_lowest_psnr,12,stage79_00024429,dance-twirl,8,68,0.5,streamsplat_half_anchor_entropy_residual,best_half_selector,right,1.0,6,26.483361587273105,0.7961500287055969,0.977317214012146,0.2708978056907654,212763,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage156_streamsplat_half_anchor_gaussian_residual/stage156_best_half_selector_worst_lpips_contact_sheet.jpg
best_half_lowest_ssim,1,stage79_00023944,cows,8,60,0.5,streamsplat_half_anchor_entropy_residual,best_half_selector,left,1.0,6,24.68471859771818,0.7651322484016418,0.9746426343917847,0.20881597697734833,231584,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage156_streamsplat_half_anchor_gaussian_residual/stage156_best_half_selector_worst_lpips_contact_sheet.jpg
best_half_lowest_ssim,2,stage79_00023826,cows,4,15,0.75,streamsplat_half_anchor_entropy_residual,best_half_selector,right,1.0,6,24.708306541723843,0.7686236500740051,0.9756574034690857,0.20466454327106476,208856,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage156_streamsplat_half_anchor_gaussian_residual/stage156_best_half_selector_worst_lpips_contact_sheet.jpg
best_half_lowest_ssim,3,stage79_00024353,dance-twirl,4,66,0.5,streamsplat_half_anchor_entropy_residual,best_half_selector,right,1.0,6,26.122999794968553,0.7899426817893982,0.9776554703712463,0.2735501527786255,197156,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage156_streamsplat_half_anchor_gaussian_residual/stage156_best_half_selector_worst_lpips_contact_sheet.jpg
best_half_lowest_ssim,4,stage79_00024429,dance-twirl,8,68,0.5,streamsplat_half_anchor_entropy_residual,best_half_selector,right,1.0,6,26.483361587273105,0.7961500287055969,0.977317214012146,0.2708978056907654,212763,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage156_streamsplat_half_anchor_gaussian_residual/stage156_best_half_selector_worst_lpips_contact_sheet.jpg
