task_id,sequence,gap,codec,target_index,normalized_time,method,half_policy,selected_half,keep_fraction,side_bits,psnr,ssim,ms_ssim,lpips,payload_bytes,selector_payload_bytes,side_mib_per_intermediate,q12_main_anchor_mib_per_frame_ref,direct_total_mib_per_frame_ref,delta_psnr_vs_original,delta_ssim_vs_original,delta_ms_ssim_vs_original,delta_lpips_vs_original
stage79_00022790,camel,4,q12,51,0.75,streamsplat_half_anchor_entropy_residual,fixed_right_half,right,1.0,6,25.53339946053153,0.8007097244262695,0.979963481426239,0.18961508572101593,225502,0,0.2150554656982422,0.18193822076791313,0.3969936864661553,4.032055219167333,0.24148714542388916,0.09186601638793945,-0.06691841781139374
stage79_00030095,pigs,8,q12,42,0.25,original_streamsplat_base,full_original,both,0.0,0,24.377009198085133,0.6502456665039062,0.8529384732246399,0.32172346115112305,0,0,0.0,0.09762538675351436,0.09762538675351436,0.0,0.0,0.0,0.0
stage79_00030095,pigs,8,q12,42,0.25,streamsplat_half_anchor_entropy_residual,fixed_left_half,left,0.2,4,25.79564075997727,0.6904874444007874,0.8949204087257385,0.3366711139678955,30890,0,0.029458999633789062,0.09762538675351436,0.1270843863873034,1.4186315618921377,0.040241777896881104,0.04198193550109863,0.014947652816772461
stage79_00030095,pigs,8,q12,42,0.25,streamsplat_half_anchor_entropy_residual,fixed_left_half,left,0.2,6,26.249978898190914,0.716048002243042,0.9039157032966614,0.3075518012046814,56281,0,0.053673744201660156,0.09762538675351436,0.1512991309551745,1.8729697001057808,0.06580233573913574,0.050977230072021484,-0.01417165994644165
stage79_00030095,pigs,8,q12,42,0.25,streamsplat_half_anchor_entropy_residual,fixed_left_half,left,0.4,4,26.75232932244135,0.7119402289390564,0.9181274771690369,0.3419948220252991,52012,0,0.049602508544921875,0.09762538675351436,0.14722789529843622,2.375320124356218,0.061694562435150146,0.06518900394439697,0.020271360874176025
stage79_00030095,pigs,8,q12,42,0.25,streamsplat_half_anchor_entropy_residual,fixed_left_half,left,0.4,6,27.841252035216115,0.7634708881378174,0.9374990463256836,0.2912827730178833,101726,0,0.09701347351074219,0.09762538675351436,0.19463886026425653,3.464242837130982,0.11322522163391113,0.0845605731010437,-0.030440688133239746
stage79_00030095,pigs,8,q12,42,0.25,streamsplat_half_anchor_entropy_residual,fixed_left_half,left,1.0,4,27.505755382326118,0.7098538279533386,0.9256507754325867,0.3500247597694397,83888,0,0.0800018310546875,0.09762538675351436,0.17762721780820184,3.1287461842409847,0.05960816144943237,0.07271230220794678,0.02830129861831665
stage79_00030095,pigs,8,q12,42,0.25,streamsplat_half_anchor_entropy_residual,fixed_left_half,left,1.0,6,31.169624995073086,0.8600707054138184,0.9850242733955383,0.19384321570396423,200269,0,0.19099140167236328,0.09762538675351436,0.2886167884258776,6.792615796987953,0.2098250389099121,0.13208580017089844,-0.1278802454471588
stage79_00030095,pigs,8,q12,42,0.25,streamsplat_half_anchor_entropy_residual,fixed_right_half,right,0.2,4,18.282502889935103,0.4095832407474518,0.574022114276886,0.6201872825622559,29948,0,0.028560638427734375,0.09762538675351436,0.12618602518124872,-6.094506308150031,-0.24066242575645447,-0.2789163589477539,0.2984638214111328
stage79_00030095,pigs,8,q12,42,0.25,streamsplat_half_anchor_entropy_residual,fixed_right_half,right,0.2,6,18.646558290964297,0.4983041286468506,0.6257464289665222,0.5784297585487366,55754,0,0.05317115783691406,0.09762538675351436,0.1507965445904284,-5.7304509071208365,-0.15194153785705566,-0.22719204425811768,0.2567062973976135
stage79_00030095,pigs,8,q12,42,0.25,streamsplat_half_anchor_entropy_residual,fixed_right_half,right,0.4,4,19.952766436153293,0.4148540496826172,0.6572467684745789,0.5702293515205383,53886,0,0.05138969421386719,0.09762538675351436,0.14901508096738153,-4.42424276193184,-0.23539161682128906,-0.19569170475006104,0.24850589036941528
stage79_00030095,pigs,8,q12,42,0.25,streamsplat_half_anchor_entropy_residual,fixed_right_half,right,0.4,6,20.819124309532576,0.5536999702453613,0.7371709942817688,0.4900061786174774,106185,0,0.10126590728759766,0.09762538675351436,0.198891294041112,-3.5578848885525574,-0.09654569625854492,-0.1157674789428711,0.16828271746635437
stage79_00030095,pigs,8,q12,42,0.25,streamsplat_half_anchor_entropy_residual,fixed_right_half,right,1.0,4,24.43000470958303,0.5223207473754883,0.8288841843605042,0.4372035264968872,106252,0,0.10132980346679688,0.09762538675351436,0.19895519022031122,0.052995511497897496,-0.12792491912841797,-0.024054288864135742,0.11548006534576416
stage79_00030095,pigs,8,q12,42,0.25,streamsplat_half_anchor_entropy_residual,fixed_right_half,right,1.0,6,29.5500670582777,0.7872191071510315,0.967542827129364,0.26073312759399414,233367,0,0.22255611419677734,0.09762538675351436,0.3201815009502917,5.173057860192568,0.13697344064712524,0.11460435390472412,-0.060990333557128906
stage79_00022382,breakdance,8,q12,6,0.75,original_streamsplat_base,full_original,both,0.0,0,19.16457032226849,0.7028393745422363,0.8273356556892395,0.2658421993255615,0,0,0.0,0.09762538675351436,0.09762538675351436,0.0,0.0,0.0,0.0
stage79_00022382,breakdance,8,q12,6,0.75,streamsplat_half_anchor_entropy_residual,fixed_left_half,left,0.2,4,15.86165187747692,0.42379042506217957,0.6677270531654358,0.4628257155418396,31898,0,0.030420303344726562,0.09762538675351436,0.1280456900982409,-3.302918444791569,-0.27904894948005676,-0.1596086025238037,0.19698351621627808
stage79_00022382,breakdance,8,q12,6,0.75,streamsplat_half_anchor_entropy_residual,fixed_left_half,left,0.2,6,16.314419997108413,0.5056636929512024,0.7144359350204468,0.42368948459625244,56265,0,0.053658485412597656,0.09762538675351436,0.151283872166112,-2.850150325160076,-0.19717568159103394,-0.11289972066879272,0.15784728527069092
stage79_00022382,breakdance,8,q12,6,0.75,streamsplat_half_anchor_entropy_residual,fixed_left_half,left,0.4,4,18.300348500075543,0.45668718218803406,0.7830785512924194,0.4721982479095459,46618,0,0.04445838928222656,0.09762538675351436,0.1420837760357409,-0.8642218221929454,-0.24615219235420227,-0.04425710439682007,0.20635604858398438
stage79_00022382,breakdance,8,q12,6,0.75,streamsplat_half_anchor_entropy_residual,fixed_left_half,left,0.4,6,19.603166871391373,0.6142294406890869,0.8493354916572571,0.39510485529899597,89480,0,0.08533477783203125,0.09762538675351436,0.1829601645855456,0.4385965491228845,-0.08860993385314941,0.021999835968017578,0.12926265597343445
stage79_00022382,breakdance,8,q12,6,0.75,streamsplat_half_anchor_entropy_residual,fixed_left_half,left,1.0,4,19.255803737687845,0.5063132643699646,0.8562704920768738,0.3440397381782532,77781,0,0.07417774200439453,0.09762538675351436,0.17180312875790887,0.09123341541935659,-0.19652611017227173,0.028934836387634277,0.07819753885269165
stage79_00022382,breakdance,8,q12,6,0.75,streamsplat_half_anchor_entropy_residual,fixed_left_half,left,1.0,6,24.38741106683059,0.8144903779029846,0.9752753376960754,0.2194584161043167,168636,0,0.16082382202148438,0.09762538675351436,0.2584492087749987,5.222840744562102,0.11165100336074829,0.14793968200683594,-0.04638378322124481
stage79_00022382,breakdance,8,q12,6,0.75,streamsplat_half_anchor_entropy_residual,fixed_right_half,right,0.2,4,23.33535724936366,0.7954798340797424,0.9578738212585449,0.21965521574020386,31085,0,0.02964496612548828,0.09762538675351436,0.12727035287900262,4.170786927095172,0.0926404595375061,0.13053816556930542,-0.046186983585357666
stage79_00022382,breakdance,8,q12,6,0.75,streamsplat_half_anchor_entropy_residual,fixed_right_half,right,0.2,6,24.305254937786074,0.8311240077018738,0.968553900718689,0.190839484333992,55641,0,0.053063392639160156,0.09762538675351436,0.1506887793926745,5.140684615517586,0.12828463315963745,0.14121824502944946,-0.07500271499156952
stage79_00022382,breakdance,8,q12,6,0.75,streamsplat_half_anchor_entropy_residual,fixed_right_half,right,0.4,4,23.13277499729521,0.7739875912666321,0.959013044834137,0.2511194050312042,47077,0,0.04489612579345703,0.09762538675351436,0.14252151254697137,3.9682046750267226,0.07114821672439575,0.13167738914489746,-0.0147227942943573
stage79_00022382,breakdance,8,q12,6,0.75,streamsplat_half_anchor_entropy_residual,fixed_right_half,right,0.4,6,25.199539591083987,0.8507082462310791,0.9810765981674194,0.1789683848619461,89485,0,0.08533954620361328,0.09762538675351436,0.18296493295712762,6.034969268815498,0.14786887168884277,0.15374094247817993,-0.08687381446361542
stage79_00022382,breakdance,8,q12,6,0.75,streamsplat_half_anchor_entropy_residual,fixed_right_half,right,1.0,4,20.49277668036811,0.5701242089271545,0.8858757615089417,0.38546323776245117,69041,0,0.0658426284790039,0.09762538675351436,0.16346801523251825,1.3282063580996208,-0.1327151656150818,0.05854010581970215,0.11962103843688965
stage79_00022382,breakdance,8,q12,6,0.75,streamsplat_half_anchor_entropy_residual,fixed_right_half,right,1.0,6,25.242663608239635,0.8441993594169617,0.9827916026115417,0.1973235011100769,142446,0,0.1358470916748047,0.09762538675351436,0.23347247842831903,6.078093285971146,0.14135998487472534,0.15545594692230225,-0.06851869821548462
stage79_00027470,kite-surf,4,q12,29,0.25,original_streamsplat_base,full_original,both,0.0,0,24.64050700275411,0.5741387009620667,0.8451193571090698,0.2104964703321457,0,0,0.0,0.18193822076791313,0.18193822076791313,0.0,0.0,0.0,0.0
stage79_00027470,kite-surf,4,q12,29,0.25,streamsplat_half_anchor_entropy_residual,fixed_left_half,left,0.2,4,26.592348937984916,0.6659321784973145,0.8758255839347839,0.26427868008613586,34259,0,0.03267192840576172,0.18193822076791313,0.21461014917367485,1.9518419352308065,0.0917934775352478,0.03070622682571411,0.05378220975399017
stage79_00027470,kite-surf,4,q12,29,0.25,streamsplat_half_anchor_entropy_residual,fixed_left_half,left,0.2,6,26.895724977215465,0.6783640384674072,0.8848360180854797,0.24456939101219177,59355,0,0.05660533905029297,0.18193822076791313,0.2385435598182061,2.255217974461356,0.10422533750534058,0.03971666097640991,0.03407292068004608
stage79_00027470,kite-surf,4,q12,29,0.25,streamsplat_half_anchor_entropy_residual,fixed_left_half,left,0.4,4,27.2883182198404,0.7124174237251282,0.9002369046211243,0.28226685523986816,58521,0,0.055809974670410156,0.18193822076791313,0.2377481954383233,2.6478112170862893,0.13827872276306152,0.05511754751205444,0.07177038490772247
stage79_00027470,kite-surf,4,q12,29,0.25,streamsplat_half_anchor_entropy_residual,fixed_left_half,left,0.4,6,27.82114012867001,0.7389259338378906,0.9163586497306824,0.24699972569942474,109657,0,0.10457706451416016,0.18193822076791313,0.28651528528207326,3.1806331259159,0.16478723287582397,0.07123929262161255,0.03650325536727905
stage79_00027470,kite-surf,4,q12,29,0.25,streamsplat_half_anchor_entropy_residual,fixed_left_half,left,1.0,4,29.394087316767525,0.7979368567466736,0.9372333288192749,0.251542866230011,98363,0,0.09380626678466797,0.18193822076791313,0.2757444875525811,4.753580314013416,0.22379815578460693,0.09211397171020508,0.041046395897865295
stage79_00027470,kite-surf,4,q12,29,0.25,streamsplat_half_anchor_entropy_residual,fixed_left_half,left,1.0,6,32.33223984735168,0.8976895809173584,0.9856438636779785,0.10891885310411453,220262,0,0.21005821228027344,0.18193822076791313,0.39199643304818654,7.691732844597571,0.32355087995529175,0.1405245065689087,-0.10157761722803116
stage79_00027470,kite-surf,4,q12,29,0.25,streamsplat_half_anchor_entropy_residual,fixed_right_half,right,0.2,4,19.577040133091693,0.5586057305335999,0.704046368598938,0.5152373909950256,32457,0,0.030953407287597656,0.18193822076791313,0.2128916280555108,-5.063466869662417,-0.015532970428466797,-0.14107298851013184,0.30474092066287994
stage79_00027470,kite-surf,4,q12,29,0.25,streamsplat_half_anchor_entropy_residual,fixed_right_half,right,0.2,6,19.750818468838585,0.5857548117637634,0.7173742651939392,0.49047785997390747,58401,0,0.055695533752441406,0.18193822076791313,0.23763375452035454,-4.889688533915525,0.011616110801696777,-0.12774509191513062,0.2799813896417618
stage79_00027470,kite-surf,4,q12,29,0.25,streamsplat_half_anchor_entropy_residual,fixed_right_half,right,0.4,4,22.25945281689428,0.5912555456161499,0.7945555448532104,0.47298356890678406,55188,0,0.052631378173828125,0.18193822076791313,0.23456959894174126,-2.3810541858598278,0.017116844654083252,-0.050563812255859375,0.26248709857463837
stage79_00027470,kite-surf,4,q12,29,0.25,streamsplat_half_anchor_entropy_residual,fixed_right_half,right,0.4,6,22.803093294407258,0.6534590721130371,0.8247492909431458,0.43349647521972656,107868,0,0.10287094116210938,0.18193822076791313,0.2848091619300225,-1.8374137083468511,0.07932037115097046,-0.020370066165924072,0.22300000488758087
stage79_00027470,kite-surf,4,q12,29,0.25,streamsplat_half_anchor_entropy_residual,fixed_right_half,right,1.0,4,27.79767312883376,0.7300465703010559,0.9152511358261108,0.3071539103984833,105244,0,0.10036849975585938,0.18193822076791313,0.2823067205237725,3.1571661260796517,0.15590786933898926,0.07013177871704102,0.09665744006633759
stage79_00027470,kite-surf,4,q12,29,0.25,streamsplat_half_anchor_entropy_residual,fixed_right_half,right,1.0,6,31.932433417933247,0.8851582407951355,0.9839094281196594,0.11903682351112366,234731,0,0.22385692596435547,0.18193822076791313,0.4057951467322686,7.291926415179137,0.31101953983306885,0.1387900710105896,-0.09145964682102203
stage79_00024353,dance-twirl,4,q12,66,0.5,original_streamsplat_base,full_original,both,0.0,0,18.264518745404857,0.37402069568634033,0.7257879376411438,0.3943515121936798,0,0,0.0,0.18193822076791313,0.18193822076791313,0.0,0.0,0.0,0.0
stage79_00024353,dance-twirl,4,q12,66,0.5,streamsplat_half_anchor_entropy_residual,fixed_left_half,left,0.2,4,19.674424713568833,0.4242401123046875,0.7915544509887695,0.4743415415287018,31308,0,0.029857635498046875,0.18193822076791313,0.21179585626596,1.4099059681639758,0.05021941661834717,0.06576651334762573,0.07999002933502197
stage79_00024353,dance-twirl,4,q12,66,0.5,streamsplat_half_anchor_entropy_residual,fixed_left_half,left,0.2,6,21.38999016915517,0.5456240773200989,0.8474200963973999,0.43002748489379883,54970,0,0.05242347717285156,0.18193822076791313,0.2343616979407647,3.1254714237503123,0.17160338163375854,0.1216321587562561,0.03567597270011902
stage79_00024353,dance-twirl,4,q12,66,0.5,streamsplat_half_anchor_entropy_residual,fixed_left_half,left,0.4,4,20.141370884717965,0.43912243843078613,0.8079521059989929,0.484066903591156,52535,0,0.050101280212402344,0.18193822076791313,0.23203950098031548,1.8768521393131081,0.0651017427444458,0.08216416835784912,0.0897153913974762
stage79_00024353,dance-twirl,4,q12,66,0.5,streamsplat_half_anchor_entropy_residual,fixed_left_half,left,0.4,6,23.002510109579802,0.6314070224761963,0.8953025341033936,0.39702337980270386,99241,0,0.09464359283447266,0.18193822076791313,0.27658181360238576,4.737991364174945,0.25738632678985596,0.16951459646224976,0.002671867609024048
stage79_00024353,dance-twirl,4,q12,66,0.5,streamsplat_half_anchor_entropy_residual,fixed_left_half,left,1.0,4,20.346171820977187,0.4466322362422943,0.8259140849113464,0.48687833547592163,91461,0,0.08722400665283203,0.18193822076791313,0.26916222742074514,2.08165307557233,0.07261154055595398,0.10012614727020264,0.09252682328224182
stage79_00024353,dance-twirl,4,q12,66,0.5,streamsplat_half_anchor_entropy_residual,fixed_left_half,left,1.0,6,25.710704424153864,0.7672849297523499,0.9739040732383728,0.2922753095626831,195957,0,0.18687915802001953,0.18193822076791313,0.36881737878793264,7.446185678749007,0.3932642340660095,0.248116135597229,-0.1020762026309967
stage79_00024353,dance-twirl,4,q12,66,0.5,streamsplat_half_anchor_entropy_residual,fixed_right_half,right,0.2,4,20.750839663347854,0.4950523376464844,0.8296542167663574,0.4703337550163269,31878,0,0.030401229858398438,0.18193822076791313,0.21233945062631157,2.4863209179429973,0.12103164196014404,0.10386627912521362,0.0759822428226471
stage79_00024353,dance-twirl,4,q12,66,0.5,streamsplat_half_anchor_entropy_residual,fixed_right_half,right,0.2,6,21.33523174840096,0.5302059054374695,0.8427918553352356,0.43537992238998413,55893,0,0.05330371856689453,0.18193822076791313,0.23524193933480766,3.0707130029961043,0.15618520975112915,0.1170039176940918,0.04102841019630432
stage79_00024353,dance-twirl,4,q12,66,0.5,streamsplat_half_anchor_entropy_residual,fixed_right_half,right,0.4,4,21.631881085628734,0.5207958817481995,0.8510598540306091,0.4726351499557495,52673,0,0.050232887268066406,0.18193822076791313,0.23217110803597954,3.3673623402238775,0.14677518606185913,0.12527191638946533,0.0782836377620697
stage79_00024353,dance-twirl,4,q12,66,0.5,streamsplat_half_anchor_entropy_residual,fixed_right_half,right,0.4,6,22.92156125000197,0.6012241840362549,0.8801224827766418,0.4041917026042938,99454,0,0.09484672546386719,0.18193822076791313,0.2767849462317803,4.657042504597115,0.22720348834991455,0.15433454513549805,0.009840190410614014
stage79_00024353,dance-twirl,4,q12,66,0.5,streamsplat_half_anchor_entropy_residual,fixed_right_half,right,1.0,4,22.659315180438426,0.5896639823913574,0.8951207399368286,0.42946311831474304,92617,0,0.08832645416259766,0.18193822076791313,0.27026467493051076,4.3947964350335695,0.2156432867050171,0.16933280229568481,0.03511160612106323
stage79_00024353,dance-twirl,4,q12,66,0.5,streamsplat_half_anchor_entropy_residual,fixed_right_half,right,1.0,6,26.122999794968553,0.7899426817893982,0.9776554703712463,0.2735501527786255,197155,0,0.18802165985107422,0.18193822076791313,0.3699598806189873,7.8584810495636965,0.41592198610305786,0.25186753273010254,-0.12080135941505432
stage79_00021991,bmx-trees,8,q12,35,0.375,original_streamsplat_base,full_original,both,0.0,0,15.552224068839411,0.19959938526153564,0.2985188364982605,0.5763093829154968,0,0,0.0,0.09762538675351436,0.09762538675351436,0.0,0.0,0.0,0.0
stage79_00021991,bmx-trees,8,q12,35,0.375,streamsplat_half_anchor_entropy_residual,fixed_left_half,left,0.2,4,16.986823301776965,0.3143657147884369,0.4938115179538727,0.5499349236488342,35062,0,0.03343772888183594,0.09762538675351436,0.13106311563535028,1.434599232937554,0.11476632952690125,0.19529268145561218,-0.026374459266662598
stage79_00021991,bmx-trees,8,q12,35,0.375,streamsplat_half_anchor_entropy_residual,fixed_left_half,left,0.2,6,17.14997170571601,0.3516230285167694,0.5127356648445129,0.5307695865631104,59266,0,0.05652046203613281,0.09762538675351436,0.15414584878964716,1.5977476368765977,0.15202364325523376,0.21421682834625244,-0.045539796352386475
stage79_00021991,bmx-trees,8,q12,35,0.375,streamsplat_half_anchor_entropy_residual,fixed_left_half,left,0.4,4,18.168350606271314,0.414882630109787,0.6389496922492981,0.49298423528671265,65197,0,0.06217670440673828,0.09762538675351436,0.15980209116025262,2.616126537431903,0.21528324484825134,0.3404308557510376,-0.08332514762878418
stage79_00021991,bmx-trees,8,q12,35,0.375,streamsplat_half_anchor_entropy_residual,fixed_left_half,left,0.4,6,18.61980642036592,0.48682644963264465,0.6743733882904053,0.4521339237689972,113717,0,0.10844898223876953,0.09762538675351436,0.20607436899228387,3.0675823515265073,0.287227064371109,0.3758545517921448,-0.12417545914649963
stage79_00021991,bmx-trees,8,q12,35,0.375,streamsplat_half_anchor_entropy_residual,fixed_left_half,left,1.0,4,23.358004707216672,0.6570751070976257,0.9029328227043152,0.3149447739124298,129659,0,0.12365245819091797,0.09762538675351436,0.2212778449444323,7.805780638377261,0.4574757218360901,0.6044139862060547,-0.261364609003067
stage79_00021991,bmx-trees,8,q12,35,0.375,streamsplat_half_anchor_entropy_residual,fixed_left_half,left,1.0,6,28.771315232908698,0.876772940158844,0.9839232563972473,0.13936297595500946,253701,0,0.24194812774658203,0.09762538675351436,0.3395735145000964,13.219091164069287,0.6771735548973083,0.6854044198989868,-0.43694640696048737
stage79_00021991,bmx-trees,8,q12,35,0.375,streamsplat_half_anchor_entropy_residual,fixed_right_half,right,0.2,4,15.996052445110536,0.33966246247291565,0.513952910900116,0.563539981842041,36309,0,0.03462696075439453,0.09762538675351436,0.13225234750790887,0.44382837627112437,0.14006307721138,0.21543407440185547,-0.01276940107345581
stage79_00021991,bmx-trees,8,q12,35,0.375,streamsplat_half_anchor_entropy_residual,fixed_right_half,right,0.2,6,16.150024584807635,0.3756070137023926,0.5313845276832581,0.5463489294052124,60976,0,0.0581512451171875,0.09762538675351436,0.15577663187070184,0.597800515968224,0.17600762844085693,0.23286569118499756,-0.029960453510284424
stage79_00021991,bmx-trees,8,q12,35,0.375,streamsplat_half_anchor_entropy_residual,fixed_right_half,right,0.4,4,17.51022307631566,0.4247945249080658,0.6451178789138794,0.49389562010765076,66596,0,0.06351089477539062,0.09762538675351436,0.16113628152890497,1.9579990074762499,0.22519513964653015,0.3465990424156189,-0.08241376280784607
stage79_00021991,bmx-trees,8,q12,35,0.375,streamsplat_half_anchor_entropy_residual,fixed_right_half,right,0.4,6,17.857629306121492,0.49140480160713196,0.6728048324584961,0.4533744156360626,116527,0,0.1111288070678711,0.09762538675351436,0.20875419382138544,2.3054052372820806,0.2918054163455963,0.3742859959602356,-0.1229349672794342
stage79_00021991,bmx-trees,8,q12,35,0.375,streamsplat_half_anchor_entropy_residual,fixed_right_half,right,1.0,4,23.479989125437278,0.6773080825805664,0.9092612862586975,0.30882298946380615,133395,0,0.12721538543701172,0.09762538675351436,0.22484077219052606,7.927765056597867,0.47770869731903076,0.610742449760437,-0.2674863934516907
stage79_00021991,bmx-trees,8,q12,35,0.375,streamsplat_half_anchor_entropy_residual,fixed_right_half,right,1.0,6,28.357092215196374,0.8614922165870667,0.9816911816596985,0.16473300755023956,262186,0,0.25004005432128906,0.09762538675351436,0.3476654410748034,12.804868146356963,0.661892831325531,0.683172345161438,-0.41157637536525726
stage79_00030917,soapbox,4,q12,78,0.5,original_streamsplat_base,full_original,both,0.0,0,21.17437912110509,0.6108488440513611,0.823716938495636,0.3202863037586212,0,0,0.0,0.18193822076791313,0.18193822076791313,0.0,0.0,0.0,0.0
stage79_00030917,soapbox,4,q12,78,0.5,streamsplat_half_anchor_entropy_residual,fixed_left_half,left,0.2,4,19.997345574341338,0.5845813751220703,0.7875885367393494,0.4215092360973358,33763,0,0.03219890594482422,0.18193822076791313,0.21413712671273735,-1.1770335467637523,-0.02626746892929077,-0.03612840175628662,0.1012229323387146
stage79_00030917,soapbox,4,q12,78,0.5,streamsplat_half_anchor_entropy_residual,fixed_left_half,left,0.2,6,20.548677713698357,0.6341308951377869,0.8069417476654053,0.37779223918914795,58841,0,0.056115150451660156,0.18193822076791313,0.2380533712195733,-0.6257014074067335,0.02328205108642578,-0.016775190830230713,0.05750593543052673
stage79_00030917,soapbox,4,q12,78,0.5,streamsplat_half_anchor_entropy_residual,fixed_left_half,left,0.4,4,21.136377542504864,0.6188297867774963,0.8300676345825195,0.406006395816803,61210,0,0.05837440490722656,0.18193822076791313,0.2403126256751397,-0.03800157860022679,0.007980942726135254,0.006350696086883545,0.08572009205818176
stage79_00030917,soapbox,4,q12,78,0.5,streamsplat_half_anchor_entropy_residual,fixed_left_half,left,0.4,6,22.244167420728726,0.7040770649909973,0.8596634268760681,0.32679957151412964,112133,0,0.10693836212158203,0.18193822076791313,0.28887658288949514,1.0697882996236352,0.09322822093963623,0.03594648838043213,0.006513267755508423
stage79_00030917,soapbox,4,q12,78,0.5,streamsplat_half_anchor_entropy_residual,fixed_left_half,left,1.0,4,24.243157828313066,0.6737709641456604,0.9057932496070862,0.3717319965362549,114641,0,0.1093301773071289,0.18193822076791313,0.291268398075042,3.0687787072079757,0.06292212009429932,0.0820763111114502,0.05144569277763367
