candidate,rank_threshold,min_votes,selected_count,hard_quality_count,high_payload_count,true_hard_selected,true_payload_selected,precision_hard,recall_hard,f1_hard,precision_payload,recall_payload,mean_selected_psnr,mean_unselected_psnr,mean_selected_lpips,mean_unselected_lpips,mean_selected_payload,mean_unselected_payload
rank_gate_t0.55_votes2,0.55,2,58,30,72,16,52,0.27586206896551724,0.5333333333333333,0.36363636363636365,0.896551724137931,0.7222222222222222,29.528380332890652,29.821032356946528,0.17270605381706666,0.17187634639201627,237944.10344827586,189046.53225806452
rank_gate_t0.75_votes1,0.75,1,58,30,72,16,51,0.27586206896551724,0.5333333333333333,0.36363636363636365,0.8793103448275862,0.7083333333333334,29.681360166914438,29.677922189633954,0.16997043120449987,0.1744354772231271,234178.27586206896,192569.40322580645
rank_gate_t0.6_votes3,0.6,3,47,30,72,14,43,0.2978723404255319,0.4666666666666667,0.36363636363636365,0.9148936170212766,0.5972222222222222,29.479379330861644,29.80848269709377,0.17146422999336364,0.17280090120557237,239128.31914893616,195652.2191780822
rank_gate_t0.65_votes4,0.65,4,35,30,72,11,34,0.3142857142857143,0.36666666666666664,0.3384615384615384,0.9714285714285714,0.4722222222222222,29.915142978166834,29.582588955323562,0.17524491101503373,0.17105544367257286,242247.54285714286,200505.63529411764
rank_gate_t0.65_votes2,0.65,2,50,30,72,13,47,0.26,0.43333333333333335,0.325,0.94,0.6527777777777778,29.606075518385122,29.732089850272658,0.17149460092186927,0.17283649359430586,239457.04,193554.15714285715
rank_gate_t0.7_votes3,0.7,3,38,30,72,11,37,0.2894736842105263,0.36666666666666664,0.32352941176470584,0.9736842105263158,0.5138888888888888,29.72222190885468,29.659824791486155,0.1740988189060437,0.1714332863325026,242017.1052631579,199085.28048780488
rank_gate_t0.6_votes4,0.6,4,40,30,72,11,39,0.275,0.36666666666666664,0.3142857142857143,0.975,0.5416666666666666,29.707408591106365,29.665671522426102,0.17182799689471723,0.17250205902382731,241699.275,198170.9
rank_gate_t0.65_votes3,0.65,3,41,30,72,11,39,0.2682926829268293,0.36666666666666664,0.30985915492957744,0.9512195121951219,0.5416666666666666,29.633097345718465,29.703709800808674,0.17230237838698598,0.1722643934661829,241227.39024390245,197864.81012658228
rank_gate_t0.75_votes3,0.75,3,29,30,72,9,28,0.3103448275862069,0.3,0.3050847457627119,0.9655172413793104,0.3888888888888889,29.98010908191769,29.58381211057944,0.17628545493915163,0.17100007037867557,244579.2068965517,202514.7912087912
rank_gate_t0.75_votes2,0.75,2,36,30,72,10,35,0.2777777777777778,0.3333333333333333,0.303030303030303,0.9722222222222222,0.4861111111111111,29.812075853998337,29.622801603504783,0.17304587302108607,0.1719480139159021,243374.25,199525.83333333334
rank_gate_t0.7_votes2,0.7,2,43,30,72,11,42,0.2558139534883721,0.36666666666666664,0.30136986301369856,0.9767441860465116,0.5833333333333334,29.82973246204,29.59573466974835,0.17199527454930683,0.17243490639058026,241790.2093023256,196424.2077922078
rank_gate_t0.7_votes4,0.7,4,27,30,72,7,27,0.25925925925925924,0.23333333333333334,0.2456140350877193,1.0,0.375,30.1734870969744,29.536192621720783,0.1753634633841338,0.17138140953035766,246588.0,202836.20430107528
rank_gate_t0.75_votes4,0.75,4,20,30,72,6,20,0.3,0.2,0.24,1.0,0.2777777777777778,30.211923790234486,29.573115896336517,0.18090668991208075,0.1705515079945326,246911.7,205834.09
