task_id,sequence,gap,left_index,target_index,right_index,normalized_time,vote_count,selector_score,selected_for_extra_keyframe,hard_quality_label,high_payload_label,stage158_psnr,stage158_lpips,payload_bytes,rgb_motion_proxy_score,rgb_mad_linear_interp_target,rgb_mad_left_right,edge_mad_left_right,hist_chi_left_right
stage79_00027753,lab-coat,8,32,35,40,0.375,5,5.796638655462185,1,0,1,31.270741398432,0.14216843247413635,249864.0,0.37306141927822756,0.13302958011627197,0.16271436214447021,0.29243022203445435,0.021348223074602848
stage79_00030985,soapbox,8,56,61,64,0.625,5,5.826890756302521,1,0,1,29.652676453289992,0.19451424479484558,253262.0,0.4133277888029239,0.13352203369140625,0.19495825469493866,0.2951529324054718,0.021122196608998372
stage79_00026678,horsejump-high,8,8,15,16,0.875,3,3.6201680672268908,1,0,0,28.119707176231408,0.1598365157842636,213145.0,0.3248170755463392,0.06894239038228989,0.1452646553516388,0.29799169301986694,0.0091760571554382
stage79_00029700,parkour,8,80,87,88,0.875,1,1.6285714285714286,1,1,0,25.783851442535276,0.20480650663375854,218629.0,0.31258550413967445,0.07540907710790634,0.13605162501335144,0.29390987753868103,0.01188901913292899
stage79_00028241,loading,8,32,35,40,0.375,5,5.904201680672269,1,0,1,28.600659158818136,0.16854679584503174,247580.0,0.47229450706172055,0.14172464609146118,0.21782486140727997,0.3737510144710541,0.03899982922083694
stage79_00023221,car-roundabout,8,0,1,8,0.125,5,5.754621848739496,1,0,1,27.51871864418962,0.14457689225673676,220792.0,0.358899832105036,0.09204526990652084,0.14965753257274628,0.354193776845932,0.01916478925898231
stage79_00022883,camel,8,72,75,80,0.375,1,1.442016806722689,1,1,1,25.335479237043415,0.1993795931339264,244271.0,0.2470028911377085,0.07081015408039093,0.10093901306390762,0.293378621339798,0.0007032289613568761
stage79_00024692,dog,4,16,17,20,0.25,0,0.411764705882353,0,0,1,30.263989567847865,0.1706315129995346,234218.0,0.21600453721118065,0.06354226171970367,0.09588924050331116,0.1856900453567505,0.010319219660851916
stage79_00027979,libby,8,16,17,24,0.125,1,1.5697478991596638,1,0,1,33.64559264444898,0.1312885582447052,245135.0,0.27353900351824073,0.08214952796697617,0.12521769106388092,0.18908187747001648,0.021914818586617507
stage79_00026022,goat,8,72,78,80,0.75,3,3.598319327731092,1,0,1,26.541360057367047,0.18188631534576416,244302.0,0.3369467166566293,0.1106715202331543,0.13022473454475403,0.3363440930843353,0.0007143368665444806
stage79_00027251,judo,4,8,10,12,0.5,0,0.03529411764705882,0,0,0,31.38632279877512,0.16049990057945251,113232.0,0.041331369863528186,0.010852707549929619,0.01859748736023903,0.04500393941998482,0.0008093161213571517
stage79_00023460,car-shadow,4,8,10,12,0.5,1,1.5176470588235293,1,0,1,29.405388121541595,0.1530119925737381,220697.0,0.23369963852858722,0.0678400844335556,0.09739698469638824,0.2706674635410309,0.014571858740032504
stage79_00021592,blackswan,4,20,21,24,0.25,0,0.3411764705882353,0,0,1,29.993041439257844,0.1594529002904892,224833.0,0.2140338845563091,0.0565204843878746,0.08901146799325943,0.22677168250083923,0.002194717647204942
stage79_00030333,scooter-black,4,36,37,40,0.25,5,5.942857142857143,1,0,1,27.48157589409837,0.1386011242866516,247692.0,0.6102438152440272,0.18232285976409912,0.2681052088737488,0.5006954669952393,0.02499923713884134
stage79_00026362,gold-fish,4,68,70,72,0.5,0,0.15798319327731092,0,0,0,33.52168948008948,0.08349402248859406,195876.0,0.09611219399878933,0.024465586990118027,0.04636595398187637,0.09709596633911133,0.0049611081277866455
stage79_00030525,shooting,4,16,19,20,0.75,4,4.810084033613445,1,0,1,35.31447864697665,0.1123308539390564,231959.0,0.3893656772215139,0.1178959310054779,0.18449313938617706,0.26899534463882446,0.04388582546483465
stage79_00024388,dance-twirl,8,16,21,24,0.625,4,4.7176470588235295,1,0,1,30.979394772938843,0.16457435488700867,224250.0,0.33967985792390026,0.10953285545110703,0.15191850066184998,0.2657617926597595,0.025996027818838877
stage79_00021354,bike-packing,8,24,26,32,0.25,0,0.21008403361344538,0,1,0,25.04849410359389,0.19343437254428864,159176.0,0.12577513491825293,0.03360887989401817,0.047943875193595886,0.15408150851726532,0.0038880650858398457
stage79_00028529,mbike-trick,4,40,43,44,0.75,0,0.20672268907563024,0,0,0,30.18331448094411,0.21612654626369476,162586.0,0.10894103934289334,0.018170097842812538,0.046416714787483215,0.1364179402589798,0.007605486781714947
stage79_00027040,india,8,24,27,32,0.375,4,4.726050420168067,1,1,1,31.727685844595296,0.23860138654708862,233735.0,0.336610517248367,0.10806016623973846,0.1599954515695572,0.22282512485980988,0.08837159423577008
stage79_00029146,paragliding-launch,4,64,67,68,0.75,0,0.12268907563025208,0,0,0,31.972203005555308,0.1762653887271881,209150.0,0.10353932499571174,0.027927106246352196,0.04204447939991951,0.1153913289308548,0.0013069879845079833
stage79_00027490,kite-surf,8,0,6,8,0.75,1,1.4605042016806722,1,0,1,31.864955098407933,0.10679827630519867,222185.0,0.21599156230398162,0.05532396584749222,0.1053863912820816,0.15982680022716522,0.03930070222233163
stage79_00024760,dog,8,40,42,48,0.25,1,1.584873949579832,1,0,1,34.10809642200885,0.14015968143939972,246464.0,0.26218323495609663,0.08228877931833267,0.12539711594581604,0.1625753492116928,0.08072377405872128
stage79_00027957,libby,4,36,38,40,0.5,1,1.4991596638655462,1,0,1,33.00996253806132,0.16725213825702667,257000.0,0.24785189858380996,0.08935216814279556,0.10966641455888748,0.1940409392118454,0.007715231482230579
stage79_00025059,dogs-jump,8,16,20,24,0.5,0,0.26890756302521013,0,1,0,30.57019814002359,0.2771647870540619,167862.0,0.13145850172810614,0.03416558355093002,0.06246595084667206,0.11045864969491959,0.012542998962461915
stage79_00029170,paragliding-launch,8,16,18,24,0.25,0,0.29411764705882354,0,0,1,29.26343582576235,0.200591042637825,222111.0,0.15788633064382973,0.045203085988759995,0.06638380885124207,0.15557844936847687,0.006349631601277878
stage79_00021621,blackswan,8,8,10,16,0.25,0,0.5277310924369749,0,0,1,29.820765753596852,0.1637483835220337,238863.0,0.27653894352897,0.06980041414499283,0.12244439125061035,0.2410692274570465,0.006481039508179528
stage79_00030010,pigs,4,12,13,16,0.25,0,0.173109243697479,0,0,0,32.04078010586536,0.14738035202026367,185807.0,0.1252793029635046,0.0248333178460598,0.05133916065096855,0.1552077829837799,0.0013442033419396142
stage79_00022356,breakdance,4,52,55,56,0.75,0,0.19327731092436978,0,1,0,25.543566837921947,0.17139467597007751,126100.0,0.13397142898340658,0.026957591995596886,0.05603134632110596,0.14741505682468414,0.0028819330529739257
stage79_00021928,bmx-trees,4,32,35,36,0.75,4,4.764705882352941,1,0,1,29.201382012700087,0.1247481256723404,256821.0,0.37715027369793874,0.12366652488708496,0.17470048367977142,0.24887414276599884,0.021593533691386693
stage79_00028557,mbike-trick,8,0,3,8,0.375,0,0.19663865546218487,0,0,0,29.827810910218457,0.21969108283519745,192946.0,0.10691188249523588,0.03013230860233307,0.04165381193161011,0.13493134081363678,0.0055134033512558335
stage79_00026409,gold-fish,8,48,49,56,0.125,0,0.21008403361344538,0,0,0,33.37035851948761,0.07448727637529373,184199.0,0.1396995125150986,0.018533218652009964,0.06532146781682968,0.13521511852741241,0.004256645205691084
stage79_00030340,scooter-black,8,0,4,8,0.5,4,4.6873949579831935,1,1,0,24.4885691478027,0.20375370979309082,218516.0,0.354687247617609,0.11378080397844315,0.14342395961284637,0.36982864141464233,0.004133973873328852
