frontier_index,cost_bytes,cost_mib,target_count,mean_corrected_psnr,score_sum_psnr,chosen_settings
31,9080083,8.659441947937012,61,23.426879225242892,1429.0396327398164,bike-packing:00000:00004:gap4=topk_keep0p05_q6;bike-packing:00000:00008:gap8=topk_keep0p05_q6;bike-packing:00000:00012:gap12=topk_keep0p05_q6;bike-packing:00004:00008:gap4=topk_keep0p05_q6;bike-packing:00008:00012:gap4=topk_keep0p05_q6;bike-packing:00008:00016:gap8=topk_keep0p05_q6;bike-packing:00012:00016:gap4=topk_keep0p1_q6;bike-packing:00012:00024:gap12=topk_keep0p05_q6;bike-packing:00016:00020:gap4=topk_keep0p1_q6;bike-packing:00016:00024:gap8=topk_keep0p1_q6;bike-packing:00020:00024:gap4=topk_keep0p05_q6
32,9080423,8.65976619720459,61,23.430805213367094,1429.2791180153927,bike-packing:00000:00004:gap4=topk_keep0p05_q6;bike-packing:00000:00008:gap8=topk_keep0p05_q6;bike-packing:00000:00012:gap12=topk_keep0p05_q6;bike-packing:00004:00008:gap4=topk_keep0p05_q6;bike-packing:00008:00012:gap4=topk_keep0p05_q6;bike-packing:00008:00016:gap8=topk_keep0p05_q6;bike-packing:00012:00016:gap4=topk_keep0p05_q6;bike-packing:00012:00024:gap12=topk_keep0p05_q6;bike-packing:00016:00020:gap4=topk_keep0p1_q6;bike-packing:00016:00024:gap8=topk_keep0p1_q6;bike-packing:00020:00024:gap4=topk_keep0p1_q6
33,9080847,8.660170555114746,61,23.431084456479663,1429.2961518452594,bike-packing:00000:00004:gap4=topk_keep0p05_q6;bike-packing:00000:00008:gap8=topk_keep0p05_q6;bike-packing:00000:00012:gap12=topk_keep0p05_q6;bike-packing:00004:00008:gap4=topk_keep0p05_q6;bike-packing:00008:00012:gap4=topk_keep0p05_q6;bike-packing:00008:00016:gap8=topk_keep0p1_q6;bike-packing:00012:00016:gap4=topk_keep0p1_q6;bike-packing:00012:00024:gap12=topk_keep0p05_q6;bike-packing:00016:00020:gap4=topk_keep0p1_q6;bike-packing:00016:00024:gap8=topk_keep0p05_q6;bike-packing:00020:00024:gap4=topk_keep0p05_q6
34,9080956,8.660274505615234,61,23.433771845909224,1429.4600826004626,bike-packing:00000:00004:gap4=topk_keep0p05_q6;bike-packing:00000:00008:gap8=topk_keep0p05_q6;bike-packing:00000:00012:gap12=topk_keep0p05_q6;bike-packing:00004:00008:gap4=topk_keep0p05_q6;bike-packing:00008:00012:gap4=topk_keep0p1_q6;bike-packing:00008:00016:gap8=topk_keep0p05_q6;bike-packing:00012:00016:gap4=topk_keep0p05_q6;bike-packing:00012:00024:gap12=topk_keep0p05_q6;bike-packing:00016:00020:gap4=topk_keep0p1_q6;bike-packing:00016:00024:gap8=topk_keep0p1_q6;bike-packing:00020:00024:gap4=topk_keep0p05_q6
35,9081187,8.660494804382324,61,23.43501044460386,1429.5356371208356,bike-packing:00000:00004:gap4=topk_keep0p05_q6;bike-packing:00000:00008:gap8=topk_keep0p05_q6;bike-packing:00000:00012:gap12=topk_keep0p05_q6;bike-packing:00004:00008:gap4=topk_keep0p05_q6;bike-packing:00008:00012:gap4=topk_keep0p05_q6;bike-packing:00008:00016:gap8=topk_keep0p1_q6;bike-packing:00012:00016:gap4=topk_keep0p05_q6;bike-packing:00012:00024:gap12=topk_keep0p05_q6;bike-packing:00016:00020:gap4=topk_keep0p1_q6;bike-packing:00016:00024:gap8=topk_keep0p05_q6;bike-packing:00020:00024:gap4=topk_keep0p1_q6
36,9081720,8.661003112792969,61,23.43797707714599,1429.7166017059055,bike-packing:00000:00004:gap4=topk_keep0p05_q6;bike-packing:00000:00008:gap8=topk_keep0p05_q6;bike-packing:00000:00012:gap12=topk_keep0p05_q6;bike-packing:00004:00008:gap4=topk_keep0p05_q6;bike-packing:00008:00012:gap4=topk_keep0p1_q6;bike-packing:00008:00016:gap8=topk_keep0p1_q6;bike-packing:00012:00016:gap4=topk_keep0p05_q6;bike-packing:00012:00024:gap12=topk_keep0p05_q6;bike-packing:00016:00020:gap4=topk_keep0p1_q6;bike-packing:00016:00024:gap8=topk_keep0p05_q6;bike-packing:00020:00024:gap4=topk_keep0p05_q6
37,9096808,8.675392150878906,61,23.463490034494253,1431.2728921041494,bike-packing:00000:00004:gap4=topk_keep0p05_q6;bike-packing:00000:00008:gap8=topk_keep0p05_q6;bike-packing:00000:00012:gap12=topk_keep0p05_q6;bike-packing:00004:00008:gap4=topk_keep0p05_q6;bike-packing:00008:00012:gap4=topk_keep0p05_q6;bike-packing:00008:00016:gap8=topk_keep0p1_q6;bike-packing:00012:00016:gap4=topk_keep0p05_q6;bike-packing:00012:00024:gap12=topk_keep0p05_q6;bike-packing:00016:00020:gap4=topk_keep0p05_q6;bike-packing:00016:00024:gap8=topk_keep0p1_q6;bike-packing:00020:00024:gap4=topk_keep0p05_q6
38,9121752,8.699180603027344,61,23.475733143559662,1432.0197217571395,bike-packing:00000:00004:gap4=topk_keep0p05_q6;bike-packing:00000:00008:gap8=topk_keep0p05_q6;bike-packing:00000:00012:gap12=topk_keep0p05_q6;bike-packing:00004:00008:gap4=topk_keep0p1_q6;bike-packing:00008:00012:gap4=topk_keep0p05_q6;bike-packing:00008:00016:gap8=topk_keep0p05_q6;bike-packing:00012:00016:gap4=topk_keep0p1_q6;bike-packing:00012:00024:gap12=topk_keep0p05_q6;bike-packing:00016:00020:gap4=topk_keep0p1_q6;bike-packing:00016:00024:gap8=topk_keep0p1_q6;bike-packing:00020:00024:gap4=topk_keep0p05_q6
39,9122092,8.699504852294922,61,23.479659131683864,1432.2592070327157,bike-packing:00000:00004:gap4=topk_keep0p05_q6;bike-packing:00000:00008:gap8=topk_keep0p05_q6;bike-packing:00000:00012:gap12=topk_keep0p05_q6;bike-packing:00004:00008:gap4=topk_keep0p1_q6;bike-packing:00008:00012:gap4=topk_keep0p05_q6;bike-packing:00008:00016:gap8=topk_keep0p05_q6;bike-packing:00012:00016:gap4=topk_keep0p05_q6;bike-packing:00012:00024:gap12=topk_keep0p05_q6;bike-packing:00016:00020:gap4=topk_keep0p1_q6;bike-packing:00016:00024:gap8=topk_keep0p1_q6;bike-packing:00020:00024:gap4=topk_keep0p1_q6
40,9122516,8.699909210205078,61,23.479938374796433,1432.2762408625824,bike-packing:00000:00004:gap4=topk_keep0p05_q6;bike-packing:00000:00008:gap8=topk_keep0p05_q6;bike-packing:00000:00012:gap12=topk_keep0p05_q6;bike-packing:00004:00008:gap4=topk_keep0p1_q6;bike-packing:00008:00012:gap4=topk_keep0p05_q6;bike-packing:00008:00016:gap8=topk_keep0p1_q6;bike-packing:00012:00016:gap4=topk_keep0p1_q6;bike-packing:00012:00024:gap12=topk_keep0p05_q6;bike-packing:00016:00020:gap4=topk_keep0p1_q6;bike-packing:00016:00024:gap8=topk_keep0p05_q6;bike-packing:00020:00024:gap4=topk_keep0p05_q6
