schedule,sequence,total_frames,keyframe_count,residual_count,keyframe_bitstream_bytes,keyframe_mib_per_frame,residual_payload_bytes,residual_mib_per_frame,total_payload_bytes_without_global_metadata,total_mib_per_frame_without_global_metadata
stage165_adaptive,loading,50,11,39,7914707.0,0.15096105575561525,9076482.0,0.17312015533447267,16991189.0,0.3240812110900879
stage165_adaptive,mbike-trick,79,11,68,7914688.0,0.09554474263251582,12460471.0,0.1504206476332266,20375159.0,0.24596539026574243
stage165_adaptive,motocross-jump,40,9,31,6475660.0,0.15439176559448242,7220140.0,0.17214155197143555,13695800.0,0.32653331756591797
stage165_adaptive,paragliding-launch,80,11,69,7914625.0,0.0943496823310852,14943142.0,0.17813613414764404,22857767.0,0.27248581647872927
stage165_adaptive,parkour,100,17,83,12231692.0,0.11665050506591797,19060647.0,0.1817764949798584,31292339.0,0.2984270000457764
stage165_adaptive,pigs,79,11,68,7914606.0,0.09554375274271905,13403705.0,0.1618072051036207,21318311.0,0.25735095784633977
stage165_adaptive,scooter-black,43,11,32,7914681.0,0.17553553470345432,7526129.0,0.16691804486651754,15440810.0,0.34245357956997186
stage165_adaptive,shooting,40,10,30,7195191.0,0.17154672145843505,7156309.0,0.17061970233917237,14351500.0,0.3421664237976074
stage165_adaptive,soapbox,99,17,82,12231719.0,0.11782905308887212,19136202.0,0.18434044809052438,31367921.0,0.3021695011793965
uniform_gap4,bike-packing,69,18,51,12951219.0,0.17900354965873386,8744865.0,0.12086598769478175,21696084.0,0.2998695373535156
uniform_gap4,blackswan,50,14,36,10073195.0,0.1921309471130371,8257516.0,0.15749961853027344,18330711.0,0.3496305656433105
uniform_gap4,bmx-trees,80,21,59,15109722.0,0.18012192249298095,14426490.0,0.17197716236114502,29536212.0,0.352099084854126
uniform_gap4,breakdance,84,22,62,15829283.0,0.17971405528840564,8412405.0,0.09550826890127999,24241688.0,0.2752223241896856
uniform_gap4,camel,90,24,66,17268203.0,0.18298046323988174,15165869.0,0.1607033305697971,32434072.0,0.34368379380967884
uniform_gap4,car-roundabout,75,20,55,14390245.0,0.18298142751057941,12590607.0,0.1600978469848633,26980852.0,0.34307927449544273
uniform_gap4,car-shadow,40,11,29,7914683.0,0.1887007474899292,6365248.0,0.15175933837890626,14279931.0,0.34046008586883547
uniform_gap4,cows,104,27,77,19426735.0,0.17814209828009972,16934078.0,0.15528456981365496,36360813.0,0.3334266680937547
