sample,reference_gap,method,selector_delta_adapter_all_psnr,selector_delta_adapter_middle_psnr,selector_delta_linear_all_psnr,selector_delta_linear_middle_psnr
n3dv,16,rendered_min2,0.2627643201104988,0.2816208521437247,0.23136464295929215,0.24770920082040604
n3dv,16,rendered_min2_prior_0p3,0.0,0.0,0.0,0.0
n3dv,16,rendered_minhalf,0.26920277930475933,0.2886717810141022,0.24809387877348854,0.2658741684403232
n3dv,16,rendered_minhalf_prior_0p3,0.0,0.0,0.0,0.0
robot,4,rendered_raw,0.17423209197442446,0.23727688466239272,0.17781145013233157,0.2421121579634189
robot,4,rendered_prior_0p1,0.16331619309351808,0.21729521549740127,0.16230098944570415,0.21592380004332057
robot,4,rendered_prior_0p3,0.16118191797202286,0.23267889381274998,0.15796748192719434,0.22833658547148517
robot,4,rendered_prior_1p0,0.0,0.0,0.0,0.0
robot,4,rendered_min2,0.2152068702764467,0.30384871484388043,0.21477894230034877,0.3032706367007165
robot,4,rendered_min2_prior_0p3,0.16118191797202286,0.23267889381274998,0.15796748192719434,0.22833658547148517
robot,4,rendered_minhalf,0.2152068702764467,0.30384871484388043,0.21477894230034877,0.3032706367007165
robot,4,rendered_minhalf_prior_0p3,0.16118191797202286,0.23267889381274998,0.15796748192719434,0.22833658547148517
robot,8,rendered_raw,0.2969394033681816,0.36520226732477923,0.30063908627017,0.36951856404376215
robot,8,rendered_prior_0p1,0.2876497712710311,0.34384268018851216,0.28869755264177854,0.34506509178771694
robot,8,rendered_prior_0p3,0.09810337905417299,0.12192364236394226,0.10219390286846419,0.12669592014727726
robot,8,rendered_prior_1p0,0.034503682634799304,0.03934273121968346,0.04035576722616341,0.04617016324293388
robot,8,rendered_min2,0.21845206442126042,0.276432513417479,0.2230145098045888,0.28175536636469545
robot,8,rendered_min2_prior_0p3,0.09810337905417299,0.12192364236394226,0.10219390286846419,0.12669592014727726
robot,8,rendered_minhalf,0.30718488284827217,0.37765913961263564,0.30976575730890943,0.3806701598167095
robot,8,rendered_minhalf_prior_0p3,0.09810337905417299,0.12192364236394226,0.10219390286846419,0.12669592014727726
robot,16,rendered_raw,-0.2413766546357614,-0.25809799909998077,-0.232212609106071,-0.24815952718749656
robot,16,rendered_prior_0p1,-0.018963597365331708,-0.01899001734383532,-0.012199906087545287,-0.011654746521450932
robot,16,rendered_prior_0p3,0.019409768126617877,0.019830438364131453,0.020550087435243114,0.02106712268475519
robot,16,rendered_prior_1p0,-0.0177131536988,-0.01672404130135874,-0.0176926550075045,-0.016701810326299693
robot,16,rendered_min2,-0.2413766546357614,-0.25809799909998077,-0.232212609106071,-0.24815952718749656
robot,16,rendered_min2_prior_0p3,0.019409768126617877,0.019830438364131453,0.020550087435243114,0.02106712268475519
robot,16,rendered_minhalf,-0.5249054201293362,-0.5689117596470226,-0.5149109957866358,-0.5580727360641013
robot,16,rendered_minhalf_prior_0p3,0.019409768126617877,0.019830438364131453,0.020550087435243114,0.02106712268475519
