representation,bits,measurement_key,sequence,frame_index,psnr,ssim,ms_ssim,lpips,status,error
q16_keyframe,16,keyframe::bike-packing:00015,bike-packing,15,27.31022363894969,0.8593683242797852,0.9873506426811218,0.17695508897304535,ok,
q16_keyframe,16,keyframe::bike-packing:00016,bike-packing,16,27.417873865634327,0.860095202922821,0.9874956607818604,0.1748146265745163,ok,
q16_keyframe,16,keyframe::bike-packing:00017,bike-packing,17,27.37755567101565,0.8629781603813171,0.9876431226730347,0.18113619089126587,ok,
q16_keyframe,16,keyframe::bike-packing:00018,bike-packing,18,27.21922352868684,0.8605889678001404,0.9875283241271973,0.18011993169784546,ok,
q16_keyframe,16,keyframe::bike-packing:00019,bike-packing,19,27.01629195426858,0.8635388016700745,0.98785001039505,0.17177684605121613,ok,
q16_keyframe,16,keyframe::bike-packing:00020,bike-packing,20,26.585674661989046,0.8618971705436707,0.9877878427505493,0.1697309911251068,ok,
q16_keyframe,16,keyframe::bike-packing:00021,bike-packing,21,25.996117921898872,0.856010913848877,0.9871405363082886,0.17313875257968903,ok,
q16_keyframe,16,keyframe::bike-packing:00022,bike-packing,22,25.42264770303216,0.8472478985786438,0.9863482713699341,0.17349764704704285,ok,
q16_keyframe,16,keyframe::bike-packing:00023,bike-packing,23,25.430415799392534,0.8490140438079834,0.9865341186523438,0.17206613719463348,ok,
q16_keyframe,16,keyframe::bike-packing:00024,bike-packing,24,25.517287769779372,0.8484852910041809,0.9863278865814209,0.17371143400669098,ok,
q16_keyframe,16,keyframe::bike-packing:00025,bike-packing,25,25.51672804278192,0.8498373627662659,0.9864980578422546,0.17297251522541046,ok,
q16_keyframe,16,keyframe::bike-packing:00026,bike-packing,26,25.240164829373562,0.8455638289451599,0.9860395193099976,0.1756780445575714,ok,
q16_keyframe,16,keyframe::bike-packing:00027,bike-packing,27,25.213249955341116,0.8468644022941589,0.9860595464706421,0.17358723282814026,ok,
q16_keyframe,16,keyframe::bike-packing:00028,bike-packing,28,25.06109426499821,0.8419148325920105,0.98577880859375,0.1776864379644394,ok,
q16_keyframe,16,keyframe::bike-packing:00029,bike-packing,29,25.099214056858102,0.8439589142799377,0.9857691526412964,0.17690537869930267,ok,
q16_keyframe,16,keyframe::bike-packing:00030,bike-packing,30,25.05747377684695,0.8425607085227966,0.985675036907196,0.18242010474205017,ok,
q16_keyframe,16,keyframe::bike-packing:00031,bike-packing,31,25.17192266548046,0.8468191027641296,0.9860013723373413,0.17826764285564423,ok,
q16_keyframe,16,keyframe::bike-packing:00032,bike-packing,32,25.11383833901133,0.8445179462432861,0.9859452843666077,0.17834092676639557,ok,
