task_id,sequence,codec,reference_gap,target_index,base_method,keep_fraction,keep_gaussians,side_bits,side_info_mib_per_intermediate_frame,base_psnr,sideinfo_psnr,delta_psnr_vs_base
stage79_00022888,camel,q12,8,81,stage65_adapter,0.25,9216,8,0.1318359375,21.59513563488174,22.807304804643998,1.2121691697622587
stage79_00030005,pigs,q12,4,6,linear,0.0,0,8,0.0,23.684025514285292,23.684025514285292,0.0
stage79_00030005,pigs,q12,4,6,linear,0.1,3686,8,0.05272865295410156,23.684025514285292,26.646560844469718,2.9625353301844264
stage79_00030005,pigs,q12,4,6,linear,0.25,9216,8,0.1318359375,23.684025514285292,29.085673623658895,5.401648109373603
stage79_00030005,pigs,q12,4,6,stage65_adapter,0.0,0,8,0.0,24.401265605812654,24.401265605812654,0.0
stage79_00030005,pigs,q12,4,6,stage65_adapter,0.1,3686,8,0.05272865295410156,24.401265605812654,26.65821053953289,2.256944933720238
stage79_00030005,pigs,q12,4,6,stage65_adapter,0.25,9216,8,0.1318359375,24.401265605812654,28.15767735447225,3.7564117486595947
stage79_00029696,parkour,q12,8,83,linear,0.0,0,8,0.0,16.598817972818342,16.598817972818342,0.0
stage79_00029696,parkour,q12,8,83,linear,0.1,3686,8,0.05272865295410156,16.598817972818342,18.972281388442497,2.3734634156241547
stage79_00029696,parkour,q12,8,83,linear,0.25,9216,8,0.1318359375,16.598817972818342,21.43810935569563,4.839291382877288
stage79_00029696,parkour,q12,8,83,stage65_adapter,0.0,0,8,0.0,16.973858945248693,16.973858945248693,0.0
stage79_00029696,parkour,q12,8,83,stage65_adapter,0.1,3686,8,0.05272865295410156,16.973858945248693,19.366655889314583,2.392796944065889
stage79_00029696,parkour,q12,8,83,stage65_adapter,0.25,9216,8,0.1318359375,16.973858945248693,21.593534364852268,4.619675419603574
stage79_00027304,judo,q12,16,9,linear,0.0,0,8,0.0,24.158958063438494,24.158958063438494,0.0
stage79_00027304,judo,q12,16,9,linear,0.1,3686,8,0.05272865295410156,24.158958063438494,30.846710427726507,6.687752364288013
stage79_00027304,judo,q12,16,9,linear,0.25,9216,8,0.1318359375,24.158958063438494,31.728780636312077,7.5698225728735835
stage79_00027304,judo,q12,16,9,stage65_adapter,0.0,0,8,0.0,23.08400204611761,23.08400204611761,0.0
stage79_00027304,judo,q12,16,9,stage65_adapter,0.1,3686,8,0.05272865295410156,23.08400204611761,26.719606886193322,3.635604840075711
stage79_00027304,judo,q12,16,9,stage65_adapter,0.25,9216,8,0.1318359375,23.08400204611761,27.71534844246771,4.6313463963501
stage79_00026745,horsejump-high,q12,16,41,linear,0.0,0,8,0.0,15.603721029251016,15.603721029251016,0.0
stage79_00026745,horsejump-high,q12,16,41,linear,0.1,3686,8,0.05272865295410156,15.603721029251016,18.985229431092566,3.3815084018415504
stage79_00026745,horsejump-high,q12,16,41,linear,0.25,9216,8,0.1318359375,15.603721029251016,22.540216997918222,6.936495968667206
stage79_00026745,horsejump-high,q12,16,41,stage65_adapter,0.0,0,8,0.0,16.04432040174668,16.04432040174668,0.0
stage79_00026745,horsejump-high,q12,16,41,stage65_adapter,0.1,3686,8,0.05272865295410156,16.04432040174668,19.696619144060353,3.652298742313672
stage79_00026745,horsejump-high,q12,16,41,stage65_adapter,0.25,9216,8,0.1318359375,16.04432040174668,22.711674145701977,6.667353743955296
