target_key,category,sequence,target_index,schedule,final_type,row_source,psnr,ssim,ms_ssim,lpips,payload_bytes,status_note
breakdance:00006,false_negative_residual,breakdance,6,stage165_adaptive,middle_recovery,stage170,25.242663608239635,0.8441993594169617,0.9827916026115417,0.1973235011100769,142447.0,Stage174 rendered/reused middle recovery
breakdance:00006,false_negative_residual,breakdance,6,uniform_gap4,middle_recovery,stage170,25.43353421114179,0.8589251041412354,0.9844872355461121,0.17762990295886993,146547.0,Stage174 rendered/reused middle recovery
breakdance:00025,false_negative_residual,breakdance,25,uniform_gap8,middle_recovery,stage170,25.860161576534495,0.8725733160972595,0.986964225769043,0.1530057042837143,120437.0,Stage174 rendered/reused middle recovery
breakdance:00025,false_negative_residual,breakdance,25,stage165_adaptive,middle_recovery,stage170,25.860161576534495,0.8725733160972595,0.986964225769043,0.1530057042837143,120437.0,Stage174 rendered/reused middle recovery
breakdance:00025,false_negative_residual,breakdance,25,uniform_gap4,middle_recovery,stage170,25.713629052613758,0.8658719062805176,0.9860079288482666,0.16875958442687988,121358.0,Stage174 rendered/reused middle recovery
breakdance:00055,false_negative_residual,breakdance,55,uniform_gap8,middle_recovery,stage170,25.646853679285627,0.8635783195495605,0.9855007529258728,0.16487006843090057,124240.0,Stage174 rendered/reused middle recovery
breakdance:00055,false_negative_residual,breakdance,55,stage165_adaptive,middle_recovery,stage170,25.646853679285627,0.8635783195495605,0.9855007529258728,0.16487006843090057,124240.0,Stage174 rendered/reused middle recovery
breakdance:00055,false_negative_residual,breakdance,55,uniform_gap4,middle_recovery,stage170,25.543566837921947,0.8591480255126953,0.9847486615180969,0.17139467597007751,126100.0,Stage174 rendered/reused middle recovery
breakdance:00061,false_negative_residual,breakdance,61,uniform_gap8,middle_recovery,stage170,25.42756354330215,0.8515632152557373,0.9833353161811829,0.17937248945236206,155857.0,Stage174 rendered/reused middle recovery
breakdance:00061,false_negative_residual,breakdance,61,stage165_adaptive,middle_recovery,stage170,25.42756354330215,0.8515632152557373,0.9833353161811829,0.17937248945236206,155857.0,Stage174 rendered/reused middle recovery
breakdance:00061,false_negative_residual,breakdance,61,uniform_gap4,middle_recovery,stage170,25.777127938056964,0.8653737902641296,0.9862820506095886,0.16307392716407776,120633.0,Stage174 rendered/reused middle recovery
camel:00047,positive_promoted,camel,47,uniform_gap8,middle_recovery,stage170,25.63080698204644,0.8051636815071106,0.9805572628974915,0.18640795350074768,228886.0,Stage174 rendered/reused middle recovery
camel:00047,positive_promoted,camel,47,stage165_adaptive,q12_target_keyframe,stage170,25.67376262905522,0.8087899088859558,0.9825831055641174,0.1785331666469574,0.0,Target is transmitted as q12 keyframe; PSNR is keyframe render quality
camel:00047,positive_promoted,camel,47,uniform_gap4,middle_recovery,stage170,25.6279590122115,0.8051662445068359,0.9805587530136108,0.18633119761943817,230502.0,Stage174 rendered/reused middle recovery
camel:00051,positive_promoted_extension,camel,51,uniform_gap8,middle_recovery,stage168,25.462231766778423,0.7953999042510986,0.9788277745246887,0.1916840374469757,249508.0,Stage174 rendered/reused middle recovery
