sample,codec,bits,frame_gap,method,total_frames,keyframe_count,keyframe_ratio,static_anchor_mib,static_anchor_mib_with_metadata,static_anchor_mib_per_frame,static_anchor_mib_per_frame_with_metadata,all_psnr,middle_psnr,given_psnr,all_ssim,middle_ssim,given_ssim
DAVIS/val/bmx-trees,q12,12,8,linear,80,11,0.1375,0.685546875,0.6855964660644531,0.0942626953125,0.0942695140838623,17.877985580548646,15.840377470363261,30.659345544438793,0.3110779844224453,0.21839964648951654,0.8924239223653619
DAVIS/val/bmx-trees,q12,12,8,adapter,80,11,0.1375,0.685546875,0.6855964660644531,0.0942626953125,0.0942695140838623,18.174113097511782,16.18371372191472,30.659345544438793,0.3452608358114958,0.25803193795508234,0.8924239223653619
DAVIS/val/bmx-trees,q12,12,16,linear,80,6,0.075,0.685546875,0.6855964660644531,0.051416015625,0.051419734954833984,16.068369010238946,14.886178666606304,30.648716581708218,0.24946291986852884,0.19777421633134018,0.8869569301605225
DAVIS/val/bmx-trees,q12,12,16,adapter,80,6,0.075,0.685546875,0.6855964660644531,0.051416015625,0.051419734954833984,16.292757037558836,15.128760317762941,30.648716581708218,0.28316786885261536,0.23421199901683912,0.8869569301605225
DAVIS/val/car-shadow,q8,8,4,linear,40,11,0.275,0.45703125,0.4570808410644531,0.12568359375,0.12569723129272461,20.559140758854273,18.21710407685687,26.73360110230197,0.5488148547708989,0.4509070710889224,0.8069353753870184
DAVIS/val/car-shadow,q8,8,4,adapter,40,11,0.275,0.45703125,0.4570808410644531,0.12568359375,0.12569723129272461,21.10255897802341,18.966646448124646,26.73360110230197,0.6039725966751576,0.5269867150947966,0.8069353753870184
DAVIS/val/car-shadow,q8,8,8,linear,40,6,0.15,0.45703125,0.4570808410644531,0.0685546875,0.06856212615966797,18.604637539837704,17.179084176198366,26.682773267127274,0.4643385991454124,0.40433857370825377,0.8043387432893118
DAVIS/val/car-shadow,q8,8,8,adapter,40,6,0.15,0.45703125,0.4570808410644531,0.0685546875,0.06856212615966797,19.18506378945881,17.861938587517315,26.682773267127274,0.5307488605380059,0.48246829299365773,0.8043387432893118
DAVIS/val/car-shadow,q8,8,16,linear,40,4,0.1,0.45703125,0.4570808410644531,0.045703125,0.045708084106445314,17.573439028143355,16.567877238571377,26.623495134291147,0.4189384900033474,0.37648849603202605,0.8009884357452393
DAVIS/val/car-shadow,q8,8,16,adapter,40,4,0.1,0.45703125,0.4570808410644531,0.045703125,0.045708084106445314,18.12073768533537,17.17598685767362,26.623495134291147,0.49025590121746065,0.45573006404770744,0.8009884357452393
DAVIS/val/car-shadow,q10,10,4,linear,40,11,0.275,0.5712890625,0.5713386535644531,0.1571044921875,0.1571181297302246,21.343529985614417,18.254234647444743,29.488035877152672,0.609772939234972,0.4968784112354805,0.9074039675972678
