keep_fraction,side_bits,group_count,mean_keep_gaussians,mean_raw_deterministic_payload_bytes,mean_compressed_deterministic_payload_bytes,mean_compressed_deterministic_mib_per_intermediate_frame,mean_compressed_ratio_vs_raw,groups_below_stage96_entropy_reference,mean_ratio_vs_stage96_entropy_reference,max_ratio_vs_stage96_entropy_reference,mean_compressed_minus_stage96_entropy_reference_bytes,max_decoded_max_abs_diff_vs_raw_deterministic,comparison_note
0.1,2,6,3686.0,12050.0,6340.708333333333,0.006046970685323079,0.5261998616874136,6,0.1941064209982787,0.20474431037195462,-26363.920808966865,0.0,cross_setting_rate_only_quality_unknown
0.1,3,6,3686.0,18040.0,12120.455555555556,0.01155896716647678,0.6718656072924366,6,0.37036436735948325,0.3874789181178214,-20584.17358674464,0.0,cross_setting_rate_only_quality_unknown
0.1,4,6,3686.0,24029.0,14982.574999999999,0.01428849697113037,0.6235205376836322,6,0.4578177851251258,0.4795912560207484,-17722.054142300196,0.0,cross_setting_rate_only_quality_unknown
0.1,5,6,3686.0,30019.0,24537.56111111111,0.023400841818915472,0.8174010163933213,6,0.7493261548085028,0.7730317895516859,-8167.068031189083,0.0,cross_setting_rate_only_quality_unknown
0.1,6,6,3686.0,36009.0,29235.55,0.02788119316101074,0.8118956372018108,6,0.8929552097900619,0.9139598369766582,-3469.079142300195,0.0,stage115_q6_top10_setting
0.1,8,6,3686.0,47988.0,35831.40277777778,0.03417148854997423,0.7466742264269771,0,1.0950602741569904,1.107651426454242,3126.773635477583,0.0,cross_setting_rate_only_quality_unknown
0.15,2,6,5530.0,18043.0,9129.680555555555,0.008706741862826876,0.5059957077844901,6,0.2794093211541422,0.29691637115583774,-23574.94858674464,0.0,cross_setting_rate_only_quality_unknown
0.15,3,6,5530.0,27029.0,17546.752777777776,0.01673388746049669,0.6491824624580184,6,0.5360008491357168,0.5650356428306781,-15157.876364522419,0.0,cross_setting_rate_only_quality_unknown
0.15,4,6,5530.0,36015.0,21636.180555555555,0.020633869700961642,0.6007547009733599,6,0.6610112510066021,0.6955731752500927,-11068.44858674464,0.0,cross_setting_rate_only_quality_unknown
0.15,5,6,5530.0,45002.0,36014.88333333333,0.03434646924336751,0.8002951720664266,0,1.0994038011687295,1.14100244535013,3310.2541910331383,0.0,cross_setting_rate_only_quality_unknown
0.15,6,6,5530.0,53988.0,43113.72222222222,0.041116449568006724,0.7985797255357158,0,1.3165310781963706,1.3537292330492776,10409.093079922028,0.0,cross_setting_rate_only_quality_unknown
0.15,8,6,5530.0,71960.0,52942.79444444445,0.05049018330044217,0.735725325798283,0,1.6180618294299496,1.6376915894775845,20238.165302144247,0.0,cross_setting_rate_only_quality_unknown
0.2,2,6,7373.0,24033.0,11817.727777777778,0.011270263459947374,0.49172919642898427,6,0.3616681010295503,0.3823277896596856,-20886.90136452242,0.0,cross_setting_rate_only_quality_unknown
0.2,3,6,7373.0,36014.0,22663.67222222222,0.021613762113783092,0.6293017221697735,6,0.6922090137261682,0.7307657650981845,-10040.956920077972,0.0,cross_setting_rate_only_quality_unknown
0.2,4,6,7373.0,47995.0,28043.888888888887,0.02674473656548394,0.5843085506592122,6,0.856767582188788,0.8963100407558355,-4660.740253411306,0.0,cross_setting_rate_only_quality_unknown
0.2,5,6,7373.0,59976.0,47111.169444444444,0.04492871231502957,0.7855003575504275,0,1.4378235108216428,1.4958737310114858,14406.540302144247,0.0,cross_setting_rate_only_quality_unknown
0.2,6,6,7373.0,71957.0,56646.330555555556,0.05402215056949192,0.7872247391574908,0,1.7294906257938811,1.7805456835865137,23941.70141325536,0.0,cross_setting_rate_only_quality_unknown
0.2,8,6,7373.0,95919.0,69727.56666666667,0.06649738947550456,0.726942176906209,0,2.1310514103964384,2.1610154049760086,37022.93752436647,0.0,cross_setting_rate_only_quality_unknown
