base_method,codec,reference_gap,keep_fraction,side_bits,task_count,selector_policy,selected_candidate,zlib_level,mean_keep_gaussians,mean_raw_deterministic_payload_bytes,mean_compressed_deterministic_payload_bytes,mean_raw_deterministic_mib_per_intermediate_frame,mean_compressed_deterministic_mib_per_intermediate_frame,mean_compressed_savings_bytes_vs_raw,mean_compressed_ratio_vs_raw,mean_stage96_entropy_reference_bytes,mean_stage96_entropy_reference_mib_per_intermediate_frame,mean_compressed_minus_stage96_entropy_reference_bytes,mean_compressed_ratio_vs_stage96_entropy_reference,compressed_below_stage96_entropy_reference_count,max_decoded_max_abs_diff_vs_raw_deterministic,comparison_note
linear,q12,4,0.15,5,3,strict_safe_endpoint_selector_v1,endpoint_diff_baseline,9,5530.0,45002.0,31343.333333333332,0.04291725158691406,0.029891331990559895,13658.666666666666,0.6964875635156956,29869.833333333332,0.028486092885335285,1473.5000000000011,1.0493307071236868,1,0.0,cross_setting_rate_only_quality_unknown
linear,q12,4,0.15,6,3,strict_safe_endpoint_selector_v1,endpoint_diff_baseline,9,5530.0,53988.0,37896.666666666664,0.051486968994140625,0.03614107767740885,16091.333333333334,0.7019461114815639,29869.833333333332,0.028486092885335285,8026.833333333335,1.2687270880877586,0,0.0,cross_setting_rate_only_quality_unknown
linear,q12,4,0.15,8,3,strict_safe_endpoint_selector_v1,endpoint_diff_baseline,9,5530.0,71960.0,47642.333333333336,0.06862640380859375,0.04543526967366537,24317.666666666668,0.6620668890124143,29869.833333333332,0.028486092885335285,17772.5,1.594998298171511,0,0.0,cross_setting_rate_only_quality_unknown
linear,q12,4,0.2,2,3,strict_safe_endpoint_selector_v1,endpoint_diff_baseline,9,7373.0,24033.0,10873.0,0.022919654846191406,0.010369300842285156,13160.0,0.4524195897307868,29869.833333333332,0.028486092885335285,-18996.833333333332,0.36401274418448937,3,0.0,cross_setting_rate_only_quality_unknown
linear,q12,4,0.2,3,3,strict_safe_endpoint_selector_v1,endpoint_diff_baseline,9,7373.0,36014.0,19960.333333333332,0.03434562683105469,0.01903565724690755,16053.666666666666,0.5542381666388997,29869.833333333332,0.028486092885335285,-9909.499999999998,0.6682438803921459,3,0.0,cross_setting_rate_only_quality_unknown
linear,q12,4,0.2,4,3,strict_safe_endpoint_selector_v1,endpoint_diff_baseline,9,7373.0,47995.0,24664.333333333332,0.04577159881591797,0.02352174123128255,23330.666666666668,0.5138938083828176,29869.833333333332,0.028486092885335285,-5205.499999999999,0.8257271829437727,2,0.0,cross_setting_rate_only_quality_unknown
linear,q12,4,0.2,5,3,strict_safe_endpoint_selector_v1,endpoint_diff_baseline,9,7373.0,59976.0,41107.666666666664,0.05719757080078125,0.03920332590738932,18868.333333333332,0.685401938553199,29869.833333333332,0.028486092885335285,11237.833333333334,1.3762268509477231,0,0.0,cross_setting_rate_only_quality_unknown
linear,q12,4,0.2,6,3,strict_safe_endpoint_selector_v1,endpoint_diff_baseline,9,7373.0,71957.0,49947.0,0.06862354278564453,0.04763317108154297,22010.0,0.6941228789415902,29869.833333333332,0.028486092885335285,20077.166666666668,1.6721552960344608,0,0.0,cross_setting_rate_only_quality_unknown
linear,q12,4,0.2,8,3,strict_safe_endpoint_selector_v1,endpoint_diff_baseline,9,7373.0,95919.0,63131.666666666664,0.0914754867553711,0.06020704905192057,32787.333333333336,0.6581768645072058,29869.833333333332,0.028486092885335285,33261.833333333336,2.1135593882345067,0,0.0,cross_setting_rate_only_quality_unknown
linear,q12,8,0.025,2,5,strict_safe_endpoint_selector_v1,endpoint_diff_baseline,9,922.0,3067.0,1919.4,0.0029249191284179688,0.0018304824829101563,1147.6,0.6258232800782524,30440.894736842107,0.02903069947895251,-28521.494736842105,0.06305333718318676,5,0.0,cross_setting_rate_only_quality_unknown
linear,q12,8,0.025,3,5,strict_safe_endpoint_selector_v1,endpoint_diff_baseline,9,922.0,4565.0,3375.6,0.004353523254394531,0.0032192230224609374,1189.4,0.7394523548740416,30440.894736842107,0.02903069947895251,-27065.29473684211,0.11089030165445721,5,0.0,cross_setting_rate_only_quality_unknown
linear,q12,8,0.025,4,5,strict_safe_endpoint_selector_v1,endpoint_diff_baseline,9,922.0,6063.0,4136.4,0.005782127380371094,0.003944778442382812,1926.6,0.6822365165759525,30440.894736842107,0.02903069947895251,-26304.494736842105,0.13588299673050622,5,0.0,cross_setting_rate_only_quality_unknown
