task_id,sequence,codec,reference_gap,target_index,base_method,selector_policy,selected_candidate,keep_fraction,side_bits,zlib_level,keep_gaussians,raw_deterministic_payload_bytes,compressed_deterministic_payload_bytes,raw_deterministic_mib_per_intermediate_frame,compressed_deterministic_mib_per_intermediate_frame,compressed_savings_bytes_vs_raw,compressed_ratio_vs_raw,metadata_zlib_bytes,residual_zlib_bytes,omitted_index_bytes_vs_fixed_aligned,stage96_entropy_reference_bytes,stage96_entropy_reference_mib_per_intermediate_frame,compressed_minus_stage96_entropy_reference_bytes,compressed_ratio_vs_stage96_entropy_reference,compressed_below_stage96_entropy_reference,decoded_max_abs_diff_vs_raw_deterministic,comparison_note
stage79_00021399,bike-packing,q12,16,9,stage65_adapter,strict_safe_endpoint_selector_v1,endpoint_diff_baseline,0.05,2,9,1843,6060,3672,0.005779266357421875,0.00350189208984375,2388,0.6059405940594059,61,3585,3686,35406.434782608696,0.03376620748768682,-31734.434782608696,0.10370996183449828,1,0.0,cross_setting_rate_only_quality_unknown
stage79_00021399,bike-packing,q12,16,9,stage65_adapter,strict_safe_endpoint_selector_v1,endpoint_diff_baseline,0.05,3,9,1843,9055,7450,0.008635520935058594,0.0071048736572265625,1605,0.8227498619547211,61,7363,3686,35406.434782608696,0.03376620748768682,-27956.434782608696,0.21041372975681158,1,0.0,cross_setting_rate_only_quality_unknown
stage79_00021399,bike-packing,q12,16,9,stage65_adapter,strict_safe_endpoint_selector_v1,endpoint_diff_baseline,0.05,4,9,1843,12050,9437,0.011491775512695312,0.008999824523925781,2613,0.7831535269709543,61,9350,3686,35406.434782608696,0.03376620748768682,-25969.434782608696,0.26653347217651424,1,0.0,cross_setting_rate_only_quality_unknown
stage79_00021399,bike-packing,q12,16,9,stage65_adapter,strict_safe_endpoint_selector_v1,endpoint_diff_baseline,0.05,5,9,1843,15045,14230,0.014348030090332031,0.013570785522460938,815,0.9458291791292789,61,14143,3686,35406.434782608696,0.03376620748768682,-21176.434782608696,0.40190434556233945,1,0.0,cross_setting_rate_only_quality_unknown
stage79_00021399,bike-packing,q12,16,9,stage65_adapter,strict_safe_endpoint_selector_v1,endpoint_diff_baseline,0.05,6,9,1843,18040,16816,0.01720428466796875,0.0160369873046875,1224,0.9321507760532151,61,16729,3686,35406.434782608696,0.03376620748768682,-18590.434782608696,0.4749419167235629,1,0.0,cross_setting_rate_only_quality_unknown
stage79_00021399,bike-packing,q12,16,9,stage65_adapter,strict_safe_endpoint_selector_v1,endpoint_diff_baseline,0.05,8,9,1843,24029,20647,0.02291584014892578,0.019690513610839844,3382,0.859253402139082,61,20560,3686,35406.434782608696,0.03376620748768682,-14759.434782608696,0.5831425876897838,1,0.0,cross_setting_rate_only_quality_unknown
stage79_00021399,bike-packing,q12,16,9,stage65_adapter,strict_safe_endpoint_selector_v1,endpoint_diff_baseline,0.1,2,9,3686,12050,6655,0.011491775512695312,0.006346702575683594,5395,0.5522821576763486,61,6568,7372,35406.434782608696,0.03376620748768682,-28751.434782608696,0.1879601840981988,1,0.0,cross_setting_rate_only_quality_unknown
stage79_00021399,bike-packing,q12,16,9,stage65_adapter,strict_safe_endpoint_selector_v1,endpoint_diff_baseline,0.1,3,9,3686,18040,13951,0.01720428466796875,0.013304710388183594,4089,0.7733370288248337,61,13864,7372,35406.434782608696,0.03376620748768682,-21455.434782608696,0.394024421991581,1,0.0,cross_setting_rate_only_quality_unknown
stage79_00021399,bike-packing,q12,16,9,stage65_adapter,strict_safe_endpoint_selector_v1,endpoint_diff_baseline,0.1,4,9,3686,24029,17270,0.02291584014892578,0.016469955444335938,6759,0.7187148861792001,61,17183,7372,35406.434782608696,0.03376620748768682,-18136.434782608696,0.487764444684582,1,0.0,cross_setting_rate_only_quality_unknown
stage79_00021399,bike-packing,q12,16,9,stage65_adapter,strict_safe_endpoint_selector_v1,endpoint_diff_baseline,0.1,5,9,3686,30019,27895,0.02862834930419922,0.026602745056152344,2124,0.9292448116193077,61,27808,7372,35406.434782608696,0.03376620748768682,-7511.434782608696,0.7878511398075515,1,0.0,cross_setting_rate_only_quality_unknown
