stage97_task_id,source_task_id,task_split,sequence,codec,reference_gap,target_index,base_method,feature_mode,objective,candidate,keep_fraction,keep_gaussians,precision_at_keep,energy_recall_total,oracle_energy_recall_total,relative_energy_recall_vs_oracle
stage97_00014948,stage79_00030048,eval,pigs,q12,4,63,stage65_adapter,endpoint_only,endpoint_diff_baseline,endpoint_diff_baseline,0.1,3686,0.31172001361846924,0.12210234254598618,0.17487986385822296,0.6982069611549377
stage97_00014948,stage79_00030048,eval,pigs,q12,4,63,stage65_adapter,stage100_base,topk_bce,mlp_selector,0.1,3686,0.5029842853546143,0.1407201737165451,0.17487986385822296,0.8046676516532898
stage97_00014948,stage79_00030048,eval,pigs,q12,4,63,stage65_adapter,stage100_base,energy_regression,mlp_selector,0.1,3686,0.4688008725643158,0.13960418105125427,0.17487986385822296,0.7982861995697021
stage97_00014948,stage79_00030048,eval,pigs,q12,4,63,stage65_adapter,gap_endpoint_norms,topk_bce,mlp_selector,0.1,3686,0.47856754064559937,0.1398949772119522,0.17487986385822296,0.799949049949646
stage97_00014948,stage79_00030048,eval,pigs,q12,4,63,stage65_adapter,gap_endpoint_norms,energy_regression,mlp_selector,0.1,3686,0.4709712266921997,0.14063215255737305,0.17487986385822296,0.8041643500328064
stage97_00014948,stage79_00030048,eval,pigs,q12,4,63,stage65_adapter,gap_endpoint_rank,topk_bce,mlp_selector,0.1,3686,0.486163854598999,0.14035964012145996,0.17487986385822296,0.8026060461997986
stage97_00014948,stage79_00030048,eval,pigs,q12,4,63,stage65_adapter,gap_endpoint_rank,energy_regression,mlp_selector,0.1,3686,0.45604991912841797,0.13875877857208252,0.17487986385822296,0.7934520244598389
stage97_00015544,stage79_00031098,eval,soapbox,q12,16,87,linear,endpoint_only,endpoint_diff_baseline,endpoint_diff_baseline,0.1,3686,0.08979924023151398,0.13540205359458923,0.4715755879878998,0.28712692856788635
stage97_00015544,stage79_00031098,eval,soapbox,q12,16,87,linear,stage100_base,topk_bce,mlp_selector,0.1,3686,0.14568637311458588,0.15774041414260864,0.4715755879878998,0.33449655771255493
stage97_00015544,stage79_00031098,eval,soapbox,q12,16,87,linear,stage100_base,energy_regression,mlp_selector,0.1,3686,0.142702117562294,0.15681253373622894,0.4715755879878998,0.3325289487838745
stage97_00015544,stage79_00031098,eval,soapbox,q12,16,87,linear,gap_endpoint_norms,topk_bce,mlp_selector,0.1,3686,0.15572436153888702,0.16379955410957336,0.4715755879878998,0.3473452925682068
stage97_00015544,stage79_00031098,eval,soapbox,q12,16,87,linear,gap_endpoint_norms,energy_regression,mlp_selector,0.1,3686,0.14351600408554077,0.15679776668548584,0.4715755879878998,0.33249762654304504
stage97_00015544,stage79_00031098,eval,soapbox,q12,16,87,linear,gap_endpoint_rank,topk_bce,mlp_selector,0.1,3686,0.15138360857963562,0.1610068827867508,0.4715755879878998,0.34142327308654785
stage97_00015544,stage79_00031098,eval,soapbox,q12,16,87,linear,gap_endpoint_rank,energy_regression,mlp_selector,0.1,3686,0.14351600408554077,0.15773087739944458,0.4715755879878998,0.3344763517379761
stage97_00015544,stage79_00031098,eval,soapbox,q12,16,87,stage65_adapter,endpoint_only,endpoint_diff_baseline,endpoint_diff_baseline,0.1,3686,0.11421595513820648,0.11177577078342438,0.26095694303512573,0.42833033204078674
stage97_00015544,stage79_00031098,eval,soapbox,q12,16,87,stage65_adapter,stage100_base,topk_bce,mlp_selector,0.1,3686,0.2539338171482086,0.14734847843647003,0.26095694303512573,0.5646467208862305
stage97_00015544,stage79_00031098,eval,soapbox,q12,16,87,stage65_adapter,stage100_base,energy_regression,mlp_selector,0.1,3686,0.27129679918289185,0.15011009573936462,0.26095694303512573,0.5752293467521667
stage97_00015544,stage79_00031098,eval,soapbox,q12,16,87,stage65_adapter,gap_endpoint_norms,topk_bce,mlp_selector,0.1,3686,0.26261529326438904,0.1487741470336914,0.26095694303512573,0.5701099634170532
stage97_00015544,stage79_00031098,eval,soapbox,q12,16,87,stage65_adapter,gap_endpoint_norms,energy_regression,mlp_selector,0.1,3686,0.2604449391365051,0.14820244908332825,0.26095694303512573,0.567919135093689
stage97_00015544,stage79_00031098,eval,soapbox,q12,16,87,stage65_adapter,gap_endpoint_rank,topk_bce,mlp_selector,0.1,3686,0.25963103771209717,0.148122638463974,0.26095694303512573,0.5676133036613464
stage97_00015544,stage79_00031098,eval,soapbox,q12,16,87,stage65_adapter,gap_endpoint_rank,energy_regression,mlp_selector,0.1,3686,0.25284862518310547,0.1460607349872589,0.26095694303512573,0.5597119927406311
stage97_00014257,stage79_00028605,eval,mbike-trick,q12,8,58,linear,endpoint_only,endpoint_diff_baseline,endpoint_diff_baseline,0.1,3686,0.3643516004085541,0.3261403739452362,0.7059814929962158,0.4619673192501068
stage97_00014257,stage79_00028605,eval,mbike-trick,q12,8,58,linear,stage100_base,topk_bce,mlp_selector,0.1,3686,0.40070536732673645,0.3854907751083374,0.7059814929962158,0.5460352301597595
stage97_00014257,stage79_00028605,eval,mbike-trick,q12,8,58,linear,stage100_base,energy_regression,mlp_selector,0.1,3686,0.4077591001987457,0.37827005982398987,0.7059814929962158,0.5358073115348816
stage97_00014257,stage79_00028605,eval,mbike-trick,q12,8,58,linear,gap_endpoint_norms,topk_bce,mlp_selector,0.1,3686,0.40070536732673645,0.3850306272506714,0.7059814929962158,0.5453834533691406
stage97_00014257,stage79_00028605,eval,mbike-trick,q12,8,58,linear,gap_endpoint_norms,energy_regression,mlp_selector,0.1,3686,0.4126424193382263,0.38106492161750793,0.7059814929962158,0.5397661924362183
stage97_00014257,stage79_00028605,eval,mbike-trick,q12,8,58,linear,gap_endpoint_rank,topk_bce,mlp_selector,0.1,3686,0.40721648931503296,0.3850100338459015,0.7059814929962158,0.5453543066978455
stage97_00014257,stage79_00028605,eval,mbike-trick,q12,8,58,linear,gap_endpoint_rank,energy_regression,mlp_selector,0.1,3686,0.41020074486732483,0.3760381042957306,0.7059814929962158,0.5326458215713501
stage97_00014257,stage79_00028605,eval,mbike-trick,q12,8,58,stage65_adapter,endpoint_only,endpoint_diff_baseline,endpoint_diff_baseline,0.1,3686,0.3659793734550476,0.1574932187795639,0.25488442182540894,0.617900550365448
stage97_00014257,stage79_00028605,eval,mbike-trick,q12,8,58,stage65_adapter,stage100_base,topk_bce,mlp_selector,0.1,3686,0.49267497658729553,0.1877204328775406,0.25488442182540894,0.736492395401001
stage97_00014257,stage79_00028605,eval,mbike-trick,q12,8,58,stage65_adapter,stage100_base,energy_regression,mlp_selector,0.1,3686,0.4850786626338959,0.18975788354873657,0.25488442182540894,0.7444859743118286
stage97_00014257,stage79_00028605,eval,mbike-trick,q12,8,58,stage65_adapter,gap_endpoint_norms,topk_bce,mlp_selector,0.1,3686,0.49186110496520996,0.18816938996315002,0.25488442182540894,0.7382537722587585
stage97_00014257,stage79_00028605,eval,mbike-trick,q12,8,58,stage65_adapter,gap_endpoint_norms,energy_regression,mlp_selector,0.1,3686,0.48752033710479736,0.18915775418281555,0.25488442182540894,0.7421314716339111
stage97_00014257,stage79_00028605,eval,mbike-trick,q12,8,58,stage65_adapter,gap_endpoint_rank,topk_bce,mlp_selector,0.1,3686,0.4975583255290985,0.18942256271839142,0.25488442182540894,0.743170440196991
stage97_00014257,stage79_00028605,eval,mbike-trick,q12,8,58,stage65_adapter,gap_endpoint_rank,energy_regression,mlp_selector,0.1,3686,0.48941943049430847,0.18877050280570984,0.25488442182540894,0.7406121492385864
stage97_00010864,stage79_00021916,eval,bmx-trees,q12,4,19,linear,endpoint_only,endpoint_diff_baseline,endpoint_diff_baseline,0.1,3686,0.2189365178346634,0.17352792620658875,0.4578790068626404,0.3789820671081543
stage97_00010864,stage79_00021916,eval,bmx-trees,q12,4,19,linear,stage100_base,topk_bce,mlp_selector,0.1,3686,0.2672273516654968,0.20729905366897583,0.4578790068626404,0.45273762941360474
stage97_00010864,stage79_00021916,eval,bmx-trees,q12,4,19,linear,stage100_base,energy_regression,mlp_selector,0.1,3686,0.2750949561595917,0.20929791033267975,0.4578790068626404,0.45710310339927673
stage97_00010864,stage79_00021916,eval,bmx-trees,q12,4,19,linear,gap_endpoint_norms,topk_bce,mlp_selector,0.1,3686,0.2742810547351837,0.2076694816350937,0.4578790068626404,0.4535466432571411
stage97_00010864,stage79_00021916,eval,bmx-trees,q12,4,19,linear,gap_endpoint_norms,energy_regression,mlp_selector,0.1,3686,0.2810634970664978,0.2136782705783844,0.4578790068626404,0.4666697382926941
stage97_00010864,stage79_00021916,eval,bmx-trees,q12,4,19,linear,gap_endpoint_rank,topk_bce,mlp_selector,0.1,3686,0.2639717757701874,0.20489270985126495,0.4578790068626404,0.4474821984767914
stage97_00010864,stage79_00021916,eval,bmx-trees,q12,4,19,linear,gap_endpoint_rank,energy_regression,mlp_selector,0.1,3686,0.2816060781478882,0.21138496696949005,0.4578790068626404,0.4616611897945404
stage97_00010864,stage79_00021916,eval,bmx-trees,q12,4,19,stage65_adapter,endpoint_only,endpoint_diff_baseline,endpoint_diff_baseline,0.1,3686,0.227618008852005,0.1268695443868637,0.22188284993171692,0.5717861652374268
stage97_00010864,stage79_00021916,eval,bmx-trees,q12,4,19,stage65_adapter,stage100_base,topk_bce,mlp_selector,0.1,3686,0.4196961522102356,0.15917915105819702,0.22188284993171692,0.7174018025398254
stage97_00010864,stage79_00021916,eval,bmx-trees,q12,4,19,stage65_adapter,stage100_base,energy_regression,mlp_selector,0.1,3686,0.4218665063381195,0.16156195104122162,0.22188284993171692,0.7281407713890076
stage97_00010864,stage79_00021916,eval,bmx-trees,q12,4,19,stage65_adapter,gap_endpoint_norms,topk_bce,mlp_selector,0.1,3686,0.4175257682800293,0.15776288509368896,0.22188284993171692,0.7110188603401184
stage97_00010864,stage79_00021916,eval,bmx-trees,q12,4,19,stage65_adapter,gap_endpoint_norms,energy_regression,mlp_selector,0.1,3686,0.4264785647392273,0.16112832725048065,0.22188284993171692,0.7261865139007568
stage97_00010864,stage79_00021916,eval,bmx-trees,q12,4,19,stage65_adapter,gap_endpoint_rank,topk_bce,mlp_selector,0.1,3686,0.4156267046928406,0.15755929052829742,0.22188284993171692,0.7101012468338013
stage97_00010864,stage79_00021916,eval,bmx-trees,q12,4,19,stage65_adapter,gap_endpoint_rank,energy_regression,mlp_selector,0.1,3686,0.4196961522102356,0.15963250398635864,0.22188284993171692,0.719444990158081
stage97_00015307,stage79_00030861,eval,soapbox,q12,4,3,linear,endpoint_only,endpoint_diff_baseline,endpoint_diff_baseline,0.1,3686,0.5409657955169678,0.4691872298717499,0.794373631477356,0.5906379818916321
stage97_00015307,stage79_00030861,eval,soapbox,q12,4,3,linear,stage100_base,topk_bce,mlp_selector,0.1,3686,0.508952796459198,0.5371100902557373,0.794373631477356,0.6761428713798523
