stage97_task_id,source_task_id,task_split,sequence,codec,reference_gap,target_index,base_method,objective,candidate,keep_fraction,keep_gaussians,precision_at_keep,energy_recall_total,oracle_energy_recall_total,relative_energy_recall_vs_oracle
stage97_00015307,stage79_00030861,eval,soapbox,q12,4,3,linear,energy_weighted_bce,mlp_selector,0.1,3686,0.4693434536457062,0.5181766748428345,0.794373631477356,0.6523085236549377
stage97_00015307,stage79_00030861,eval,soapbox,q12,4,3,linear,hybrid_bce_energy,mlp_selector,0.1,3686,0.5056972503662109,0.5389201641082764,0.794373631477356,0.6784214973449707
stage97_00015307,stage79_00030861,eval,soapbox,q12,4,3,linear,energy_regression,mlp_selector,0.1,3686,0.5653825402259827,0.5358464121818542,0.794373631477356,0.6745521426200867
stage97_00015307,stage79_00030861,eval,soapbox,q12,4,3,stage65_adapter,endpoint_diff_baseline,endpoint_diff_baseline,0.1,3686,0.3657080829143524,0.1244654580950737,0.16845475137233734,0.7388657927513123
stage97_00015307,stage79_00030861,eval,soapbox,q12,4,3,stage65_adapter,topk_bce,mlp_selector,0.1,3686,0.45903417468070984,0.13577352464199066,0.16845475137233734,0.8059940338134766
stage97_00015307,stage79_00030861,eval,soapbox,q12,4,3,stage65_adapter,energy_weighted_bce,mlp_selector,0.1,3686,0.460119366645813,0.13541391491889954,0.16845475137233734,0.803859293460846
stage97_00015307,stage79_00030861,eval,soapbox,q12,4,3,stage65_adapter,hybrid_bce_energy,mlp_selector,0.1,3686,0.4506239891052246,0.13518691062927246,0.16845475137233734,0.8025116920471191
stage97_00015307,stage79_00030861,eval,soapbox,q12,4,3,stage65_adapter,energy_regression,mlp_selector,0.1,3686,0.44926750659942627,0.13624553382396698,0.16845475137233734,0.8087960481643677
stage97_00013876,stage79_00027779,eval,lab-coat,q12,16,18,linear,endpoint_diff_baseline,endpoint_diff_baseline,0.1,3686,0.15762344002723694,0.15618087351322174,0.6438446044921875,0.24257542192935944
stage97_00013876,stage79_00027779,eval,lab-coat,q12,16,18,linear,topk_bce,mlp_selector,0.1,3686,0.2897449731826782,0.25981706380844116,0.6438446044921875,0.4035400152206421
stage97_00013876,stage79_00027779,eval,lab-coat,q12,16,18,linear,energy_weighted_bce,mlp_selector,0.1,3686,0.2995116710662842,0.2650333642959595,0.6438446044921875,0.41164180636405945
stage97_00013876,stage79_00027779,eval,lab-coat,q12,16,18,linear,hybrid_bce_energy,mlp_selector,0.1,3686,0.29788389801979065,0.26338717341423035,0.6438446044921875,0.4090850055217743
stage97_00013876,stage79_00027779,eval,lab-coat,q12,16,18,linear,energy_regression,mlp_selector,0.1,3686,0.28730329871177673,0.2519781291484833,0.6438446044921875,0.39136481285095215
stage97_00013876,stage79_00027779,eval,lab-coat,q12,16,18,stage65_adapter,endpoint_diff_baseline,endpoint_diff_baseline,0.1,3686,0.1519262045621872,0.12079444527626038,0.32906678318977356,0.3670818507671356
stage97_00013876,stage79_00027779,eval,lab-coat,q12,16,18,stage65_adapter,topk_bce,mlp_selector,0.1,3686,0.39799240231513977,0.1993609070777893,0.32906678318977356,0.6058372259140015
stage97_00013876,stage79_00027779,eval,lab-coat,q12,16,18,stage65_adapter,energy_weighted_bce,mlp_selector,0.1,3686,0.4107433557510376,0.2029014378786087,0.32906678318977356,0.616596519947052
stage97_00013876,stage79_00027779,eval,lab-coat,q12,16,18,stage65_adapter,hybrid_bce_energy,mlp_selector,0.1,3686,0.3974498212337494,0.19751030206680298,0.32906678318977356,0.6002134084701538
stage97_00013876,stage79_00027779,eval,lab-coat,q12,16,18,stage65_adapter,energy_regression,mlp_selector,0.1,3686,0.39419424533843994,0.19719374179840088,0.32906678318977356,0.5992514491081238
stage97_00011683,stage79_00023459,eval,car-shadow,q12,4,9,linear,endpoint_diff_baseline,endpoint_diff_baseline,0.1,3686,0.31551817059516907,0.2791943848133087,0.7185969948768616,0.3885270655155182
stage97_00011683,stage79_00023459,eval,car-shadow,q12,4,9,linear,topk_bce,mlp_selector,0.1,3686,0.32501357793807983,0.30936214327812195,0.7185969948768616,0.430508553981781
stage97_00011683,stage79_00023459,eval,car-shadow,q12,4,9,linear,energy_weighted_bce,mlp_selector,0.1,3686,0.31795984506607056,0.31403374671936035,0.7185969948768616,0.4370095431804657
stage97_00011683,stage79_00023459,eval,car-shadow,q12,4,9,linear,hybrid_bce_energy,mlp_selector,0.1,3686,0.330168217420578,0.31568142771720886,0.7185969948768616,0.4393024742603302
stage97_00011683,stage79_00023459,eval,car-shadow,q12,4,9,linear,energy_regression,mlp_selector,0.1,3686,0.3345089554786682,0.30566078424453735,0.7185969948768616,0.42535772919654846
stage97_00011683,stage79_00023459,eval,car-shadow,q12,4,9,stage65_adapter,endpoint_diff_baseline,endpoint_diff_baseline,0.1,3686,0.30683666467666626,0.16158072650432587,0.3027016222476959,0.5337953567504883
stage97_00011683,stage79_00023459,eval,car-shadow,q12,4,9,stage65_adapter,topk_bce,mlp_selector,0.1,3686,0.3684210479259491,0.1818893402814865,0.3027016222476959,0.6008865833282471
stage97_00011683,stage79_00023459,eval,car-shadow,q12,4,9,stage65_adapter,energy_weighted_bce,mlp_selector,0.1,3686,0.37140530347824097,0.1838928908109665,0.3027016222476959,0.6075054407119751
stage97_00011683,stage79_00023459,eval,car-shadow,q12,4,9,stage65_adapter,hybrid_bce_energy,mlp_selector,0.1,3686,0.37384697794914246,0.18406066298484802,0.3027016222476959,0.6080597043037415
stage97_00011683,stage79_00023459,eval,car-shadow,q12,4,9,stage65_adapter,energy_regression,mlp_selector,0.1,3686,0.36001086235046387,0.18100015819072723,0.3027016222476959,0.5979490876197815
stage97_00015239,stage79_00030544,eval,shooting,q12,8,5,linear,endpoint_diff_baseline,endpoint_diff_baseline,0.1,3686,0.13537710905075073,0.1306276023387909,0.49843379855155945,0.26207613945007324
stage97_00015239,stage79_00030544,eval,shooting,q12,8,5,linear,topk_bce,mlp_selector,0.1,3686,0.18258275091648102,0.14432400465011597,0.49843379855155945,0.28955501317977905
stage97_00015239,stage79_00030544,eval,shooting,q12,8,5,linear,energy_weighted_bce,mlp_selector,0.1,3686,0.1874660849571228,0.1468883901834488,0.49843379855155945,0.29469990730285645
stage97_00015239,stage79_00030544,eval,shooting,q12,8,5,linear,hybrid_bce_energy,mlp_selector,0.1,3686,0.1717308759689331,0.13913694024085999,0.49843379855155945,0.27914828062057495
stage97_00015239,stage79_00030544,eval,shooting,q12,8,5,linear,energy_regression,mlp_selector,0.1,3686,0.17227347195148468,0.1419733762741089,0.49843379855155945,0.2848389744758606
stage97_00015239,stage79_00030544,eval,shooting,q12,8,5,stage65_adapter,endpoint_diff_baseline,endpoint_diff_baseline,0.1,3686,0.19587628543376923,0.12026755511760712,0.2660045027732849,0.45212602615356445
stage97_00015239,stage79_00030544,eval,shooting,q12,8,5,stage65_adapter,topk_bce,mlp_selector,0.1,3686,0.2501356601715088,0.13552308082580566,0.2660045027732849,0.5094766616821289
stage97_00015239,stage79_00030544,eval,shooting,q12,8,5,stage65_adapter,energy_weighted_bce,mlp_selector,0.1,3686,0.250406950712204,0.13509055972099304,0.2660045027732849,0.5078506469726562
stage97_00015239,stage79_00030544,eval,shooting,q12,8,5,stage65_adapter,hybrid_bce_energy,mlp_selector,0.1,3686,0.24470971524715424,0.1341775506734848,0.2660045027732849,0.5044183731079102
stage97_00015239,stage79_00030544,eval,shooting,q12,8,5,stage65_adapter,energy_regression,mlp_selector,0.1,3686,0.272381991147995,0.13977432250976562,0.2660045027732849,0.5254584550857544
stage97_00013703,stage79_00027489,eval,kite-surf,q12,8,5,linear,endpoint_diff_baseline,endpoint_diff_baseline,0.1,3686,0.34698861837387085,0.2564000189304352,0.5767329335212708,0.44457322359085083
stage97_00013703,stage79_00027489,eval,kite-surf,q12,8,5,linear,topk_bce,mlp_selector,0.1,3686,0.40911558270454407,0.3148641884326935,0.5767329335212708,0.5459445118904114
stage97_00013703,stage79_00027489,eval,kite-surf,q12,8,5,linear,energy_weighted_bce,mlp_selector,0.1,3686,0.40992945432662964,0.3166368901729584,0.5767329335212708,0.5490182042121887
stage97_00013703,stage79_00027489,eval,kite-surf,q12,8,5,linear,hybrid_bce_energy,mlp_selector,0.1,3686,0.4131850302219391,0.31269511580467224,0.5767329335212708,0.5421835780143738
