step,sample,frame_gap,target_frame_index,normalized_time,rgb_mse,rgb_psnr
40,DAVIS/train/boat,8,4,0.5,0.004277847241610289,23.687747277846434
41,DAVIS/train/boxing-fisheye,2,1,0.5,0.013966611586511135,18.549089444780527
42,DAVIS/train/bmx-bumps,2,1,0.5,0.012905703857541084,18.892183047109462
43,DAVIS/train/bear,2,1,0.5,0.006759266834706068,21.701004086307766
44,DAVIS/train/bear,4,2,0.5,0.01145357545465231,19.410589187535876
45,DAVIS/train/boxing-fisheye,8,4,0.5,0.03189428150653839,14.962871769046583
46,DAVIS/train/bear,8,4,0.5,0.01655746065080166,17.81006268390995
47,DAVIS/train/bmx-bumps,4,2,0.5,0.019633248448371887,17.07007837614227
48,DAVIS/train/bear,16,8,0.5,0.021466802805662155,16.682326331256718
49,DAVIS/train/bmx-bumps,4,2,0.5,0.019633283838629723,17.07007054769764
50,DAVIS/train/bmx-bumps,8,4,0.5,0.03045431710779667,15.163511344531775
51,DAVIS/train/boat,4,2,0.5,0.003160388907417655,25.002594711939814
52,DAVIS/train/boat,2,1,0.5,0.002283484674990177,26.414018987009634
53,DAVIS/train/bear,2,1,0.5,0.006751250475645065,21.706157791134505
54,DAVIS/train/bear,8,4,0.5,0.016552980989217758,17.811237837258677
55,DAVIS/train/bmx-bumps,2,1,0.5,0.012900745496153831,18.89385192374317
56,DAVIS/train/boxing-fisheye,2,1,0.5,0.013957902789115906,18.55179830676789
57,DAVIS/train/bear,16,8,0.5,0.02146371826529503,16.68295040887308
58,DAVIS/train/boxing-fisheye,8,4,0.5,0.031898416578769684,14.962308745657154
59,DAVIS/train/boat,8,4,0.5,0.004271546378731728,23.694148738806938
60,DAVIS/train/bmx-bumps,16,85,0.5555555555555556,0.040171653032302856,13.96080297020214
61,DAVIS/train/boxing-fisheye,16,83,0.5,0.016621802002191544,17.793218952820492
62,DAVIS/train/boat,16,69,0.5,0.00431638490408659,23.648798350114838
63,DAVIS/train/boxing-fisheye,4,2,0.5,0.02228417620062828,16.520034162394285
64,DAVIS/train/bear,4,2,0.5,0.011435111053287983,19.417596133400508
65,DAVIS/train/boat,16,69,0.5,0.004315158352255821,23.650032624634786
66,DAVIS/train/boat,4,2,0.5,0.003155494574457407,25.009325622124617
67,DAVIS/train/boxing-fisheye,4,2,0.5,0.022285006940364838,16.51987226322625
