step,sample,frame_gap,target_frame_index,normalized_time,rgb_mse,rgb_psnr
133,meetroom,8,31,0.875,0.001124601112678647,29.490014911360973
134,robot,16,33,0.0625,0.005050509702414274,22.96664790242611
135,n3dv,2,7,0.5,0.0008838212816044688,30.536355452356958
136,meetroom,2,5,0.5,0.00102823949418962,29.879057191042577
137,robot,2,3,0.5,0.006571946199983358,21.823060004935172
138,robot,4,5,0.25,0.004606233909726143,23.36654011850736
139,robot,8,75,0.75,0.00967902410775423,20.141684284336222
140,meetroom,16,15,0.9375,0.0008849307778291404,30.53090699903987
141,meetroom,8,9,0.125,0.0012022153241559863,29.20017740554751
142,meetroom,2,7,0.5,0.0009598065516911447,30.178162898759876
143,n3dv,16,47,0.9375,0.0010331550147384405,29.85834511980127
144,meetroom,16,49,0.0625,0.0012310890015214682,29.097105486345512
145,n3dv,4,1,0.25,0.0013845604844391346,28.586880673764135
146,n3dv,4,9,0.25,0.0008967902394942939,30.473091271713756
147,meetroom,8,15,0.875,0.0008855299092829227,30.527967656798175
148,robot,8,15,0.875,0.004565162118524313,23.405437951438437
149,meetroom,8,25,0.125,0.0014084764989092946,28.5125039502479
150,n3dv,8,9,0.125,0.000919255951885134,30.365635495336146
151,n3dv,4,13,0.25,0.0009050701628439128,30.43317752115442
152,n3dv,8,7,0.875,0.0009083084296435118,30.417666552813152
153,robot,8,73,0.25,0.0020991647616028786,26.779534726864227
154,robot,8,23,0.875,0.013934984803199768,18.558935005703457
155,robot,16,31,0.9375,0.005900990683585405,22.29075071019473
156,meetroom,4,13,0.25,0.0009848272893577814,30.06639925700933
157,meetroom,4,3,0.75,0.0012164878426119685,29.148922269821718
158,robot,2,7,0.5,0.005490086507052183,22.604208123368995
159,n3dv,8,23,0.875,0.0008509526960551739,30.700945814115457
160,n3dv,16,33,0.0625,0.0009179487824440002,30.371815498689983
161,n3dv,8,25,0.125,0.0008471220498904586,30.720540137834078
162,robot,16,47,0.9375,0.0024557048454880714,26.098238328398416
163,meetroom,16,47,0.9375,0.0010322720045223832,29.86205850675792
164,n3dv,16,1,0.0625,0.0015263797249644995,28.163374113732864
165,meetroom,2,1,0.5,0.0008766286191530526,30.571843551087547
166,meetroom,8,17,0.125,0.0011456005740910769,29.409667773995885
167,robot,2,1,0.5,0.0062898434698581696,22.013601623484867
168,n3dv,4,7,0.75,0.000921613653190434,30.354511000435362
169,robot,16,1,0.0625,0.009730787947773933,20.118519914361656
170,meetroom,2,3,0.5,0.001021109288558364,29.90927773214015
171,robot,16,47,0.9375,0.00245463103055954,26.100137798891893
172,n3dv,2,5,0.5,0.0009720264934003353,30.12321897850712
173,meetroom,4,13,0.25,0.0009830406634137034,30.07428517233041
174,robot,2,1,0.5,0.006289357785135508,22.01393698690076
175,n3dv,2,1,0.5,0.0011879128869622946,29.252154062392812
176,robot,8,15,0.875,0.0045579965226352215,23.412260104853736
177,n3dv,16,17,0.0625,0.0008926763548515737,30.493059686354428
178,robot,2,7,0.5,0.005487102549523115,22.606569231143215
179,robot,8,7,0.875,0.01235137414187193,19.0828472264449
180,n3dv,8,31,0.875,0.0008627463830634952,30.64116852747989
181,n3dv,4,11,0.75,0.0008723764913156629,30.59296046244928
182,meetroom,8,23,0.875,0.0015384015860036016,28.129302810366998
183,robot,4,15,0.75,0.004202907904982567,23.764501262439282
184,meetroom,8,31,0.875,0.0011173126986250281,29.518252653068025
185,robot,4,3,0.75,0.006865024566650391,21.633579042915212
186,robot,4,11,0.75,0.011291181668639183,19.472606049913598
187,meetroom,16,15,0.9375,0.0008768268162384629,30.570861765076312
188,robot,2,3,0.5,0.006565600633621216,21.82725537672695
189,robot,16,75,0.9166666666666666,0.010064751841127872,19.971969287094986
190,n3dv,2,3,0.5,0.0009784449357539415,30.094636102421696
191,meetroom,8,1,0.125,0.0009746759315021336,30.111397582042272
192,n3dv,4,13,0.25,0.0009009420173242688,30.453031583732276
193,meetroom,16,31,0.9375,0.0010625520953908563,29.73649767925987
194,meetroom,2,1,0.5,0.0008733354043215513,30.588189335323346
195,n3dv,4,7,0.75,0.0009189355769194663,30.36714934282111
196,n3dv,8,23,0.875,0.0008475211216136813,30.71849469660613
197,robot,8,9,0.125,0.00917933601886034,20.371887320639072
198,meetroom,4,7,0.75,0.0011242287000641227,29.49145331940805
199,robot,16,15,0.9375,0.004576923791319132,23.394263187907725
200,n3dv,16,1,0.0625,0.0015207916731014848,28.179302740594842
201,robot,4,1,0.25,0.008057472296059132,20.938011790442136
