stage97_task_id,source_task_id,task_split,sequence,codec,reference_gap,target_index,base_method,selector_scope,group_key,objective,candidate,keep_fraction,keep_gaussians,precision_at_keep,energy_recall_total,oracle_energy_recall_total,relative_energy_recall_vs_oracle
stage97_00015544,stage79_00031098,eval,soapbox,q12,16,87,linear,group_specific,linear__gap16,topk_bce,mlp_selector,0.1,3686,0.16223548352718353,0.1645829826593399,0.4715755879878998,0.3490065932273865
stage97_00015544,stage79_00031098,eval,soapbox,q12,16,87,linear,group_specific,linear__gap16,energy_regression,mlp_selector,0.1,3686,0.15572436153888702,0.16144806146621704,0.4715755879878998,0.3423588275909424
stage97_00015544,stage79_00031098,eval,soapbox,q12,16,87,stage65_adapter,endpoint_only,stage65_adapter__gap16,endpoint_diff_baseline,endpoint_diff_baseline,0.1,3686,0.11421595513820648,0.11177577078342438,0.26095694303512573,0.42833033204078674
stage97_00015544,stage79_00031098,eval,soapbox,q12,16,87,stage65_adapter,shared,all_groups,topk_bce,mlp_selector,0.1,3686,0.25583288073539734,0.14842315018177032,0.26095694303512573,0.5687649250030518
stage97_00015544,stage79_00031098,eval,soapbox,q12,16,87,stage65_adapter,shared,all_groups,energy_regression,mlp_selector,0.1,3686,0.27563753724098206,0.1508297324180603,0.26095694303512573,0.5779870748519897
stage97_00015544,stage79_00031098,eval,soapbox,q12,16,87,stage65_adapter,group_specific,stage65_adapter__gap16,topk_bce,mlp_selector,0.1,3686,0.2677699327468872,0.15076720714569092,0.26095694303512573,0.5777474641799927
stage97_00015544,stage79_00031098,eval,soapbox,q12,16,87,stage65_adapter,group_specific,stage65_adapter__gap16,energy_regression,mlp_selector,0.1,3686,0.2672273516654968,0.1509905457496643,0.26095694303512573,0.5786032676696777
stage97_00014257,stage79_00028605,eval,mbike-trick,q12,8,58,linear,endpoint_only,linear__gap8,endpoint_diff_baseline,endpoint_diff_baseline,0.1,3686,0.3643516004085541,0.3261403739452362,0.7059814929962158,0.4619673192501068
stage97_00014257,stage79_00028605,eval,mbike-trick,q12,8,58,linear,shared,all_groups,topk_bce,mlp_selector,0.1,3686,0.4012479782104492,0.3837973475456238,0.7059814929962158,0.5436365604400635
stage97_00014257,stage79_00028605,eval,mbike-trick,q12,8,58,linear,shared,all_groups,energy_regression,mlp_selector,0.1,3686,0.40504610538482666,0.37583792209625244,0.7059814929962158,0.5323622822761536
stage97_00014257,stage79_00028605,eval,mbike-trick,q12,8,58,linear,group_specific,linear__gap8,topk_bce,mlp_selector,0.1,3686,0.39826369285583496,0.3863781988620758,0.7059814929962158,0.5472922325134277
stage97_00014257,stage79_00028605,eval,mbike-trick,q12,8,58,linear,group_specific,linear__gap8,energy_regression,mlp_selector,0.1,3686,0.393380343914032,0.36064764857292175,0.7059814929962158,0.5108457803726196
stage97_00014257,stage79_00028605,eval,mbike-trick,q12,8,58,stage65_adapter,endpoint_only,stage65_adapter__gap8,endpoint_diff_baseline,endpoint_diff_baseline,0.1,3686,0.3659793734550476,0.1574932187795639,0.25488442182540894,0.617900550365448
stage97_00014257,stage79_00028605,eval,mbike-trick,q12,8,58,stage65_adapter,shared,all_groups,topk_bce,mlp_selector,0.1,3686,0.49240368604660034,0.18794244527816772,0.25488442182540894,0.7373633980751038
stage97_00014257,stage79_00028605,eval,mbike-trick,q12,8,58,stage65_adapter,shared,all_groups,energy_regression,mlp_selector,0.1,3686,0.4804666340351105,0.1888623982667923,0.25488442182540894,0.7409726977348328
stage97_00014257,stage79_00028605,eval,mbike-trick,q12,8,58,stage65_adapter,group_specific,stage65_adapter__gap8,topk_bce,mlp_selector,0.1,3686,0.4725990295410156,0.18326759338378906,0.25488442182540894,0.7190223336219788
stage97_00014257,stage79_00028605,eval,mbike-trick,q12,8,58,stage65_adapter,group_specific,stage65_adapter__gap8,energy_regression,mlp_selector,0.1,3686,0.48317959904670715,0.18702185153961182,0.25488442182540894,0.7337515950202942
stage97_00010864,stage79_00021916,eval,bmx-trees,q12,4,19,linear,endpoint_only,linear__gap4,endpoint_diff_baseline,endpoint_diff_baseline,0.1,3686,0.2189365178346634,0.17352792620658875,0.4578790068626404,0.3789820671081543
stage97_00010864,stage79_00021916,eval,bmx-trees,q12,4,19,linear,shared,all_groups,topk_bce,mlp_selector,0.1,3686,0.2655995786190033,0.20577701926231384,0.4578790068626404,0.449413537979126
stage97_00010864,stage79_00021916,eval,bmx-trees,q12,4,19,linear,shared,all_groups,energy_regression,mlp_selector,0.1,3686,0.27346718311309814,0.20924250781536102,0.4578790068626404,0.4569821059703827
stage97_00010864,stage79_00021916,eval,bmx-trees,q12,4,19,linear,group_specific,linear__gap4,topk_bce,mlp_selector,0.1,3686,0.23521432280540466,0.18897004425525665,0.4578790068626404,0.4127073884010315
stage97_00010864,stage79_00021916,eval,bmx-trees,q12,4,19,linear,group_specific,linear__gap4,energy_regression,mlp_selector,0.1,3686,0.27346718311309814,0.2087443619966507,0.4578790068626404,0.4558941423892975
stage97_00010864,stage79_00021916,eval,bmx-trees,q12,4,19,stage65_adapter,endpoint_only,stage65_adapter__gap4,endpoint_diff_baseline,endpoint_diff_baseline,0.1,3686,0.227618008852005,0.1268695443868637,0.22188284993171692,0.5717861652374268
stage97_00010864,stage79_00021916,eval,bmx-trees,q12,4,19,stage65_adapter,shared,all_groups,topk_bce,mlp_selector,0.1,3686,0.420238733291626,0.15912052989006042,0.22188284993171692,0.7171375751495361
stage97_00010864,stage79_00021916,eval,bmx-trees,q12,4,19,stage65_adapter,shared,all_groups,energy_regression,mlp_selector,0.1,3686,0.42051002383232117,0.16136415302753448,0.22188284993171692,0.7272493243217468
stage97_00010864,stage79_00021916,eval,bmx-trees,q12,4,19,stage65_adapter,group_specific,stage65_adapter__gap4,topk_bce,mlp_selector,0.1,3686,0.4191535413265228,0.15824733674526215,0.22188284993171692,0.713202178478241
stage97_00010864,stage79_00021916,eval,bmx-trees,q12,4,19,stage65_adapter,group_specific,stage65_adapter__gap4,energy_regression,mlp_selector,0.1,3686,0.4234943091869354,0.16116905212402344,0.22188284993171692,0.7263700366020203
stage97_00015307,stage79_00030861,eval,soapbox,q12,4,3,linear,endpoint_only,linear__gap4,endpoint_diff_baseline,endpoint_diff_baseline,0.1,3686,0.5409657955169678,0.4691872298717499,0.794373631477356,0.5906379818916321
stage97_00015307,stage79_00030861,eval,soapbox,q12,4,3,linear,shared,all_groups,topk_bce,mlp_selector,0.1,3686,0.5086814761161804,0.5342485308647156,0.794373631477356,0.6725406050682068
stage97_00015307,stage79_00030861,eval,soapbox,q12,4,3,linear,shared,all_groups,energy_regression,mlp_selector,0.1,3686,0.5656538009643555,0.5327757596969604,0.794373631477356,0.6706866025924683
stage97_00015307,stage79_00030861,eval,soapbox,q12,4,3,linear,group_specific,linear__gap4,topk_bce,mlp_selector,0.1,3686,0.5265870690345764,0.5353354811668396,0.794373631477356,0.6739089488983154
stage97_00015307,stage79_00030861,eval,soapbox,q12,4,3,linear,group_specific,linear__gap4,energy_regression,mlp_selector,0.1,3686,0.558600127696991,0.5282696485519409,0.794373631477356,0.6650140881538391
stage97_00015307,stage79_00030861,eval,soapbox,q12,4,3,stage65_adapter,endpoint_only,stage65_adapter__gap4,endpoint_diff_baseline,endpoint_diff_baseline,0.1,3686,0.3657080829143524,0.1244654580950737,0.16845475137233734,0.7388657927513123
stage97_00015307,stage79_00030861,eval,soapbox,q12,4,3,stage65_adapter,shared,all_groups,topk_bce,mlp_selector,0.1,3686,0.4693434536457062,0.1361888349056244,0.16845475137233734,0.808459460735321
stage97_00015307,stage79_00030861,eval,soapbox,q12,4,3,stage65_adapter,shared,all_groups,energy_regression,mlp_selector,0.1,3686,0.44302767515182495,0.1349036693572998,0.16845475137233734,0.8008303046226501
stage97_00015307,stage79_00030861,eval,soapbox,q12,4,3,stage65_adapter,group_specific,stage65_adapter__gap4,topk_bce,mlp_selector,0.1,3686,0.46066197752952576,0.1353657990694046,0.16845475137233734,0.8035736680030823
stage97_00015307,stage79_00030861,eval,soapbox,q12,4,3,stage65_adapter,group_specific,stage65_adapter__gap4,energy_regression,mlp_selector,0.1,3686,0.42756375670433044,0.13416695594787598,0.16845475137233734,0.7964569330215454
stage97_00013876,stage79_00027779,eval,lab-coat,q12,16,18,linear,endpoint_only,linear__gap16,endpoint_diff_baseline,endpoint_diff_baseline,0.1,3686,0.15762344002723694,0.15618087351322174,0.6438446044921875,0.24257542192935944
stage97_00013876,stage79_00027779,eval,lab-coat,q12,16,18,linear,shared,all_groups,topk_bce,mlp_selector,0.1,3686,0.29110145568847656,0.25959348678588867,0.6438446044921875,0.40319275856018066
stage97_00013876,stage79_00027779,eval,lab-coat,q12,16,18,linear,shared,all_groups,energy_regression,mlp_selector,0.1,3686,0.28648942708969116,0.25183171033859253,0.6438446044921875,0.39113742113113403
stage97_00013876,stage79_00027779,eval,lab-coat,q12,16,18,linear,group_specific,linear__gap16,topk_bce,mlp_selector,0.1,3686,0.23982636630535126,0.21389888226985931,0.6438446044921875,0.33222129940986633
stage97_00013876,stage79_00027779,eval,lab-coat,q12,16,18,linear,group_specific,linear__gap16,energy_regression,mlp_selector,0.1,3686,0.2566467821598053,0.22382554411888123,0.6438446044921875,0.3476390838623047
stage97_00013876,stage79_00027779,eval,lab-coat,q12,16,18,stage65_adapter,endpoint_only,stage65_adapter__gap16,endpoint_diff_baseline,endpoint_diff_baseline,0.1,3686,0.1519262045621872,0.12079444527626038,0.32906678318977356,0.3670818507671356
stage97_00013876,stage79_00027779,eval,lab-coat,q12,16,18,stage65_adapter,shared,all_groups,topk_bce,mlp_selector,0.1,3686,0.39446553587913513,0.19814616441726685,0.32906678318977356,0.6021457314491272
stage97_00013876,stage79_00027779,eval,lab-coat,q12,16,18,stage65_adapter,shared,all_groups,energy_regression,mlp_selector,0.1,3686,0.4015192687511444,0.19782894849777222,0.32906678318977356,0.6011817455291748
stage97_00013876,stage79_00027779,eval,lab-coat,q12,16,18,stage65_adapter,group_specific,stage65_adapter__gap16,topk_bce,mlp_selector,0.1,3686,0.3993488848209381,0.1992253214120865,0.32906678318977356,0.6054251790046692
stage97_00013876,stage79_00027779,eval,lab-coat,q12,16,18,stage65_adapter,group_specific,stage65_adapter__gap16,energy_regression,mlp_selector,0.1,3686,0.40341833233833313,0.19922970235347748,0.32906678318977356,0.6054385304450989
stage97_00011683,stage79_00023459,eval,car-shadow,q12,4,9,linear,endpoint_only,linear__gap4,endpoint_diff_baseline,endpoint_diff_baseline,0.1,3686,0.31551817059516907,0.2791943848133087,0.7185969948768616,0.3885270655155182
stage97_00011683,stage79_00023459,eval,car-shadow,q12,4,9,linear,shared,all_groups,topk_bce,mlp_selector,0.1,3686,0.32501357793807983,0.30847984552383423,0.7185969948768616,0.42928072810173035
stage97_00011683,stage79_00023459,eval,car-shadow,q12,4,9,linear,shared,all_groups,energy_regression,mlp_selector,0.1,3686,0.33640801906585693,0.30628523230552673,0.7185969948768616,0.4262267053127289
stage97_00011683,stage79_00023459,eval,car-shadow,q12,4,9,linear,group_specific,linear__gap4,topk_bce,mlp_selector,0.1,3686,0.34237655997276306,0.3154754638671875,0.7185969948768616,0.43901583552360535
