model_name,selector_scope,group_key,objective,step,loss,batch_positive_rate,batch_energy_target_mean,train_example_count
group_specific__stage65_adapter__gap16__energy_regression,group_specific,stage65_adapter__gap16,energy_regression,50,0.01408566813915968,0.10400390625,0.29643505811691284,116736
group_specific__stage65_adapter__gap16__energy_regression,group_specific,stage65_adapter__gap16,energy_regression,100,0.013290805742144585,0.094970703125,0.29501664638519287,116736
group_specific__stage65_adapter__gap16__energy_regression,group_specific,stage65_adapter__gap16,energy_regression,150,0.013300150632858276,0.10400390625,0.293678879737854,116736
group_specific__stage65_adapter__gap16__energy_regression,group_specific,stage65_adapter__gap16,energy_regression,200,0.012771014124155045,0.102783203125,0.29613038897514343,116736
group_specific__stage65_adapter__gap16__energy_regression,group_specific,stage65_adapter__gap16,energy_regression,250,0.01305503398180008,0.1005859375,0.2951190173625946,116736
group_specific__stage65_adapter__gap16__energy_regression,group_specific,stage65_adapter__gap16,energy_regression,300,0.012731820344924927,0.104248046875,0.29628250002861023,116736
group_specific__stage65_adapter__gap4__topk_bce,group_specific,stage65_adapter__gap4,topk_bce,1,1.245870590209961,0.10205078125,0.3029983639717102,79872
group_specific__stage65_adapter__gap4__topk_bce,group_specific,stage65_adapter__gap4,topk_bce,50,0.9429081082344055,0.10498046875,0.3031100928783417,79872
group_specific__stage65_adapter__gap4__topk_bce,group_specific,stage65_adapter__gap4,topk_bce,100,0.8986743688583374,0.102783203125,0.3029102683067322,79872
group_specific__stage65_adapter__gap4__topk_bce,group_specific,stage65_adapter__gap4,topk_bce,150,0.9254857301712036,0.1005859375,0.3022916913032532,79872
group_specific__stage65_adapter__gap4__topk_bce,group_specific,stage65_adapter__gap4,topk_bce,200,0.9041696786880493,0.105712890625,0.3018808364868164,79872
group_specific__stage65_adapter__gap4__topk_bce,group_specific,stage65_adapter__gap4,topk_bce,250,0.9320744276046753,0.102294921875,0.30414754152297974,79872
group_specific__stage65_adapter__gap4__topk_bce,group_specific,stage65_adapter__gap4,topk_bce,300,0.9165933132171631,0.107177734375,0.30275964736938477,79872
group_specific__stage65_adapter__gap4__energy_regression,group_specific,stage65_adapter__gap4,energy_regression,1,0.0512956902384758,0.10400390625,0.3004913926124573,79872
group_specific__stage65_adapter__gap4__energy_regression,group_specific,stage65_adapter__gap4,energy_regression,50,0.010730206966400146,0.100341796875,0.3017786741256714,79872
group_specific__stage65_adapter__gap4__energy_regression,group_specific,stage65_adapter__gap4,energy_regression,100,0.009382301941514015,0.09716796875,0.3020458221435547,79872
group_specific__stage65_adapter__gap4__energy_regression,group_specific,stage65_adapter__gap4,energy_regression,150,0.009378363378345966,0.1044921875,0.301089346408844,79872
