sample,method,reference_gap,bits,payload_dtype,total_frames,keyframe_count,raw_bitstream_bytes,zlib_bitstream_bytes,raw_mib_per_frame,zlib_mib_per_frame,theoretical_bitpacked_mib_per_frame,zlib_savings_percent_vs_raw_bitstream,max_roundtrip_abs_diff,mean_roundtrip_mse
driving,uniform,1,16,uint16,81,81,77685873,51256153,0.9146545904654043,0.6034774898011007,0.9140625,34.021269220981786,0.0,0.0
driving,rendered_prior_0p1,1,6,uint8,81,81,38866419,16485492,0.45760377248128253,0.19409617671260126,0.3427734375,57.58422714477503,0.0,0.0
driving,rendered_prior_0p1,1,8,uint8,81,81,38866433,24691417,0.45760393731388044,0.2907107435626748,0.45703125,36.47110091116414,0.0,0.0
driving,rendered_prior_0p1,1,10,uint16,81,81,77685034,38444996,0.9146447122832875,0.4526420404881607,0.5712890625,50.51170860014041,0.0,0.0
driving,rendered_prior_0p1,1,12,uint16,81,81,77685509,43469845,0.914650304817859,0.5118033915390203,0.685546875,44.04381774727124,0.0,0.0
driving,rendered_prior_0p1,1,16,uint16,81,81,77685873,51256153,0.9146545904654043,0.6034774898011007,0.9140625,34.021269220981786,0.0,0.0
driving,uniform,2,6,uint8,81,41,19673198,8344164,0.2316274525206766,0.09824215924298321,0.17350260416666666,57.58613317468772,0.0,0.0
driving,uniform,2,8,uint8,81,41,19673192,12499609,0.23162738187813464,0.14716735886938778,0.23133680555555555,36.463747214991855,0.0,0.0
driving,uniform,2,10,uint16,81,41,39322154,19462598,0.46296948562433693,0.22914789929802035,0.2891710069444444,50.504751087643875,0.0,0.0
driving,uniform,2,12,uint16,81,41,39322380,22005217,0.4629721464934172,0.25908407752896534,0.3470052083333333,44.03894932097192,0.0,0.0
driving,uniform,2,16,uint16,81,41,39322549,25946054,0.462974136258349,0.305482534714687,0.4626736111111111,34.01736494752667,0.0,0.0
driving,rendered_prior_0p1,2,6,uint8,81,41,19673198,8344164,0.2316274525206766,0.09824215924298321,0.17350260416666666,57.58613317468772,0.0,0.0
driving,rendered_prior_0p1,2,8,uint8,81,41,19673192,12499609,0.23162738187813464,0.14716735886938778,0.23133680555555555,36.463747214991855,0.0,0.0
driving,rendered_prior_0p1,2,10,uint16,81,41,39322154,19462598,0.46296948562433693,0.22914789929802035,0.2891710069444444,50.504751087643875,0.0,0.0
driving,rendered_prior_0p1,2,12,uint16,81,41,39322380,22005217,0.4629721464934172,0.25908407752896534,0.3470052083333333,44.03894932097192,0.0,0.0
driving,rendered_prior_0p1,2,16,uint16,81,41,39322549,25946054,0.462974136258349,0.305482534714687,0.4626736111111111,34.01736494752667,0.0,0.0
driving,uniform,3,6,uint8,81,28,13435404,5698767,0.15818518179434318,0.06709589781584563,0.11848958333333333,57.58395504891405,0.0,0.0
driving,uniform,3,8,uint8,81,28,13435407,8536800,0.15818521711561415,0.10051020869502315,0.1579861111111111,36.46042877599465,0.0,0.0
driving,uniform,3,10,uint16,81,28,26854176,13294345,0.31617454246238424,0.15652438740671418,0.1974826388888889,50.49431045659342,0.0,0.0
driving,uniform,3,12,uint16,81,28,26854347,15030361,0.31617655577483,0.17696381792610075,0.23697916666666666,44.03006336367069,0.0,0.0
driving,uniform,3,16,uint16,81,28,26854485,17724827,0.316178180553295,0.20868780583511165,0.3159722222222222,33.99677186138554,0.0,0.0
driving,rendered_prior_0p1,3,6,uint8,81,28,13435335,5700758,0.1581843694051107,0.06711933936601804,0.11848958333333333,57.568918080568885,0.0,0.0
driving,rendered_prior_0p1,3,8,uint8,81,28,13435364,8538416,0.15818471084406346,0.1005292350863233,0.1579861111111111,36.44819745858765,0.0,0.0
driving,rendered_prior_0p1,3,10,uint16,81,28,26854140,13292960,0.3161741186071325,0.15650808075327932,0.1974826388888889,50.49940158202795,0.0,0.0
driving,rendered_prior_0p1,3,12,uint16,81,28,26854294,15031284,0.3161759317657094,0.17697468510380499,0.23697916666666666,44.02651583392957,0.0,0.0
driving,rendered_prior_0p1,3,16,uint16,81,28,26854420,17721463,0.3161774152590905,0.2086481989165883,0.3159722222222222,34.00913890525284,0.0,0.0
driving,uniform,4,6,uint8,81,21,10076572,4275816,0.11863911004714024,0.050342418529369215,0.0888671875,57.56675980680731,0.0,0.0
driving,uniform,4,8,uint8,81,21,10076586,6404020,0.11863927487973813,0.07539937525619696,0.11848958333333333,36.44653060074116,0.0,0.0
driving,uniform,4,10,uint16,81,21,20140674,9971283,0.23713140134458188,0.11739946294713903,0.14811197916666666,50.49181075072264,0.0,0.0
driving,uniform,4,12,uint16,81,21,20140791,11273111,0.23713277887415002,0.1327268694653923,0.177734375,44.02845945822088,0.0,0.0
driving,uniform,4,16,uint16,81,21,20140864,13292219,0.2371336383584105,0.15649935639934776,0.23697916666666666,34.00372992936152,0.0,0.0
driving,rendered_prior_0p1,4,6,uint8,81,21,10076572,4275816,0.11863911004714024,0.050342418529369215,0.0888671875,57.56675980680731,0.0,0.0
driving,rendered_prior_0p1,4,8,uint8,81,21,10076586,6404020,0.11863927487973813,0.07539937525619696,0.11848958333333333,36.44653060074116,0.0,0.0
driving,rendered_prior_0p1,4,10,uint16,81,21,20140674,9971283,0.23713140134458188,0.11739946294713903,0.14811197916666666,50.49181075072264,0.0,0.0
driving,rendered_prior_0p1,4,12,uint16,81,21,20140791,11273111,0.23713277887415002,0.1327268694653923,0.177734375,44.02845945822088,0.0,0.0
driving,rendered_prior_0p1,4,16,uint16,81,21,20140864,13292219,0.2371336383584105,0.15649935639934776,0.23697916666666666,34.00372992936152,0.0,0.0
