task_id,sequence,codec,reference_gap,target_index,base_method,setting_label,selector_policy,selected_candidate,keep_fraction,side_bits,zlib_level,keep_gaussians,compressed_payload_bytes,compressed_mib_per_intermediate_frame,q12_main_anchor_mib_per_frame,uniform_intermediate_frame_ratio,direct_total_mib_per_frame,amortized_total_mib_per_frame,base_psnr,setting_psnr,delta_psnr_vs_base,q6_top10_psnr,delta_psnr_vs_q6_top10,q6_top10_payload_bytes,decoded_max_abs_diff_vs_raw_deterministic
stage79_00027028,india,q12,8,13,linear,q4_top10,strict_safe_endpoint_selector_v1,endpoint_diff_baseline,0.1,4,9,3686,14345,0.013680458068847656,0.09762538675351436,0.875,0.11130584482236201,0.10959578756375606,19.06758882783345,21.220479735935164,2.152890908101714,21.235727962526283,-0.015248226591118907,27550,0.0
stage79_00027028,india,q12,8,13,linear,q6_top5,strict_safe_endpoint_selector_v1,endpoint_diff_baseline,0.05,6,9,1843,14214,0.013555526733398438,0.09762538675351436,0.875,0.1111809134869128,0.10948647264523799,19.06758882783345,20.35169755063415,1.284108722800699,21.235727962526283,-0.8840304118921338,27550,0.0
stage79_00027028,india,q12,8,13,linear,q4_top20,strict_safe_endpoint_selector_v1,endpoint_diff_baseline,0.2,4,9,7373,26505,0.025277137756347656,0.09762538675351436,0.875,0.12290252450986201,0.11974288229031856,19.06758882783345,22.465496899040236,3.3979080712067855,21.235727962526283,1.2297689365139526,27550,0.0
stage79_00027028,india,q12,8,13,stage65_adapter,q6_top10,strict_safe_endpoint_selector_v1,endpoint_diff_baseline,0.1,6,9,3686,32444,0.030941009521484375,0.09762538675351436,0.875,0.12856639627499872,0.12469877008481318,19.790705687000365,21.855767375794528,2.065061688794163,21.855767375794528,0.0,32444,0.0
stage79_00027028,india,q12,8,13,stage65_adapter,q5_top10,strict_safe_endpoint_selector_v1,endpoint_diff_baseline,0.1,5,9,3686,27526,0.026250839233398438,0.09762538675351436,0.875,0.1238762259869128,0.12059487108273799,19.790705687000365,21.857285954179723,2.066580267179358,21.855767375794528,0.0015185783851947576,32444,0.0
stage79_00027028,india,q12,8,13,stage65_adapter,q4_top10,strict_safe_endpoint_selector_v1,endpoint_diff_baseline,0.1,4,9,3686,16878,0.016096115112304688,0.09762538675351436,0.875,0.11372150186581904,0.11170948747678096,19.790705687000365,21.839321896135722,2.048616209135357,21.855767375794528,-0.01644547965880605,32444,0.0
stage79_00027028,india,q12,8,13,stage65_adapter,q6_top5,strict_safe_endpoint_selector_v1,endpoint_diff_baseline,0.05,6,9,1843,16616,0.01584625244140625,0.09762538675351436,0.875,0.1134716391949206,0.11149085763974483,19.790705687000365,21.029292505279386,1.2385868182790212,21.855767375794528,-0.8264748705151419,32444,0.0
stage79_00027028,india,q12,8,13,stage65_adapter,q4_top20,strict_safe_endpoint_selector_v1,endpoint_diff_baseline,0.2,4,9,7373,31067,0.02962779998779297,0.09762538675351436,0.875,0.1272531867413073,0.1235497117428332,19.790705687000365,22.9839155992893,3.1932099122889355,21.855767375794528,1.1281482234947724,32444,0.0
stage79_00021366,bike-packing,q12,8,39,linear,q6_top10,strict_safe_endpoint_selector_v1,endpoint_diff_baseline,0.1,6,9,3686,27073,0.025818824768066406,0.09762538675351436,0.875,0.12344421152158076,0.12021685842557246,18.24650828541061,20.041202346218363,1.7946940608077533,20.041202346218363,0.0,27073,0.0
stage79_00021366,bike-packing,q12,8,39,linear,q5_top10,strict_safe_endpoint_selector_v1,endpoint_diff_baseline,0.1,5,9,3686,22840,0.02178192138671875,0.09762538675351436,0.875,0.1194073081402331,0.11668456796689326,18.24650828541061,20.0333541089273,1.786845823516689,20.041202346218363,-0.007848237291064208,27073,0.0
stage79_00021366,bike-packing,q12,8,39,linear,q4_top10,strict_safe_endpoint_selector_v1,endpoint_diff_baseline,0.1,4,9,3686,14639,0.013960838317871094,0.09762538675351436,0.875,0.11158622507138545,0.10984112028165156,18.24650828541061,20.013744622705826,1.7672363372952162,20.041202346218363,-0.027457723512537058,27073,0.0
stage79_00021366,bike-packing,q12,8,39,linear,q6_top5,strict_safe_endpoint_selector_v1,endpoint_diff_baseline,0.05,6,9,1843,13899,0.013255119323730469,0.09762538675351436,0.875,0.11088050607724483,0.10922361616177852,18.24650828541061,19.312522336830973,1.066014051420364,20.041202346218363,-0.7286800093873893,27073,0.0
stage79_00021366,bike-packing,q12,8,39,linear,q4_top20,strict_safe_endpoint_selector_v1,endpoint_diff_baseline,0.2,4,9,7373,27635,0.02635478973388672,0.09762538675351436,0.875,0.12398017648740108,0.12068582777066524,18.24650828541061,21.166306708248218,2.9197984228376086,20.041202346218363,1.1251043620298553,27073,0.0
stage79_00021366,bike-packing,q12,8,39,stage65_adapter,q6_top10,strict_safe_endpoint_selector_v1,endpoint_diff_baseline,0.1,6,9,3686,32279,0.030783653259277344,0.09762538675351436,0.875,0.1284090400127917,0.12456108335538203,19.59357702158396,20.914377282842075,1.320800261258114,20.914377282842075,0.0,32279,0.0
stage79_00021366,bike-packing,q12,8,39,stage65_adapter,q5_top10,strict_safe_endpoint_selector_v1,endpoint_diff_baseline,0.1,5,9,3686,27247,0.025984764099121094,0.09762538675351436,0.875,0.12361015085263545,0.12036205534024531,19.59357702158396,20.90625751072281,1.3126804891388488,20.914377282842075,-0.008119772119265178,32279,0.0
stage79_00021366,bike-packing,q12,8,39,stage65_adapter,q4_top10,strict_safe_endpoint_selector_v1,endpoint_diff_baseline,0.1,4,9,3686,17108,0.016315460205078125,0.09762538675351436,0.875,0.11394084695859248,0.11190141443295772,19.59357702158396,20.875053323937387,1.2814763023534255,20.914377282842075,-0.03932395890468854,32279,0.0
