base_method,codec,reference_gap,setting_label,task_count,keep_fraction,side_bits,zlib_level,mean_keep_gaussians,mean_compressed_payload_bytes,mean_compressed_mib_per_intermediate_frame,mean_q12_main_anchor_mib_per_frame,mean_direct_total_mib_per_frame,mean_amortized_total_mib_per_frame,mean_base_psnr,mean_setting_psnr,mean_delta_psnr_vs_base,positive_delta_vs_base_count,mean_q6_top10_psnr,mean_delta_psnr_vs_q6_top10,near_q6_within_0p10db_count,max_decoded_max_abs_diff_vs_raw_deterministic
linear,q12,16,q6_top10,4,0.1,6,9,3686.0,26884.0,0.025638580322265625,0.055468969746314975,0.0811075500685806,0.079505138798439,19.1130149705525,21.313155331325962,2.2001403607734638,4,21.313155331325962,0.0,4,0.0
linear,q12,16,q5_top10,4,0.1,5,9,3686.0,22541.25,0.021497011184692383,0.055468969746314975,0.07696598093100736,0.07562241773196408,19.1130149705525,21.298291339559825,2.185276369007327,4,21.313155331325962,-0.014863991766136841,4,0.0
linear,q12,16,q4_top10,4,0.1,4,9,3686.0,13783.75,0.013145208358764648,0.055468969746314975,0.06861417810507962,0.06779260258265683,19.1130149705525,21.268781457368,2.1557664868155033,4,21.313155331325962,-0.04437387395796044,4,0.0
linear,q12,16,q6_top5,4,0.05,6,9,1843.0,13956.5,0.013309955596923828,0.055468969746314975,0.0687789253432388,0.06794705311843106,19.1130149705525,20.403266337511305,1.2902513669588034,4,21.313155331325962,-0.9098889938146604,0,0.0
linear,q12,16,q4_top20,4,0.2,4,9,7373.0,25359.25,0.024184465408325195,0.055468969746314975,0.07965343515464017,0.07814190606661985,19.1130149705525,22.656743502327387,3.5437285317748923,4,21.313155331325962,1.3435881710014286,4,0.0
stage65_adapter,q12,4,q6_top10,3,0.1,6,9,3686.0,30934.666666666668,0.029501597086588543,0.18193822076791313,0.2114398178545017,0.20406441858285454,20.48273820637705,21.59436791360614,1.1116297072290884,3,21.59436791360614,0.0,3,0.0
stage65_adapter,q12,4,q5_top10,3,0.1,5,9,3686.0,25781.333333333332,0.024586995442708332,0.18193822076791313,0.20652521621062148,0.20037846734994438,20.48273820637705,21.579142025006444,1.096403818629393,3,21.59436791360614,-0.0152258885996955,3,0.0
stage65_adapter,q12,4,q4_top10,3,0.1,4,9,3686.0,15331.333333333334,0.014621098836263021,0.18193822076791313,0.19655931960417616,0.1929040448951104,20.48273820637705,21.57348571879074,1.0907475124136876,3,21.59436791360614,-0.02088219481540084,3,0.0
stage65_adapter,q12,4,q6_top5,3,0.05,6,9,1843.0,15875.666666666666,0.015140215555826822,0.18193822076791313,0.19707843632373998,0.19329338243478325,20.48273820637705,21.06873723488583,0.5859990285087816,3,21.59436791360614,-0.5256306787203068,0,0.0
stage65_adapter,q12,4,q4_top20,3,0.2,4,9,7373.0,29344.0,0.027984619140625,0.18193822076791313,0.20992283990853813,0.20292668512338188,20.48273820637705,22.731664444374214,2.248926237997163,3,21.59436791360614,1.1372965307680747,3,0.0
stage65_adapter,q12,8,q6_top10,5,0.1,6,9,3686.0,32457.6,0.0309539794921875,0.09762538675351436,0.12857936624570185,0.12471011880917841,18.532358493984642,19.72701738771671,1.1946588937320644,5,19.72701738771671,0.0,5,0.0
stage65_adapter,q12,8,q5_top10,5,0.1,5,9,3686.0,27452.8,0.0261810302734375,0.09762538675351436,0.12380641702695186,0.12053378824277217,18.532358493984642,19.724838562230936,1.1924800682462897,5,19.72701738771671,-0.002178825485774638,5,0.0
stage65_adapter,q12,8,q4_top10,5,0.1,4,9,3686.0,17031.8,0.016242790222167968,0.09762538675351436,0.11386817697568233,0.11183782819791133,18.532358493984642,19.69437781573319,1.1620193217485464,5,19.72701738771671,-0.03263957198351797,5,0.0
stage65_adapter,q12,8,q6_top5,5,0.05,6,9,1843.0,16548.4,0.01578178405761719,0.09762538675351436,0.11340717081113154,0.11143444780392939,18.532358493984642,19.22015149594552,0.6877930019608737,5,19.72701738771671,-0.5068658917711908,0,0.0
stage65_adapter,q12,8,q4_top20,5,0.2,4,9,7373.0,31830.8,0.030356216430664062,0.09762538675351436,0.12798160318417842,0.12418707613034541,18.532358493984642,20.50632610225243,1.9739676082677857,5,19.72701738771671,0.7793087145357213,5,0.0
stage65_adapter,q12,16,q6_top10,4,0.1,6,9,3686.0,32162.5,0.030672550201416016,0.055468969746314975,0.08614151994773099,0.08422448556014249,19.075010088585586,20.753397634221006,1.6783875456354194,4,20.753397634221006,0.0,4,0.0
stage65_adapter,q12,16,q5_top10,4,0.1,5,9,3686.0,27083.25,0.02582859992980957,0.055468969746314975,0.08129756967612455,0.07968328218051145,19.075010088585586,20.743965120476375,1.6689550318907909,4,20.753397634221006,-0.009432513744628501,4,0.0
stage65_adapter,q12,16,q4_top10,4,0.1,4,9,3686.0,16259.5,0.015506267547607422,0.055468969746314975,0.0709752372939224,0.07000609557219693,19.075010088585586,20.70132843290733,1.6263183443217466,4,20.753397634221006,-0.052069201313672764,3,0.0
stage65_adapter,q12,16,q6_top5,4,0.05,6,9,1843.0,16524.5,0.015758991241455078,0.055468969746314975,0.07122796098777005,0.07024302403517911,19.075010088585586,20.075717664400393,1.0007075758148058,4,20.753397634221006,-0.6776799698206135,0,0.0
stage65_adapter,q12,16,q4_top20,4,0.2,4,9,7373.0,30148.75,0.02875208854675293,0.055468969746314975,0.0842210582930679,0.08242405275889585,19.075010088585586,21.772105699227396,2.6970956106418074,4,20.753397634221006,1.018708065006388,4,0.0
