sequence,gap,task_count,mean_rgb_motion_proxy_score,mean_rgb_mad_left_right,mean_rgb_mad_linear_interp_target,mean_edge_mad_left_right,mean_hist_chi_left_right,mean_stage158_psnr,mean_stage158_lpips,mean_payload_bytes,low_psnr_count,high_lpips_count,high_payload_count
judo,4,2,0.04385641540835443,0.019856059923768044,0.01244239928200841,0.04349270090460777,0.002403112563135779,30.698786640169807,0.1900617480278015,110466.0,0,0,0
judo,8,2,0.06993574632155664,0.03170090261846781,0.016076509840786457,0.053478436544537544,0.006660196754104739,31.44494429387607,0.165323868393898,107016.5,0,0,0
kite-surf,4,2,0.15374489137723094,0.0659630075097084,0.035957345739006996,0.16775760054588318,0.005098348303679578,32.25224322873085,0.10872717574238777,217840.5,0,0,1
kite-surf,8,2,0.21849734157033904,0.1053863912820816,0.05502968467772007,0.15982680022716522,0.03930070222233163,32.35332219246572,0.09711398929357529,224779.0,0,0,2
lab-coat,4,2,0.207690529523225,0.08653941377997398,0.05490955896675587,0.23211472481489182,0.012420024517315753,27.944375558714363,0.19060788303613663,222231.0,0,0,1
lab-coat,8,2,0.3708690747617118,0.16271436214447021,0.12919970601797104,0.29243022203445435,0.021348223074602848,30.91260099927392,0.14973650872707367,251296.0,0,0,2
libby,4,2,0.2434430565419311,0.11027508601546288,0.08667640760540962,0.18356473743915558,0.0066095564019164905,32.898613450524465,0.16967592388391495,257462.5,0,0,2
libby,8,2,0.2727567010375427,0.12416397407650948,0.08945583179593086,0.19300676137208939,0.0284313857810364,32.89257021968654,0.17007839679718018,253948.5,0,0,2
loading,4,2,0.3915499436957349,0.17637042701244354,0.10791759938001633,0.36002764105796814,0.012545169420140462,28.846953000333087,0.14197894930839539,237104.0,0,0,2
loading,8,2,0.4678295537400404,0.21404193341732025,0.14298094809055328,0.37276509404182434,0.033756564737951925,28.663315632080835,0.1489158794283867,248738.5,0,0,2
mbike-trick,4,2,0.09646077741120469,0.041029684245586395,0.018010014668107033,0.11741442605853081,0.005905384380829458,30.083299233358154,0.20450755208730698,158045.5,0,0,0
mbike-trick,8,2,0.108008922280472,0.04165381193161011,0.02925774920731783,0.13493134081363678,0.0055134033512558335,29.803286440679415,0.21493951231241226,187533.5,0,0,0
motocross-jump,4,2,0.5612214050456961,0.2829535901546478,0.1848396733403206,0.2526096701622009,0.3203041033454726,31.39112051507741,0.3004394471645355,247438.5,0,2,2
motocross-jump,8,2,0.5098984405224634,0.2570464685559273,0.17750763148069382,0.18514934927225113,0.3727342543513842,31.789745862985278,0.2826654836535454,255678.5,0,2,2
paragliding-launch,4,2,0.10785963957289921,0.043871939182281494,0.029174871742725372,0.11863715201616287,0.002429646531806971,31.87078173149899,0.17472806572914124,212967.5,0,0,0
paragliding-launch,8,2,0.1359192653316585,0.05677879974246025,0.03682854771614075,0.13808481395244598,0.00496705751446613,30.591214285891972,0.19095345586538315,215446.0,0,0,1
parkour,4,2,0.2505849688724782,0.10699881613254547,0.07641221955418587,0.23477070778608322,0.012829671066068499,29.184943856834497,0.18812347948551178,224234.0,0,0,2
parkour,8,2,0.3268186336561301,0.1430373638868332,0.08495692908763885,0.30019474029541016,0.013035146437674186,25.675775719711684,0.21391336619853973,221249.0,2,1,1
pigs,4,2,0.11680291991183994,0.04787768796086311,0.02106533106416464,0.1496947631239891,0.0012234574803083934,31.700608546143414,0.15198128670454025,179010.5,0,0,0
pigs,8,2,0.19437150142949808,0.08672386407852173,0.05202331580221653,0.1768590658903122,0.00910921753643766,31.765246232126717,0.1830931007862091,216138.0,0,0,1
scooter-black,4,2,0.5733338755654629,0.250481441617012,0.17075786739587784,0.4863615185022354,0.030313181751323054,27.336614518109712,0.13898934423923492,246170.0,0,0,2
scooter-black,8,2,0.38704213022647505,0.15918714553117752,0.11917000636458397,0.38485287129879,0.02223280018389902,24.813841410881786,0.20478076487779617,221069.5,2,0,1
shooting,4,2,0.37666863988693017,0.17229967564344406,0.1258704736828804,0.23493603616952896,0.030056241507786848,35.27095662109327,0.13833347707986832,235373.0,0,0,2
shooting,8,2,0.46732944868391624,0.2297636717557907,0.1374436654150486,0.2757672965526581,0.22868128854619338,33.69752189514591,0.20512058585882187,241836.5,0,1,2
soapbox,4,2,0.3398890859488488,0.1578022912144661,0.09833506867289543,0.29013362526893616,0.02092487219811269,30.906670800807184,0.12526041641831398,241610.5,0,0,2
soapbox,8,2,0.31954489056014224,0.14892490580677986,0.08781247958540916,0.2553563416004181,0.011634327464505727,29.583052026280953,0.19517184048891068,233226.5,0,0,1
