edge_id,sequence,reference_gap,left_index,right_index,represented_frame_count,intermediate_count_expected,intermediate_count_measured,keyframe_codec,keyframe_bits,setting_label,keep_fraction,side_bits,left_keyframe_bytes,right_keyframe_bytes,endpoint_keyframe_bytes,residual_payload_bytes,schedule_metadata_bytes,edge_total_bytes_once,dp_incremental_bytes,residual_mib_per_intermediate,edge_total_mib_once,dp_incremental_mib,mean_base_psnr,mean_corrected_psnr,mean_delta_psnr_vs_base,min_delta_psnr_vs_base,mean_anchor_mse_reduction,status,error
bike-packing:00008:00016:gap8,bike-packing,8,8,16,9,7,7,q12,12,topk_keep0p05_q6,0.05,6,719646,719646,1439292,112900.0,2,1552194.0,832548.0,0.015381404331752233,1.4802875518798828,0.7939796447753906,19.502289140937098,22.69852368406188,3.1962345431247816,3.05496954106637,0.617681845223914,ok,
bike-packing:00008:00016:gap8,bike-packing,8,8,16,9,7,7,q12,12,topk_keep0p1_q6,0.1,6,719646,719646,1439292,215181.0,2,1654475.0,934829.0,0.029316084725516185,1.5778303146362305,0.8915224075317383,19.502289140937098,24.280308897571786,4.778019756634689,4.431416752103516,0.8111311860502994,ok,
bike-packing:00008:00016:gap8,bike-packing,8,8,16,9,7,7,q12,12,topk_keep0p2_q6,0.2,6,719646,719646,1439292,402425.0,2,1841719.0,1122073.0,0.054826055254255025,1.7564001083374023,1.0700922012329102,19.502289140937098,25.733731551788733,6.231442410851635,5.401704698334012,0.9402372526032738,ok,
bike-packing:00016:00024:gap8,bike-packing,8,16,24,9,7,7,q12,12,topk_keep0p05_q6,0.05,6,719646,719651,1439297,112422.0,2,1551721.0,832075.0,0.01531628199986049,1.4798364639282227,0.7935285568237305,19.0810334499382,22.37853188415057,3.297498434212365,2.626017633639041,0.6544178065273571,ok,
bike-packing:00016:00024:gap8,bike-packing,8,16,24,9,7,7,q12,12,topk_keep0p1_q6,0.1,6,719646,719651,1439297,213939.0,2,1653238.0,933592.0,0.029146875653948103,1.576650619506836,0.8903427124023438,19.0810334499382,23.923671511168603,4.842638061230403,3.5558139029554283,0.8375767213545656,ok,
bike-packing:00016:00024:gap8,bike-packing,8,16,24,9,7,7,q12,12,topk_keep0p2_q6,0.2,6,719646,719651,1439297,398270.0,2,1837569.0,1117923.0,0.05425998142787388,1.7524423599243164,1.0661344528198242,19.0810334499382,25.550487875289146,6.469454425350947,4.476685319648347,0.9536560946291026,ok,
bike-packing:00000:00012:gap12,bike-packing,12,0,12,13,11,11,q12,12,topk_keep0p05_q6,0.05,6,719648,719649,1439297,175638.0,2,1614937.0,895289.0,0.015227404507723722,1.5401239395141602,0.8538141250610352,20.313752510641265,22.99983919159164,2.6860866809503756,1.5618860680603603,0.6490028109469073,ok,
bike-packing:00000:00012:gap12,bike-packing,12,0,12,13,11,11,q12,12,topk_keep0p1_q6,0.1,6,719648,719649,1439297,331200.0,2,1770499.0,1050851.0,0.028714266690340908,1.6884794235229492,1.0021696090698242,20.313752510641265,24.369258148364533,4.0555056377232654,1.8451280875973204,0.8227285603360305,ok,
bike-packing:00000:00012:gap12,bike-packing,12,0,12,13,11,11,q12,12,topk_keep0p2_q6,0.2,6,719648,719649,1439297,614753.0,2,2054052.0,1334404.0,0.05329764973033558,1.9588966369628906,1.2725868225097656,20.313752510641265,25.671059963100102,5.357307452458835,2.089004109606684,0.9428688708163087,ok,
bike-packing:00012:00024:gap12,bike-packing,12,12,24,13,11,11,q12,12,topk_keep0p05_q6,0.05,6,719649,719651,1439300,177514.0,2,1616816.0,897167.0,0.015390049327503551,1.5419158935546875,0.8556051254272461,18.954303503787866,21.861006540073593,2.906703036285729,2.6200894594439674,0.6023039783089159,ok,
bike-packing:00012:00024:gap12,bike-packing,12,12,24,13,11,11,q12,12,topk_keep0p1_q6,0.1,6,719649,719651,1439300,338941.0,2,1778243.0,1058594.0,0.029385393316095524,1.6958646774291992,1.0095539093017578,18.954303503787866,23.35008941863531,4.395785914847446,3.6235638536689265,0.7907213020241044,ok,
bike-packing:00012:00024:gap12,bike-packing,12,12,24,13,11,11,q12,12,topk_keep0p2_q6,0.2,6,719649,719651,1439300,634442.0,2,2073744.0,1354095.0,0.05500464005903764,1.9776763916015625,1.291365623474121,18.954303503787866,25.133369963513033,6.179066459725175,4.490218654105238,0.9266931185631561,ok,
