edge_id,task_id,sequence,reference_gap,left_index,right_index,target_index,normalized_time,setting_label,keep_fraction,side_bits,payload_bytes,base_anchor_mse,corrected_anchor_mse,anchor_mse_reduction,base_render_mse,corrected_render_mse,base_psnr,corrected_psnr,delta_psnr_vs_base,status,error
parkour:00056:00060:gap4,stage199_00027596,parkour,4,56,60,58,0.5,topk_keep0p2_q6,0.2,6,57146,0.013777541927993298,0.004408822860568762,0.6799993145648944,0.02785496786236763,0.009469549171626568,15.55097338270934,20.236706964914948,4.685733582205607,ok,
parkour:00056:00060:gap4,stage199_00027597,parkour,4,56,60,59,0.75,topk_keep0p05_q6,0.05,6,15643,0.0127565311267972,0.008537797257304192,0.330711682318625,0.02404620125889778,0.016510166227817535,16.189535223090623,17.822485541472325,1.6329503183817025,ok,
parkour:00056:00060:gap4,stage199_00027597,parkour,4,56,60,59,0.75,topk_keep0p1_q6,0.1,6,30022,0.0127565311267972,0.006158808711916208,0.517203489671372,0.02404620125889778,0.012256736867129803,16.189535223090623,19.11625137421935,2.9267161511287263,ok,
parkour:00056:00060:gap4,stage199_00027597,parkour,4,56,60,59,0.75,topk_keep0p2_q6,0.2,6,57580,0.0127565311267972,0.0033725639805197716,0.7356206050847833,0.02404620125889778,0.007476687431335449,16.189535223090623,21.262907749884267,5.073372526793644,ok,
bike-packing:00048:00056:gap8,stage199_00019998,bike-packing,8,48,56,49,0.125,topk_keep0p05_q6,0.05,6,16105,0.012805809266865253,0.007050188723951578,0.44945387073710485,0.021692872047424316,0.012059137225151062,16.63682945368248,19.186837628227046,2.5500081745445655,ok,
bike-packing:00048:00056:gap8,stage199_00019998,bike-packing,8,48,56,49,0.125,topk_keep0p1_q6,0.1,6,31170,0.012805809266865253,0.004244167357683182,0.6685748421487996,0.021692872047424316,0.008283484727144241,16.63682945368248,20.81786924157857,4.18103978789609,ok,
bike-packing:00048:00056:gap8,stage199_00019998,bike-packing,8,48,56,49,0.125,topk_keep0p2_q6,0.2,6,59762,0.012805809266865253,0.0018367352895438671,0.8565701509941759,0.021692872047424316,0.004870600067079067,16.63682945368248,23.12417529592966,6.48734584224718,ok,
bike-packing:00048:00056:gap8,stage199_00019999,bike-packing,8,48,56,50,0.25,topk_keep0p05_q6,0.05,6,16126,0.013277114368975163,0.008046879433095455,0.39392858949089704,0.025162100791931152,0.01541303563863039,15.992531023263094,18.1211181739642,2.1285871507011045,ok,
bike-packing:00048:00056:gap8,stage199_00019999,bike-packing,8,48,56,50,0.25,topk_keep0p1_q6,0.1,6,31088,0.013277114368975163,0.005319660995155573,0.5993360569683646,0.025162100791931152,0.011094750836491585,15.992531023263094,19.548824466137546,3.556293442874452,ok,
bike-packing:00048:00056:gap8,stage199_00019999,bike-packing,8,48,56,50,0.25,topk_keep0p2_q6,0.2,6,59573,0.013277114368975163,0.0025722405407577753,0.806265091248414,0.025162100791931152,0.006447219289839268,15.992531023263094,21.906275578410934,5.91374455514784,ok,
bike-packing:00048:00056:gap8,stage199_00020000,bike-packing,8,48,56,51,0.375,topk_keep0p05_q6,0.05,6,16166,0.012478574179112911,0.007583839353173971,0.3922511302719124,0.02381347306072712,0.015141131356358528,16.23177260575256,18.19841672823634,1.9666441224837783,ok,
