task_id,sequence,gap,left_index,target_index,right_index,normalized_time,stage165_selected_for_extra_keyframe,hard_quality_label,high_payload_label,stage158_psnr,stage158_lpips,payload_bytes,side_mib_per_intermediate,q12_main_anchor_mib_per_frame_ref,uniform_gap8_target_is_keyframe,stage165_adaptive_target_is_keyframe,uniform_gap4_target_is_keyframe,uniform_gap8_residual_payload_bytes,stage165_adaptive_residual_payload_bytes,uniform_gap4_residual_payload_bytes,stage165_adaptive_avoided_payload_bytes_vs_gap8,stage165_adaptive_false_negative_hard,stage165_adaptive_false_negative_high_payload
stage79_00028835,motocross-jump,8,8,13,16,0.625,1,1,1,31.063829825022648,0.3191358745098114,263358.0,0.2511577606201172,0.09762538675351434,0,1,0,263358.0,0.0,263358.0,263358.0,0,0
stage79_00025591,drift-straight,8,16,19,24,0.375,1,0,1,30.242848185595204,0.11668480932712555,260238.0,0.2481822967529297,0.09762538675351434,0,1,0,260238.0,0.0,260238.0,260238.0,0,0
stage79_00023829,cows,4,16,19,20,0.75,1,1,1,24.70318608724209,0.20844119787216187,225030.0,0.21460533142089844,0.1819382207679131,0,1,0,225030.0,0.0,225030.0,225030.0,0,0
stage79_00027753,lab-coat,8,32,35,40,0.375,1,0,1,31.270741398432,0.14216843247413635,249864.0,0.23828887939453125,0.09762538675351434,0,1,0,249864.0,0.0,249864.0,249864.0,0,0
stage79_00030985,soapbox,8,56,61,64,0.625,1,0,1,29.652676453289992,0.19451424479484558,253262.0,0.2415294647216797,0.09762538675351434,0,1,0,253262.0,0.0,253262.0,253262.0,0,0
stage79_00026678,horsejump-high,8,8,15,16,0.875,1,0,0,28.119707176231408,0.1598365157842636,213145.0,0.20327091217041016,0.09762538675351434,0,1,0,213145.0,0.0,213145.0,213145.0,0,0
stage79_00029700,parkour,8,80,87,88,0.875,1,1,0,25.783851442535276,0.20480650663375854,218629.0,0.20850086212158203,0.09762538675351434,0,1,0,218629.0,0.0,218629.0,218629.0,0,0
stage79_00028241,loading,8,32,35,40,0.375,1,0,1,28.600659158818136,0.16854679584503174,247580.0,0.23611068725585938,0.09762538675351434,0,1,0,247580.0,0.0,247580.0,247580.0,0,0
stage79_00023221,car-roundabout,8,0,1,8,0.125,1,0,1,27.51871864418962,0.14457689225673676,220792.0,0.21056365966796875,0.09762538675351434,0,1,0,220792.0,0.0,220792.0,220792.0,0,0
stage79_00022883,camel,8,72,75,80,0.375,1,1,1,25.335479237043415,0.1993795931339264,244271.0,0.2329549789428711,0.09762538675351434,0,1,0,244271.0,0.0,244271.0,244271.0,0,0
stage79_00024692,dog,4,16,17,20,0.25,0,0,1,30.263989567847865,0.1706315129995346,234218.0,0.22336769104003906,0.1819382207679131,0,0,0,234218.0,234218.0,234218.0,0.0,0,1
stage79_00027979,libby,8,16,17,24,0.125,1,0,1,33.64559264444898,0.1312885582447052,245135.0,0.2337789535522461,0.09762538675351434,0,1,0,245135.0,0.0,245135.0,245135.0,0,0
stage79_00026022,goat,8,72,78,80,0.75,1,0,1,26.541360057367047,0.18188631534576416,244302.0,0.2329845428466797,0.09762538675351434,0,1,0,244302.0,0.0,244302.0,244302.0,0,0
stage79_00027251,judo,4,8,10,12,0.5,0,0,0,31.38632279877512,0.16049990057945251,113232.0,0.1079864501953125,0.1819382207679131,0,0,0,113232.0,113232.0,113232.0,0.0,0,0
stage79_00023460,car-shadow,4,8,10,12,0.5,1,0,1,29.405388121541595,0.1530119925737381,220697.0,0.21047306060791016,0.1819382207679131,0,1,0,220697.0,0.0,220697.0,220697.0,0,0
stage79_00021592,blackswan,4,20,21,24,0.25,0,0,1,29.993041439257844,0.1594529002904892,224833.0,0.2144174575805664,0.1819382207679131,0,0,0,224833.0,224833.0,224833.0,0.0,0,1
stage79_00030333,scooter-black,4,36,37,40,0.25,1,0,1,27.48157589409837,0.1386011242866516,247692.0,0.23621749877929688,0.1819382207679131,0,1,0,247692.0,0.0,247692.0,247692.0,0,0
