measurement_key,sequence,target_index,left_index,right_index,segment_length,normalized_time,used_by_schedules,schedule_count,selected_half,payload_bytes,stage184_selected_psnr,psnr,psnr_delta_vs_stage184,ssim,ms_ssim,lpips,status,error
residual::soapbox:00023:00020:00024,soapbox,23,20,24,4,0.75,uniform_gap4,1,right,224133,30.03050397638623,30.03050397638623,0.0,0.8630195260047913,0.9844522476196289,0.17679747939109802,ok,
residual::soapbox:00025:00024:00028,soapbox,25,24,28,4,0.25,uniform_gap4,1,left,222441,30.392151744327283,30.392151744327283,0.0,0.8717026710510254,0.9850006699562073,0.16594119369983673,ok,
residual::soapbox:00025:00024:00032,soapbox,25,24,32,8,0.125,stage165_adaptive uniform_gap8,2,left,219569,30.394140153794837,30.394140153794837,0.0,0.8715988993644714,0.9849870204925537,0.16711539030075073,ok,
residual::soapbox:00026:00024:00028,soapbox,26,24,28,4,0.5,uniform_gap4,1,left,232661,30.384809302235464,30.384809302235464,0.0,0.8758013248443604,0.984941840171814,0.158646821975708,ok,
residual::soapbox:00026:00024:00032,soapbox,26,24,32,8,0.25,stage165_adaptive uniform_gap8,2,left,224638,30.401590735845495,30.401590735845495,0.0,0.876370906829834,0.9849026203155518,0.16059862077236176,ok,
residual::soapbox:00027:00024:00028,soapbox,27,24,28,4,0.75,uniform_gap4,1,right,226125,30.34201681636877,30.34201681636877,0.0,0.8766546845436096,0.9851449131965637,0.15353211760520935,ok,
residual::soapbox:00027:00024:00032,soapbox,27,24,32,8,0.375,stage165_adaptive uniform_gap8,2,left,230208,30.16339169179291,30.16339169179291,0.0,0.8700734972953796,0.9843408465385437,0.16535477340221405,ok,
residual::soapbox:00028:00024:00032,soapbox,28,24,32,8,0.5,stage165_adaptive uniform_gap8,2,left,236505,30.25615650878297,30.25615650878297,0.0,0.8740069270133972,0.984458327293396,0.16702771186828613,ok,
residual::soapbox:00029:00024:00032,soapbox,29,24,32,8,0.625,stage165_adaptive uniform_gap8,2,right,238879,30.13881250947515,30.13881250947515,0.0,0.8712596297264099,0.9840281009674072,0.17263291776180267,ok,
residual::soapbox:00029:00028:00032,soapbox,29,28,32,4,0.25,uniform_gap4,1,left,223090,30.621682072361125,30.621682072361125,0.0,0.8881718516349792,0.9860885143280029,0.14237383008003235,ok,
residual::soapbox:00030:00024:00032,soapbox,30,24,32,8,0.75,stage165_adaptive uniform_gap8,2,right,232785,30.20280247713002,30.20280247713002,0.0,0.8756129741668701,0.9845995306968689,0.16115888953208923,ok,
residual::soapbox:00030:00028:00032,soapbox,30,28,32,4,0.5,uniform_gap4,1,left,232716,30.316765396491057,30.316765396491057,0.0,0.8797409534454346,0.9850746393203735,0.15256473422050476,ok,
residual::soapbox:00031:00024:00032,soapbox,31,24,32,8,0.875,stage165_adaptive uniform_gap8,2,right,223924,30.74664336762813,30.74664336762813,0.0,0.8923802375793457,0.9863348603248596,0.1370532512664795,ok,
residual::soapbox:00031:00028:00032,soapbox,31,28,32,4,0.75,uniform_gap4,1,right,224546,30.747651598282964,30.747651598282964,0.0,0.8923457264900208,0.98630690574646,0.1371682733297348,ok,
residual::soapbox:00033:00032:00036,soapbox,33,32,36,4,0.25,uniform_gap4,1,left,227963,31.01597548765774,31.01597548765774,0.0,0.8968071341514587,0.9867407083511353,0.13291692733764648,ok,
residual::soapbox:00033:00032:00040,soapbox,33,32,40,8,0.125,stage165_adaptive uniform_gap8,2,left,228925,31.027693230392796,31.027693230392796,0.0,0.8971074223518372,0.9867734313011169,0.1327541619539261,ok,
residual::soapbox:00034:00032:00036,soapbox,34,32,36,4,0.5,uniform_gap4,1,left,237257,30.95491049456262,30.95491049456262,0.0,0.8951398730278015,0.9864941239356995,0.13675403594970703,ok,
residual::soapbox:00034:00032:00040,soapbox,34,32,40,8,0.25,stage165_adaptive uniform_gap8,2,left,236636,30.968489472463347,30.968489472463347,0.0,0.8958473801612854,0.9865573048591614,0.1380283236503601,ok,
residual::soapbox:00035:00032:00036,soapbox,35,32,36,4,0.75,uniform_gap4,1,right,231329,30.99994213088001,30.99994213088001,0.0,0.8971462845802307,0.9869627952575684,0.13308346271514893,ok,
residual::soapbox:00035:00032:00040,soapbox,35,32,40,8,0.375,stage165_adaptive uniform_gap8,2,left,241655,30.71406372630834,30.71406372630834,0.0,0.8878650665283203,0.9857166409492493,0.14727818965911865,ok,
residual::soapbox:00036:00032:00040,soapbox,36,32,40,8,0.5,stage165_adaptive uniform_gap8,2,left,248280,30.027433875331884,30.027433875331884,0.0,0.8693404197692871,0.9838780164718628,0.16402924060821533,ok,
residual::soapbox:00037:00032:00040,soapbox,37,32,40,8,0.625,stage165_adaptive uniform_gap8,2,right,240813,29.840002548187247,29.840002548187247,0.0,0.8730795383453369,0.9841511845588684,0.16232185065746307,ok,
residual::soapbox:00037:00036:00040,soapbox,37,36,40,4,0.25,uniform_gap4,1,left,234180,30.395589208038572,30.395589208038572,0.0,0.8924698829650879,0.9866991639137268,0.13293732702732086,ok,
residual::soapbox:00038:00032:00040,soapbox,38,32,40,8,0.75,stage165_adaptive uniform_gap8,2,right,236080,30.283136263175976,30.283136263175976,0.0,0.8857682347297668,0.9857380390167236,0.1442573219537735,ok,
residual::soapbox:00038:00036:00040,soapbox,38,36,40,4,0.5,uniform_gap4,1,left,242612,30.291548024479646,30.291548024479646,0.0,0.8869943022727966,0.9858536124229431,0.14530420303344727,ok,
residual::soapbox:00039:00032:00040,soapbox,39,32,40,8,0.875,stage165_adaptive uniform_gap8,2,right,229053,30.511058230059078,30.511058230059078,0.0,0.8931682109832764,0.986490786075592,0.13418763875961304,ok,
residual::soapbox:00039:00036:00040,soapbox,39,36,40,4,0.75,uniform_gap4,1,right,233063,30.509680150167707,30.509680150167707,0.0,0.893038272857666,0.9864853024482727,0.13452550768852234,ok,
residual::soapbox:00041:00040:00044,soapbox,41,40,44,4,0.25,uniform_gap4,1,left,235081,30.668462365771912,30.668462365771912,0.0,0.9009041786193848,0.9873892664909363,0.12950673699378967,ok,
residual::soapbox:00041:00040:00048,soapbox,41,40,48,8,0.125,stage165_adaptive uniform_gap8,2,left,233728,30.667314051558662,30.667314051558662,0.0,0.9008737206459045,0.9873899221420288,0.13012778759002686,ok,
residual::soapbox:00042:00040:00044,soapbox,42,40,44,4,0.5,uniform_gap4,1,left,247533,30.329620654716024,30.329620654716024,0.0,0.891503632068634,0.9864529967308044,0.13832974433898926,ok,
residual::soapbox:00042:00040:00048,soapbox,42,40,48,8,0.25,stage165_adaptive uniform_gap8,2,left,242070,30.287029387007934,30.287029387007934,0.0,0.8904776573181152,0.9863646626472473,0.14159844815731049,ok,
residual::soapbox:00043:00040:00044,soapbox,43,40,44,4,0.75,uniform_gap4,1,right,232259,30.59212048675218,30.59212048675218,0.0,0.9011518359184265,0.9873223900794983,0.12319572269916534,ok,
residual::soapbox:00043:00040:00048,soapbox,43,40,48,8,0.375,stage165_adaptive uniform_gap8,2,left,247448,30.241284580918283,30.241284580918283,0.0,0.8897130489349365,0.9859028458595276,0.13923899829387665,ok,
residual::soapbox:00044:00040:00048,soapbox,44,40,48,8,0.5,stage165_adaptive uniform_gap8,2,left,250319,29.90429262043068,29.90429262043068,0.0,0.8803315758705139,0.9848014116287231,0.15562906861305237,ok,
residual::soapbox:00045:00040:00048,soapbox,45,40,48,8,0.625,stage165_adaptive uniform_gap8,2,right,248965,29.868360167140402,29.868360167140402,0.0,0.8771620392799377,0.9844542145729065,0.1539434790611267,ok,
residual::soapbox:00045:00044:00048,soapbox,45,44,48,4,0.25,uniform_gap4,1,left,235287,30.55510487619302,30.55510487619302,0.0,0.8994195461273193,0.987331748008728,0.12712590396404266,ok,
residual::soapbox:00046:00040:00048,soapbox,46,40,48,8,0.75,stage165_adaptive uniform_gap8,2,right,243927,30.804423970285605,30.804423970285605,0.0,0.9023235440254211,0.987389326095581,0.12283900380134583,ok,
residual::soapbox:00046:00044:00048,soapbox,46,44,48,4,0.5,uniform_gap4,1,left,245970,30.674088036575625,30.674088036575625,0.0,0.8988997340202332,0.9869410991668701,0.12819895148277283,ok,
residual::soapbox:00047:00040:00048,soapbox,47,40,48,8,0.875,stage165_adaptive uniform_gap8,2,right,236071,31.26542170050747,31.26542170050747,0.0,0.9172974228858948,0.9891143441200256,0.10588599741458893,ok,
residual::soapbox:00047:00044:00048,soapbox,47,44,48,4,0.75,uniform_gap4,1,right,239856,31.22472593258251,31.22472593258251,0.0,0.9163395762443542,0.9889912009239197,0.107844278216362,ok,
residual::soapbox:00049:00048:00052,soapbox,49,48,52,4,0.25,uniform_gap4,1,left,236239,30.85162334468718,30.85162334468718,0.0,0.9146056175231934,0.9892408847808838,0.10709764808416367,ok,
residual::soapbox:00049:00048:00056,soapbox,49,48,56,8,0.125,uniform_gap8,1,left,236961,30.90137078639461,30.90137078639461,0.0,0.9156380295753479,0.989352285861969,0.10631267726421356,ok,
residual::soapbox:00050:00048:00052,soapbox,50,48,52,4,0.5,uniform_gap4,1,left,246641,30.30893572695103,30.30893572695103,0.0,0.9017824530601501,0.98750901222229,0.12846696376800537,ok,
residual::soapbox:00050:00048:00056,soapbox,50,48,56,8,0.25,uniform_gap8,1,left,243965,30.39025495568824,30.39025495568824,0.0,0.9044368863105774,0.9878547787666321,0.12284703552722931,ok,
residual::soapbox:00050:00049:00056,soapbox,50,49,56,7,0.14285714285714285,stage165_adaptive,1,left,235073,30.656536183522437,30.656536183522437,0.0,0.912259578704834,0.9887884855270386,0.10728107392787933,ok,
residual::soapbox:00051:00048:00052,soapbox,51,48,52,4,0.75,uniform_gap4,1,right,235173,30.464449637768787,30.464449637768787,0.0,0.9051572680473328,0.988158643245697,0.11596427112817764,ok,
residual::soapbox:00051:00048:00056,soapbox,51,48,56,8,0.375,uniform_gap8,1,left,248815,29.857333729295433,29.857333729295433,0.0,0.8861754536628723,0.9857153296470642,0.14405615627765656,ok,
residual::soapbox:00051:00049:00056,soapbox,51,49,56,7,0.2857142857142857,stage165_adaptive,1,left,242058,30.14639657039261,30.14639657039261,0.0,0.8955698609352112,0.9869139194488525,0.1288563758134842,ok,
residual::soapbox:00052:00048:00056,soapbox,52,48,56,8,0.5,uniform_gap8,1,left,252721,29.59035529188846,29.59035529188846,0.0,0.8792338371276855,0.9843764901161194,0.15859229862689972,ok,
residual::soapbox:00052:00049:00056,soapbox,52,49,56,7,0.42857142857142855,stage165_adaptive,1,left,248579,29.958376362723946,29.958376362723946,0.0,0.8898345828056335,0.9860714673995972,0.13966195285320282,ok,
residual::soapbox:00053:00048:00056,soapbox,53,48,56,8,0.625,uniform_gap8,1,right,251747,29.772687253958313,29.772687253958313,0.0,0.8831999897956848,0.9847927689552307,0.1525205820798874,ok,
residual::soapbox:00053:00049:00056,soapbox,53,49,56,7,0.5714285714285714,stage165_adaptive,1,right,252555,29.829501796948165,29.829501796948165,0.0,0.8848237991333008,0.9850817918777466,0.15366441011428833,ok,
residual::soapbox:00053:00052:00056,soapbox,53,52,56,4,0.25,uniform_gap4,1,left,240021,30.824825636630578,30.824825636630578,0.0,0.912719190120697,0.988905668258667,0.11133301258087158,ok,
residual::soapbox:00054:00048:00056,soapbox,54,48,56,8,0.75,uniform_gap8,1,right,244951,30.23894076310828,30.23894076310828,0.0,0.8957259654998779,0.9869791865348816,0.1323471963405609,ok,
residual::soapbox:00054:00049:00056,soapbox,54,49,56,7,0.7142857142857143,stage165_adaptive,1,right,245352,30.278137981380375,30.278137981380375,0.0,0.897412121295929,0.9871423244476318,0.13033537566661835,ok,
