measurement_key,sequence,frame_index,used_by_schedules,schedule_count,bits,compression,payload_encoding,anchor_values,bitstream_bytes,bitstream_mib,status,error
keyframe::car-roundabout:00001,car-roundabout,1,stage165_adaptive,1,12,none,bitpack,479232,719652,0.6863136291503906,ok,
keyframe::car-roundabout:00004,car-roundabout,4,uniform_gap2 uniform_gap4,2,12,none,bitpack,479232,719652,0.6863136291503906,ok,
keyframe::car-roundabout:00008,car-roundabout,8,stage165_adaptive uniform_gap2 uniform_gap4 uniform_gap8,4,12,none,bitpack,479232,719655,0.6863164901733398,ok,
keyframe::car-roundabout:00012,car-roundabout,12,uniform_gap2 uniform_gap4 uniform_gap6,3,12,none,bitpack,479232,719653,0.686314582824707,ok,
keyframe::car-roundabout:00015,car-roundabout,15,stage165_adaptive,1,12,none,bitpack,479232,719644,0.6863059997558594,ok,
keyframe::car-roundabout:00016,car-roundabout,16,stage165_adaptive uniform_gap16 uniform_gap2 uniform_gap4 uniform_gap8,5,12,none,bitpack,479232,719656,0.6863174438476562,ok,
keyframe::car-roundabout:00020,car-roundabout,20,uniform_gap2 uniform_gap4,2,12,none,bitpack,479232,719654,0.6863155364990234,ok,
keyframe::car-roundabout:00024,car-roundabout,24,stage165_adaptive uniform_gap2 uniform_gap4 uniform_gap6 uniform_gap8,5,12,none,bitpack,479232,719645,0.6863069534301758,ok,
keyframe::car-roundabout:00028,car-roundabout,28,uniform_gap2 uniform_gap4,2,12,none,bitpack,479232,719654,0.6863155364990234,ok,
keyframe::car-roundabout:00029,car-roundabout,29,stage165_adaptive,1,12,none,bitpack,479232,719651,0.6863126754760742,ok,
keyframe::car-roundabout:00032,car-roundabout,32,stage165_adaptive uniform_gap16 uniform_gap2 uniform_gap4 uniform_gap8,5,12,none,bitpack,479232,719645,0.6863069534301758,ok,
keyframe::car-roundabout:00036,car-roundabout,36,uniform_gap2 uniform_gap4 uniform_gap6,3,12,none,bitpack,479232,719647,0.6863088607788086,ok,
keyframe::car-roundabout:00040,car-roundabout,40,stage165_adaptive uniform_gap2 uniform_gap4 uniform_gap8,4,12,none,bitpack,479232,719645,0.6863069534301758,ok,
keyframe::car-roundabout:00044,car-roundabout,44,uniform_gap2 uniform_gap4,2,12,none,bitpack,479232,719649,0.6863107681274414,ok,
keyframe::car-roundabout:00048,car-roundabout,48,stage165_adaptive uniform_gap16 uniform_gap2 uniform_gap4 uniform_gap6 uniform_gap8,6,12,none,bitpack,479232,719656,0.6863174438476562,ok,
keyframe::car-roundabout:00052,car-roundabout,52,uniform_gap2 uniform_gap4,2,12,none,bitpack,479232,719650,0.6863117218017578,ok,
keyframe::car-roundabout:00056,car-roundabout,56,stage165_adaptive uniform_gap2 uniform_gap4 uniform_gap8,4,12,none,bitpack,479232,719648,0.686309814453125,ok,
keyframe::car-roundabout:00059,car-roundabout,59,stage165_adaptive,1,12,none,bitpack,479232,719649,0.6863107681274414,ok,
keyframe::car-roundabout:00060,car-roundabout,60,uniform_gap2 uniform_gap4 uniform_gap6,3,12,none,bitpack,479232,719645,0.6863069534301758,ok,
keyframe::car-roundabout:00064,car-roundabout,64,stage165_adaptive uniform_gap16 uniform_gap2 uniform_gap4 uniform_gap8,5,12,none,bitpack,479232,719642,0.6863040924072266,ok,
keyframe::car-roundabout:00068,car-roundabout,68,uniform_gap2 uniform_gap4,2,12,none,bitpack,479232,719645,0.6863069534301758,ok,
keyframe::car-roundabout:00072,car-roundabout,72,stage165_adaptive uniform_gap2 uniform_gap4 uniform_gap6 uniform_gap8,5,12,none,bitpack,479232,719653,0.686314582824707,ok,
keyframe::car-roundabout:00074,car-roundabout,74,stage165_adaptive uniform_gap16 uniform_gap2 uniform_gap4 uniform_gap6 uniform_gap8,6,12,none,bitpack,479232,719649,0.6863107681274414,ok,
keyframe::car-shadow:00000,car-shadow,0,stage165_adaptive uniform_gap16 uniform_gap2 uniform_gap4 uniform_gap6 uniform_gap8,6,12,none,bitpack,479232,719650,0.6863117218017578,ok,
keyframe::car-shadow:00004,car-shadow,4,uniform_gap2 uniform_gap4,2,12,none,bitpack,479232,719650,0.6863117218017578,ok,
keyframe::car-shadow:00008,car-shadow,8,stage165_adaptive uniform_gap2 uniform_gap4 uniform_gap8,4,12,none,bitpack,479232,719647,0.6863088607788086,ok,
keyframe::car-shadow:00010,car-shadow,10,stage165_adaptive uniform_gap2,2,12,none,bitpack,479232,719651,0.6863126754760742,ok,
keyframe::car-shadow:00012,car-shadow,12,uniform_gap2 uniform_gap4 uniform_gap6,3,12,none,bitpack,479232,719653,0.686314582824707,ok,
keyframe::car-shadow:00016,car-shadow,16,stage165_adaptive uniform_gap16 uniform_gap2 uniform_gap4 uniform_gap8,5,12,none,bitpack,479232,719645,0.6863069534301758,ok,
keyframe::car-shadow:00019,car-shadow,19,stage165_adaptive,1,12,none,bitpack,479232,719649,0.6863107681274414,ok,
keyframe::car-shadow:00020,car-shadow,20,uniform_gap2 uniform_gap4,2,12,none,bitpack,479232,719652,0.6863136291503906,ok,
keyframe::car-shadow:00024,car-shadow,24,stage165_adaptive uniform_gap2 uniform_gap4 uniform_gap6 uniform_gap8,5,12,none,bitpack,479232,719649,0.6863107681274414,ok,
keyframe::car-shadow:00028,car-shadow,28,uniform_gap2 uniform_gap4,2,12,none,bitpack,479232,719649,0.6863107681274414,ok,
keyframe::car-shadow:00032,car-shadow,32,stage165_adaptive uniform_gap16 uniform_gap2 uniform_gap4 uniform_gap8,5,12,none,bitpack,479232,719651,0.6863126754760742,ok,
keyframe::car-shadow:00035,car-shadow,35,stage165_adaptive,1,12,none,bitpack,479232,719645,0.6863069534301758,ok,
keyframe::car-shadow:00036,car-shadow,36,uniform_gap2 uniform_gap4 uniform_gap6,3,12,none,bitpack,479232,719635,0.6862974166870117,ok,
keyframe::car-shadow:00039,car-shadow,39,stage165_adaptive uniform_gap16 uniform_gap2 uniform_gap4 uniform_gap6 uniform_gap8,6,12,none,bitpack,479232,719651,0.6863126754760742,ok,
keyframe::cows:00000,cows,0,stage165_adaptive uniform_gap16 uniform_gap2 uniform_gap4 uniform_gap6 uniform_gap8,6,12,none,bitpack,479232,719650,0.6863117218017578,ok,
keyframe::cows:00004,cows,4,uniform_gap2 uniform_gap4,2,12,none,bitpack,479232,719638,0.6863002777099609,ok,
keyframe::cows:00008,cows,8,stage165_adaptive uniform_gap2 uniform_gap4 uniform_gap8,4,12,none,bitpack,479232,719649,0.6863107681274414,ok,
keyframe::cows:00012,cows,12,uniform_gap2 uniform_gap4 uniform_gap6,3,12,none,bitpack,479232,719651,0.6863126754760742,ok,
keyframe::cows:00015,cows,15,stage165_adaptive,1,12,none,bitpack,479232,719644,0.6863059997558594,ok,
keyframe::cows:00016,cows,16,stage165_adaptive uniform_gap16 uniform_gap2 uniform_gap4 uniform_gap8,5,12,none,bitpack,479232,719654,0.6863155364990234,ok,
keyframe::cows:00019,cows,19,stage165_adaptive,1,12,none,bitpack,479232,719647,0.6863088607788086,ok,
keyframe::cows:00020,cows,20,uniform_gap2 uniform_gap4,2,12,none,bitpack,479232,719642,0.6863040924072266,ok,
keyframe::cows:00024,cows,24,stage165_adaptive uniform_gap2 uniform_gap4 uniform_gap6 uniform_gap8,5,12,none,bitpack,479232,719648,0.686309814453125,ok,
keyframe::cows:00028,cows,28,uniform_gap2 uniform_gap4,2,12,none,bitpack,479232,719654,0.6863155364990234,ok,
keyframe::cows:00032,cows,32,stage165_adaptive uniform_gap16 uniform_gap2 uniform_gap4 uniform_gap8,5,12,none,bitpack,479232,719643,0.686305046081543,ok,
keyframe::cows:00036,cows,36,uniform_gap2 uniform_gap4 uniform_gap6,3,12,none,bitpack,479232,719645,0.6863069534301758,ok,
keyframe::cows:00040,cows,40,stage165_adaptive uniform_gap2 uniform_gap4 uniform_gap8,4,12,none,bitpack,479232,719646,0.6863079071044922,ok,
keyframe::cows:00042,cows,42,stage165_adaptive uniform_gap2 uniform_gap6,3,12,none,bitpack,479232,719646,0.6863079071044922,ok,
keyframe::cows:00044,cows,44,uniform_gap2 uniform_gap4,2,12,none,bitpack,479232,719655,0.6863164901733398,ok,
keyframe::cows:00048,cows,48,stage165_adaptive uniform_gap16 uniform_gap2 uniform_gap4 uniform_gap6 uniform_gap8,6,12,none,bitpack,479232,719650,0.6863117218017578,ok,
keyframe::cows:00052,cows,52,uniform_gap2 uniform_gap4,2,12,none,bitpack,479232,719644,0.6863059997558594,ok,
keyframe::cows:00056,cows,56,stage165_adaptive uniform_gap2 uniform_gap4 uniform_gap8,4,12,none,bitpack,479232,719647,0.6863088607788086,ok,
keyframe::cows:00060,cows,60,stage165_adaptive uniform_gap2 uniform_gap4 uniform_gap6,4,12,none,bitpack,479232,719645,0.6863069534301758,ok,
keyframe::cows:00064,cows,64,stage165_adaptive uniform_gap16 uniform_gap2 uniform_gap4 uniform_gap8,5,12,none,bitpack,479232,719648,0.686309814453125,ok,
keyframe::cows:00068,cows,68,uniform_gap2 uniform_gap4,2,12,none,bitpack,479232,719645,0.6863069534301758,ok,
keyframe::cows:00072,cows,72,stage165_adaptive uniform_gap2 uniform_gap4 uniform_gap6 uniform_gap8,5,12,none,bitpack,479232,719646,0.6863079071044922,ok,
keyframe::cows:00076,cows,76,uniform_gap2 uniform_gap4,2,12,none,bitpack,479232,719645,0.6863069534301758,ok,
