method,codec,reference_gap,side_bits,keep_fraction,task_count,mean_side_info_mib_per_intermediate_frame,mean_baseline_anchor_mse,mean_residual_anchor_mse_after_sideinfo,mean_captured_energy_fraction,mean_residual_mse_reduction_fraction
linear,q12,16,8,0.0,12,0.0,0.009777020933663743,0.009777020933663743,0.0,0.0
linear,q12,16,8,0.01,12,0.005278587341308594,0.009777020933663743,0.008735205805687993,0.16900241831031002,0.16900241831031002
linear,q12,16,8,0.05,12,0.02636432647705078,0.009777020933663743,0.006367898830066718,0.45084635795816075,0.45084635795816075
linear,q12,16,8,0.1,12,0.05272865295410156,0.009777020933663743,0.004618815669094735,0.6257691648725925,0.6257691648725925
linear,q12,16,8,0.25,12,0.1318359375,0.009777020933663743,0.002033494794980074,0.8485600745450567,0.8485600745450567
linear,q12,16,8,1.0,12,0.52734375,0.009777020933663743,1.0613362673680667e-11,1.0000000074193902,0.9999999933994022
stage65_adapter,q10,4,6,0.0,12,0.0,0.028061556340622424,0.028061556340622424,0.0,0.0
stage65_adapter,q10,4,6,0.01,12,0.0041348934173583984,0.028061556340622424,0.026898552974065144,0.040867230680095304,0.04086723068009531
stage65_adapter,q10,4,6,0.05,12,0.020652055740356445,0.028061556340622424,0.024150699016205607,0.13721559555013815,0.13721559555013815
stage65_adapter,q10,4,6,0.1,12,0.04130411148071289,0.028061556340622424,0.021753535184085876,0.22149722770540803,0.22149722770540803
stage65_adapter,q10,4,6,0.25,12,0.103271484375,0.028061556340622424,0.01658924777283628,0.4045021704714676,0.4045021704714676
stage65_adapter,q10,4,6,1.0,12,0.4130859375,0.028061556340622424,3.3962760555778136e-10,1.0000000083025358,0.9999999887690313
stage65_adapter,q10,4,8,0.0,12,0.0,0.028061556340622424,0.028061556340622424,0.0,0.0
stage65_adapter,q10,4,8,0.01,12,0.005278587341308594,0.028061556340622424,0.026898552974065144,0.040867230680095304,0.04086723068009531
stage65_adapter,q10,4,8,0.05,12,0.02636432647705078,0.028061556340622424,0.024150699016205607,0.13721559555013815,0.13721559555013815
stage65_adapter,q10,4,8,0.1,12,0.05272865295410156,0.028061556340622424,0.021753535184085876,0.22149722770540803,0.22149722770540803
stage65_adapter,q10,4,8,0.25,12,0.1318359375,0.028061556340622424,0.01658924777283628,0.4045021704714676,0.4045021704714676
stage65_adapter,q10,4,8,1.0,12,0.52734375,0.028061556340622424,3.3962760555778136e-10,1.0000000083025358,0.9999999887690313
stage65_adapter,q10,8,6,0.0,11,0.0,0.027680583211369722,0.027680583211369722,0.0,0.0
stage65_adapter,q10,8,6,0.01,11,0.0041348934173583984,0.027680583211369722,0.02631123664426359,0.0499133225625847,0.0499133225625847
stage65_adapter,q10,8,6,0.05,11,0.020652055740356445,0.027680583211369722,0.022909117247489594,0.17172700482856745,0.1717270048285674
