task_id,sequence,codec,reference_gap,target_index,method,side_bits,keep_fraction,keep_gaussians,side_info_mib_per_intermediate_frame,baseline_anchor_mse,residual_anchor_mse_after_sideinfo,captured_energy_fraction,residual_mse_reduction_fraction
stage79_00022323,breakdance,q12,4,11,stage65_adapter,8,0.01,369,0.005278587341308594,0.0266468871353019,0.025171569906748258,0.055365462429535925,0.05536546242953588
stage79_00022323,breakdance,q12,4,11,stage65_adapter,8,0.05,1843,0.02636432647705078,0.0266468871353019,0.021849488600706443,0.18003598357422562,0.18003598357422557
stage79_00022323,breakdance,q12,4,11,stage65_adapter,8,0.1,3686,0.05272865295410156,0.0266468871353019,0.019569333801921617,0.2656052580342082,0.2656052580342081
stage79_00022323,breakdance,q12,4,11,stage65_adapter,8,0.25,9216,0.1318359375,0.0266468871353019,0.015144239124069866,0.4316694836746346,0.43166948367463454
stage79_00022323,breakdance,q12,4,11,stage65_adapter,8,1.0,36864,0.52734375,0.0266468871353019,0.0,1.0000000764729338,1.0
stage79_00025268,drift-chicane,q10,16,30,linear,6,0.0,0,0.0,0.0006794376760466486,0.0006794376760466486,0.0,0.0
stage79_00025268,drift-chicane,q10,16,30,linear,6,0.01,369,0.0041348934173583984,0.0006794376760466486,0.00027977608335323824,0.5882240664351539,0.5882240664351539
stage79_00025268,drift-chicane,q10,16,30,linear,6,0.05,1843,0.020652055740356445,0.0006794376760466486,9.983911728247617e-05,0.8530562540137655,0.8530562540137656
stage79_00025268,drift-chicane,q10,16,30,linear,6,0.1,3686,0.04130411148071289,0.0006794376760466486,6.077674209562122e-05,0.9105484664182084,0.9105484664182084
stage79_00025268,drift-chicane,q10,16,30,linear,6,0.25,9216,0.103271484375,0.0006794376760466486,2.299268276263506e-05,0.9661592467223492,0.9661592467223492
stage79_00025268,drift-chicane,q10,16,30,linear,6,1.0,36864,0.4130859375,0.0006794376760466486,0.0,1.0,1.0
stage79_00025268,drift-chicane,q10,16,30,linear,8,0.0,0,0.0,0.0006794376760466486,0.0006794376760466486,0.0,0.0
stage79_00025268,drift-chicane,q10,16,30,linear,8,0.01,369,0.005278587341308594,0.0006794376760466486,0.00027977608335323824,0.5882240664351539,0.5882240664351539
stage79_00025268,drift-chicane,q10,16,30,linear,8,0.05,1843,0.02636432647705078,0.0006794376760466486,9.983911728247617e-05,0.8530562540137655,0.8530562540137656
stage79_00025268,drift-chicane,q10,16,30,linear,8,0.1,3686,0.05272865295410156,0.0006794376760466486,6.077674209562122e-05,0.9105484664182084,0.9105484664182084
stage79_00025268,drift-chicane,q10,16,30,linear,8,0.25,9216,0.1318359375,0.0006794376760466486,2.299268276263506e-05,0.9661592467223492,0.9661592467223492
stage79_00025268,drift-chicane,q10,16,30,linear,8,1.0,36864,0.52734375,0.0006794376760466486,0.0,1.0,1.0
stage79_00025268,drift-chicane,q10,16,30,stage65_adapter,6,0.0,0,0.0,0.022501882324870836,0.022501882324870836,0.0,0.0
stage79_00025268,drift-chicane,q10,16,30,stage65_adapter,6,0.01,369,0.0041348934173583984,0.022501882324870836,0.02180242996949416,0.031084170883054808,0.031084170883054818
stage79_00025268,drift-chicane,q10,16,30,stage65_adapter,6,0.05,1843,0.020652055740356445,0.022501882324870836,0.020599371092951197,0.08454898147862214,0.08454898147862211
stage79_00025268,drift-chicane,q10,16,30,stage65_adapter,6,0.1,3686,0.04130411148071289,0.022501882324870836,0.019274777836269803,0.14341486823234273,0.14341486823234273
stage79_00025268,drift-chicane,q10,16,30,stage65_adapter,6,0.25,9216,0.103271484375,0.022501882324870836,0.015456983676323524,0.313080414644278,0.31308041464427805
stage79_00025268,drift-chicane,q10,16,30,stage65_adapter,6,1.0,36864,0.4130859375,0.022501882324870836,0.0,1.0,1.0
stage79_00025268,drift-chicane,q10,16,30,stage65_adapter,8,0.0,0,0.0,0.022501882324870836,0.022501882324870836,0.0,0.0
stage79_00025268,drift-chicane,q10,16,30,stage65_adapter,8,0.01,369,0.005278587341308594,0.022501882324870836,0.02180242996949416,0.031084170883054808,0.031084170883054818
stage79_00025268,drift-chicane,q10,16,30,stage65_adapter,8,0.05,1843,0.02636432647705078,0.022501882324870836,0.020599371092951197,0.08454898147862214,0.08454898147862211
stage79_00025268,drift-chicane,q10,16,30,stage65_adapter,8,0.1,3686,0.05272865295410156,0.022501882324870836,0.019274777836269803,0.14341486823234273,0.14341486823234273
stage79_00025268,drift-chicane,q10,16,30,stage65_adapter,8,0.25,9216,0.1318359375,0.022501882324870836,0.015456983676323524,0.313080414644278,0.31308041464427805
stage79_00025268,drift-chicane,q10,16,30,stage65_adapter,8,1.0,36864,0.52734375,0.022501882324870836,0.0,1.0,1.0
stage79_00024564,dog,q10,4,46,linear,6,0.0,0,0.0,0.006133903805007283,0.006133903805007283,0.0,0.0
stage79_00024564,dog,q10,4,46,linear,6,0.01,369,0.0041348934173583984,0.006133903805007283,0.005411064395537743,0.11784329074079457,0.11784329074079458
stage79_00024564,dog,q10,4,46,linear,6,0.05,1843,0.020652055740356445,0.006133903805007283,0.004028646227640984,0.34321659489470907,0.343216594894709
stage79_00024564,dog,q10,4,46,linear,6,0.1,3686,0.04130411148071289,0.006133903805007283,0.0030604547415024196,0.5010592212085097,0.5010592212085097
stage79_00024564,dog,q10,4,46,linear,6,0.25,9216,0.103271484375,0.006133903805007283,0.0015231559419224404,0.7516824537288889,0.7516824537288889
stage79_00024564,dog,q10,4,46,linear,6,1.0,36864,0.4130859375,0.006133903805007283,0.0,1.0,1.0
stage79_00024564,dog,q10,4,46,linear,8,0.0,0,0.0,0.006133903805007283,0.006133903805007283,0.0,0.0
stage79_00024564,dog,q10,4,46,linear,8,0.01,369,0.005278587341308594,0.006133903805007283,0.005411064395537743,0.11784329074079457,0.11784329074079458
stage79_00024564,dog,q10,4,46,linear,8,0.05,1843,0.02636432647705078,0.006133903805007283,0.004028646227640984,0.34321659489470907,0.343216594894709
stage79_00024564,dog,q10,4,46,linear,8,0.1,3686,0.05272865295410156,0.006133903805007283,0.0030604547415024196,0.5010592212085097,0.5010592212085097
stage79_00024564,dog,q10,4,46,linear,8,0.25,9216,0.1318359375,0.006133903805007283,0.0015231559419224404,0.7516824537288889,0.7516824537288889
stage79_00024564,dog,q10,4,46,linear,8,1.0,36864,0.52734375,0.006133903805007283,0.0,1.0,1.0
stage79_00024564,dog,q10,4,46,stage65_adapter,6,0.0,0,0.0,0.028908309773502186,0.028908309773502186,0.0,0.0
stage79_00024564,dog,q10,4,46,stage65_adapter,6,0.01,369,0.0041348934173583984,0.028908309773502186,0.028065655985449113,0.02914918909667497,0.029149189096674966
stage79_00024564,dog,q10,4,46,stage65_adapter,6,0.05,1843,0.020652055740356445,0.028908309773502186,0.025764925867064387,0.10873634366956576,0.10873634366956575
stage79_00024564,dog,q10,4,46,stage65_adapter,6,0.1,3686,0.04130411148071289,0.028908309773502186,0.02350890228890965,0.18677700380607232,0.18677700380607232
stage79_00024564,dog,q10,4,46,stage65_adapter,6,0.25,9216,0.103271484375,0.028908309773502186,0.018122232877291165,0.37311337054017973,0.3731133705401798
stage79_00024564,dog,q10,4,46,stage65_adapter,6,1.0,36864,0.4130859375,0.028908309773502186,0.0,1.0,1.0
stage79_00024564,dog,q10,4,46,stage65_adapter,8,0.0,0,0.0,0.028908309773502186,0.028908309773502186,0.0,0.0
stage79_00024564,dog,q10,4,46,stage65_adapter,8,0.01,369,0.005278587341308594,0.028908309773502186,0.028065655985449113,0.02914918909667497,0.029149189096674966
stage79_00024564,dog,q10,4,46,stage65_adapter,8,0.05,1843,0.02636432647705078,0.028908309773502186,0.025764925867064387,0.10873634366956576,0.10873634366956575
stage79_00024564,dog,q10,4,46,stage65_adapter,8,0.1,3686,0.05272865295410156,0.028908309773502186,0.02350890228890965,0.18677700380607232,0.18677700380607232
stage79_00024564,dog,q10,4,46,stage65_adapter,8,0.25,9216,0.1318359375,0.028908309773502186,0.018122232877291165,0.37311337054017973,0.3731133705401798
stage79_00024564,dog,q10,4,46,stage65_adapter,8,1.0,36864,0.52734375,0.028908309773502186,0.0,1.0,1.0
stage79_00029230,paragliding-launch,q12,16,7,linear,6,0.0,0,0.0,0.006350284967667017,0.006350284967667017,0.0,0.0
stage79_00029230,paragliding-launch,q12,16,7,linear,6,0.01,369,0.0041348934173583984,0.006350284967667017,0.0054030277026005285,0.1491676782836558,0.14916767828365574
stage79_00029230,paragliding-launch,q12,16,7,linear,6,0.05,1843,0.020652055740356445,0.006350284967667017,0.0035583911797939204,0.43964858303024934,0.43964858303024934
stage79_00029230,paragliding-launch,q12,16,7,linear,6,0.1,3686,0.04130411148071289,0.006350284967667017,0.0024411739447177984,0.6155804098324358,0.6155804098324358
stage79_00029230,paragliding-launch,q12,16,7,linear,6,0.25,9216,0.103271484375,0.006350284967667017,0.0010197702636066666,0.8394134643092541,0.8394134643092541
stage79_00029230,paragliding-launch,q12,16,7,linear,6,1.0,36864,0.4130859375,0.006350284967667017,0.0,1.0,1.0
stage79_00029230,paragliding-launch,q12,16,7,linear,8,0.0,0,0.0,0.006350284967667017,0.006350284967667017,0.0,0.0
stage79_00029230,paragliding-launch,q12,16,7,linear,8,0.01,369,0.005278587341308594,0.006350284967667017,0.0054030277026005285,0.1491676782836558,0.14916767828365574
stage79_00029230,paragliding-launch,q12,16,7,linear,8,0.05,1843,0.02636432647705078,0.006350284967667017,0.0035583911797939204,0.43964858303024934,0.43964858303024934
stage79_00029230,paragliding-launch,q12,16,7,linear,8,0.1,3686,0.05272865295410156,0.006350284967667017,0.0024411739447177984,0.6155804098324358,0.6155804098324358
stage79_00029230,paragliding-launch,q12,16,7,linear,8,0.25,9216,0.1318359375,0.006350284967667017,0.0010197702636066666,0.8394134643092541,0.8394134643092541
stage79_00029230,paragliding-launch,q12,16,7,linear,8,1.0,36864,0.52734375,0.006350284967667017,0.0,1.0,1.0
stage79_00029230,paragliding-launch,q12,16,7,stage65_adapter,6,0.0,0,0.0,0.030174728132720686,0.030174728132720686,0.0,0.0
stage79_00029230,paragliding-launch,q12,16,7,stage65_adapter,6,0.01,369,0.0041348934173583984,0.030174728132720686,0.028899510701497395,0.04226110756041836,0.04226110756041834
stage79_00029230,paragliding-launch,q12,16,7,stage65_adapter,6,0.05,1843,0.020652055740356445,0.030174728132720686,0.025867543668828458,0.14274145055913956,0.14274145055913956
stage79_00029230,paragliding-launch,q12,16,7,stage65_adapter,6,0.1,3686,0.04130411148071289,0.030174728132720686,0.023325437154525366,0.22698766159779013,0.22698766159779016
stage79_00029230,paragliding-launch,q12,16,7,stage65_adapter,6,0.25,9216,0.103271484375,0.030174728132720686,0.017887053326663807,0.40721741558070396,0.407217415580704
stage79_00029230,paragliding-launch,q12,16,7,stage65_adapter,6,1.0,36864,0.4130859375,0.030174728132720686,0.0,1.0,1.0
stage79_00029230,paragliding-launch,q12,16,7,stage65_adapter,8,0.0,0,0.0,0.030174728132720686,0.030174728132720686,0.0,0.0
stage79_00029230,paragliding-launch,q12,16,7,stage65_adapter,8,0.01,369,0.005278587341308594,0.030174728132720686,0.028899510701497395,0.04226110756041836,0.04226110756041834
stage79_00029230,paragliding-launch,q12,16,7,stage65_adapter,8,0.05,1843,0.02636432647705078,0.030174728132720686,0.025867543668828458,0.14274145055913956,0.14274145055913956
stage79_00029230,paragliding-launch,q12,16,7,stage65_adapter,8,0.1,3686,0.05272865295410156,0.030174728132720686,0.023325437154525366,0.22698766159779013,0.22698766159779016
stage79_00029230,paragliding-launch,q12,16,7,stage65_adapter,8,0.25,9216,0.1318359375,0.030174728132720686,0.017887053326663807,0.40721741558070396,0.407217415580704
