policy,base_method,reference_gap,task_count,mean_base_psnr,mean_endpoint_sideinfo_psnr,mean_selected_sideinfo_psnr,mean_teacher_oracle_sideinfo_psnr,mean_delta_psnr_vs_endpoint,mean_delta_psnr_vs_base,mean_gap_to_teacher_oracle_psnr,mean_precision_at_keep,mean_energy_recall_total,mean_relative_energy_recall_vs_oracle,selected_candidate_counts
endpoint_only,stage65_adapter,4,83,20.091532143802056,21.356867273139482,21.356867273139482,22.711642777930805,0.0,1.2653351293374357,-1.354775504791325,0.2969817405938962,0.13541715349777636,0.5848634009619793,endpoint_diff_baseline:83
endpoint_only,stage65_adapter,8,79,19.269608188829494,20.525267394607553,20.525267394607553,22.138047190150854,0.0,1.2556592057780636,-1.6127797955433103,0.2687933128327131,0.13485765909846825,0.5559802549549296,endpoint_diff_baseline:79
endpoint_only,stage65_adapter,16,78,18.042638126547047,19.19073574770046,19.19073574770046,20.970493281723723,0.0,1.1480976211534057,-1.779757534023271,0.22854320601058695,0.12765914053680041,0.5149454292960656,endpoint_diff_baseline:78
group_best_mean_psnr,linear,4,83,19.886347737427403,21.299547171094726,21.299547171094726,23.015849377708975,0.0,1.413199433667318,-1.7163022066142593,0.3246540131877704,0.2822642517107797,0.4250208229185587,endpoint_diff_baseline:83
group_best_mean_psnr,linear,8,79,18.996477066901544,20.375548431279505,20.384855703107966,22.371117622074348,0.009307271828446134,1.3883786362064119,-1.9862619189663924,0.3329670252867892,0.3011815741280966,0.4658688325670701,shared_energy_regression:79
group_best_mean_psnr,linear,16,78,17.819125152586505,19.046909687167492,19.073371617988872,21.154356648240174,0.026461930821385912,1.254246465402365,-2.080985030251295,0.27462540114393985,0.25514130036418253,0.4180108870451267,shared_energy_regression:78
group_best_mean_psnr,stage65_adapter,4,83,20.091532143802056,21.356867273139482,21.356867273139482,22.711642777930805,0.0,1.2653351293374357,-1.354775504791325,0.2969817405938962,0.13541715349777636,0.5848634009619793,endpoint_diff_baseline:83
group_best_mean_psnr,stage65_adapter,8,79,19.269608188829494,20.525267394607553,20.525267394607553,22.138047190150854,0.0,1.2556592057780636,-1.6127797955433103,0.2687933128327131,0.13485765909846825,0.5559802549549296,endpoint_diff_baseline:79
group_best_mean_psnr,stage65_adapter,16,78,18.042638126547047,19.19073574770046,19.19073574770046,20.970493281723723,0.0,1.1480976211534057,-1.779757534023271,0.22854320601058695,0.12765914053680041,0.5149454292960656,endpoint_diff_baseline:78
oracle_task_best,linear,4,83,19.886347737427403,21.299547171094726,21.348889566566456,23.015849377708975,0.04934239547172279,1.4625418291390408,-1.6669598111425363,0.3388268201196768,0.2977926634162305,0.45130635438913325,endpoint_diff_baseline:45;shared_energy_regression:27;shared_topk_bce:11
oracle_task_best,linear,8,79,18.996477066901544,20.375548431279505,20.45204109425389,22.371117622074348,0.07649266297437256,1.4555640273523376,-1.9190765278204662,0.32552181797314295,0.29295518192686615,0.452539400586599,endpoint_diff_baseline:34;shared_energy_regression:27;shared_topk_bce:18
oracle_task_best,linear,16,78,17.819125152586505,19.046909687167492,19.148754397689725,21.154356648240174,0.10184471052224166,1.3296292451032214,-2.0056022505504387,0.2787539830001501,0.25331482778374964,0.4154057955512634,endpoint_diff_baseline:30;shared_energy_regression:26;shared_topk_bce:22
oracle_task_best,stage65_adapter,4,83,20.091532143802056,21.356867273139482,21.38099228544574,22.711642777930805,0.024125012306258554,1.289460141643694,-1.3306504924850666,0.3191136753478323,0.14127527994204717,0.6076195046126124,endpoint_diff_baseline:67;shared_energy_regression:9;shared_topk_bce:7
oracle_task_best,stage65_adapter,8,79,19.269608188829494,20.525267394607553,20.572239134838956,22.138047190150854,0.046971740231397476,1.3026309460094607,-1.5658080553119134,0.31267471045632905,0.1467370883196215,0.5980714793446698,endpoint_diff_baseline:56;shared_energy_regression:15;shared_topk_bce:8
oracle_task_best,stage65_adapter,16,78,18.042638126547047,19.19073574770046,19.264917579770174,20.970493281723723,0.07418183206971249,1.2222794532231178,-1.705575701953559,0.28740069828927517,0.14442397539432233,0.5750427968226947,endpoint_diff_baseline:46;shared_energy_regression:17;shared_topk_bce:15
stage106_fixed_group_policy,linear,4,83,19.886347737427403,21.299547171094726,21.276124583171555,23.015849377708975,-0.023422587923175493,1.3897768457441428,-1.7397247945374348,0.3503716419260186,0.31343954110361005,0.47481397943324355,shared_energy_regression:83
stage106_fixed_group_policy,linear,8,79,18.996477066901544,20.375548431279505,20.384855703107966,22.371117622074348,0.009307271828446134,1.3883786362064119,-1.9862619189663924,0.3329670252867892,0.3011815741280966,0.4658688325670701,shared_energy_regression:79
stage106_fixed_group_policy,linear,16,78,17.819125152586505,19.046909687167492,19.073371617988872,21.154356648240174,0.026461930821385912,1.254246465402365,-2.080985030251295,0.27462540114393985,0.25514130036418253,0.4180108870451267,shared_energy_regression:78
stage106_fixed_group_policy,stage65_adapter,4,83,20.091532143802056,21.356867273139482,21.356867273139482,22.711642777930805,0.0,1.2653351293374357,-1.354775504791325,0.2969817405938962,0.13541715349777636,0.5848634009619793,endpoint_diff_baseline:83
stage106_fixed_group_policy,stage65_adapter,8,79,19.269608188829494,20.525267394607553,20.525267394607553,22.138047190150854,0.0,1.2556592057780636,-1.6127797955433103,0.2687933128327131,0.13485765909846825,0.5559802549549296,endpoint_diff_baseline:79
stage106_fixed_group_policy,stage65_adapter,16,78,18.042638126547047,19.19073574770046,19.19073574770046,20.970493281723723,0.0,1.1480976211534057,-1.779757534023271,0.22854320601058695,0.12765914053680041,0.5149454292960656,endpoint_diff_baseline:78
