policy,stage97_task_id,source_task_id,sequence,reference_gap,target_index,base_method,selected_candidate,base_psnr,endpoint_sideinfo_psnr,selected_sideinfo_psnr,teacher_oracle_sideinfo_psnr,delta_psnr_vs_endpoint,delta_psnr_vs_base,gap_to_teacher_oracle_psnr,precision_at_keep,energy_recall_total,relative_energy_recall_vs_oracle
group_best_mean_psnr,stage97_00014834,stage79_00029735,parkour,16,27,stage65_adapter,endpoint_diff_baseline,16.44739946890641,17.45998367932974,17.45998367932974,19.687831495293963,0.0,1.0125842104233271,-2.2278478159642248,0.1787845939397812,0.11872581392526627,0.49945545196533203
oracle_task_best,stage97_00014834,stage79_00029735,parkour,16,27,stage65_adapter,endpoint_diff_baseline,16.44739946890641,17.45998367932974,17.45998367932974,19.687831495293963,0.0,1.0125842104233271,-2.2278478159642248,0.1787845939397812,0.11872581392526627,0.49945545196533203
endpoint_only,stage97_00014845,stage79_00029746,parkour,16,39,linear,endpoint_diff_baseline,14.399040873178405,15.040495632579415,15.040495632579415,17.29199797345793,0.0,0.6414547594010092,-2.251502340878517,0.0759631022810936,0.11815734952688217,0.2595866620540619
always_shared_energy_regression,stage97_00014845,stage79_00029746,parkour,16,39,linear,shared_energy_regression,14.399040873178405,15.040495632579415,15.137069552791889,17.29199797345793,0.09657392021247446,0.7380286796134836,-2.1549284206660424,0.1294085681438446,0.13813623785972595,0.3034794330596924
always_shared_topk_bce,stage97_00014845,stage79_00029746,parkour,16,39,linear,shared_topk_bce,14.399040873178405,15.040495632579415,15.173460216587847,17.29199797345793,0.13296458400843214,0.7744193434094413,-2.1185377568700847,0.13483451306819916,0.14108918607234955,0.30996695160865784
stage106_fixed_group_policy,stage97_00014845,stage79_00029746,parkour,16,39,linear,shared_energy_regression,14.399040873178405,15.040495632579415,15.137069552791889,17.29199797345793,0.09657392021247446,0.7380286796134836,-2.1549284206660424,0.1294085681438446,0.13813623785972595,0.3034794330596924
group_best_mean_psnr,stage97_00014845,stage79_00029746,parkour,16,39,linear,shared_energy_regression,14.399040873178405,15.040495632579415,15.137069552791889,17.29199797345793,0.09657392021247446,0.7380286796134836,-2.1549284206660424,0.1294085681438446,0.13813623785972595,0.3034794330596924
oracle_task_best,stage97_00014845,stage79_00029746,parkour,16,39,linear,shared_topk_bce,14.399040873178405,15.040495632579415,15.173460216587847,17.29199797345793,0.13296458400843214,0.7744193434094413,-2.1185377568700847,0.13483451306819916,0.14108918607234955,0.30996695160865784
endpoint_only,stage97_00014845,stage79_00029746,parkour,16,39,stage65_adapter,endpoint_diff_baseline,14.624193009554832,15.295572168569926,15.295572168569926,17.59190383317761,0.0,0.6713791590150944,-2.296331664607685,0.0827455222606659,0.10295461118221283,0.4156801402568817
always_shared_energy_regression,stage97_00014845,stage79_00029746,parkour,16,39,stage65_adapter,shared_energy_regression,14.624193009554832,15.295572168569926,15.387739022793063,17.59190383317761,0.0921668542231373,0.7635460132382317,-2.2041648103845475,0.24064025282859802,0.13639701902866364,0.5507041811943054
always_shared_topk_bce,stage97_00014845,stage79_00029746,parkour,16,39,stage65_adapter,shared_topk_bce,14.624193009554832,15.295572168569926,15.458352638578226,17.59190383317761,0.16278047000830043,0.8341596290233948,-2.1335511945993844,0.24498100578784943,0.13970187306404114,0.5640475749969482
stage106_fixed_group_policy,stage97_00014845,stage79_00029746,parkour,16,39,stage65_adapter,endpoint_diff_baseline,14.624193009554832,15.295572168569926,15.295572168569926,17.59190383317761,0.0,0.6713791590150944,-2.296331664607685,0.0827455222606659,0.10295461118221283,0.4156801402568817
group_best_mean_psnr,stage97_00014845,stage79_00029746,parkour,16,39,stage65_adapter,endpoint_diff_baseline,14.624193009554832,15.295572168569926,15.295572168569926,17.59190383317761,0.0,0.6713791590150944,-2.296331664607685,0.0827455222606659,0.10295461118221283,0.4156801402568817
oracle_task_best,stage97_00014845,stage79_00029746,parkour,16,39,stage65_adapter,shared_topk_bce,14.624193009554832,15.295572168569926,15.458352638578226,17.59190383317761,0.16278047000830043,0.8341596290233948,-2.1335511945993844,0.24498100578784943,0.13970187306404114,0.5640475749969482
endpoint_only,stage97_00014888,stage79_00029789,parkour,16,85,linear,endpoint_diff_baseline,15.582216591467546,16.29382361123148,16.29382361123148,17.815756220774276,0.0,0.7116070197639353,-1.5219326095427945,0.16332067549228668,0.14105457067489624,0.3140888512134552
always_shared_energy_regression,stage97_00014888,stage79_00029789,parkour,16,85,linear,shared_energy_regression,15.582216591467546,16.29382361123148,16.33318771497717,17.815756220774276,0.039364103745690215,0.7509711235096255,-1.4825685057971043,0.20130223035812378,0.16928240656852722,0.37694430351257324
always_shared_topk_bce,stage97_00014888,stage79_00029789,parkour,16,85,linear,shared_topk_bce,15.582216591467546,16.29382361123148,16.332560815958605,17.815756220774276,0.0387372047271235,0.7503442244910588,-1.483195404815671,0.2078133523464203,0.17208613455295563,0.3831874132156372
stage106_fixed_group_policy,stage97_00014888,stage79_00029789,parkour,16,85,linear,shared_energy_regression,15.582216591467546,16.29382361123148,16.33318771497717,17.815756220774276,0.039364103745690215,0.7509711235096255,-1.4825685057971043,0.20130223035812378,0.16928240656852722,0.37694430351257324
group_best_mean_psnr,stage97_00014888,stage79_00029789,parkour,16,85,linear,shared_energy_regression,15.582216591467546,16.29382361123148,16.33318771497717,17.815756220774276,0.039364103745690215,0.7509711235096255,-1.4825685057971043,0.20130223035812378,0.16928240656852722,0.37694430351257324
oracle_task_best,stage97_00014888,stage79_00029789,parkour,16,85,linear,shared_energy_regression,15.582216591467546,16.29382361123148,16.33318771497717,17.815756220774276,0.039364103745690215,0.7509711235096255,-1.4825685057971043,0.20130223035812378,0.16928240656852722,0.37694430351257324
endpoint_only,stage97_00014888,stage79_00029789,parkour,16,85,stage65_adapter,endpoint_diff_baseline,15.884624035112829,16.568373708739777,16.568373708739777,18.13968884406336,0.0,0.6837496736269486,-1.5713151353235837,0.17010308802127838,0.12164118885993958,0.45964017510414124
always_shared_energy_regression,stage97_00014888,stage79_00029789,parkour,16,85,stage65_adapter,shared_energy_regression,15.884624035112829,16.568373708739777,16.605845616442107,18.13968884406336,0.03747190770232933,0.7212215813292779,-1.5338432276212544,0.3258274495601654,0.16170355677604675,0.6110220551490784
always_shared_topk_bce,stage97_00014888,stage79_00029789,parkour,16,85,stage65_adapter,shared_topk_bce,15.884624035112829,16.568373708739777,16.56454756299484,18.13968884406336,-0.003826145744938003,0.6799235278820106,-1.5751412810685217,0.31172001361846924,0.15875335037708282,0.5998742580413818
stage106_fixed_group_policy,stage97_00014888,stage79_00029789,parkour,16,85,stage65_adapter,endpoint_diff_baseline,15.884624035112829,16.568373708739777,16.568373708739777,18.13968884406336,0.0,0.6837496736269486,-1.5713151353235837,0.17010308802127838,0.12164118885993958,0.45964017510414124
group_best_mean_psnr,stage97_00014888,stage79_00029789,parkour,16,85,stage65_adapter,endpoint_diff_baseline,15.884624035112829,16.568373708739777,16.568373708739777,18.13968884406336,0.0,0.6837496736269486,-1.5713151353235837,0.17010308802127838,0.12164118885993958,0.45964017510414124
oracle_task_best,stage97_00014888,stage79_00029789,parkour,16,85,stage65_adapter,shared_energy_regression,15.884624035112829,16.568373708739777,16.605845616442107,18.13968884406336,0.03747190770232933,0.7212215813292779,-1.5338432276212544,0.3258274495601654,0.16170355677604675,0.6110220551490784
endpoint_only,stage97_00014937,stage79_00030037,pigs,4,49,linear,endpoint_diff_baseline,25.028340248134405,26.527228975166793,26.527228975166793,27.34740911206348,0.0,1.4988887270323872,-0.8201801368966883,0.34888768196105957,0.2923164665699005,0.48179832100868225
always_shared_energy_regression,stage97_00014937,stage79_00030037,pigs,4,49,linear,shared_energy_regression,25.028340248134405,26.527228975166793,26.305927741600502,27.34740911206348,-0.22130123356629028,1.277587493466097,-1.0414813704629786,0.3857840597629547,0.32958984375,0.5432326197624207
always_shared_topk_bce,stage97_00014937,stage79_00030037,pigs,4,49,linear,shared_topk_bce,25.028340248134405,26.527228975166793,26.0022750575127,27.34740911206348,-0.5249539176540914,0.9739348093782958,-1.3451340545507797,0.36462289094924927,0.3205207884311676,0.5282849073410034
stage106_fixed_group_policy,stage97_00014937,stage79_00030037,pigs,4,49,linear,shared_energy_regression,25.028340248134405,26.527228975166793,26.305927741600502,27.34740911206348,-0.22130123356629028,1.277587493466097,-1.0414813704629786,0.3857840597629547,0.32958984375,0.5432326197624207
group_best_mean_psnr,stage97_00014937,stage79_00030037,pigs,4,49,linear,endpoint_diff_baseline,25.028340248134405,26.527228975166793,26.527228975166793,27.34740911206348,0.0,1.4988887270323872,-0.8201801368966883,0.34888768196105957,0.2923164665699005,0.48179832100868225
oracle_task_best,stage97_00014937,stage79_00030037,pigs,4,49,linear,endpoint_diff_baseline,25.028340248134405,26.527228975166793,26.527228975166793,27.34740911206348,0.0,1.4988887270323872,-0.8201801368966883,0.34888768196105957,0.2923164665699005,0.48179832100868225
endpoint_only,stage97_00014937,stage79_00030037,pigs,4,49,stage65_adapter,endpoint_diff_baseline,25.19113467654316,26.595233062903244,26.595233062903244,26.85983075104854,0.0,1.4040983863600829,-0.2645976881452974,0.32935431599617004,0.13664250075817108,0.6594279408454895
always_shared_energy_regression,stage97_00014937,stage79_00030037,pigs,4,49,stage65_adapter,shared_energy_regression,25.19113467654316,26.595233062903244,26.057996308389313,26.85983075104854,-0.5372367545139305,0.8668616318461524,-0.8018344426592279,0.48073792457580566,0.16126395761966705,0.7782495021820068
always_shared_topk_bce,stage97_00014937,stage79_00030037,pigs,4,49,stage65_adapter,shared_topk_bce,25.19113467654316,26.595233062903244,25.995281839796483,26.85983075104854,-0.5999512231067605,0.8041471632533224,-0.8645489112520579,0.4953879415988922,0.1616903692483902,0.7803073525428772
stage106_fixed_group_policy,stage97_00014937,stage79_00030037,pigs,4,49,stage65_adapter,endpoint_diff_baseline,25.19113467654316,26.595233062903244,26.595233062903244,26.85983075104854,0.0,1.4040983863600829,-0.2645976881452974,0.32935431599617004,0.13664250075817108,0.6594279408454895
group_best_mean_psnr,stage97_00014937,stage79_00030037,pigs,4,49,stage65_adapter,endpoint_diff_baseline,25.19113467654316,26.595233062903244,26.595233062903244,26.85983075104854,0.0,1.4040983863600829,-0.2645976881452974,0.32935431599617004,0.13664250075817108,0.6594279408454895
oracle_task_best,stage97_00014937,stage79_00030037,pigs,4,49,stage65_adapter,endpoint_diff_baseline,25.19113467654316,26.595233062903244,26.595233062903244,26.85983075104854,0.0,1.4040983863600829,-0.2645976881452974,0.32935431599617004,0.13664250075817108,0.6594279408454895
endpoint_only,stage97_00014948,stage79_00030048,pigs,4,63,linear,endpoint_diff_baseline,26.591030973570312,27.773381708842486,27.773381708842486,28.25712767083151,0.0,1.1823507352721734,-0.48374596198902253,0.34074878692626953,0.3137834072113037,0.4822762608528137
always_shared_energy_regression,stage97_00014948,stage79_00030048,pigs,4,63,linear,shared_energy_regression,26.591030973570312,27.773381708842486,27.74741614273827,28.25712767083151,-0.0259655661042153,1.156385169167958,-0.5097115280932378,0.40477481484413147,0.3663749098777771,0.5631079077720642
always_shared_topk_bce,stage97_00014948,stage79_00030048,pigs,4,63,linear,shared_topk_bce,26.591030973570312,27.773381708842486,27.56987535724475,28.25712767083151,-0.2035063515977349,0.9788443836744385,-0.6872523135867574,0.39582201838493347,0.367002934217453,0.5640732049942017
stage106_fixed_group_policy,stage97_00014948,stage79_00030048,pigs,4,63,linear,shared_energy_regression,26.591030973570312,27.773381708842486,27.74741614273827,28.25712767083151,-0.0259655661042153,1.156385169167958,-0.5097115280932378,0.40477481484413147,0.3663749098777771,0.5631079077720642
group_best_mean_psnr,stage97_00014948,stage79_00030048,pigs,4,63,linear,endpoint_diff_baseline,26.591030973570312,27.773381708842486,27.773381708842486,28.25712767083151,0.0,1.1823507352721734,-0.48374596198902253,0.34074878692626953,0.3137834072113037,0.4822762608528137
oracle_task_best,stage97_00014948,stage79_00030048,pigs,4,63,linear,endpoint_diff_baseline,26.591030973570312,27.773381708842486,27.773381708842486,28.25712767083151,0.0,1.1823507352721734,-0.48374596198902253,0.34074878692626953,0.3137834072113037,0.4822762608528137
endpoint_only,stage97_00014948,stage79_00030048,pigs,4,63,stage65_adapter,endpoint_diff_baseline,25.948488334018016,26.91067519688516,26.91067519688516,26.964644660872903,0.0,0.9621868628671422,-0.053969463987744604,0.31172001361846924,0.12210234254598618,0.6982069611549377
always_shared_energy_regression,stage97_00014948,stage79_00030048,pigs,4,63,stage65_adapter,shared_energy_regression,25.948488334018016,26.91067519688516,26.668166730374057,26.964644660872903,-0.2425084665111008,0.7196783963560414,-0.2964779304988454,0.469072163105011,0.13917352259159088,0.7958235740661621
always_shared_topk_bce,stage97_00014948,stage79_00030048,pigs,4,63,stage65_adapter,shared_topk_bce,25.948488334018016,26.91067519688516,26.690479944541945,26.964644660872903,-0.22019525234321335,0.7419916105239288,-0.27416471633095796,0.5035268664360046,0.14047399163246155,0.8032599687576294
stage106_fixed_group_policy,stage97_00014948,stage79_00030048,pigs,4,63,stage65_adapter,endpoint_diff_baseline,25.948488334018016,26.91067519688516,26.91067519688516,26.964644660872903,0.0,0.9621868628671422,-0.053969463987744604,0.31172001361846924,0.12210234254598618,0.6982069611549377
group_best_mean_psnr,stage97_00014948,stage79_00030048,pigs,4,63,stage65_adapter,endpoint_diff_baseline,25.948488334018016,26.91067519688516,26.91067519688516,26.964644660872903,0.0,0.9621868628671422,-0.053969463987744604,0.31172001361846924,0.12210234254598618,0.6982069611549377
oracle_task_best,stage97_00014948,stage79_00030048,pigs,4,63,stage65_adapter,endpoint_diff_baseline,25.948488334018016,26.91067519688516,26.91067519688516,26.964644660872903,0.0,0.9621868628671422,-0.053969463987744604,0.31172001361846924,0.12210234254598618,0.6982069611549377
endpoint_only,stage97_00014954,stage79_00030054,pigs,4,71,linear,endpoint_diff_baseline,27.17694926291167,28.22675950297694,28.22675950297694,28.785834272865376,0.0,1.0498102400652698,-0.5590747698884364,0.3526858389377594,0.32582637667655945,0.4718652665615082
always_shared_energy_regression,stage97_00014954,stage79_00030054,pigs,4,71,linear,shared_energy_regression,27.17694926291167,28.22675950297694,28.177740844725555,28.785834272865376,-0.049018658251384295,1.0007915818138855,-0.6080934281398207,0.41616928577423096,0.38593265414237976,0.5589118003845215
always_shared_topk_bce,stage97_00014954,stage79_00030054,pigs,4,71,linear,shared_topk_bce,27.17694926291167,28.22675950297694,27.947403241769827,28.785834272865376,-0.27935626120711277,0.770453978858157,-0.8384310310955492,0.3969072103500366,0.36744141578674316,0.532132625579834
stage106_fixed_group_policy,stage97_00014954,stage79_00030054,pigs,4,71,linear,shared_energy_regression,27.17694926291167,28.22675950297694,28.177740844725555,28.785834272865376,-0.049018658251384295,1.0007915818138855,-0.6080934281398207,0.41616928577423096,0.38593265414237976,0.5589118003845215
group_best_mean_psnr,stage97_00014954,stage79_00030054,pigs,4,71,linear,endpoint_diff_baseline,27.17694926291167,28.22675950297694,28.22675950297694,28.785834272865376,0.0,1.0498102400652698,-0.5590747698884364,0.3526858389377594,0.32582637667655945,0.4718652665615082
oracle_task_best,stage97_00014954,stage79_00030054,pigs,4,71,linear,endpoint_diff_baseline,27.17694926291167,28.22675950297694,28.22675950297694,28.785834272865376,0.0,1.0498102400652698,-0.5590747698884364,0.3526858389377594,0.32582637667655945,0.4718652665615082
endpoint_only,stage97_00014954,stage79_00030054,pigs,4,71,stage65_adapter,endpoint_diff_baseline,26.00512112334744,26.833974885418044,26.833974885418044,27.023250307748064,0.0,0.8288537620706045,-0.18927542233002015,0.32013022899627686,0.11797505617141724,0.712186872959137
always_shared_energy_regression,stage97_00014954,stage79_00030054,pigs,4,71,stage65_adapter,shared_energy_regression,26.00512112334744,26.833974885418044,26.655092378058022,27.023250307748064,-0.1788825073600222,0.6499712547105823,-0.36815792969004235,0.4579489827156067,0.13018916547298431,0.7859205007553101
always_shared_topk_bce,stage97_00014954,stage79_00030054,pigs,4,71,stage65_adapter,shared_topk_bce,26.00512112334744,26.833974885418044,26.702442699882592,27.023250307748064,-0.13153218553545187,0.6973215765351526,-0.320807607865472,0.49023330211639404,0.1316254884004593,0.7945912480354309
stage106_fixed_group_policy,stage97_00014954,stage79_00030054,pigs,4,71,stage65_adapter,endpoint_diff_baseline,26.00512112334744,26.833974885418044,26.833974885418044,27.023250307748064,0.0,0.8288537620706045,-0.18927542233002015,0.32013022899627686,0.11797505617141724,0.712186872959137
group_best_mean_psnr,stage97_00014954,stage79_00030054,pigs,4,71,stage65_adapter,endpoint_diff_baseline,26.00512112334744,26.833974885418044,26.833974885418044,27.023250307748064,0.0,0.8288537620706045,-0.18927542233002015,0.32013022899627686,0.11797505617141724,0.712186872959137
oracle_task_best,stage97_00014954,stage79_00030054,pigs,4,71,stage65_adapter,endpoint_diff_baseline,26.00512112334744,26.833974885418044,26.833974885418044,27.023250307748064,0.0,0.8288537620706045,-0.18927542233002015,0.32013022899627686,0.11797505617141724,0.712186872959137
endpoint_only,stage97_00014977,stage79_00030077,pigs,8,21,linear,endpoint_diff_baseline,24.346765933055913,25.887611245232733,25.887611245232733,26.899502153432167,0.0,1.5408453121768204,-1.0118909081994332,0.34943026304244995,0.28226757049560547,0.4588755965232849
always_shared_energy_regression,stage97_00014977,stage79_00030077,pigs,8,21,linear,shared_energy_regression,24.346765933055913,25.887611245232733,25.866641748014388,26.899502153432167,-0.020969497218345623,1.5198758149584748,-1.0328604054177788,0.3836136758327484,0.31817126274108887,0.5172433853149414
always_shared_topk_bce,stage97_00014977,stage79_00030077,pigs,8,21,linear,shared_topk_bce,24.346765933055913,25.887611245232733,25.690635607078992,26.899502153432167,-0.19697563815374153,1.3438696740230789,-1.2088665463531747,0.36977753043174744,0.31667715311050415,0.5148144364356995
stage106_fixed_group_policy,stage97_00014977,stage79_00030077,pigs,8,21,linear,shared_energy_regression,24.346765933055913,25.887611245232733,25.866641748014388,26.899502153432167,-0.020969497218345623,1.5198758149584748,-1.0328604054177788,0.3836136758327484,0.31817126274108887,0.5172433853149414
group_best_mean_psnr,stage97_00014977,stage79_00030077,pigs,8,21,linear,shared_energy_regression,24.346765933055913,25.887611245232733,25.866641748014388,26.899502153432167,-0.020969497218345623,1.5198758149584748,-1.0328604054177788,0.3836136758327484,0.31817126274108887,0.5172433853149414
oracle_task_best,stage97_00014977,stage79_00030077,pigs,8,21,linear,endpoint_diff_baseline,24.346765933055913,25.887611245232733,25.887611245232733,26.899502153432167,0.0,1.5408453121768204,-1.0118909081994332,0.34943026304244995,0.28226757049560547,0.4588755965232849
endpoint_only,stage97_00014977,stage79_00030077,pigs,8,21,stage65_adapter,endpoint_diff_baseline,24.733364599901346,26.056626574237647,26.056626574237647,26.489931719824217,0.0,1.323261974336301,-0.4333051455865693,0.3526858389377594,0.13307540118694305,0.6795598268508911
