stage97_task_id,source_task_id,sequence,reference_gap,target_index,base_method,candidate,endpoint_energy_recall,candidate_energy_recall,energy_recall_delta,endpoint_precision,candidate_precision,precision_delta,endpoint_sideinfo_psnr,candidate_sideinfo_psnr,sideinfo_psnr_delta,endpoint_delta_psnr_vs_base,candidate_delta_psnr_vs_base,delta_psnr_vs_base_delta,endpoint_gap_to_teacher,candidate_gap_to_teacher,gap_to_teacher_delta,teacher_oracle_sideinfo_psnr,energy_up,psnr_up,energy_up_psnr_down
stage97_00010769,stage79_00021619,blackswan,8,7,stage65_adapter,shared_topk_bce,0.15728576481342316,0.2026708573102951,0.04538509249687195,0.2851329445838928,0.4603906571865082,0.17525771260261536,22.914162524305084,22.913639950800032,-0.0005225735050515823,0.6611666165591181,0.6606440430540665,-0.0005225735050515823,-1.15583683207268,-1.1563594055777315,-0.0005225735050515823,24.069999356377764,1,0,1
stage97_00010783,stage79_00021633,blackswan,8,23,linear,shared_energy_regression,0.2576335072517395,0.30309370160102844,0.04546019434928894,0.3008681535720825,0.3551275134086609,0.05425935983657837,21.25463388773896,21.18468477559551,-0.06994911214345123,1.0498713002840034,0.9799221881405522,-0.06994911214345123,-1.6191397782174803,-1.6890888903609316,-0.06994911214345123,22.873773665956442,1,0,1
stage97_00010783,stage79_00021633,blackswan,8,23,linear,shared_topk_bce,0.2576335072517395,0.31115755438804626,0.05352404713630676,0.3008681535720825,0.3570265769958496,0.05615842342376709,21.25463388773896,21.172137029929225,-0.08249685780973692,1.0498713002840034,0.9673744424742665,-0.08249685780973692,-1.6191397782174803,-1.7016366360272173,-0.08249685780973692,22.873773665956442,1,0,1
stage97_00010783,stage79_00021633,blackswan,8,23,stage65_adapter,shared_energy_regression,0.1612590104341507,0.20340175926685333,0.04214274883270264,0.30493760108947754,0.47639718651771545,0.17145958542823792,22.006432073536978,21.84757491574682,-0.15885715779015896,0.9098491437561407,0.7509919859659817,-0.15885715779015896,-1.3921975204228758,-1.5510546782130348,-0.15885715779015896,23.398629593959853,1,0,1
stage97_00010783,stage79_00021633,blackswan,8,23,stage65_adapter,shared_topk_bce,0.1612590104341507,0.2028331607580185,0.0415741503238678,0.30493760108947754,0.4758545756340027,0.17091697454452515,22.006432073536978,21.85473937297924,-0.15169270055773865,0.9098491437561407,0.758156443198402,-0.15169270055773865,-1.3921975204228758,-1.5438902209806145,-0.15169270055773865,23.398629593959853,1,0,1
stage97_00010812,stage79_00021662,blackswan,16,8,linear,shared_energy_regression,0.17121313512325287,0.2038716971874237,0.03265856206417084,0.19777536392211914,0.2550189793109894,0.05724361538887024,18.135335169844772,18.139246112514474,0.003910942669701711,0.9704533366832493,0.974364279352951,0.003910942669701711,-1.3749042968719536,-1.3709933542022519,0.003910942669701711,19.510239466716726,1,1,0
stage97_00010812,stage79_00021662,blackswan,16,8,linear,shared_topk_bce,0.17121313512325287,0.2103249877691269,0.03911185264587402,0.19777536392211914,0.2672273516654968,0.06945198774337769,18.135335169844772,18.160901047333734,0.025565877488961775,0.9704533366832493,0.9960192141722111,0.025565877488961775,-1.3749042968719536,-1.3493384193829918,0.025565877488961775,19.510239466716726,1,1,0
stage97_00010812,stage79_00021662,blackswan,16,8,stage65_adapter,shared_energy_regression,0.13664178550243378,0.16716867685317993,0.030526891350746155,0.2704828977584839,0.4145415127277374,0.14405861496925354,18.506009711940607,18.43440716099595,-0.0716025509446574,0.928277100099006,0.8566745491543486,-0.0716025509446574,-1.4318855471585934,-1.5034880981032508,-0.0716025509446574,19.9378952590992,1,0,1
stage97_00010812,stage79_00021662,blackswan,16,8,stage65_adapter,shared_topk_bce,0.13664178550243378,0.16876883804798126,0.032127052545547485,0.2704828977584839,0.43000543117523193,0.15952253341674805,18.506009711940607,18.457080115373074,-0.048929596567532485,0.928277100099006,0.8793475035314735,-0.048929596567532485,-1.4318855471585934,-1.4808151437261259,-0.048929596567532485,19.9378952590992,1,0,1
stage97_00010825,stage79_00021675,blackswan,16,22,linear,shared_energy_regression,0.19694621860980988,0.2312629371881485,0.03431671857833862,0.24470971524715424,0.29788389801979065,0.053174182772636414,18.76363883361481,18.82774707924797,0.06410824563316098,1.0346025089758975,1.0987107546090584,0.06410824563316098,-1.404354548280839,-1.340246302647678,0.06410824563316098,20.16799338189565,1,1,0
stage97_00010825,stage79_00021675,blackswan,16,22,linear,shared_topk_bce,0.19694621860980988,0.23111948370933533,0.03417326509952545,0.24470971524715424,0.2940857410430908,0.049376025795936584,18.76363883361481,18.776441270905508,0.01280243729069852,1.0346025089758975,1.047404946266596,0.01280243729069852,-1.404354548280839,-1.3915521109901405,0.01280243729069852,20.16799338189565,1,1,0
stage97_00010825,stage79_00021675,blackswan,16,22,stage65_adapter,shared_energy_regression,0.14801354706287384,0.1767597794532776,0.028746232390403748,0.3062940835952759,0.4264785647392273,0.12018448114395142,19.140367707842483,19.130830320933924,-0.009537386908558432,0.975456009489374,0.9659186225808156,-0.009537386908558432,-1.44723557538763,-1.4567729622961885,-0.009537386908558432,20.587603283230113,1,0,1
stage97_00010825,stage79_00021675,blackswan,16,22,stage65_adapter,shared_topk_bce,0.14801354706287384,0.17907626926898956,0.031062722206115723,0.3062940835952759,0.44302767515182495,0.13673359155654907,19.140367707842483,19.099700617908926,-0.04066708993355661,0.975456009489374,0.9347889195558174,-0.04066708993355661,-1.44723557538763,-1.4879026653211866,-0.04066708993355661,20.587603283230113,1,0,1
stage97_00010830,stage79_00021680,blackswan,16,27,linear,shared_energy_regression,0.2051551640033722,0.2505597472190857,0.0454045832157135,0.24959304928779602,0.3130764961242676,0.06348344683647156,19.320198207146056,19.400427205560767,0.08022899841471087,0.9470613140888986,1.0272903125036095,0.08022899841471087,-1.3687786409811977,-1.2885496425664869,0.08022899841471087,20.688976848127254,1,1,0
stage97_00010830,stage79_00021680,blackswan,16,27,linear,shared_topk_bce,0.2051551640033722,0.2579070031642914,0.05275183916091919,0.24959304928779602,0.3214867115020752,0.07189366221427917,19.320198207146056,19.37951473303221,0.059316525886153215,0.9470613140888986,1.0063778399750518,0.059316525886153215,-1.3687786409811977,-1.3094621150950445,0.059316525886153215,20.688976848127254,1,1,0
stage97_00010830,stage79_00021680,blackswan,16,27,stage65_adapter,shared_energy_regression,0.14526905119419098,0.17757652699947357,0.03230747580528259,0.2948996126651764,0.44926750659942627,0.15436789393424988,19.76103064186287,19.763898863623997,0.0028682217611262217,0.8815050178893529,0.8843732396504791,0.0028682217611262217,-1.3972323606325254,-1.3943641388713992,0.0028682217611262217,21.158263002495396,1,1,0
