stage97_task_id,source_task_id,sequence,codec,reference_gap,target_index,base_method,candidate,keep_fraction,keep_gaussians,precision_at_keep,energy_recall_total,oracle_energy_recall_total,relative_energy_recall_vs_oracle,base_psnr,sideinfo_psnr,teacher_oracle_sideinfo_psnr,delta_psnr_vs_base,gap_to_teacher_oracle_psnr
stage97_00011044,stage79_00022096,bmx-trees,q12,16,71,linear,endpoint_diff_baseline,0.1,3686,0.1828540414571762,0.17470698058605194,0.4806802570819855,0.3634577691555023,15.486954150160678,16.57009525269195,17.837890800209355,1.0831411025312718,-1.2677955475174052
stage97_00011044,stage79_00022096,bmx-trees,q12,16,71,linear,shared_topk_bce,0.1,3686,0.2699403166770935,0.21059738099575043,0.4806802570819855,0.4381236433982849,15.486954150160678,16.439215366966934,17.837890800209355,0.9522612168062565,-1.3986754332424205
stage97_00011044,stage79_00022096,bmx-trees,q12,16,71,linear,shared_energy_regression,0.1,3686,0.2696690261363983,0.21182936429977417,0.4806802570819855,0.4406866431236267,15.486954150160678,16.4767486355626,17.837890800209355,0.9897944854019229,-1.361142164646754
stage97_00011044,stage79_00022096,bmx-trees,q12,16,71,stage65_adapter,teacher_oracle_topk,0.1,3686,1.0,0.2637702524662018,0.2637702524662018,1.0,15.915991729267562,18.262587209969826,18.262587209969826,2.3465954807022644,0.0
stage97_00011044,stage79_00022096,bmx-trees,q12,16,71,stage65_adapter,endpoint_diff_baseline,0.1,3686,0.22816060483455658,0.1354399472475052,0.2637702524662018,0.5134769678115845,15.915991729267562,16.982920479835308,18.262587209969826,1.0669287505677456,-1.2796667301345188
stage97_00011044,stage79_00022096,bmx-trees,q12,16,71,stage65_adapter,shared_topk_bce,0.1,3686,0.41589799523353577,0.17651952803134918,0.2637702524662018,0.6692169904708862,15.915991729267562,16.736082167088632,18.262587209969826,0.8200904378210705,-1.526505042881194
stage97_00011044,stage79_00022096,bmx-trees,q12,16,71,stage65_adapter,shared_energy_regression,0.1,3686,0.41671186685562134,0.17706063389778137,0.2637702524662018,0.6712684035301208,15.915991729267562,16.853751134925975,18.262587209969826,0.9377594056584133,-1.408836075043851
stage97_00010597,stage79_00021324,bike-packing,q12,4,58,linear,teacher_oracle_topk,0.1,3686,1.0,0.745820939540863,0.745820939540863,1.0,19.711438830324294,23.628130763557333,23.628130763557333,3.9166919332330394,0.0
stage97_00010597,stage79_00021324,bike-packing,q12,4,58,linear,endpoint_diff_baseline,0.1,3686,0.49403145909309387,0.34333500266075134,0.745820939540863,0.4603450894355774,19.711438830324294,21.35756196196678,23.628130763557333,1.6461231316424865,-2.270568801590553
stage97_00010597,stage79_00021324,bike-packing,q12,4,58,linear,shared_topk_bce,0.1,3686,0.4400434195995331,0.3389297425746918,0.745820939540863,0.4544384777545929,19.711438830324294,20.958840075937857,23.628130763557333,1.2474012456135632,-2.669290687619476
