sample,reference_gap,method,delta_all_psnr,delta_middle_psnr,candidate_all_psnr,uniform_all_psnr,oracle_all_psnr,oracle_delta_all_psnr,keyframe_count,exact_uniform,exact_oracle,jaccard_to_uniform,jaccard_to_oracle,position_mae_to_uniform,position_mae_to_oracle,max_segment_ratio,mean_abs_len_error_ratio,segment_std_ratio,selector_cost,candidate_indices,uniform_indices,oracle_indices
meetroom,4,full_sample_z_rank,-1.195055357599351,-1.6410774919004574,28.448449855609454,29.643505213208805,29.643505213208805,0.0,21,false,false,0.2727272727272727,0.2727272727272727,5.285714285714286,5.285714285714286,2.0,0.75,0.7905694150420949,3.6130954763670164,0 7 15 16 24 29 30 31 39 45 46 47 48 49 50 51 52 60 68 72 80,0 4 8 12 16 20 24 28 32 36 40 44 48 52 56 60 64 68 72 76 80,0 4 8 12 16 20 24 28 32 36 40 44 48 52 56 60 64 68 72 76 80
meetroom,4,full_sample_z_rank_prior_0p1,-0.2112172665577141,-0.29654075870706365,29.43228794665109,29.643505213208805,29.643505213208805,0.0,21,false,false,0.5,0.5,1.0,1.0,1.5,0.2,0.2958039891549808,4.202588917559723,0 4 9 13 16 19 24 29 32 36 40 45 46 48 52 56 62 68 72 76 80,0 4 8 12 16 20 24 28 32 36 40 44 48 52 56 60 64 68 72 76 80,0 4 8 12 16 20 24 28 32 36 40 44 48 52 56 60 64 68 72 76 80
meetroom,4,full_sample_z_rank_prior_0p3,-0.03390630720769039,-0.05189382438849677,29.609598906001114,29.643505213208805,29.643505213208805,0.0,21,false,false,0.75,0.75,0.14285714285714285,0.14285714285714285,1.25,0.05,0.11180339887498948,4.282026311625601,0 4 9 13 16 20 24 28 32 36 40 45 48 52 56 60 64 68 72 76 80,0 4 8 12 16 20 24 28 32 36 40 44 48 52 56 60 64 68 72 76 80,0 4 8 12 16 20 24 28 32 36 40 44 48 52 56 60 64 68 72 76 80
meetroom,8,length_raw_log_prior_0p1,0.0,0.0,27.920280841013945,27.920280841013945,28.037761841276634,0.11748100026268915,11,true,false,1.0,0.29411764705882354,0.0,0.5454545454545454,1.0,0.0,0.0,0.019940279939235892,0 8 16 24 32 40 48 56 64 72 80,0 8 16 24 32 40 48 56 64 72 80,0 8 15 23 31 39 47 55 64 72 80
meetroom,8,full_raw_log_prior_0p1,-0.3668919441660812,-0.43347203094544184,27.553388896847864,27.920280841013945,28.037761841276634,0.11748100026268915,11,false,false,0.15789473684210525,0.29411764705882354,7.2727272727272725,7.818181818181818,1.875,0.425,0.4968651728587948,3.857509184768148,0 11 26 39 45 55 61 64 66 73 80,0 8 16 24 32 40 48 56 64 72 80,0 8 15 23 31 39 47 55 64 72 80
meetroom,8,length_sample_z_rank_prior_0p1,0.0,0.0,27.920280841013945,27.920280841013945,28.037761841276634,0.11748100026268915,11,true,false,1.0,0.29411764705882354,0.0,0.5454545454545454,1.0,0.0,0.0,2.1324747662596883,0 8 16 24 32 40 48 56 64 72 80,0 8 16 24 32 40 48 56 64 72 80,0 8 15 23 31 39 47 55 64 72 80
meetroom,8,full_sample_z_rank,-1.2521075621959916,-1.457057439003048,26.668173278817953,27.920280841013945,28.037761841276634,0.11748100026268915,11,false,false,0.2222222222222222,0.15789473684210525,6.2727272727272725,6.454545454545454,2.0,0.8,0.8253787009609589,3.110558807400214,0 16 28 29 45 46 47 48 52 68 80,0 8 16 24 32 40 48 56 64 72 80,0 8 15 23 31 39 47 55 64 72 80
meetroom,8,full_sample_z_rank_prior_0p1,-0.3424509443572248,-0.39963703935554307,27.57782989665672,27.920280841013945,28.037761841276634,0.11748100026268915,11,false,false,0.29411764705882354,0.2222222222222222,1.8181818181818181,2.1818181818181817,1.5,0.3,0.4031128874149275,3.489650150441785,0 9 16 28 36 46 47 56 68 72 80,0 8 16 24 32 40 48 56 64 72 80,0 8 15 23 31 39 47 55 64 72 80
meetroom,8,full_sample_z_rank_prior_0p3,-0.15634364309904214,-0.18644142865828428,27.763937197914903,27.920280841013945,28.037761841276634,0.11748100026268915,11,false,false,0.1,0.1,2.6363636363636362,3.1818181818181817,1.25,0.125,0.16770509831248423,3.64288785747659,0 9 18 28 36 45 52 60 68 73 80,0 8 16 24 32 40 48 56 64 72 80,0 8 15 23 31 39 47 55 64 72 80
meetroom,16,length_raw_log_prior_0p1,0.0,0.0,25.9925422175848,25.9925422175848,26.038275635725196,0.04573341814039722,6,true,false,1.0,0.5,0.0,0.6666666666666666,1.0,0.0,0.0,0.07957126802717587,0 16 32 48 64 80,0 16 32 48 64 80,0 16 34 50 64 80
