step,task_id,sequence,codec,reference_gap,target_index,normalized_time,loss,loss_weight,weighted_loss,loss_psnr
123,stage79_00017944,stunt,q12,4,57,0.25,0.011249171569943428,2.0,0.022498343139886856,19.48879459405929
124,stage79_00001880,breakdance-flare,q12,4,35,0.75,0.0073421974666416645,2.0,0.014684394933283329,21.34173939428927
125,stage79_00010041,koala,q12,8,63,0.875,0.0041267951019108295,1.5,0.006190192885696888,23.843870935937623
126,stage79_00000219,bear,q12,4,19,0.75,0.007199916988611221,2.0,0.014399833977222443,21.426725107348297
127,stage79_00003547,classic-car,q12,8,61,0.8333333333333334,0.02484879270195961,1.5,0.037273190915584564,16.0469470695536
128,stage79_00005341,dog-agility,q12,4,3,0.75,0.021656407043337822,2.0,0.043312814086675644,16.644135943720993
129,stage79_00014647,rollerblade,q12,4,22,0.5,0.012241862714290619,2.0,0.024483725428581238,19.121524951815744
130,stage79_00001468,boxing-fisheye,q12,4,15,0.75,0.012095645070075989,2.0,0.024191290140151978,19.173709654249627
131,stage79_00014425,rhino,q12,8,45,0.625,0.010323774069547653,1.5,0.01548566110432148,19.861615083341352
132,stage79_00004158,crossing,q12,4,2,0.5,0.011843946762382984,2.0,0.02368789352476597,19.265035533981777
133,stage79_00004191,crossing,q12,4,46,0.5,0.012113884091377258,2.0,0.024227768182754517,19.16716586089267
134,stage79_00004832,dancing,q12,8,53,0.625,0.029698632657527924,1.5,0.044547948986291885,15.272635453952594
135,stage79_00002698,car-turn,q12,8,2,0.25,0.0026547189336270094,1.5,0.003982078284025192,25.759814527506517
136,stage79_00019256,tractor-sand,q12,8,6,0.75,0.014572889544069767,1.5,0.021859334781765938,18.36454326842017
137,stage79_00018843,tennis,q12,4,19,0.75,0.010264312848448753,2.0,0.020528625696897507,19.88670119465906
138,stage79_00005628,dog-gooses,q12,4,17,0.25,0.00817862618714571,2.0,0.01635725237429142,20.873196412491566
139,stage79_00014657,rollerblade,q12,8,2,0.25,0.01090934406965971,1.5,0.016364015638828278,19.622013608223842
140,stage79_00012062,mallard-water,q12,4,57,0.25,0.023900210857391357,2.0,0.047800421714782715,16.215982675122145
141,stage79_00001915,breakdance-flare,q12,8,11,0.375,0.00905721727758646,1.5,0.013585826382040977,20.430052136500873
142,stage79_00016497,skate-park,q12,4,2,0.5,0.01530814915895462,2.0,0.03061629831790924,18.150773147650636
143,stage79_00008512,hockey,q12,8,34,0.25,0.009003874845802784,1.5,0.013505812734365463,20.455705503391094
144,stage79_00016582,skate-park,q12,8,31,0.875,0.007480663247406483,1.5,0.011220995336771011,21.260598951944765
145,stage79_00009994,koala,q12,8,10,0.25,0.021090086549520493,1.5,0.03163512796163559,16.759216379986817
146,stage79_00008152,hike,q12,8,63,0.875,0.0075646936893463135,1.5,0.01134704053401947,21.212086527987488
147,stage79_00013798,planes-water,q12,8,19,0.375,0.0006664051325060427,1.5,0.0009996077278628945,31.76261666747624
148,stage79_00016194,sheep,q12,8,23,0.875,0.008791609667241573,1.5,0.013187414035201073,20.559316021048367
149,stage79_00011331,lucia,q12,4,51,0.75,0.010766989551484585,2.0,0.02153397910296917,19.679057083954852
150,stage79_00011356,lucia,q12,8,14,0.75,0.013987270183861256,1.5,0.02098090574145317,18.542670360275505
151,stage79_00007296,elephant,q12,8,9,0.125,0.0045521012507379055,1.5,0.006828151643276215,23.417880866508316
152,stage79_00019698,train,q12,8,59,0.375,0.01646639034152031,1.5,0.024699585512280464,17.834015937004605
153,stage79_00008072,hike,q12,4,46,0.5,0.011475248262286186,2.0,0.022950496524572372,19.40237909906201
154,stage79_00018583,swing,q12,8,41,0.125,0.016147907823324203,1.5,0.024221861734986305,17.9188373832637
155,stage79_00007733,flamingo,q12,8,46,0.75,0.008459885604679585,1.5,0.012689828872680664,20.72635509489618
156,stage79_00002675,car-turn,q12,4,50,0.5,0.010194056667387486,2.0,0.02038811333477497,19.916529565560918
157,stage79_00001941,breakdance-flare,q12,8,41,0.125,0.006214871536940336,1.5,0.00932230707257986,22.0656784391285
158,stage79_00020271,upside-down,q12,4,31,0.75,0.03045767731964588,2.0,0.06091535463929176,15.163032187190321
