measurement_key,sequence,frame_index,used_by_schedules,schedule_count,bits,compression,payload_encoding,anchor_values,bitstream_bytes,bitstream_mib,status,error
keyframe::bmx-trees:00070,bmx-trees,70,uniform_gap1,1,12,none,bitpack,479232,719647,0.6863088607788086,ok,
keyframe::bmx-trees:00072,bmx-trees,72,uniform_gap1,1,12,none,bitpack,479232,719651,0.6863126754760742,ok,
keyframe::bmx-trees:00074,bmx-trees,74,uniform_gap1,1,12,none,bitpack,479232,719650,0.6863117218017578,ok,
keyframe::bmx-trees:00076,bmx-trees,76,uniform_gap1,1,12,none,bitpack,479232,719651,0.6863126754760742,ok,
keyframe::bmx-trees:00078,bmx-trees,78,uniform_gap1,1,12,none,bitpack,479232,719650,0.6863117218017578,ok,
keyframe::bmx-trees:00079,bmx-trees,79,uniform_gap1,1,12,none,bitpack,479232,719653,0.686314582824707,ok,
keyframe::breakdance:00000,breakdance,0,uniform_gap1,1,12,none,bitpack,479232,719646,0.6863079071044922,ok,
keyframe::breakdance:00002,breakdance,2,uniform_gap1,1,12,none,bitpack,479232,719651,0.6863126754760742,ok,
keyframe::breakdance:00004,breakdance,4,uniform_gap1,1,12,none,bitpack,479232,719652,0.6863136291503906,ok,
keyframe::breakdance:00006,breakdance,6,uniform_gap1,1,12,none,bitpack,479232,719650,0.6863117218017578,ok,
keyframe::breakdance:00008,breakdance,8,uniform_gap1,1,12,none,bitpack,479232,719646,0.6863079071044922,ok,
keyframe::breakdance:00010,breakdance,10,uniform_gap1,1,12,none,bitpack,479232,719649,0.6863107681274414,ok,
keyframe::breakdance:00012,breakdance,12,uniform_gap1,1,12,none,bitpack,479232,719643,0.686305046081543,ok,
keyframe::breakdance:00014,breakdance,14,uniform_gap1,1,12,none,bitpack,479232,719650,0.6863117218017578,ok,
keyframe::breakdance:00016,breakdance,16,uniform_gap1,1,12,none,bitpack,479232,719655,0.6863164901733398,ok,
keyframe::breakdance:00018,breakdance,18,uniform_gap1,1,12,none,bitpack,479232,719654,0.6863155364990234,ok,
keyframe::breakdance:00020,breakdance,20,uniform_gap1,1,12,none,bitpack,479232,719655,0.6863164901733398,ok,
keyframe::breakdance:00022,breakdance,22,uniform_gap1,1,12,none,bitpack,479232,719645,0.6863069534301758,ok,
keyframe::breakdance:00024,breakdance,24,uniform_gap1,1,12,none,bitpack,479232,719652,0.6863136291503906,ok,
keyframe::breakdance:00026,breakdance,26,uniform_gap1,1,12,none,bitpack,479232,719648,0.686309814453125,ok,
keyframe::breakdance:00028,breakdance,28,uniform_gap1,1,12,none,bitpack,479232,719652,0.6863136291503906,ok,
keyframe::breakdance:00030,breakdance,30,uniform_gap1,1,12,none,bitpack,479232,719651,0.6863126754760742,ok,
keyframe::breakdance:00032,breakdance,32,uniform_gap1,1,12,none,bitpack,479232,719645,0.6863069534301758,ok,
keyframe::breakdance:00034,breakdance,34,uniform_gap1,1,12,none,bitpack,479232,719650,0.6863117218017578,ok,
keyframe::breakdance:00036,breakdance,36,uniform_gap1,1,12,none,bitpack,479232,719652,0.6863136291503906,ok,
keyframe::breakdance:00038,breakdance,38,uniform_gap1,1,12,none,bitpack,479232,719651,0.6863126754760742,ok,
keyframe::breakdance:00040,breakdance,40,uniform_gap1,1,12,none,bitpack,479232,719652,0.6863136291503906,ok,
keyframe::breakdance:00042,breakdance,42,uniform_gap1,1,12,none,bitpack,479232,719647,0.6863088607788086,ok,
keyframe::breakdance:00044,breakdance,44,uniform_gap1,1,12,none,bitpack,479232,719652,0.6863136291503906,ok,
keyframe::breakdance:00046,breakdance,46,uniform_gap1,1,12,none,bitpack,479232,719653,0.686314582824707,ok,
keyframe::breakdance:00048,breakdance,48,uniform_gap1,1,12,none,bitpack,479232,719648,0.686309814453125,ok,
keyframe::breakdance:00050,breakdance,50,uniform_gap1,1,12,none,bitpack,479232,719653,0.686314582824707,ok,
keyframe::breakdance:00052,breakdance,52,uniform_gap1,1,12,none,bitpack,479232,719651,0.6863126754760742,ok,
keyframe::breakdance:00054,breakdance,54,uniform_gap1,1,12,none,bitpack,479232,719648,0.686309814453125,ok,
keyframe::breakdance:00056,breakdance,56,uniform_gap1,1,12,none,bitpack,479232,719652,0.6863136291503906,ok,
keyframe::breakdance:00058,breakdance,58,uniform_gap1,1,12,none,bitpack,479232,719642,0.6863040924072266,ok,
keyframe::breakdance:00060,breakdance,60,uniform_gap1,1,12,none,bitpack,479232,719643,0.686305046081543,ok,
keyframe::breakdance:00062,breakdance,62,uniform_gap1,1,12,none,bitpack,479232,719650,0.6863117218017578,ok,
keyframe::breakdance:00064,breakdance,64,uniform_gap1,1,12,none,bitpack,479232,719654,0.6863155364990234,ok,
keyframe::breakdance:00066,breakdance,66,uniform_gap1,1,12,none,bitpack,479232,719648,0.686309814453125,ok,
keyframe::breakdance:00068,breakdance,68,uniform_gap1,1,12,none,bitpack,479232,719654,0.6863155364990234,ok,
keyframe::breakdance:00070,breakdance,70,uniform_gap1,1,12,none,bitpack,479232,719648,0.686309814453125,ok,
keyframe::breakdance:00072,breakdance,72,uniform_gap1,1,12,none,bitpack,479232,719653,0.686314582824707,ok,
keyframe::breakdance:00074,breakdance,74,uniform_gap1,1,12,none,bitpack,479232,719648,0.686309814453125,ok,
keyframe::breakdance:00076,breakdance,76,uniform_gap1,1,12,none,bitpack,479232,719654,0.6863155364990234,ok,
keyframe::breakdance:00078,breakdance,78,uniform_gap1,1,12,none,bitpack,479232,719648,0.686309814453125,ok,
keyframe::breakdance:00080,breakdance,80,uniform_gap1,1,12,none,bitpack,479232,719654,0.6863155364990234,ok,
keyframe::breakdance:00082,breakdance,82,uniform_gap1,1,12,none,bitpack,479232,719650,0.6863117218017578,ok,
keyframe::breakdance:00083,breakdance,83,uniform_gap1,1,12,none,bitpack,479232,719653,0.686314582824707,ok,
keyframe::camel:00000,camel,0,uniform_gap1,1,12,none,bitpack,479232,719645,0.6863069534301758,ok,
keyframe::camel:00002,camel,2,uniform_gap1,1,12,none,bitpack,479232,719647,0.6863088607788086,ok,
keyframe::camel:00004,camel,4,uniform_gap1,1,12,none,bitpack,479232,719646,0.6863079071044922,ok,
keyframe::camel:00006,camel,6,uniform_gap1,1,12,none,bitpack,479232,719641,0.6863031387329102,ok,
keyframe::camel:00008,camel,8,uniform_gap1,1,12,none,bitpack,479232,719640,0.6863021850585938,ok,
keyframe::camel:00010,camel,10,uniform_gap1,1,12,none,bitpack,479232,719649,0.6863107681274414,ok,
keyframe::camel:00012,camel,12,uniform_gap1,1,12,none,bitpack,479232,719649,0.6863107681274414,ok,
keyframe::camel:00014,camel,14,uniform_gap1,1,12,none,bitpack,479232,719644,0.6863059997558594,ok,
keyframe::camel:00016,camel,16,uniform_gap1,1,12,none,bitpack,479232,719642,0.6863040924072266,ok,
keyframe::camel:00018,camel,18,uniform_gap1,1,12,none,bitpack,479232,719643,0.686305046081543,ok,
keyframe::camel:00020,camel,20,uniform_gap1,1,12,none,bitpack,479232,719648,0.686309814453125,ok,
keyframe::camel:00022,camel,22,uniform_gap1,1,12,none,bitpack,479232,719639,0.6863012313842773,ok,
keyframe::camel:00023,camel,23,uniform_gap1,1,12,none,bitpack,479232,719645,0.6863069534301758,ok,
keyframe::camel:00024,camel,24,uniform_gap1,1,12,none,bitpack,479232,719649,0.6863107681274414,ok,
keyframe::camel:00026,camel,26,uniform_gap1,1,12,none,bitpack,479232,719648,0.686309814453125,ok,
keyframe::camel:00028,camel,28,uniform_gap1,1,12,none,bitpack,479232,719647,0.6863088607788086,ok,
keyframe::camel:00030,camel,30,uniform_gap1,1,12,none,bitpack,479232,719647,0.6863088607788086,ok,
keyframe::camel:00032,camel,32,uniform_gap1,1,12,none,bitpack,479232,719644,0.6863059997558594,ok,
keyframe::camel:00034,camel,34,uniform_gap1,1,12,none,bitpack,479232,719652,0.6863136291503906,ok,
keyframe::camel:00036,camel,36,uniform_gap1,1,12,none,bitpack,479232,719647,0.6863088607788086,ok,
keyframe::camel:00038,camel,38,uniform_gap1,1,12,none,bitpack,479232,719650,0.6863117218017578,ok,
keyframe::camel:00040,camel,40,uniform_gap1,1,12,none,bitpack,479232,719647,0.6863088607788086,ok,
keyframe::camel:00042,camel,42,uniform_gap1,1,12,none,bitpack,479232,719645,0.6863069534301758,ok,
keyframe::camel:00044,camel,44,uniform_gap1,1,12,none,bitpack,479232,719642,0.6863040924072266,ok,
keyframe::camel:00046,camel,46,uniform_gap1,1,12,none,bitpack,479232,719649,0.6863107681274414,ok,
keyframe::camel:00047,camel,47,uniform_gap1,1,12,none,bitpack,479232,719651,0.6863126754760742,ok,
keyframe::camel:00048,camel,48,uniform_gap1,1,12,none,bitpack,479232,719648,0.686309814453125,ok,
keyframe::camel:00050,camel,50,uniform_gap1,1,12,none,bitpack,479232,719644,0.6863059997558594,ok,
keyframe::camel:00051,camel,51,uniform_gap1,1,12,none,bitpack,479232,719646,0.6863079071044922,ok,
keyframe::camel:00052,camel,52,uniform_gap1,1,12,none,bitpack,479232,719649,0.6863107681274414,ok,
keyframe::camel:00054,camel,54,uniform_gap1,1,12,none,bitpack,479232,719645,0.6863069534301758,ok,
keyframe::camel:00056,camel,56,uniform_gap1,1,12,none,bitpack,479232,719646,0.6863079071044922,ok,
keyframe::camel:00058,camel,58,uniform_gap1,1,12,none,bitpack,479232,719651,0.6863126754760742,ok,
keyframe::camel:00060,camel,60,uniform_gap1,1,12,none,bitpack,479232,719649,0.6863107681274414,ok,
keyframe::camel:00062,camel,62,uniform_gap1,1,12,none,bitpack,479232,719650,0.6863117218017578,ok,
keyframe::camel:00064,camel,64,uniform_gap1,1,12,none,bitpack,479232,719648,0.686309814453125,ok,
keyframe::camel:00066,camel,66,uniform_gap1,1,12,none,bitpack,479232,719649,0.6863107681274414,ok,
keyframe::camel:00068,camel,68,uniform_gap1,1,12,none,bitpack,479232,719647,0.6863088607788086,ok,
keyframe::camel:00070,camel,70,uniform_gap1,1,12,none,bitpack,479232,719646,0.6863079071044922,ok,
keyframe::camel:00072,camel,72,uniform_gap1,1,12,none,bitpack,479232,719646,0.6863079071044922,ok,
keyframe::camel:00074,camel,74,uniform_gap1,1,12,none,bitpack,479232,719649,0.6863107681274414,ok,
keyframe::camel:00075,camel,75,uniform_gap1,1,12,none,bitpack,479232,719646,0.6863079071044922,ok,
keyframe::camel:00076,camel,76,uniform_gap1,1,12,none,bitpack,479232,719644,0.6863059997558594,ok,
