schedule,sequence,keyframe_count,first_frame_index,last_frame_index,bits,compression,payload_encoding,bitstream_bytes,bitstream_mib,status,error
uniform_gap8,car-shadow,6,0,39,12,none,bitpack,4317168,4.1171722412109375,ok,
uniform_gap8,cows,14,0,103,12,none,bitpack,10073192,9.606544494628906,ok,
uniform_gap8,dance-twirl,13,0,89,12,none,bitpack,9353733,8.920414924621582,ok,
uniform_gap8,dog,9,0,59,12,none,bitpack,6475625,6.175637245178223,ok,
uniform_gap8,dogs-jump,10,0,65,12,none,bitpack,7195210,6.861886978149414,ok,
uniform_gap8,drift-chicane,8,0,51,12,none,bitpack,5756064,5.489410400390625,ok,
uniform_gap8,drift-straight,8,0,49,12,none,bitpack,5756141,5.489483833312988,ok,
uniform_gap8,goat,13,0,89,12,none,bitpack,9353679,8.920363426208496,ok,
uniform_gap8,gold-fish,11,0,77,12,none,bitpack,7914615,7.547965049743652,ok,
uniform_gap8,horsejump-high,8,0,49,12,none,bitpack,5756171,5.4895124435424805,ok,
uniform_gap8,india,11,0,80,12,none,bitpack,7914630,7.547979354858398,ok,
uniform_gap8,judo,6,0,33,12,none,bitpack,4317160,4.117164611816406,ok,
uniform_gap8,kite-surf,8,0,49,12,none,bitpack,5756170,5.489511489868164,ok,
uniform_gap8,lab-coat,7,0,46,12,none,bitpack,5036626,4.803300857543945,ok,
uniform_gap8,libby,7,0,48,12,none,bitpack,5036665,4.803338050842285,ok,
uniform_gap8,loading,8,0,49,12,none,bitpack,5756181,5.4895219802856445,ok,
uniform_gap8,mbike-trick,11,0,78,12,none,bitpack,7914688,7.54803466796875,ok,
uniform_gap8,motocross-jump,6,0,39,12,none,bitpack,4317148,4.117153167724609,ok,
uniform_gap8,paragliding-launch,11,0,79,12,none,bitpack,7914625,7.547974586486816,ok,
uniform_gap8,parkour,14,0,99,12,none,bitpack,10073183,9.606535911560059,ok,
uniform_gap8,pigs,11,0,78,12,none,bitpack,7914606,7.547956466674805,ok,
uniform_gap8,scooter-black,7,0,42,12,none,bitpack,5036664,4.803337097167969,ok,
uniform_gap8,shooting,6,0,39,12,none,bitpack,4317187,4.117190361022949,ok,
uniform_gap8,soapbox,14,0,98,12,none,bitpack,10073200,9.606552124023438,ok,
