measurement_key,sequence,target_index,left_index,right_index,segment_length,normalized_time,used_by_schedules,schedule_count,keep_fraction,side_bits,selector_mode,selector_payload_bytes,left_payload_bytes,right_payload_bytes,left_psnr,right_psnr,selected_half,selected_residual_payload_bytes,payload_bytes,payload_mib,status,error
residual::bike-packing:00039:00032:00040,bike-packing,39,32,40,8,0.875,stage165_adaptive uniform_gap8,2,1.0,6,psnr_best_half,1,219994,215919,25.0585003935607,25.693458593329154,right,215919,215920,0.2059173583984375,ok,
residual::bike-packing:00039:00036:00040,bike-packing,39,36,40,4,0.75,uniform_gap4,1,1.0,6,psnr_best_half,1,226800,220648,25.643334697836853,25.68413487112124,right,220648,220649,0.21042728424072266,ok,
residual::bike-packing:00041:00040:00044,bike-packing,41,40,44,4,0.25,uniform_gap4,1,1.0,6,psnr_best_half,1,213481,212851,25.771298462581957,25.319961511307664,left,213481,213482,0.20359230041503906,ok,
residual::bike-packing:00041:00040:00046,bike-packing,41,40,46,6,0.16666666666666666,stage165_adaptive,1,1.0,6,psnr_best_half,1,212511,219155,25.779157517075188,24.409147393995482,left,212511,212512,0.202667236328125,ok,
residual::bike-packing:00041:00040:00048,bike-packing,41,40,48,8,0.125,uniform_gap8,1,1.0,6,psnr_best_half,1,215681,244575,25.76530632235005,24.770522069615396,left,215681,215682,0.2056903839111328,ok,
residual::bike-packing:00042:00040:00044,bike-packing,42,40,44,4,0.5,uniform_gap4,1,1.0,6,psnr_best_half,1,223514,200082,25.582049500122626,25.44475909073512,left,223514,223515,0.21316051483154297,ok,
residual::bike-packing:00042:00040:00046,bike-packing,42,40,46,6,0.3333333333333333,stage165_adaptive,1,1.0,6,psnr_best_half,1,222411,215023,25.598415815022037,24.69330976587724,left,222411,222412,0.21210861206054688,ok,
residual::bike-packing:00042:00040:00048,bike-packing,42,40,48,8,0.25,uniform_gap8,1,1.0,6,psnr_best_half,1,226636,243482,25.56747333760989,24.884945989424384,left,226636,226637,0.21613788604736328,ok,
residual::bike-packing:00043:00040:00044,bike-packing,43,40,44,4,0.75,uniform_gap4,1,1.0,6,psnr_best_half,1,227156,178458,25.216459546337127,25.32022931316714,right,178458,178459,0.17019176483154297,ok,
residual::bike-packing:00043:00040:00046,bike-packing,43,40,46,6,0.5,stage165_adaptive,1,1.0,6,psnr_best_half,1,224361,206376,25.256113466174767,24.79561204674781,left,224361,224362,0.21396827697753906,ok,
residual::bike-packing:00043:00040:00048,bike-packing,43,40,48,8,0.375,uniform_gap8,1,1.0,6,psnr_best_half,1,229042,243348,25.1795652147063,24.828795746338695,left,229042,229043,0.21843242645263672,ok,
residual::bike-packing:00044:00040:00046,bike-packing,44,40,46,6,0.6666666666666666,stage165_adaptive,1,1.0,6,psnr_best_half,1,227666,198518,25.017629302616122,24.969647593593706,left,227666,227667,0.21712017059326172,ok,
residual::bike-packing:00044:00040:00048,bike-packing,44,40,48,8,0.5,uniform_gap8,1,1.0,6,psnr_best_half,1,232044,241469,24.92020032474395,24.88092580422294,left,232044,232045,0.22129535675048828,ok,
residual::bike-packing:00045:00040:00046,bike-packing,45,40,46,6,0.8333333333333334,stage165_adaptive,1,1.0,6,psnr_best_half,1,228621,182079,25.326442957763295,25.60878161201564,right,182079,182080,0.17364501953125,ok,
residual::bike-packing:00045:00040:00048,bike-packing,45,40,48,8,0.625,uniform_gap8,1,1.0,6,psnr_best_half,1,235180,240426,25.164847500605187,25.45540754964879,right,240426,240427,0.22928905487060547,ok,
residual::bike-packing:00045:00044:00048,bike-packing,45,44,48,4,0.25,uniform_gap4,1,1.0,6,psnr_best_half,1,186070,238499,25.578353928111213,24.459161391633103,left,186070,186071,0.17745113372802734,ok,
residual::bike-packing:00046:00040:00048,bike-packing,46,40,48,8,0.75,uniform_gap8,1,1.0,6,psnr_best_half,1,237864,239601,25.352636187471262,26.026357385955002,right,239601,239602,0.2285022735595703,ok,
residual::bike-packing:00046:00044:00048,bike-packing,46,44,48,4,0.5,uniform_gap4,1,1.0,6,psnr_best_half,1,211448,235252,25.731757173084908,25.51589975038466,left,211448,211449,0.20165348052978516,ok,
