task_id,sequence,codec,reference_gap,target_index,predictor_name,base_method,full_predictor_method,setting_label,setting_role,keep_fraction,side_bits,adapter_delta_scale,keep_gaussians,residual_value_source,transmitted_residual_payload_bytes,transmitted_selected_index_bytes,q12_main_anchor_mib_per_frame,direct_total_mib_per_frame,amortized_total_mib_per_frame,base_psnr,full_predictor_psnr,selected_predicted_psnr,delta_psnr_vs_base,delta_psnr_vs_full_predictor
stage79_00030048,pigs,q12,4,63,adapter_delta_selected_scaled_v1,linear,stage65_adapter,q4_top10,low_rate,0.1,4,0.75,3686,feed_forward_stage65_adapter_delta_scaled,0,0,0.18193822076791313,0.18193822076791313,0.18193822076791313,26.591030973570312,25.948488334018016,26.547762389557057,-0.04326858401325495,0.5992740555390412
stage79_00030048,pigs,q12,4,63,adapter_delta_selected_scaled_v1,linear,stage65_adapter,q4_top10,low_rate,0.1,4,1.0,3686,feed_forward_stage65_adapter_delta_scaled,0,0,0.18193822076791313,0.18193822076791313,0.18193822076791313,26.591030973570312,25.948488334018016,26.466362634719978,-0.12466833885033424,0.5178743007019619
stage79_00030048,pigs,q12,4,63,adapter_delta_selected_scaled_v1,linear,stage65_adapter,q4_top10,low_rate,0.1,4,1.25,3686,feed_forward_stage65_adapter_delta_scaled,0,0,0.18193822076791313,0.18193822076791313,0.18193822076791313,26.591030973570312,25.948488334018016,26.337084915017396,-0.2539460585529163,0.3885965809993799
stage79_00031098,soapbox,q12,16,87,adapter_delta_selected_scaled_v1,linear,stage65_adapter,q4_top20,primary,0.2,4,0.0,7373,feed_forward_stage65_adapter_delta_scaled,0,0,0.055468969746314975,0.055468969746314975,0.055468969746314975,14.462571509964528,14.737028240950686,14.462571509964528,0.0,-0.27445673098615764
stage79_00031098,soapbox,q12,16,87,adapter_delta_selected_scaled_v1,linear,stage65_adapter,q4_top20,primary,0.2,4,0.25,7373,feed_forward_stage65_adapter_delta_scaled,0,0,0.055468969746314975,0.055468969746314975,0.055468969746314975,14.462571509964528,14.737028240950686,14.457167715074128,-0.005403794890399993,-0.27986052587655763
stage79_00031098,soapbox,q12,16,87,adapter_delta_selected_scaled_v1,linear,stage65_adapter,q4_top20,primary,0.2,4,0.5,7373,feed_forward_stage65_adapter_delta_scaled,0,0,0.055468969746314975,0.055468969746314975,0.055468969746314975,14.462571509964528,14.737028240950686,14.459150719976165,-0.0034207899883629267,-0.27787752097452056
stage79_00031098,soapbox,q12,16,87,adapter_delta_selected_scaled_v1,linear,stage65_adapter,q4_top20,primary,0.2,4,0.75,7373,feed_forward_stage65_adapter_delta_scaled,0,0,0.055468969746314975,0.055468969746314975,0.055468969746314975,14.462571509964528,14.737028240950686,14.465907679905126,0.0033361699405975997,-0.27112056104556004
stage79_00031098,soapbox,q12,16,87,adapter_delta_selected_scaled_v1,linear,stage65_adapter,q4_top20,primary,0.2,4,1.0,7373,feed_forward_stage65_adapter_delta_scaled,0,0,0.055468969746314975,0.055468969746314975,0.055468969746314975,14.462571509964528,14.737028240950686,14.48104462707022,0.018473117105692438,-0.2559836138804652
stage79_00031098,soapbox,q12,16,87,adapter_delta_selected_scaled_v1,linear,stage65_adapter,q4_top20,primary,0.2,4,1.25,7373,feed_forward_stage65_adapter_delta_scaled,0,0,0.055468969746314975,0.055468969746314975,0.055468969746314975,14.462571509964528,14.737028240950686,14.503285379397784,0.04071386943325628,-0.23374286155290136
stage79_00031098,soapbox,q12,16,87,adapter_delta_selected_scaled_v1,linear,stage65_adapter,q4_top10,low_rate,0.1,4,0.0,3686,feed_forward_stage65_adapter_delta_scaled,0,0,0.055468969746314975,0.055468969746314975,0.055468969746314975,14.462571509964528,14.737028240950686,14.462571509964528,0.0,-0.27445673098615764
stage79_00031098,soapbox,q12,16,87,adapter_delta_selected_scaled_v1,linear,stage65_adapter,q4_top10,low_rate,0.1,4,0.25,3686,feed_forward_stage65_adapter_delta_scaled,0,0,0.055468969746314975,0.055468969746314975,0.055468969746314975,14.462571509964528,14.737028240950686,14.462315648299498,-0.00025586166503011043,-0.27471259265118775
stage79_00031098,soapbox,q12,16,87,adapter_delta_selected_scaled_v1,linear,stage65_adapter,q4_top10,low_rate,0.1,4,0.5,3686,feed_forward_stage65_adapter_delta_scaled,0,0,0.055468969746314975,0.055468969746314975,0.055468969746314975,14.462571509964528,14.737028240950686,14.463015913311905,0.0004444033473767206,-0.2740123276387809
stage79_00031098,soapbox,q12,16,87,adapter_delta_selected_scaled_v1,linear,stage65_adapter,q4_top10,low_rate,0.1,4,0.75,3686,feed_forward_stage65_adapter_delta_scaled,0,0,0.055468969746314975,0.055468969746314975,0.055468969746314975,14.462571509964528,14.737028240950686,14.463656603257158,0.0010850932926302903,-0.27337163769352735
stage79_00031098,soapbox,q12,16,87,adapter_delta_selected_scaled_v1,linear,stage65_adapter,q4_top10,low_rate,0.1,4,1.0,3686,feed_forward_stage65_adapter_delta_scaled,0,0,0.055468969746314975,0.055468969746314975,0.055468969746314975,14.462571509964528,14.737028240950686,14.466147465483562,0.003575955519034224,-0.2708807754671234
stage79_00031098,soapbox,q12,16,87,adapter_delta_selected_scaled_v1,linear,stage65_adapter,q4_top10,low_rate,0.1,4,1.25,3686,feed_forward_stage65_adapter_delta_scaled,0,0,0.055468969746314975,0.055468969746314975,0.055468969746314975,14.462571509964528,14.737028240950686,14.464364772823139,0.0017932628586105892,-0.27266346812754705
stage79_00028605,mbike-trick,q12,8,58,adapter_delta_selected_scaled_v1,linear,stage65_adapter,q4_top20,primary,0.2,4,0.0,7373,feed_forward_stage65_adapter_delta_scaled,0,0,0.09762538675351436,0.09762538675351436,0.09762538675351436,20.718688817006615,21.320967745543484,20.718688817006615,0.0,-0.6022789285368688
stage79_00028605,mbike-trick,q12,8,58,adapter_delta_selected_scaled_v1,linear,stage65_adapter,q4_top20,primary,0.2,4,0.25,7373,feed_forward_stage65_adapter_delta_scaled,0,0,0.09762538675351436,0.09762538675351436,0.09762538675351436,20.718688817006615,21.320967745543484,20.778851559756287,0.060162742749671594,-0.5421161857871972
stage79_00028605,mbike-trick,q12,8,58,adapter_delta_selected_scaled_v1,linear,stage65_adapter,q4_top20,primary,0.2,4,0.5,7373,feed_forward_stage65_adapter_delta_scaled,0,0,0.09762538675351436,0.09762538675351436,0.09762538675351436,20.718688817006615,21.320967745543484,20.84732052841141,0.12863171140479324,-0.4736472171320756
stage79_00028605,mbike-trick,q12,8,58,adapter_delta_selected_scaled_v1,linear,stage65_adapter,q4_top20,primary,0.2,4,0.75,7373,feed_forward_stage65_adapter_delta_scaled,0,0,0.09762538675351436,0.09762538675351436,0.09762538675351436,20.718688817006615,21.320967745543484,20.920219495172976,0.2015306781663604,-0.40074825037050843
stage79_00028605,mbike-trick,q12,8,58,adapter_delta_selected_scaled_v1,linear,stage65_adapter,q4_top20,primary,0.2,4,1.0,7373,feed_forward_stage65_adapter_delta_scaled,0,0,0.09762538675351436,0.09762538675351436,0.09762538675351436,20.718688817006615,21.320967745543484,20.98247502851766,0.263786211511043,-0.33849271702582584
stage79_00028605,mbike-trick,q12,8,58,adapter_delta_selected_scaled_v1,linear,stage65_adapter,q4_top20,primary,0.2,4,1.25,7373,feed_forward_stage65_adapter_delta_scaled,0,0,0.09762538675351436,0.09762538675351436,0.09762538675351436,20.718688817006615,21.320967745543484,21.014384876081984,0.2956960590753681,-0.3065828694615007
stage79_00028605,mbike-trick,q12,8,58,adapter_delta_selected_scaled_v1,linear,stage65_adapter,q4_top10,low_rate,0.1,4,0.0,3686,feed_forward_stage65_adapter_delta_scaled,0,0,0.09762538675351436,0.09762538675351436,0.09762538675351436,20.718688817006615,21.320967745543484,20.718688817006615,0.0,-0.6022789285368688
