sample,frame_gap,frame_index,is_keyframe,psnr,ssim
DAVIS/val/bmx-trees,4,41,False,22.402631541466178,0.6251524090766907
DAVIS/val/bmx-trees,4,42,False,25.23916092259082,0.7834715843200684
DAVIS/val/bmx-trees,4,43,False,25.611058631580825,0.7977592945098877
DAVIS/val/bmx-trees,4,44,True,30.606872784002675,0.9235393404960632
DAVIS/val/bmx-trees,4,45,False,24.26853486619307,0.7388376593589783
DAVIS/val/bmx-trees,4,46,False,23.692436626614803,0.7030034065246582
DAVIS/val/bmx-trees,4,47,False,20.479328305135933,0.47062718868255615
DAVIS/val/bmx-trees,4,48,True,31.115843213251097,0.9265604019165039
DAVIS/val/bmx-trees,4,49,False,23.34653466863545,0.6737349629402161
DAVIS/val/bmx-trees,4,50,False,18.97623309933187,0.3328845202922821
DAVIS/val/bmx-trees,4,51,False,20.085896775553636,0.42370888590812683
DAVIS/val/bmx-trees,4,52,True,27.842604247729344,0.8665286898612976
DAVIS/val/bmx-trees,4,53,False,16.873157030113386,0.20430558919906616
DAVIS/val/bmx-trees,4,54,False,17.154267089693636,0.2594372034072876
DAVIS/val/bmx-trees,4,55,False,19.942664639854357,0.40682411193847656
DAVIS/val/bmx-trees,4,56,True,30.710323444865125,0.9193413257598877
DAVIS/val/bmx-trees,4,57,False,20.421752528234038,0.40841159224510193
DAVIS/val/bmx-trees,4,58,False,18.41950023330852,0.2869567573070526
DAVIS/val/bmx-trees,4,59,False,19.327046852129943,0.3022141754627228
DAVIS/val/bmx-trees,4,60,True,30.922240982014436,0.9155886173248291
DAVIS/val/bmx-trees,4,61,False,23.61356647934473,0.6541275978088379
DAVIS/val/bmx-trees,4,62,False,21.778493552303267,0.5091018676757812
DAVIS/val/bmx-trees,4,63,False,22.65904210452756,0.6373757719993591
DAVIS/val/bmx-trees,4,64,True,26.85056071548795,0.8341754078865051
DAVIS/val/bmx-trees,4,65,False,20.136127095716994,0.3624705970287323
DAVIS/val/bmx-trees,4,66,False,21.301489836160417,0.5055997967720032
DAVIS/val/bmx-trees,4,67,False,24.04273301322039,0.7181065678596497
DAVIS/val/bmx-trees,4,68,True,26.66983990242479,0.81816166639328
DAVIS/val/bmx-trees,4,69,False,20.269076956923623,0.3948613405227661
DAVIS/val/bmx-trees,4,70,False,20.544764293618897,0.37253332138061523
DAVIS/val/bmx-trees,4,71,False,20.766660947125196,0.44552716612815857
DAVIS/val/bmx-trees,4,72,True,26.41051150518109,0.8083124160766602
DAVIS/val/bmx-trees,4,73,False,23.345657644726288,0.6587825417518616
DAVIS/val/bmx-trees,4,74,False,20.600140405139594,0.41201213002204895
DAVIS/val/bmx-trees,4,75,False,19.464482506033022,0.3030460476875305
DAVIS/val/bmx-trees,4,76,True,26.619227080629546,0.8058571219444275
DAVIS/val/bmx-trees,4,77,False,20.49928305833749,0.3803202211856842
DAVIS/val/bmx-trees,4,78,False,22.414903359426717,0.5961409211158752
DAVIS/val/bmx-trees,4,79,True,25.925229246876892,0.783201277256012
DAVIS/val/car-shadow,4,0,True,29.5426593343436,0.9017388224601746
DAVIS/val/car-shadow,4,1,False,24.773512149429195,0.7663034796714783
DAVIS/val/car-shadow,4,2,False,22.626274476041882,0.7073159217834473
