policy,base_method,reference_gap,task_count,mean_base_psnr,mean_endpoint_sideinfo_psnr,mean_selected_sideinfo_psnr,mean_teacher_oracle_sideinfo_psnr,mean_delta_psnr_vs_endpoint,mean_delta_psnr_vs_base,mean_gap_to_teacher_oracle_psnr,mean_precision_at_keep,mean_energy_recall_total,mean_relative_energy_recall_vs_oracle,selected_candidate_counts
endpoint_only,stage65_adapter,4,23,19.96518425303781,21.16056131878281,21.16056131878281,22.478052503501885,0.0,1.1953770657450007,-1.31749118471908,0.29103069072184357,0.13412074485550757,0.5757957541424296,endpoint_diff_baseline:23
endpoint_only,stage65_adapter,8,19,19.637830581144453,20.970137491901387,20.970137491901387,22.491323232804557,0.0,1.3323069107569327,-1.5211857409031715,0.27700831074463694,0.13563174087750285,0.5572832179696936,endpoint_diff_baseline:19
endpoint_only,stage65_adapter,16,18,17.71892104032865,18.761820128976645,18.761820128976645,20.571596638113725,0.0,1.0428990886479912,-1.8097765091370859,0.1901941259081165,0.11971673224535254,0.49458976917796665,endpoint_diff_baseline:18
group_best_mean_psnr,linear,4,23,19.649148363504246,20.95034838676544,20.977176264225726,22.564021045406168,0.026827877460275387,1.3280279007214773,-1.586844781180443,0.3413385528585185,0.29237517520137457,0.46866350588591205,shared_energy_regression:23
group_best_mean_psnr,linear,8,19,19.410525223673428,20.89109224010793,20.921955460500982,22.82820550161263,0.03086322039306108,1.511430236827558,-1.906250041111643,0.3649513094048751,0.3230782339447423,0.4839692037356527,shared_energy_regression:19
group_best_mean_psnr,linear,16,18,17.57321045419308,18.688359710095106,18.82189937966654,20.772060171450324,0.13353966957143293,1.2486889254734588,-1.9501607917837827,0.255636946660363,0.2495752258433236,0.41003381212552387,shared_energy_regression:18
group_best_mean_psnr,stage65_adapter,4,23,19.96518425303781,21.16056131878281,21.16056131878281,22.478052503501885,0.0,1.1953770657450007,-1.31749118471908,0.29103069072184357,0.13412074485550757,0.5757957541424296,endpoint_diff_baseline:23
group_best_mean_psnr,stage65_adapter,8,19,19.637830581144453,20.970137491901387,20.970137491901387,22.491323232804557,0.0,1.3323069107569327,-1.5211857409031715,0.27700831074463694,0.13563174087750285,0.5572832179696936,endpoint_diff_baseline:19
group_best_mean_psnr,stage65_adapter,16,18,17.71892104032865,18.761820128976645,18.761820128976645,20.571596638113725,0.0,1.0428990886479912,-1.8097765091370859,0.1901941259081165,0.11971673224535254,0.49458976917796665,endpoint_diff_baseline:18
oracle_task_best,linear,4,23,19.649148363504246,20.95034838676544,21.019524528230413,22.564021045406168,0.0691761414649643,1.370376164726166,-1.544496517175754,0.3320318952850673,0.2824674553197363,0.4541965658250062,endpoint_diff_baseline:8;shared_energy_regression:13;shared_topk_bce:2
oracle_task_best,linear,8,19,19.410525223673428,20.89109224010793,20.992289288396925,22.82820550161263,0.10119704828900276,1.5817640647234998,-1.835916213215702,0.35501327796986226,0.30920167032041046,0.4619261810654088,endpoint_diff_baseline:9;shared_energy_regression:7;shared_topk_bce:3
oracle_task_best,linear,16,18,17.57321045419308,18.688359710095106,18.849605159299436,20.772060171450324,0.16124544920432715,1.276394705106353,-1.922455012150888,0.2635648420287503,0.25155986555748516,0.41397905598084134,endpoint_diff_baseline:3;shared_energy_regression:10;shared_topk_bce:5
oracle_task_best,stage65_adapter,4,23,19.96518425303781,21.16056131878281,21.19972439314594,22.478052503501885,0.039163074363127645,1.2345401401081282,-1.2783281103559523,0.3297907450924749,0.14519814369471176,0.6177969043669493,endpoint_diff_baseline:16;shared_energy_regression:5;shared_topk_bce:2
oracle_task_best,stage65_adapter,8,19,19.637830581144453,20.970137491901387,21.047765403031338,22.491323232804557,0.0776279111299487,1.4099348218868812,-1.4435578297732223,0.32575606123397227,0.14910543945274854,0.6034671648552543,endpoint_diff_baseline:12;shared_energy_regression:3;shared_topk_bce:4
oracle_task_best,stage65_adapter,16,18,17.71892104032865,18.761820128976645,18.85292506011634,20.571596638113725,0.0911049311396992,1.1340040197876904,-1.7186715779973865,0.2821637402392096,0.14190211395422617,0.5806739843553967,endpoint_diff_baseline:7;shared_energy_regression:6;shared_topk_bce:5
