policy,stage97_task_id,source_task_id,sequence,reference_gap,target_index,base_method,selected_candidate,base_psnr,endpoint_sideinfo_psnr,selected_sideinfo_psnr,teacher_oracle_sideinfo_psnr,delta_psnr_vs_endpoint,delta_psnr_vs_base,gap_to_teacher_oracle_psnr,precision_at_keep,energy_recall_total,relative_energy_recall_vs_oracle
oracle_task_best,stage97_00010830,stage79_00021680,blackswan,16,27,linear,shared_energy_regression,18.373136893057158,19.320198207146056,19.400427205560767,20.688976848127254,0.08022899841471087,1.0272903125036095,-1.2885496425664869,0.3130764961242676,0.2505597472190857,0.4647849500179291
endpoint_only,stage97_00010830,stage79_00021680,blackswan,16,27,stage65_adapter,endpoint_diff_baseline,18.879525623973517,19.76103064186287,19.76103064186287,21.158263002495396,0.0,0.8815050178893529,-1.3972323606325254,0.2948996126651764,0.14526905119419098,0.5967609882354736
always_shared_energy_regression,stage97_00010830,stage79_00021680,blackswan,16,27,stage65_adapter,shared_energy_regression,18.879525623973517,19.76103064186287,19.763898863623997,21.158263002495396,0.0028682217611262217,0.8843732396504791,-1.3943641388713992,0.44926750659942627,0.17757652699947357,0.7294791340827942
always_shared_topk_bce,stage97_00010830,stage79_00021680,blackswan,16,27,stage65_adapter,shared_topk_bce,18.879525623973517,19.76103064186287,19.721610307506065,21.158263002495396,-0.03942033435680514,0.8420846835325477,-1.4366526949893306,0.4636462330818176,0.17883242666721344,0.7346383333206177
group_best_mean_psnr,stage97_00010830,stage79_00021680,blackswan,16,27,stage65_adapter,endpoint_diff_baseline,18.879525623973517,19.76103064186287,19.76103064186287,21.158263002495396,0.0,0.8815050178893529,-1.3972323606325254,0.2948996126651764,0.14526905119419098,0.5967609882354736
oracle_task_best,stage97_00010830,stage79_00021680,blackswan,16,27,stage65_adapter,shared_energy_regression,18.879525623973517,19.76103064186287,19.763898863623997,21.158263002495396,0.0028682217611262217,0.8843732396504791,-1.3943641388713992,0.44926750659942627,0.17757652699947357,0.7294791340827942
endpoint_only,stage97_00010864,stage79_00021916,bmx-trees,4,19,linear,endpoint_diff_baseline,17.279025530927047,18.22583122272644,18.22583122272644,19.90913335363921,0.0,0.9468056917993941,-1.683302130912768,0.2189365178346634,0.17352792620658875,0.3789820671081543
always_shared_energy_regression,stage97_00010864,stage79_00021916,bmx-trees,4,19,linear,shared_energy_regression,17.279025530927047,18.22583122272644,18.413440941383016,19.90913335363921,0.1876097186565744,1.1344154104559685,-1.4956924122561936,0.27346718311309814,0.20924250781536102,0.4569821059703827
always_shared_topk_bce,stage97_00010864,stage79_00021916,bmx-trees,4,19,linear,shared_topk_bce,17.279025530927047,18.22583122272644,18.288897579351268,19.90913335363921,0.06306635662482662,1.0098720484242207,-1.6202357742879414,0.2655995786190033,0.20577701926231384,0.449413537979126
group_best_mean_psnr,stage97_00010864,stage79_00021916,bmx-trees,4,19,linear,shared_energy_regression,17.279025530927047,18.22583122272644,18.413440941383016,19.90913335363921,0.1876097186565744,1.1344154104559685,-1.4956924122561936,0.27346718311309814,0.20924250781536102,0.4569821059703827
oracle_task_best,stage97_00010864,stage79_00021916,bmx-trees,4,19,linear,shared_energy_regression,17.279025530927047,18.22583122272644,18.413440941383016,19.90913335363921,0.1876097186565744,1.1344154104559685,-1.4956924122561936,0.27346718311309814,0.20924250781536102,0.4569821059703827
endpoint_only,stage97_00010864,stage79_00021916,bmx-trees,4,19,stage65_adapter,endpoint_diff_baseline,17.578954941088917,18.575918995169243,18.575918995169243,20.338460621984062,0.0,0.9969640540803262,-1.7625416268148193,0.227618008852005,0.1268695443868637,0.5717861652374268
always_shared_energy_regression,stage97_00010864,stage79_00021916,bmx-trees,4,19,stage65_adapter,shared_energy_regression,17.578954941088917,18.575918995169243,18.6951557445919,20.338460621984062,0.11923674942265805,1.1162008035029842,-1.6433048773921612,0.42051002383232117,0.16136415302753448,0.7272493243217468
always_shared_topk_bce,stage97_00010864,stage79_00021916,bmx-trees,4,19,stage65_adapter,shared_topk_bce,17.578954941088917,18.575918995169243,18.619587428961214,20.338460621984062,0.043668433791971495,1.0406324878722977,-1.7188731930228478,0.420238733291626,0.15912052989006042,0.7171375751495361
group_best_mean_psnr,stage97_00010864,stage79_00021916,bmx-trees,4,19,stage65_adapter,endpoint_diff_baseline,17.578954941088917,18.575918995169243,18.575918995169243,20.338460621984062,0.0,0.9969640540803262,-1.7625416268148193,0.227618008852005,0.1268695443868637,0.5717861652374268
oracle_task_best,stage97_00010864,stage79_00021916,bmx-trees,4,19,stage65_adapter,shared_energy_regression,17.578954941088917,18.575918995169243,18.6951557445919,20.338460621984062,0.11923674942265805,1.1162008035029842,-1.6433048773921612,0.42051002383232117,0.16136415302753448,0.7272493243217468
endpoint_only,stage97_00011113,stage79_00022376,breakdance,4,82,linear,endpoint_diff_baseline,20.594228353981762,23.01163864546861,23.01163864546861,24.945149904451615,0.0,2.417410291486849,-1.9335112589830032,0.6001085042953491,0.5008304715156555,0.5603116154670715
always_shared_energy_regression,stage97_00011113,stage79_00022376,breakdance,4,82,linear,shared_energy_regression,20.594228353981762,23.01163864546861,23.021513840413515,24.945149904451615,0.009875194944903853,2.427285486431753,-1.9236360640380994,0.59766685962677,0.5149392485618591,0.5760959982872009
always_shared_topk_bce,stage97_00011113,stage79_00022376,breakdance,4,82,linear,shared_topk_bce,20.594228353981762,23.01163864546861,22.712272668989403,24.945149904451615,-0.2993659764792085,2.1180443150076407,-2.2328772354622117,0.5054259300231934,0.478201299905777,0.534994900226593
group_best_mean_psnr,stage97_00011113,stage79_00022376,breakdance,4,82,linear,shared_energy_regression,20.594228353981762,23.01163864546861,23.021513840413515,24.945149904451615,0.009875194944903853,2.427285486431753,-1.9236360640380994,0.59766685962677,0.5149392485618591,0.5760959982872009
oracle_task_best,stage97_00011113,stage79_00022376,breakdance,4,82,linear,shared_energy_regression,20.594228353981762,23.01163864546861,23.021513840413515,24.945149904451615,0.009875194944903853,2.427285486431753,-1.9236360640380994,0.59766685962677,0.5149392485618591,0.5760959982872009
endpoint_only,stage97_00011113,stage79_00022376,breakdance,4,82,stage65_adapter,endpoint_diff_baseline,19.24412039888025,20.829675838694076,20.829675838694076,21.598988984216014,0.0,1.5855554398138274,-0.769313145521938,0.5217037200927734,0.15714533627033234,0.7264984250068665
always_shared_energy_regression,stage97_00011113,stage79_00022376,breakdance,4,82,stage65_adapter,shared_energy_regression,19.24412039888025,20.829675838694076,20.4801088538937,21.598988984216014,-0.34956698480037574,1.2359884550134517,-1.1188801303223137,0.4932175874710083,0.15635238587856293,0.7228325009346008
always_shared_topk_bce,stage97_00011113,stage79_00022376,breakdance,4,82,stage65_adapter,shared_topk_bce,19.24412039888025,20.829675838694076,20.47877188843287,21.598988984216014,-0.35090395026120547,1.234651489552622,-1.1202170957831434,0.4782962501049042,0.15390551090240479,0.7115203738212585
group_best_mean_psnr,stage97_00011113,stage79_00022376,breakdance,4,82,stage65_adapter,endpoint_diff_baseline,19.24412039888025,20.829675838694076,20.829675838694076,21.598988984216014,0.0,1.5855554398138274,-0.769313145521938,0.5217037200927734,0.15714533627033234,0.7264984250068665
oracle_task_best,stage97_00011113,stage79_00022376,breakdance,4,82,stage65_adapter,endpoint_diff_baseline,19.24412039888025,20.829675838694076,20.829675838694076,21.598988984216014,0.0,1.5855554398138274,-0.769313145521938,0.5217037200927734,0.15714533627033234,0.7264984250068665
endpoint_only,stage97_00011160,stage79_00022423,breakdance,8,53,linear,endpoint_diff_baseline,18.386035031581144,20.330870901499164,20.330870901499164,23.160430725114672,0.0,1.9448358699180197,-2.829559823615508,0.5046120285987854,0.37829792499542236,0.47046324610710144
always_shared_energy_regression,stage97_00011160,stage79_00022423,breakdance,8,53,linear,shared_energy_regression,18.386035031581144,20.330870901499164,20.323774618706537,23.160430725114672,-0.0070962827926273064,1.9377395871253924,-2.8366561064081353,0.4997287094593048,0.3901139497756958,0.4851580262184143
always_shared_topk_bce,stage97_00011160,stage79_00022423,breakdance,8,53,linear,shared_topk_bce,18.386035031581144,20.330870901499164,20.142366320064355,23.160430725114672,-0.18850458143480964,1.75633128848321,-3.0180644050503176,0.41806837916374207,0.35457485914230347,0.44096049666404724
group_best_mean_psnr,stage97_00011160,stage79_00022423,breakdance,8,53,linear,shared_energy_regression,18.386035031581144,20.330870901499164,20.323774618706537,23.160430725114672,-0.0070962827926273064,1.9377395871253924,-2.8366561064081353,0.4997287094593048,0.3901139497756958,0.4851580262184143
oracle_task_best,stage97_00011160,stage79_00022423,breakdance,8,53,linear,endpoint_diff_baseline,18.386035031581144,20.330870901499164,20.330870901499164,23.160430725114672,0.0,1.9448358699180197,-2.829559823615508,0.5046120285987854,0.37829792499542236,0.47046324610710144
