sample,method,reference_gap,total_frames,keyframe_count,keyframe_ratio,estimated_q8_static_mib_per_frame,max_segment_length,mean_segment_length,segment_lengths,indices,linear_all_psnr,adapter_all_psnr,delta_all_psnr,linear_middle_psnr,adapter_middle_psnr,delta_middle_psnr,linear_given_psnr,adapter_given_psnr,delta_given_psnr,linear_all_ssim,adapter_all_ssim,linear_middle_ssim,adapter_middle_ssim,checkpoint
meetroom,uniform,16,81,6,0.07407407407407407,0.033854166666666664,16,16.0,16 16 16 16 16,0 16 32 48 64 80,25.93180892847526,25.99323726745736,0.06142833898210043,25.489283613159238,25.555626219259906,0.06634260610066889,31.463375369925547,31.463375369925547,0.0,0.8686610806135484,0.882126165760888,0.8649890454610188,0.8795313374201457,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage25_leave_one_out_adapter_training/meetroom/stage25_best_anchor_adapter.safetensors
meetroom,anchor_segment_rd,16,81,6,0.07407407407407407,0.033854166666666664,20,16.0,20 20 20 8 12,0 20 40 60 68 80,25.50939855147181,25.54101572650186,0.03161717503004979,25.033014065489724,25.067160614522177,0.034146549032453066,31.46420462624792,31.46420462624792,0.0,0.8638429700592418,0.8769154048260347,0.8598024415969848,0.8739206711451213,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage25_leave_one_out_adapter_training/meetroom/stage25_best_anchor_adapter.safetensors
driving,uniform,4,81,21,0.25925925925925924,0.11848958333333333,4,4.0,4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4,0 4 8 12 16 20 24 28 32 36 40 44 48 52 56 60 64 68 72 76 80,27.918191005345587,27.987381263755843,0.06919025841025572,26.337138807314197,26.430545656168047,0.09340684885384931,32.435482999720975,32.435482999720975,0.0,0.7710238915902597,0.7754667982643033,0.72830630838871,0.7343042323986689,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage25_leave_one_out_adapter_training/driving/stage25_best_anchor_adapter.safetensors
driving,anchor_segment_rd,4,81,21,0.25925925925925924,0.11848958333333333,6,4.0,2 2 2 2 2 2 2 4 4 6 6 4 4 6 6 4 6 6 6 4,0 2 4 6 8 10 12 14 18 22 28 34 38 42 48 54 58 64 70 76 80,27.771349220614276,27.83541066050171,0.06406143988743551,26.12379480811536,26.210277751963407,0.086482943848047,32.47864754203973,32.47864754203973,0.0,0.7681948925242011,0.7726680312627627,0.7249179104963939,0.7309566477934519,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage25_leave_one_out_adapter_training/driving/stage25_best_anchor_adapter.safetensors
driving,uniform,8,81,11,0.13580246913580246,0.062065972222222224,8,8.0,8 8 8 8 8 8 8 8 8 8,0 8 16 24 32 40 48 56 64 72 80,25.722282340476603,25.77631998434536,0.054037643868756646,24.672495303820032,24.73502457743958,0.06252927361954974,32.40274530101845,32.40274530101845,0.0,0.7012447115079856,0.7062941752834084,0.671126817379679,0.6769697683198111,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage25_leave_one_out_adapter_training/driving/stage25_best_anchor_adapter.safetensors
driving,anchor_segment_rd,8,81,11,0.13580246913580246,0.062065972222222224,12,8.0,4 4 4 6 10 10 8 12 12 10,0 4 8 12 18 28 38 46 58 70 80,25.551921719438802,25.596039555553578,0.0441178361147756,24.46275909051428,24.513809729447093,0.05105063893281425,32.48295663077669,32.48295663077669,0.0,0.6902839210298326,0.6948614848984612,0.6585452718394144,0.6638421671731132,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage25_leave_one_out_adapter_training/driving/stage25_best_anchor_adapter.safetensors
driving,uniform,16,81,6,0.07407407407407407,0.033854166666666664,16,16.0,16 16 16 16 16,0 16 32 48 64 80,23.76873648899845,23.804648425598188,0.03591193659973868,23.07960555301667,23.118390444544385,0.03878489152771536,32.38287318877074,32.38287318877074,0.0,0.6309845053855284,0.6359691310811926,0.6101015182336171,0.6154849139849344,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage25_leave_one_out_adapter_training/driving/stage25_best_anchor_adapter.safetensors
driving,anchor_segment_rd,16,81,6,0.07407407407407407,0.033854166666666664,22,16.0,8 8 22 20 22,0 8 16 38 58 80,23.483285957736204,23.517038747768073,0.03375279003186904,22.767462173587674,22.803915186822096,0.036453013234421405,32.4310832595928,32.4310832595928,0.0,0.6158080619794352,0.6208264342060795,0.5937206089496613,0.5991404509544372,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage25_leave_one_out_adapter_training/driving/stage25_best_anchor_adapter.safetensors
robot,uniform,4,77,20,0.2597402597402597,0.11870941558441558,4,4.0,4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4,0 4 8 12 16 20 24 28 32 36 40 44 48 52 56 60 64 68 72 76,25.15427550044992,25.19121523230494,0.03693973185502131,22.824092801731858,22.873993843009693,0.04990104127783468,31.795296191796403,31.795296191796403,0.0,0.7914330425200524,0.8025379358948052,0.7572285187871832,0.7722298659776387,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage25_leave_one_out_adapter_training/robot/stage25_best_anchor_adapter.safetensors
robot,anchor_segment_rd,4,77,20,0.2597402597402597,0.11870941558441558,8,4.0,6 4 4 4 4 2 4 6 4 2 2 2 2 6 4 4 6 8 2,0 6 10 14 18 22 24 28 34 38 40 42 44 46 52 56 60 66 74 76,25.249913603989093,25.277672042122344,0.027758438133250962,22.93691820682634,22.974416447813354,0.03749824098701282,31.841950485902963,31.841950485902963,0.0,0.7929466862183112,0.8037097825632467,0.7588939258926793,0.7734335472709254,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage25_leave_one_out_adapter_training/robot/stage25_best_anchor_adapter.safetensors
