task_id,sequence,codec,reference_gap,target_index,base_method,keep_fraction,side_bits,keep_gaussians,payload_bytes,payload_mib_per_intermediate_frame,theoretical_bytes_without_header,header_bytes,metadata_bytes,index_bytes,residual_bytes,payload_entropy_bits_per_byte,residual_entropy_bits_per_byte,zlib_whole_bytes,component_zlib_bytes,residual_zlib_bytes,delta_index_zlib_bytes,best_candidate,best_bytes,best_mib_per_intermediate_frame,best_ratio_vs_raw,best_savings_bytes_vs_raw
stage79_00028248,loading,q12,8,43,linear,0.1,6,3686,43381,0.04137134552001953,43362.5,18,52,7372,35939,6.946718154054718,6.634192876970155,35659,35371,35580,30921,delta_index_zlib,30921,0.029488563537597656,0.7127774832299855,12460
stage79_00028248,loading,q12,8,43,stage65_adapter,0.1,6,3686,43381,0.04137134552001953,43362.5,18,52,7372,35939,7.739107096432457,7.660083049212412,40888,40579,40812,36152,delta_index_zlib,36152,0.03447723388671875,0.833360226827413,7229
stage79_00022888,camel,q12,8,81,linear,0.1,6,3686,43381,0.04137134552001953,43362.5,18,52,7372,35939,6.935416269652877,6.621200484055923,34801,34706,34843,30433,delta_index_zlib,30433,0.029023170471191406,0.7015283188492658,12948
stage79_00022888,camel,q12,8,81,stage65_adapter,0.1,6,3686,43381,0.04137134552001953,43362.5,18,52,7372,35939,7.704637591691303,7.611323927370915,40191,39980,40114,35749,delta_index_zlib,35749,0.03409290313720703,0.8240704455867777,7632
stage79_00030005,pigs,q12,4,6,linear,0.1,6,3686,43381,0.04137134552001953,43362.5,18,52,7372,35939,6.84127584449464,6.491281435929916,33907,33737,33868,29335,delta_index_zlib,29335,0.027976036071777344,0.6762176989926465,14046
stage79_00030005,pigs,q12,4,6,stage65_adapter,0.1,6,3686,43381,0.04137134552001953,43362.5,18,52,7372,35939,7.663500168076934,7.559432011209214,39922,39691,39858,35335,delta_index_zlib,35335,0.033698081970214844,0.814527097116249,8046
stage79_00029696,parkour,q12,8,83,linear,0.1,6,3686,43381,0.04137134552001953,43362.5,18,52,7372,35939,6.950599726430416,6.665555959396982,35147,34951,35142,30575,delta_index_zlib,30575,0.029158592224121094,0.7048016412715244,12806
stage79_00029696,parkour,q12,8,83,stage65_adapter,0.1,6,3686,43381,0.04137134552001953,43362.5,18,52,7372,35939,7.717119852262908,7.649824893972022,40684,40466,40667,36160,delta_index_zlib,36160,0.03448486328125,0.8335446393582444,7221
stage79_00027304,judo,q12,16,9,linear,0.1,6,3686,43381,0.04137134552001953,43362.5,18,52,7372,35939,6.78643047468336,6.473098208286035,33680,33262,33934,27968,delta_index_zlib,27968,0.02667236328125,0.6447062077868191,15413
stage79_00027304,judo,q12,16,9,stage65_adapter,0.1,6,3686,43381,0.04137134552001953,43362.5,18,52,7372,35939,7.523214219134649,7.396167620232169,37610,37168,37723,32465,delta_index_zlib,32465,0.030961036682128906,0.7483691016804592,10916
