stage97_task_id,source_task_id,sequence,reference_gap,target_index,base_method,candidate,endpoint_energy_recall,candidate_energy_recall,energy_recall_delta,endpoint_precision,candidate_precision,precision_delta,endpoint_sideinfo_psnr,candidate_sideinfo_psnr,sideinfo_psnr_delta,endpoint_delta_psnr_vs_base,candidate_delta_psnr_vs_base,delta_psnr_vs_base_delta,endpoint_gap_to_teacher,candidate_gap_to_teacher,gap_to_teacher_delta,teacher_oracle_sideinfo_psnr,energy_up,psnr_up,energy_up_psnr_down
stage97_00011533,stage79_00023210,car-roundabout,4,59,linear,shared_topk_bce,0.1939908117055893,0.2380620390176773,0.04407122731208801,0.22409115731716156,0.267498642206192,0.04340748488903046,17.229353462545085,17.316630380569755,0.08727691802467064,1.1262219409550056,1.2134988589796762,0.08727691802467064,-2.186244330581161,-2.0989674125564903,0.08727691802467064,19.415597793126246,1,1,0
stage97_00011533,stage79_00023210,car-roundabout,4,59,stage65_adapter,shared_energy_regression,0.13003066182136536,0.16669534146785736,0.036664679646492004,0.22002170979976654,0.3239283859729767,0.10390667617321014,18.08087760494481,18.101778985582733,0.02090138063792324,1.1370077721428764,1.1579091527807996,0.02090138063792324,-1.808645925564214,-1.7877445449262908,0.02090138063792324,19.889523530509024,1,1,0
stage97_00011533,stage79_00023210,car-roundabout,4,59,stage65_adapter,shared_topk_bce,0.13003066182136536,0.16740728914737701,0.03737662732601166,0.22002170979976654,0.3255561590194702,0.10553444921970367,18.08087760494481,18.00519725795392,-0.07568034699088955,1.1370077721428764,1.0613274251519869,-0.07568034699088955,-1.808645925564214,-1.8843262725551035,-0.07568034699088955,19.889523530509024,1,0,1
stage97_00011548,stage79_00023225,car-roundabout,8,5,linear,shared_energy_regression,0.15299396216869354,0.1851280778646469,0.03213411569595337,0.11991318315267563,0.1766142100095749,0.05670102685689926,15.372561228005177,15.536875097740952,0.1643138697357749,0.9045719489198287,1.0688858186556036,0.1643138697357749,-2.623045665576358,-2.458731795840583,0.1643138697357749,17.995606893581535,1,1,0
stage97_00011548,stage79_00023225,car-roundabout,8,5,linear,shared_topk_bce,0.15299396216869354,0.19551022350788116,0.04251626133918762,0.11991318315267563,0.20211611688137054,0.08220293372869492,15.372561228005177,15.51363312575318,0.1410718977480041,0.9045719489198287,1.0456438466678328,0.1410718977480041,-2.623045665576358,-2.4819737678283538,0.1410718977480041,17.995606893581535,1,1,0
stage97_00011548,stage79_00023225,car-roundabout,8,5,stage65_adapter,shared_energy_regression,0.12114695459604263,0.16026556491851807,0.03911861032247543,0.14026044309139252,0.2905588746070862,0.15029843151569366,15.86108791546328,16.073753502770234,0.2126655873069545,1.0176515659552923,1.2303171532622468,0.2126655873069545,-2.7069174088647223,-2.494251821557768,0.2126655873069545,18.568005324328002,1,1,0
stage97_00011548,stage79_00023225,car-roundabout,8,5,stage65_adapter,shared_topk_bce,0.12114695459604263,0.16273793578147888,0.04159098118543625,0.14026044309139252,0.294357031583786,0.1540965884923935,15.86108791546328,15.993292378439152,0.13220446297587252,1.0176515659552923,1.1498560289311648,0.13220446297587252,-2.7069174088647223,-2.57471294588885,0.13220446297587252,18.568005324328002,1,1,0
stage97_00011683,stage79_00023459,car-shadow,4,9,linear,shared_energy_regression,0.2791943848133087,0.30628523230552673,0.027090847492218018,0.31551817059516907,0.33640801906585693,0.020889848470687866,20.02031828770951,20.02745911134708,0.007140823637570293,1.632316945386421,1.6394577690239913,0.007140823637570293,-2.887315990386707,-2.8801751667491367,0.007140823637570293,22.907634278096218,1,1,0
stage97_00011683,stage79_00023459,car-shadow,4,9,linear,shared_topk_bce,0.2791943848133087,0.30847984552383423,0.029285460710525513,0.31551817059516907,0.32501357793807983,0.009495407342910767,20.02031828770951,19.951229950301336,-0.069088337408175,1.632316945386421,1.563228607978246,-0.069088337408175,-2.887315990386707,-2.956404327794882,-0.069088337408175,22.907634278096218,1,0,1
stage97_00011683,stage79_00023459,car-shadow,4,9,stage65_adapter,shared_energy_regression,0.16158072650432587,0.18159648776054382,0.020015761256217957,0.30683666467666626,0.3665219843387604,0.059685319662094116,20.72256636066473,20.48779716204517,-0.23476919861955992,1.5540540539859968,1.319284855366437,-0.23476919861955992,-2.5496172497500673,-2.7843864483696272,-0.23476919861955992,23.272183610414796,1,0,1
stage97_00011683,stage79_00023459,car-shadow,4,9,stage65_adapter,shared_topk_bce,0.16158072650432587,0.1818820685148239,0.020301342010498047,0.30683666467666626,0.36706456542015076,0.0602279007434845,20.72256636066473,20.465115530504747,-0.25745083015998205,1.5540540539859968,1.2966032238260148,-0.25745083015998205,-2.5496172497500673,-2.8070680799100494,-0.25745083015998205,23.272183610414796,1,0,1
stage97_00011762,stage79_00023538,car-shadow,16,24,linear,shared_energy_regression,0.1946655511856079,0.22436197102069855,0.029696419835090637,0.20455779135227203,0.24959304928779602,0.04503525793552399,17.241423322883687,17.384262183612197,0.14283886072851004,1.2802418241478826,1.4230806848763926,0.14283886072851004,-2.5685507136600414,-2.4257118529315314,0.14283886072851004,19.80997403654373,1,1,0
stage97_00011762,stage79_00023538,car-shadow,16,24,linear,shared_topk_bce,0.1946655511856079,0.23068533837795258,0.036019787192344666,0.20455779135227203,0.2539338171482086,0.049376025795936584,17.241423322883687,17.367997517539287,0.12657419465559983,1.2802418241478826,1.4068160188034824,0.12657419465559983,-2.5685507136600414,-2.4419765190044416,0.12657419465559983,19.80997403654373,1,1,0
