codec_variant,method,bits,reference_gap,sample_count,mean_rate_mib_per_frame,mean_all_psnr,min_all_psnr,max_all_psnr
compact_bitpack_raw_payload_estimate,rendered_prior_0p1,16,2,4,0.4627468885281385,32.823982905257175,30.293678767275285,34.14493491847792
compact_bitpack_raw_payload_estimate,rendered_prior_0p1,16,3,4,0.3171080221861472,31.43939013141246,28.20368954528302,33.64698774387966
compact_bitpack_raw_payload_estimate,rendered_prior_0p1,16,4,4,0.2370890827922078,30.30342176517028,26.641053761500913,33.32384010413923
compact_bitpack_raw_payload_estimate,rendered_prior_0p1,16,8,4,0.12574404761904762,28.123263299695637,24.019984268586622,32.355592038677514
compact_bitpack_raw_payload_estimate,rendered_prior_0p1,16,16,4,0.06858766233766234,26.047894463662775,21.82065389712716,31.105203075376902
compact_bitpack_raw_payload_estimate,uniform,8,1,4,0.45703125,31.59313831970481,30.605119268782953,32.469080054119516
compact_bitpack_raw_payload_estimate,uniform,8,2,4,0.23137344426406925,29.9416547174089,27.95933423125426,30.894989100413937
compact_bitpack_raw_payload_estimate,uniform,8,3,4,0.1585540110930736,28.978881049719163,26.399372513226808,30.548358487675863
compact_bitpack_raw_payload_estimate,uniform,8,4,4,0.1185445413961039,28.312971423981576,25.19141168744805,30.429613143857733
compact_bitpack_raw_payload_estimate,uniform,8,8,4,0.06287202380952381,26.654442656850428,22.983025497793417,29.938123059399317
compact_bitpack_raw_payload_estimate,uniform,8,16,4,0.03429383116883117,25.087196815723836,21.42626162360916,29.125309658911
compact_bitpack_raw_payload_estimate,uniform,10,1,4,0.5712890625,35.140331895469956,33.82014481890842,36.167097605138665
compact_bitpack_raw_payload_estimate,uniform,10,2,4,0.28921680533008653,32.34466381889291,29.85261190660548,33.641241180812564
compact_bitpack_raw_payload_estimate,uniform,10,3,4,0.198192513866342,30.92018097551183,27.760612173078126,33.209870217129506
compact_bitpack_raw_payload_estimate,uniform,10,4,4,0.14818067674512986,29.96646780814944,26.253049265211203,32.93621780699139
compact_bitpack_raw_payload_estimate,uniform,10,8,4,0.07859002976190475,27.811029320343142,23.593207869104642,32.053597208074876
compact_bitpack_raw_payload_estimate,uniform,10,16,4,0.04286728896103896,25.88434351291017,21.78487097171083,30.7494322543347
compact_bitpack_raw_payload_estimate,uniform,12,1,4,0.685546875,35.860499174248865,34.40694139540215,36.993874794053205
compact_bitpack_raw_payload_estimate,uniform,12,2,4,0.34706016639610393,32.78765454555389,30.25895728418325,34.101764571375774
compact_bitpack_raw_payload_estimate,uniform,12,3,4,0.2378310166396104,31.257957089639614,28.04791741564807,33.61122995813421
compact_bitpack_raw_payload_estimate,uniform,12,4,4,0.17781681209415584,30.24327639657314,26.471516522613154,33.300150239201145
compact_bitpack_raw_payload_estimate,uniform,12,8,4,0.09430803571428571,27.988519651761177,23.715816368578018,32.33865237537131
compact_bitpack_raw_payload_estimate,uniform,12,16,4,0.05144074675324675,25.99829100228245,21.854521249468,30.956557774726353
compact_bitpack_raw_payload_estimate,uniform,16,1,4,0.9140625,35.92033620942636,34.44643135630639,37.06440546146669
compact_bitpack_raw_payload_estimate,uniform,16,2,4,0.4627468885281385,32.823982905257175,30.293678767275285,34.14493491847792
compact_bitpack_raw_payload_estimate,uniform,16,3,4,0.3171080221861472,31.285739309553655,28.07334964891956,33.63693124372124
compact_bitpack_raw_payload_estimate,uniform,16,4,4,0.2370890827922078,30.265777703390697,26.49047751438258,33.32384010413923
compact_bitpack_raw_payload_estimate,uniform,16,8,4,0.12574404761904762,28.002301483216133,23.726895785672998,32.355592038677514
compact_bitpack_raw_payload_estimate,uniform,16,16,4,0.06858766233766234,26.007848702576645,21.860934064694316,30.969784703432914
legacy_dtype_raw,rendered_prior_0p1,8,1,4,0.4576102664727937,31.59313831970481,30.605119268782953,32.469080054119516
