step,sample,frame_gap,target_frame_index,normalized_time,rgb_mse,rgb_psnr
69,meetroom,8,9,0.125,0.0012120675528421998,29.16473174716731
70,meetroom,8,15,0.875,0.0008997092372737825,30.45897820616245
71,driving,8,9,0.125,0.005157340317964554,22.875742098115126
72,driving,8,15,0.875,0.003262135200202465,24.86498043453591
73,n3dv,16,1,0.0625,0.0015406834427267313,28.122865846427892
74,n3dv,16,15,0.9375,0.0008804168901406229,30.55311634423427
75,meetroom,16,1,0.0625,0.0009687955607660115,30.137678598931238
76,meetroom,16,15,0.9375,0.0008959858678281307,30.476988403073648
77,driving,16,1,0.0625,0.007864980027079582,21.043023759192877
78,driving,16,15,0.9375,0.003388762939721346,24.699588110894073
79,n3dv,16,17,0.0625,0.0008998536504805088,30.458281171795306
80,n3dv,16,31,0.9375,0.000870779505930841,30.60091800767696
81,meetroom,16,17,0.0625,0.0011653380934149027,29.335480567816646
82,meetroom,16,31,0.9375,0.001076705870218575,29.679029191597984
83,driving,16,17,0.0625,0.0016071884892880917,27.939331866733003
84,driving,16,31,0.9375,0.0012939757434651256,28.880738647631325
85,n3dv,2,1,0.5,0.0011925293365493417,29.23530928392852
86,meetroom,2,1,0.5,0.0008867263095453382,30.522104056427935
87,driving,2,1,0.5,0.003484666347503662,24.578387987352613
88,n3dv,2,3,0.5,0.000987426727078855,30.05495121732883
89,meetroom,2,3,0.5,0.0010297636035829782,29.872624621324107
90,driving,2,3,0.5,0.0033092156518250704,24.802749302272975
91,n3dv,4,1,0.25,0.0013869341928511858,28.579441448096368
92,n3dv,4,3,0.75,0.0010553926695138216,29.765859266462485
93,meetroom,4,1,0.25,0.0009743483969941735,30.11285725013055
94,meetroom,4,3,0.75,0.0012226840481162071,29.126857538280305
95,driving,4,1,0.25,0.00617220439016819,22.09559700876474
96,driving,4,3,0.75,0.004124879837036133,23.845886984770264
