task_id,sequence,codec,reference_gap,target_index,base_method,keep_fraction,keep_gaussians,side_bits,metadata_bits_per_attr_value,side_info_mib_per_intermediate_frame,base_psnr,sideinfo_psnr,delta_psnr_vs_base
stage79_00021366,bike-packing,q12,8,39,stage65_adapter,0.1,3686,8,16,0.05277824401855469,19.59357702158396,21.710204507936787,2.116627486352826
stage79_00021366,bike-packing,q12,8,39,stage65_adapter,0.25,9216,6,16,0.10332107543945312,19.59357702158396,22.90594274161602,3.3123657200320586
stage79_00021366,bike-packing,q12,8,39,stage65_adapter,0.25,9216,8,16,0.13188552856445312,19.59357702158396,22.909308295758002,3.3157312741740412
stage79_00024828,dog,q12,16,57,linear,0.1,3686,6,16,0.041353702545166016,17.942222663262687,20.855900627213213,2.9136779639505264
stage79_00024828,dog,q12,16,57,linear,0.1,3686,8,16,0.05277824401855469,17.942222663262687,20.852136504492975,2.9099138412302885
stage79_00024828,dog,q12,16,57,linear,0.25,9216,6,16,0.10332107543945312,17.942222663262687,23.72122118943529,5.778998526172604
stage79_00024828,dog,q12,16,57,linear,0.25,9216,8,16,0.13188552856445312,17.942222663262687,23.71401011586083,5.771787452598144
stage79_00024828,dog,q12,16,57,stage65_adapter,0.1,3686,6,16,0.041353702545166016,18.453393577997925,21.173752374247456,2.7203587962495313
stage79_00024828,dog,q12,16,57,stage65_adapter,0.1,3686,8,16,0.05277824401855469,18.453393577997925,21.176808520408624,2.723414942410699
stage79_00024828,dog,q12,16,57,stage65_adapter,0.25,9216,6,16,0.10332107543945312,18.453393577997925,23.83394600528783,5.380552427289906
stage79_00024828,dog,q12,16,57,stage65_adapter,0.25,9216,8,16,0.13188552856445312,18.453393577997925,23.846621484570534,5.3932279065726085
stage79_00021953,bmx-trees,q12,4,69,linear,0.1,3686,6,16,0.041353702545166016,18.025474094547945,20.329202095039598,2.3037280004916525
stage79_00021953,bmx-trees,q12,4,69,linear,0.1,3686,8,16,0.05277824401855469,18.025474094547945,20.335622043861665,2.31014794931372
stage79_00021953,bmx-trees,q12,4,69,linear,0.25,9216,6,16,0.10332107543945312,18.025474094547945,22.563138605063347,4.537664510515402
stage79_00021953,bmx-trees,q12,4,69,linear,0.25,9216,8,16,0.13188552856445312,18.025474094547945,22.574603776098705,4.54912968155076
stage79_00021953,bmx-trees,q12,4,69,stage65_adapter,0.1,3686,6,16,0.041353702545166016,18.76259807656818,20.621651502573602,1.8590534260054206
stage79_00021953,bmx-trees,q12,4,69,stage65_adapter,0.1,3686,8,16,0.05277824401855469,18.76259807656818,20.622733944140386,1.860135867572204
stage79_00021953,bmx-trees,q12,4,69,stage65_adapter,0.25,9216,6,16,0.10332107543945312,18.76259807656818,22.244207429498317,3.4816093529301355
stage79_00021953,bmx-trees,q12,4,69,stage65_adapter,0.25,9216,8,16,0.13188552856445312,18.76259807656818,22.25137086812969,3.4887727915615088
stage79_00028248,loading,q12,8,43,linear,0.1,3686,6,16,0.041353702545166016,14.203621355192599,17.101610619347316,2.8979892641547167
stage79_00028248,loading,q12,8,43,linear,0.1,3686,8,16,0.05277824401855469,14.203621355192599,17.102960079110442,2.899338723917843
stage79_00028248,loading,q12,8,43,linear,0.25,9216,6,16,0.10332107543945312,14.203621355192599,20.261687756743704,6.058066401551105
stage79_00028248,loading,q12,8,43,linear,0.25,9216,8,16,0.13188552856445312,14.203621355192599,20.258777836336463,6.0551564811438645
