task_id,sequence,reference_gap,setting_label,base_psnr,full_adapter_psnr,adapter_delta_psnr,adapter_delta_vs_base,mlp_psnr,mlp_delta_vs_base,mlp_delta_vs_adapter_delta,mlp_delta_vs_full_adapter,mlp_regresses_base,mlp_regresses_adapter_delta
stage79_00023225,car-roundabout,8,q4_top10,14.467989279085348,14.843436349507988,14.472516580381122,0.004527301295773611,14.43740213900012,-0.03058714008522756,-0.03511444138100117,-0.40603421050786714,1,1
stage79_00025066,dogs-jump,8,q4_top10,23.788700530499966,23.464897835204344,23.974321718308854,0.1856211878088878,23.8596994895013,0.0709989590013329,-0.1146222288075549,0.39480165429695546,0,1
stage79_00025587,drift-straight,8,q4_top10,13.080118936342377,13.49112850321552,13.102876805505124,0.02275786916274747,13.173399124582607,0.09328018824023054,0.07052231907748308,-0.3177293786329134,0,0
stage79_00026369,gold-fish,8,q4_top10,22.467274398794288,22.732631477316584,22.50694747004274,0.03967307124845121,22.417823936589304,-0.049450462204983836,-0.08912353345343504,-0.3148075407272799,1,1
stage79_00026699,horsejump-high,8,q4_top10,19.303614300597623,20.580935132048698,19.56099807018077,0.25738376958314646,19.215852531233065,-0.08776176936455826,-0.3451455389477047,-1.365082600815633,1,1
stage79_00027031,india,8,q4_top10,21.848984139798763,22.35785510776195,21.97954774238911,0.13056360259034605,21.285596606112605,-0.5633875336861571,-0.6939511362765032,-1.072258501649344,1,1
stage79_00027268,judo,8,q4_top10,30.111798053470235,26.563695046436106,29.352553220286403,-0.759244833183832,28.935496361953167,-1.176301691517068,-0.41705685833323614,2.371801315517061,1,1
stage79_00027489,kite-surf,8,q4_top10,20.376666809682952,20.82519232895038,20.546287314631417,0.16962050494846537,20.469830229079818,0.09316341939686623,-0.07645708555159914,-0.3553620998705611,0,1
stage79_00027745,lab-coat,8,q4_top10,16.004167177292384,16.55194492552082,16.08444015645601,0.08027297916362741,15.964228161069451,-0.03993901622293272,-0.12021199538656013,-0.5877167644513701,1,1
stage79_00027978,libby,8,q4_top10,18.184276428001066,18.404071203902447,18.222829768163646,0.038553340162579275,18.312318619032155,0.1280421910310885,0.08948885086850922,-0.09175258487029225,0,0
stage79_00028605,mbike-trick,8,q4_top10,20.718688817006615,21.320967745543484,20.889663730462757,0.17097491345614202,20.8039968476308,0.08530803062418357,-0.08566688283195845,-0.5169708979126852,0,1
stage79_00028856,motocross-jump,8,q4_top10,21.3325823825336,21.491838832814118,21.243495393138954,-0.08908698939464799,20.556628712352722,-0.7759536701808791,-0.6868666807862311,-0.9352101204613952,1,1
stage79_00030077,pigs,8,q4_top10,24.346765933055913,24.733364599901346,24.42859185119435,0.08182591813843842,24.279198238275775,-0.0675676947801378,-0.14939361291857622,-0.4541663616255711,1,1
stage79_00030357,scooter-black,8,q4_top10,12.425411016823018,12.836314417230641,12.503184314996663,0.07777329817364453,12.521853864942955,0.09644284811993664,0.018669549946292108,-0.3144605522876862,0,0
stage79_00030544,shooting,8,q4_top10,13.554008125720307,13.805096541096226,13.604630064035154,0.050621938314847625,13.54885827119782,-0.005149854522485953,-0.05577179283733358,-0.2562382698984056,1,1
stage79_00030952,soapbox,8,q4_top10,20.26327365950387,21.46335813797913,20.415136436719877,0.1518627772160066,20.002497597648613,-0.2607760618552568,-0.4126388390712634,-1.4608605403305184,1,1
stage79_00021680,blackswan,16,q4_top10,18.373136893057158,18.879525623973517,18.46391960194188,0.09078270888472062,18.3790797436931,0.005942850635943131,-0.08483985824877749,-0.5004458802804166,0,1
stage79_00023538,car-shadow,16,q4_top10,15.961181498735804,16.454408167178645,16.022586403731584,0.06140490499577922,15.969178514027494,0.00799701529168928,-0.05340788970408994,-0.4852296531511513,0,1
stage79_00024489,dance-twirl,16,q4_top10,18.01875981567155,18.3312598539137,18.086090858928586,0.06733104325703465,17.940472296935766,-0.07828751873578454,-0.1456185619928192,-0.39078755697793355,1,1
stage79_00025652,drift-straight,16,q4_top10,11.958519462191932,12.122501586301269,11.945830473824222,-0.012688988367710152,11.95229130604487,-0.006228156147061625,0.006460832220648527,-0.1702102802563985,1,0
stage79_00026072,goat,16,q4_top10,14.945819213685098,15.461790686845806,14.991097008417633,0.04527779473253446,15.026080779475212,0.08026156579011356,0.034983771057579105,-0.4357099073705939,0,0
stage79_00026493,gold-fish,16,q4_top10,25.894456263963935,25.53603304191234,25.82170908561286,-0.0727471783510758,25.271073149073153,-0.6233831148907818,-0.550635936539706,-0.26495989283918675,1,1
stage79_00026740,horsejump-high,16,q4_top10,15.315172299652811,15.718575525816632,15.373971509318519,0.05879920966570751,15.427269282684705,0.11209698303189342,0.05329777336618591,-0.29130624313192754,0,0
stage79_00027131,india,16,q4_top10,16.978827498399266,17.408562609593186,17.029255523728438,0.05042802532917179,17.05420371903132,0.07537622063205518,0.02494819530288339,-0.35435889056186554,0,0
stage79_00027310,judo,16,q4_top10,27.30718744720951,25.183048493916942,27.293156882267695,-0.014030564941815982,26.582273009677802,-0.7249144375317087,-0.7108838725898927,1.39922451576086,1,1
stage79_00027779,lab-coat,16,q4_top10,17.45723647076153,18.08396385314128,17.59100951751332,0.13377304675179147,17.354306346760275,-0.10293012400125434,-0.2367031707530458,-0.729657506381006,1,1
stage79_00028265,loading,16,q4_top10,13.125440554196675,13.531000092147982,13.174815080302817,0.049374526106142014,13.217174891845342,0.09173433764866701,0.042359811542524994,-0.31382520030263983,0,0
stage79_00028665,mbike-trick,16,q4_top10,21.997988820856676,22.251368490799784,22.079733861749745,0.08174504089306822,22.116588946232163,0.1186001253754867,0.036855084482418476,-0.1347795445676212,0,0
stage79_00028876,motocross-jump,16,q4_top10,9.53334596299388,9.529033143074214,9.544777568713522,0.011431605719641524,9.533692092077436,0.00034612908355491356,-0.01108547663608661,0.004658949003221835,0,1
stage79_00029295,paragliding-launch,16,q4_top10,23.55955183734146,24.14428846039353,23.64256065151263,0.08300881417116912,23.591892610897787,0.03234077355632792,-0.0506680406148412,-0.5523958494957419,0,1
stage79_00029789,parkour,16,q4_top10,15.582216591467546,15.884624035112829,15.623978754922522,0.041762163454976076,15.612282489226173,0.030065897758627003,-0.011696265696349073,-0.2723415458866558,0,1
stage79_00030141,pigs,16,q4_top10,26.505739172329346,26.256372001884575,26.42103492023722,-0.08470425209212706,26.13076814386544,-0.3749710284639072,-0.2902667763717801,-0.12560385801913654,1,1
stage79_00030587,shooting,16,q4_top10,9.340636862996764,9.427194818958773,9.358013788024866,0.01737692502810262,9.455467178241271,0.11483031524450737,0.09745339021640476,0.02827235928249827,0,0
stage79_00031098,soapbox,16,q4_top10,14.462571509964528,14.737028240950686,14.466147465483562,0.003575955519034224,14.452798907005395,-0.009772602959133181,-0.013348558478167405,-0.2842293339452908,1,1
stage79_00021591,blackswan,4,q4_top20,20.704000294004928,21.566378063122485,20.90264717284547,0.19864687884054177,20.664853642605646,-0.03914665139928175,-0.23779353023982353,-0.9015244205168393,1,1
stage79_00021916,bmx-trees,4,q4_top20,17.279025530927047,17.578954941088917,17.346527247285294,0.06750171635824742,17.227865458376918,-0.05116007255012889,-0.11866178890837631,-0.35108948271199836,1,1
stage79_00022376,breakdance,4,q4_top20,20.594228353981762,19.24412039888025,20.573116772202464,-0.02111158177929795,20.44755898419943,-0.1466693697823338,-0.12555778800303585,1.20343858531918,1,1
stage79_00022805,camel,4,q4_top20,20.41785335949318,20.758812463148463,20.40975213347241,-0.008101226020770014,19.94511939113899,-0.4727339683541878,-0.4646327423334178,-0.813693072009471,1,1
stage79_00023210,car-roundabout,4,q4_top20,16.10313152159008,16.943869832801933,16.28294834233594,0.17981682074585947,16.135127187459453,0.03199566586937408,-0.1478211548764854,-0.8087426453424804,0,1
stage79_00023459,car-shadow,4,q4_top20,18.38800134232309,19.168512306678732,18.61660124114741,0.22859989882432075,18.38465708018542,-0.0033442621376700288,-0.23194416096199078,-0.7838552264933121,1,1
stage79_00023867,cows,4,q4_top20,19.03712952287814,19.96393257405462,19.175683682254792,0.13855415937665327,19.109941144184724,0.07281162130658458,-0.06574253807006869,-0.8539914298698967,0,1
stage79_00024343,dance-twirl,4,q4_top20,17.62841818138416,18.627060272368908,17.926930322691423,0.29851214130726333,17.70596172667779,0.07754354529362928,-0.22096859601363406,-0.9210985456911196,0,1
stage79_00024697,dog,4,q4_top20,20.24060665929353,20.70005707111893,20.30670579542339,0.06609913612986063,19.941337623722145,-0.29926903557138473,-0.36536817170124536,-0.7587194473967855,1,1
