task_id,sequence,gap,codec,left_index,right_index,target_index,normalized_time,method,psnr,ssim,ms_ssim,lpips,linear_base_psnr,stage151_recovered_psnr,delta_psnr_vs_linear,delta_psnr_vs_stage151_recovered,linear_base_ssim,stage151_recovered_ssim,delta_ssim_vs_linear,delta_ssim_vs_stage151_recovered,linear_base_lpips,stage151_recovered_lpips,delta_lpips_vs_linear,delta_lpips_vs_stage151_recovered
stage79_00029217,paragliding-launch,8,q12,64,72,71,0.875,original_streamsplat_middle_base,27.16749528093416,0.6395223140716553,0.9103949069976807,0.27574822306632996,26.26220876893885,27.930857558012953,0.9052865119953069,-0.7633622770787944,0.5590806007385254,0.6511713862419128,0.08044171333312988,-0.011649072170257568,0.2955576479434967,0.2964023947715759,-0.019809424877166748,-0.02065417170524597
stage79_00021633,blackswan,8,q12,16,24,23,0.875,original_streamsplat_middle_base,22.761693626991594,0.5399059653282166,0.8388106226921082,0.3379361033439636,20.204762587454958,22.873773665956442,2.556931039536636,-0.11208003896484797,0.39767229557037354,0.5468237996101379,0.14223366975784302,-0.006917834281921387,0.33427539467811584,0.34232980012893677,0.0036607086658477783,-0.0043936967849731445
stage79_00030018,pigs,4,q12,20,24,23,0.75,original_streamsplat_middle_base,27.787532022533988,0.7937884330749512,0.947754442691803,0.21606674790382385,27.42526881347476,29.63627590003945,0.36226320905922904,-1.8487438775054628,0.7715454697608948,0.8191036581993103,0.022242963314056396,-0.02531522512435913,0.21666011214256287,0.20061172544956207,-0.0005933642387390137,0.01545502245426178
stage79_00022333,breakdance,4,q12,24,28,25,0.25,original_streamsplat_middle_base,20.00348477540129,0.7283596396446228,0.85687255859375,0.24625961482524872,19.381876796770896,24.400076507646947,0.6216079786303936,-4.396591732245657,0.7239551544189453,0.8256466388702393,0.00440448522567749,-0.09728699922561646,0.24812525510787964,0.20067590475082397,-0.0018656402826309204,0.045583710074424744
stage79_00021925,bmx-trees,4,q12,28,32,31,0.75,original_streamsplat_middle_base,23.60140544567637,0.6186644434928894,0.8847058415412903,0.22567906975746155,16.30930236922193,18.76858682843541,7.292103076454442,4.83281861724096,0.26526781916618347,0.4055129587650299,0.35339662432670593,0.2131514847278595,0.5105155110359192,0.5078213810920715,-0.28483644127845764,-0.28214231133461
stage79_00028560,mbike-trick,8,q12,0,8,6,0.75,original_streamsplat_middle_base,22.111921178137585,0.5164439082145691,0.815710186958313,0.31860947608947754,23.27061539316549,26.06128412752667,-1.1586942150279036,-3.9493629493890836,0.604219377040863,0.7320922017097473,-0.08777546882629395,-0.21564829349517822,0.2720927596092224,0.28724217414855957,0.04651671648025513,0.03136730194091797
stage79_00026368,gold-fish,8,q12,0,8,2,0.25,original_streamsplat_middle_base,24.692623920124998,0.7666061520576477,0.8855270147323608,0.17617090046405792,23.518730631487543,27.349743775450506,1.173893288637455,-2.657119855325508,0.695134162902832,0.7780134081840515,0.07147198915481567,-0.011407256126403809,0.23339124023914337,0.2163470983505249,-0.05722033977508545,-0.04017619788646698
stage79_00030345,scooter-black,8,q12,8,16,10,0.25,original_streamsplat_middle_base,18.95618502125217,0.6678135395050049,0.8889173865318298,0.2937227785587311,13.501281414294237,17.264277828190224,5.454903606957934,1.6919071930619474,0.37593141198158264,0.5465901494026184,0.29188212752342224,0.12122339010238647,0.44721364974975586,0.4378000497817993,-0.15349087119102478,-0.14407727122306824
stage79_00025302,drift-chicane,4,q12,20,24,21,0.25,original_streamsplat_middle_base,30.940667758026613,0.8850756287574768,0.9793556332588196,0.20528735220432281,30.807184852850202,31.474295450915815,0.13348290517641104,-0.5336276928892012,0.8831998705863953,0.8957538604736328,0.001875758171081543,-0.010678231716156006,0.173697367310524,0.16460490226745605,0.03158998489379883,0.04068244993686676
stage79_00029575,parkour,4,q12,32,36,34,0.5,original_streamsplat_middle_base,21.213494031062613,0.5572781562805176,0.7625449895858765,0.3779895007610321,16.79401875845571,19.931916500825984,4.419475272606903,1.2815775302366283,0.3672100603580475,0.5000471472740173,0.1900680959224701,0.057231009006500244,0.486930251121521,0.4790288209915161,-0.10894075036048889,-0.10103932023048401
stage79_00030547,shooting,8,q12,8,16,9,0.125,original_streamsplat_middle_base,17.212635287433137,0.37488970160484314,0.45180460810661316,0.550696611404419,15.756918782434763,19.117396613707808,1.4557165049983745,-1.90476132627467,0.32489636540412903,0.46464598178863525,0.04999333620071411,-0.08975628018379211,0.5052111744880676,0.5125280022621155,0.04548543691635132,0.03816860914230347
stage79_00028201,loading,4,q12,32,36,35,0.75,original_streamsplat_middle_base,20.478476546840987,0.667116641998291,0.831269383430481,0.3108382821083069,16.089490408619877,19.810808817128827,4.38898613822111,0.6676677297121607,0.3611820936203003,0.5492934584617615,0.3059345483779907,0.11782318353652954,0.40194809436798096,0.3986702561378479,-0.09110981225967407,-0.08783197402954102
