rank_type,rank,task_id,sequence,gap,target_index,normalized_time,psnr,ssim,ms_ssim,lpips,stage151_recovered_psnr,stage151_recovered_ssim,stage151_recovered_lpips,contact_sheet_path
lowest_original_psnr,4,stage79_00028812,motocross-jump,4,23,0.75,14.094692782607366,0.44769611954689026,0.3551819920539856,0.6208215951919556,16.01943610666431,0.5389552712440491,0.5213975310325623,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage154_original_streamsplat_middle_base_alignment/stage154_badcases_lowest_original_psnr.jpg
lowest_original_psnr,5,stage79_00027753,lab-coat,8,35,0.375,14.32422824644359,0.3529540002346039,0.3329145610332489,0.5634276270866394,18.02907097334998,0.4728566110134125,0.4882572591304779,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage154_original_streamsplat_middle_base_alignment/stage154_badcases_lowest_original_psnr.jpg
lowest_original_psnr,6,stage79_00025591,drift-straight,8,19,0.375,14.42454255956334,0.16218063235282898,0.2969926595687866,0.4983656406402588,15.422412700218898,0.32031622529029846,0.5034502148628235,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage154_original_streamsplat_middle_base_alignment/stage154_badcases_lowest_original_psnr.jpg
lowest_original_psnr,7,stage79_00026019,goat,8,75,0.375,14.551624359461622,0.0891624465584755,0.15403105318546295,0.48763400316238403,17.23733293357901,0.3038075864315033,0.5091736316680908,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage154_original_streamsplat_middle_base_alignment/stage154_badcases_lowest_original_psnr.jpg
lowest_original_psnr,8,stage79_00030333,scooter-black,4,37,0.25,14.566759803013039,0.39349493384361267,0.6105632781982422,0.37142905592918396,14.891554757180458,0.39826324582099915,0.4676969647407532,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage154_original_streamsplat_middle_base_alignment/stage154_badcases_lowest_original_psnr.jpg
lowest_original_psnr,9,stage79_00028835,motocross-jump,8,13,0.625,14.721935068555451,0.4268844425678253,0.31247860193252563,0.6770032644271851,17.09649470079111,0.45292040705680847,0.6126717329025269,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage154_original_streamsplat_middle_base_alignment/stage154_badcases_lowest_original_psnr.jpg
lowest_original_psnr,10,stage79_00027754,lab-coat,8,36,0.5,14.747739216133855,0.37649664282798767,0.3713522255420685,0.5675578117370605,18.52550168724045,0.4952661991119385,0.4726555049419403,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage154_original_streamsplat_middle_base_alignment/stage154_badcases_lowest_original_psnr.jpg
lowest_original_psnr,11,stage79_00030340,scooter-black,8,4,0.5,15.212313294706739,0.4846014976501465,0.6723931431770325,0.37352728843688965,17.57019503332463,0.5558651089668274,0.43305230140686035,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage154_original_streamsplat_middle_base_alignment/stage154_badcases_lowest_original_psnr.jpg
lowest_original_psnr,12,stage79_00021991,bmx-trees,8,35,0.375,15.552224068839411,0.19959938526153564,0.2985188364982605,0.5763093829154968,16.530294026858613,0.30610179901123047,0.5932411551475525,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage154_original_streamsplat_middle_base_alignment/stage154_badcases_lowest_original_psnr.jpg
largest_psnr_drop_vs_stage151,1,stage79_00027283,judo,8,18,0.25,25.751268788533576,0.8645972609519958,0.9101804494857788,0.22746646404266357,30.916451432493368,0.9280444979667664,0.16340062022209167,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage154_original_streamsplat_middle_base_alignment/stage154_badcases_largest_psnr_drop_vs_stage151.jpg
largest_psnr_drop_vs_stage151,2,stage79_00028557,mbike-trick,8,3,0.375,21.182561890012593,0.47069787979125977,0.702940046787262,0.3006952404975891,25.98450721665096,0.7195578217506409,0.29404693841934204,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage154_original_streamsplat_middle_base_alignment/stage154_badcases_largest_psnr_drop_vs_stage151.jpg
largest_psnr_drop_vs_stage151,3,stage79_00027257,judo,4,18,0.5,26.808279316456826,0.8796327710151672,0.9279452562332153,0.2009381353855133,31.5501473563846,0.9351055026054382,0.14737020432949066,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage154_original_streamsplat_middle_base_alignment/stage154_badcases_largest_psnr_drop_vs_stage151.jpg
largest_psnr_drop_vs_stage151,4,stage79_00026362,gold-fish,4,70,0.5,25.574813704998427,0.7970196604728699,0.8965444564819336,0.16578176617622375,30.182136994950234,0.8572506308555603,0.14705093204975128,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage154_original_streamsplat_middle_base_alignment/stage154_badcases_largest_psnr_drop_vs_stage151.jpg
largest_psnr_drop_vs_stage151,5,stage79_00025006,dogs-jump,4,17,0.25,25.23439021639429,0.7777981758117676,0.9000982046127319,0.23710842430591583,29.831807109685986,0.8349094390869141,0.17339357733726501,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage154_original_streamsplat_middle_base_alignment/stage154_badcases_largest_psnr_drop_vs_stage151.jpg
largest_psnr_drop_vs_stage151,6,stage79_00022333,breakdance,4,25,0.25,20.00348477540129,0.7283596396446228,0.85687255859375,0.24625961482524872,24.400076507646947,0.8256466388702393,0.20067590475082397,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage154_original_streamsplat_middle_base_alignment/stage154_badcases_largest_psnr_drop_vs_stage151.jpg
largest_psnr_drop_vs_stage151,7,stage79_00022356,breakdance,4,55,0.75,20.542736720954153,0.7553033232688904,0.8987454175949097,0.21556556224822998,24.913170029983164,0.8442986607551575,0.17962470650672913,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage154_original_streamsplat_middle_base_alignment/stage154_badcases_largest_psnr_drop_vs_stage151.jpg
largest_psnr_drop_vs_stage151,8,stage79_00022382,breakdance,8,6,0.75,19.16457032226849,0.7028393745422363,0.8273356556892395,0.2658421993255615,23.532119963337834,0.8084239363670349,0.21555563807487488,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage154_original_streamsplat_middle_base_alignment/stage154_badcases_largest_psnr_drop_vs_stage151.jpg
largest_psnr_drop_vs_stage151,9,stage79_00022430,breakdance,8,61,0.625,18.670944510801316,0.6417622566223145,0.8045324683189392,0.2932969629764557,23.010645483346757,0.7933085560798645,0.2302420437335968,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage154_original_streamsplat_middle_base_alignment/stage154_badcases_largest_psnr_drop_vs_stage151.jpg
largest_psnr_drop_vs_stage151,10,stage79_00021341,bike-packing,8,11,0.375,18.997018794340658,0.6225812435150146,0.7535206079483032,0.3519083261489868,23.105579530611134,0.7264575958251953,0.2933337688446045,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage154_original_streamsplat_middle_base_alignment/stage154_badcases_largest_psnr_drop_vs_stage151.jpg
largest_psnr_drop_vs_stage151,11,stage79_00024429,dance-twirl,8,68,0.5,16.853718206786688,0.29407382011413574,0.5738440155982971,0.45683783292770386,20.904268166066764,0.4897126257419586,0.4689469039440155,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage154_original_streamsplat_middle_base_alignment/stage154_badcases_largest_psnr_drop_vs_stage151.jpg
largest_psnr_drop_vs_stage151,12,stage79_00028560,mbike-trick,8,6,0.75,22.111921178137585,0.5164439082145691,0.815710186958313,0.31860947608947754,26.06128412752667,0.7320922017097473,0.28724217414855957,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage154_original_streamsplat_middle_base_alignment/stage154_badcases_largest_psnr_drop_vs_stage151.jpg
