sample,reference_gap,bits,rate_kind,uniform_rate_mib_per_frame,adaptive_rate_mib_per_frame,rate_delta_mib_per_frame,selector_delta_adapter_all_psnr,selector_delta_adapter_middle_psnr
robot,1,8,zlib_mib_per_frame,0.30708835651348165,0.30708835651348165,0.0,0.0,
robot,1,10,zlib_mib_per_frame,0.4680488264405882,0.4680488264405882,0.0,0.0,
robot,1,12,zlib_mib_per_frame,0.5278681346348354,0.5278681346348354,0.0,0.0,
robot,1,16,zlib_mib_per_frame,0.6203737135057326,0.6203737135057326,0.0,0.0,
robot,2,8,zlib_mib_per_frame,0.155572036644081,0.155572036644081,0.0,0.0,0.0
robot,2,10,zlib_mib_per_frame,0.2370952135556704,0.2370952135556704,0.0,0.0,0.0
robot,2,12,zlib_mib_per_frame,0.26736893591942723,0.26736893591942723,0.0,0.0,0.0
robot,2,16,zlib_mib_per_frame,0.3142507354934494,0.3142507354934494,0.0,0.0,0.0
robot,3,8,zlib_mib_per_frame,0.1076928423596667,0.10767345923882027,-1.9383120846427904e-05,0.12593819187432942,0.18401248311332807
robot,3,10,zlib_mib_per_frame,0.16416928675267603,0.16411739200740666,-5.189474526937077e-05,0.12987099763617493,0.18470467218187636
robot,3,12,zlib_mib_per_frame,0.18511235868776,0.18508803380000127,-2.4324887758719882e-05,0.13103341729762263,0.1845094115536945
robot,3,16,zlib_mib_per_frame,0.21755978968236353,0.2175370253525771,-2.276432978642884e-05,0.13033989636345922,0.18443053951418165
robot,4,8,zlib_mib_per_frame,0.0797856194632394,0.07976124503395775,-2.437442928164557e-05,0.16331619309351808,0.21729521549740127
robot,4,10,zlib_mib_per_frame,0.1215889175216873,0.12160491943359375,1.6001911906454724e-05,0.15043484975978316,0.21363776453724626
robot,4,12,zlib_mib_per_frame,0.13712040789715654,0.13712025927258775,-1.4862456879094488e-07,0.15067022519403395,0.21430904180106936
robot,4,16,zlib_mib_per_frame,0.16116951038311053,0.16115067221901633,-1.883816409420369e-05,0.15057624711833384,0.21418535830832042
robot,8,8,zlib_mib_per_frame,0.043933633085969204,0.043873415364847554,-6.02177211216498e-05,0.2876497712710311,0.34384268018851216
robot,8,10,zlib_mib_per_frame,0.0669397007335316,0.06690360973407695,-3.6090999454646555e-05,0.2882636127732461,0.3420980785423531
robot,8,12,zlib_mib_per_frame,0.07545948028564453,0.0754404811116008,-1.8999174043729528e-05,0.29277517452441515,0.34688981687132525
robot,8,16,zlib_mib_per_frame,0.08867549896240234,0.08864293779645648,-3.256116594586855e-05,0.29308848291362466,0.34715741816896895
robot,16,8,zlib_mib_per_frame,0.023970058986118863,0.023973576434246906,3.5174481280431102e-06,-0.018963597365331708,-0.01899001734383532
robot,16,10,zlib_mib_per_frame,0.036517130864130984,0.03652254327551111,5.4124113801276574e-06,-0.040830605061721315,-0.04220026382399311
robot,16,12,zlib_mib_per_frame,0.04116690004026735,0.041175520265257205,8.620224989853986e-06,-0.04021615350439589,-0.039005588375840006
robot,16,16,zlib_mib_per_frame,0.04837133977320287,0.048375575573413404,4.23580021053499e-06,-0.040280167567157577,-0.039171637156432126
