sample,reference_gap,bits,rate_kind,uniform_rate_mib_per_frame,adaptive_rate_mib_per_frame,rate_delta_mib_per_frame,selector_delta_adapter_all_psnr,selector_delta_adapter_middle_psnr
meetroom,4,8,raw_mib_per_frame,0.11864052289797936,0.11864052289797936,0.0,0.0,0.0
meetroom,4,10,raw_mib_per_frame,0.23713296725426192,0.23713296725426192,0.0,0.0,0.0
meetroom,4,12,raw_mib_per_frame,0.23713416817747515,0.23713416817747515,0.0,0.0,0.0
meetroom,4,16,raw_mib_per_frame,0.2371352513631185,0.2371352513631185,0.0,0.0,0.0
meetroom,8,8,raw_mib_per_frame,0.06214560991452064,0.06214542153440876,-1.883801118776618e-07,0.11748100026268915,0.12893604611359422
meetroom,8,10,raw_mib_per_frame,0.12421299498758198,0.12421279483371311,-2.0015386886784725e-07,0.15409810241692767,0.16196985849068568
meetroom,8,12,raw_mib_per_frame,0.12421357190167462,0.12421340706907673,-1.6483259789035198e-07,0.1660553401820124,0.17369561817340085
meetroom,8,16,raw_mib_per_frame,0.12421417236328125,0.12421401930444034,-1.5305884090710542e-07,0.16640761854539932,0.17402260029137295
meetroom,16,8,raw_mib_per_frame,0.03389807100649233,0.033898118101520304,4.709502797461962e-08,0.04573341814039722,0.04690989693839498
meetroom,16,10,raw_mib_per_frame,0.06775305006239149,0.06775305006239149,0.0,0.0425745459991802,0.04297370428435343
meetroom,16,12,raw_mib_per_frame,0.06775330908504533,0.0677533561800733,4.709502797461962e-08,0.039717264370956684,0.040165696574511855
meetroom,16,16,raw_mib_per_frame,0.06775363875024112,0.0677536740715121,3.532127097749527e-08,0.04059449739923693,0.04092526464144797
n3dv,1,8,raw_mib_per_frame,0.4576145925639588,0.4576145925639588,0.0,0.0,
n3dv,1,10,raw_mib_per_frame,0.9146562505651403,0.9146562505651403,0.0,0.0,
n3dv,1,12,raw_mib_per_frame,0.9146603242850598,0.9146603242850598,0.0,0.0,
n3dv,1,16,raw_mib_per_frame,0.9146653163580247,0.9146653163580247,0.0,0.0,
n3dv,2,8,raw_mib_per_frame,0.2316327153900523,0.2316327153900523,0.0,0.0,0.0
n3dv,2,10,raw_mib_per_frame,0.46297473671995565,0.46297473671995565,0.0,0.0,0.0
n3dv,2,12,raw_mib_per_frame,0.46297660874731744,0.46297660874731744,0.0,0.0,0.0
n3dv,2,16,raw_mib_per_frame,0.4629793049376688,0.4629793049376688,0.0,0.0,0.0
n3dv,3,8,raw_mib_per_frame,0.15818863150514204,0.15818844312503014,-1.8838011189847848e-07,0.009070630543192237,0.01306018357272265
n3dv,3,10,raw_mib_per_frame,0.3161785219922478,0.316178109910753,-4.1208149476057443e-07,0.005491905505131456,0.007925841376042797
n3dv,3,12,raw_mib_per_frame,0.316179852426788,0.31617952276159217,-3.2966519580845954e-07,0.01022575033119466,0.014733844651679817
n3dv,3,16,raw_mib_per_frame,0.31618155962155187,0.31618137124144,-1.8838011184296732e-07,0.010056500158420079,0.014638635203617412
n3dv,4,8,raw_mib_per_frame,0.1186414177035108,0.1186414177035108,0.0,0.0,0.0
n3dv,4,10,raw_mib_per_frame,0.23713387383355033,0.23713387383355033,0.0,0.0,0.0
n3dv,4,12,raw_mib_per_frame,0.2371348981504087,0.2371348981504087,0.0,0.0,0.0
n3dv,4,16,raw_mib_per_frame,0.2371362168111919,0.2371362168111919,0.0,0.0,0.0
