sample,method,reference_gap,bits,payload_dtype,total_frames,keyframe_count,keyframe_ratio,estimated_q8_static_mib_per_frame,raw_mib_per_frame,zlib_mib_per_frame,theoretical_bitpacked_mib_per_frame,zlib_savings_percent_vs_raw_bitstream,max_roundtrip_abs_diff,max_segment_length,mean_segment_length,segment_lengths,indices,checkpoint,linear_all_psnr,adapter_all_psnr,delta_all_psnr,linear_middle_psnr,adapter_middle_psnr,delta_middle_psnr,linear_given_psnr,adapter_given_psnr,delta_given_psnr,linear_all_ssim,adapter_all_ssim,linear_middle_ssim,adapter_middle_ssim
n3dv,rendered_prior_0p1,3,8,uint8,81,28,0.345679012345679,0.1579861111111111,0.15818844312503014,0.10429304617422598,0.1579861111111111,34.07037574053746,0.0,3,2.962962962962963,2 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3,0 2 5 8 11 14 17 20 23 26 29 32 35 38 41 44 47 50 53 56 59 62 65 68 71 74 77 80,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage25_leave_one_out_adapter_training/n3dv/stage25_best_anchor_adapter.safetensors,30.399343497042274,30.557429118219055,0.15808562117678093,30.291273902752806,30.532876455872024,0.2416025531192183,30.603903800518776,30.603903800518776,0.0,0.9013333467789638,0.9080383041758596,0.9000605097356832,0.9103077087762221
n3dv,rendered_prior_0p1,3,10,uint16,81,28,0.345679012345679,0.1579861111111111,0.316178109910753,0.1608350188643844,0.1974826388888889,49.131513592201884,0.0,3,2.962962962962963,2 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3,0 2 5 8 11 14 17 20 23 26 29 32 35 38 41 44 47 50 53 56 59 62 65 68 71 74 77 80,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage25_leave_one_out_adapter_training/n3dv/stage25_best_anchor_adapter.safetensors,33.343204169582044,33.21536212263464,-0.12784204694740708,33.092150472799,32.89676923123786,-0.19538124156113668,33.818412952778516,33.818412952778516,0.0,0.9579848323339297,0.9577507111761305,0.9564103124276647,0.9560525046204621
n3dv,rendered_prior_0p1,3,12,uint16,81,28,0.345679012345679,0.1579861111111111,0.31617952276159217,0.18188451837610314,0.23697916666666666,42.474289040771005,0.0,3,2.962962962962963,2 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3,0 2 5 8 11 14 17 20 23 26 29 32 35 38 41 44 47 50 53 56 59 62 65 68 71 74 77 80,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage25_leave_one_out_adapter_training/n3dv/stage25_best_anchor_adapter.safetensors,33.8556264865726,33.621455708465405,-0.23417077810719888,33.56500934426053,33.207125702247644,-0.3578836420128866,34.40572322023475,34.40572322023475,0.0,0.965977211057404,0.9644573264651828,0.9642947811000752,0.9619719386100769
n3dv,rendered_prior_0p1,3,16,uint16,81,28,0.345679012345679,0.1579861111111111,0.31618137124144,0.21368847364260826,0.3159722222222222,32.41585587297833,0.0,3,2.962962962962963,2 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3,0 2 5 8 11 14 17 20 23 26 29 32 35 38 41 44 47 50 53 56 59 62 65 68 71 74 77 80,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage25_leave_one_out_adapter_training/n3dv/stage25_best_anchor_adapter.safetensors,33.88912431703397,33.64698774387966,-0.2421365731543048,33.5953556919166,33.22529791030342,-0.37005778161318403,34.445186357434686,34.445186357434686,0.0,0.9665935304429796,0.9649678137567308,0.964898408583875,0.962413822704891
n3dv,uniform,4,8,uint8,81,21,0.25925925925925924,0.11848958333333333,0.1186414177035108,0.07822980998474875,0.11848958333333333,34.061973045325644,0.0,4,4.0,4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4,0 4 8 12 16 20 24 28 32 36 40 44 48 52 56 60 64 68 72 76 80,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage25_leave_one_out_adapter_training/n3dv/stage25_best_anchor_adapter.safetensors,30.2620931976309,30.429613143857733,0.16751994622683242,30.150854934349642,30.377006861755877,0.22615192740623513,30.579916807005898,30.579916807005898,0.0,0.8999017793455242,0.9074298871888055,0.8986136794090271,0.9087766249974568
n3dv,uniform,4,10,uint16,81,21,0.25925925925925924,0.11848958333333333,0.23713387383355033,0.12064874908070505,0.14811197916666666,49.12209414442782,0.0,4,4.0,4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4,0 4 8 12 16 20 24 28 32 36 40 44 48 52 56 60 64 68 72 76 80,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage25_leave_one_out_adapter_training/n3dv/stage25_best_anchor_adapter.safetensors,33.08025956952547,32.93621780699139,-0.14404176253407996,32.833596479996984,32.63914010057597,-0.19445637942101257,33.78501125389256,33.78501125389256,0.0,0.9563019408120049,0.9560054180062847,0.9547361801067988,0.9543358743190765
n3dv,uniform,4,12,uint16,81,21,0.25925925925925924,0.11848958333333333,0.2371348981504087,0.13641672958562404,0.177734375,42.47294234225351,0.0,4,4.0,4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4,0 4 8 12 16 20 24 28 32 36 40 44 48 52 56 60 64 68 72 76 80,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage25_leave_one_out_adapter_training/n3dv/stage25_best_anchor_adapter.safetensors,33.55706872176647,33.300150239201145,-0.25691848256532523,33.27356528210705,32.92672533064386,-0.34683995146318836,34.3670785493648,34.3670785493648,0.0,0.9641958033597028,0.9624487647303829,0.962536558508873,0.9601780563592911
n3dv,uniform,4,16,uint16,81,21,0.25925925925925924,0.11848958333333333,0.2371362168111919,0.1602832888379509,0.23697916666666666,32.408768684385045,0.0,4,4.0,4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4,0 4 8 12 16 20 24 28 32 36 40 44 48 52 56 60 64 68 72 76 80,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage25_leave_one_out_adapter_training/n3dv/stage25_best_anchor_adapter.safetensors,33.58927181448525,33.32384010413923,-0.26543171034602153,33.303183464911534,32.9448506559444,-0.35833280896713404,34.40666709898159,34.40666709898159,0.0,0.9648112323549058,0.9629444295977369,0.9631426880757014,0.9606225043535233
n3dv,rendered_prior_0p1,4,8,uint8,81,21,0.25925925925925924,0.11848958333333333,0.1186414177035108,0.07822980998474875,0.11848958333333333,34.061973045325644,0.0,4,4.0,4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4,0 4 8 12 16 20 24 28 32 36 40 44 48 52 56 60 64 68 72 76 80,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage25_leave_one_out_adapter_training/n3dv/stage25_best_anchor_adapter.safetensors,30.2620931976309,30.429613143857733,0.16751994622683242,30.150854934349642,30.377006861755877,0.22615192740623513,30.579916807005898,30.579916807005898,0.0,0.8999017793455242,0.9074298871888055,0.8986136794090271,0.9087766249974568
n3dv,rendered_prior_0p1,4,10,uint16,81,21,0.25925925925925924,0.11848958333333333,0.23713387383355033,0.12064874908070505,0.14811197916666666,49.12209414442782,0.0,4,4.0,4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4,0 4 8 12 16 20 24 28 32 36 40 44 48 52 56 60 64 68 72 76 80,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage25_leave_one_out_adapter_training/n3dv/stage25_best_anchor_adapter.safetensors,33.08025956952547,32.93621780699139,-0.14404176253407996,32.833596479996984,32.63914010057597,-0.19445637942101257,33.78501125389256,33.78501125389256,0.0,0.9563019408120049,0.9560054180062847,0.9547361801067988,0.9543358743190765
