task_id,sequence,codec,reference_gap,target_index,base_method,keep_fraction,side_bits,keep_gaussians,fixed_payload_bytes,entropy_payload_bytes,fixed_mib_per_intermediate_frame,entropy_mib_per_intermediate_frame,entropy_ratio_vs_fixed,entropy_savings_bytes_vs_fixed,entropy_header_bytes,metadata_zlib_bytes,delta_zlib_bytes,residual_zlib_bytes,decoded_max_abs_diff_vs_fixed,base_psnr,entropy_psnr,delta_psnr_vs_base
stage79_00021953,bmx-trees,q12,4,69,linear,0.1,6,3686,43381,32100,0.04137134552001953,0.030612945556640625,0.7399552799612734,11281,30,50,2837,29183,0.0,18.025474094547945,20.329858805578525,2.304384711030579
stage79_00021953,bmx-trees,q12,4,69,stage65_adapter,0.1,6,3686,43381,36711,0.04137134552001953,0.035010337829589844,0.8462460524192619,6670,30,61,2851,33769,0.0,18.76259807656818,20.62161883280953,1.8590207562413497
stage79_00028248,loading,q12,8,43,linear,0.1,6,3686,43381,31164,0.04137134552001953,0.029720306396484375,0.7183790138539914,12217,30,51,2714,28369,0.0,14.203621355192599,17.101965481233563,2.898344126040964
stage79_00028248,loading,q12,8,43,stage65_adapter,0.1,6,3686,43381,36108,0.04137134552001953,0.034435272216796875,0.8323459579078398,7273,30,63,2701,33314,0.0,14.708515181208464,17.489211341900315,2.7806961606918517
stage79_00022888,camel,q12,8,81,linear,0.1,6,3686,43381,30739,0.04137134552001953,0.02931499481201172,0.7085820981535695,12642,30,50,2964,27695,0.0,22.489052326242458,23.54115068028222,1.0520983540397637
stage79_00022888,camel,q12,8,81,stage65_adapter,0.1,6,3686,43381,36007,0.04137134552001953,0.034338951110839844,0.8300177497060925,7374,30,63,2996,32918,0.0,21.59513563488174,22.32469120139321,0.7295555665114719
stage79_00030005,pigs,q12,4,6,linear,0.1,6,3686,43381,29633,0.04137134552001953,0.028260231018066406,0.6830870657661188,13748,30,50,2841,26712,0.0,23.684025514285292,26.640184370709996,2.956158856424704
stage79_00030005,pigs,q12,4,6,stage65_adapter,0.1,6,3686,43381,35571,0.04137134552001953,0.03392314910888672,0.8199672667757774,7810,30,63,2838,32640,0.0,24.401265605812654,26.65032464336063,2.249059037547976
stage79_00029696,parkour,q12,8,83,linear,0.1,6,3686,43381,30606,0.04137134552001953,0.029188156127929688,0.7055162398284963,12775,30,50,2807,27719,0.0,16.598817972818342,18.958347701099086,2.3595297282807444
stage79_00029696,parkour,q12,8,83,stage65_adapter,0.1,6,3686,43381,36108,0.04137134552001953,0.034435272216796875,0.8323459579078398,7273,30,61,2856,33161,0.0,16.973858945248693,19.36582326295565,2.3919643177069574
stage79_00027304,judo,q12,16,9,linear,0.1,6,3686,43381,28026,0.04137134552001953,0.026727676391601562,0.6460431986353473,15355,30,51,1407,26538,0.0,24.158958063438494,30.829546460658612,6.6705883972201185
stage79_00027304,judo,q12,16,9,stage65_adapter,0.1,6,3686,43381,32476,0.04137134552001953,0.030971527099609375,0.7486226689103525,10905,30,63,2103,30280,0.0,23.08400204611761,26.713845844141062,3.629843798023451
stage79_00026745,horsejump-high,q12,16,41,linear,0.1,6,3686,43381,30771,0.04137134552001953,0.02934551239013672,0.7093197482768954,12610,30,50,2536,28155,0.0,15.603721029251016,18.98113965294887,3.377418623697853
stage79_00026745,horsejump-high,q12,16,41,stage65_adapter,0.1,6,3686,43381,35893,0.04137134552001953,0.03423023223876953,0.8273898711417441,7488,30,61,2587,33215,0.0,16.04432040174668,19.68391515187453,3.6395947501278485
