sequence,frame_index,adaptive_psnr,adaptive_ssim,adaptive_ms_ssim,adaptive_lpips,adaptive_payload_bytes,gap8_psnr,gap8_lpips,gap4_psnr,gap4_lpips,delta_psnr_gap4_vs_adaptive,delta_lpips_gap4_vs_adaptive,low_psnr_flag,high_lpips_flag,high_payload_flag,risk_score
cows,66,24.663754774084868,0.7664310932159424,0.9749612808227539,0.2114710807800293,222709,24.663754774084868,0.2114710807800293,24.707897843092155,0.21074317395687103,0.04414306900728704,-0.0007279068231582642,1,0,1,1.3904252259151317
cows,25,24.74080534618871,0.77463299036026,0.9764840006828308,0.20996145904064178,226510,24.74080534618871,0.20996145904064178,24.715960522207677,0.2101905792951584,-0.02484482398103438,0.00022912025451660156,1,0,1,1.3893946538112887
cows,41,24.611362066974678,0.7633624076843262,0.9750499725341797,0.21750563383102417,212025,24.64938801304192,0.21696850657463074,24.62950696953957,0.21620196104049683,0.018144902564891652,-0.0013036727905273438,1,0,0,1.388637933025322
cows,78,24.683356264719695,0.769136905670166,0.9755315184593201,0.20860153436660767,223444,24.683356264719695,0.20860153436660767,24.679354393809504,0.20932143926620483,-0.0040018709101907746,0.000719904899597168,1,0,1,1.3855237352803051
cows,54,24.764582607987904,0.7701892256736755,0.9751558303833008,0.2056291699409485,227367,24.764582607987904,0.2056291699409485,24.770168736033895,0.2068985253572464,0.00558612804599079,0.0012693554162979126,1,0,1,1.3827573920120957
cows,70,24.762659389349906,0.7713950276374817,0.9756752252578735,0.20991453528404236,227196,24.762659389349906,0.20991453528404236,24.699919634071478,0.21070365607738495,-0.06273975527842879,0.0007891207933425903,1,0,1,1.3812606106500938
parkour,76,25.294554962751988,0.7660279273986816,0.9727526903152466,0.23936495184898376,234247,25.294554962751988,0.23936495184898376,26.054094641845804,0.1841071993112564,0.759539679093816,-0.055257752537727356,1,1,1,1.3776840742276872
cows,33,24.622855860477966,0.7666862607002258,0.9755666255950928,0.212150439620018,184788,24.622855860477966,0.212150439620018,24.632769646992685,0.2114875614643097,0.009913786514719192,-0.000662878155708313,1,0,0,1.3771441395220343
cows,14,24.624445391167903,0.765284538269043,0.9749229550361633,0.21157892048358917,206268,24.576934733055683,0.21169836819171906,24.60956191019524,0.20945164561271667,-0.014883480972663676,-0.0021272748708724976,1,0,0,1.375554608832097
cows,17,24.62864764957328,0.7698567509651184,0.9754651784896851,0.21566303074359894,213334,24.640646530464736,0.21584510803222656,24.632519308004536,0.21467456221580505,0.0038716584312545876,-0.0009884685277938843,1,0,0,1.3713523504267187
scooter-black,6,24.63280990237862,0.8638699054718018,0.9834431409835815,0.21111451089382172,219771,24.657520297827627,0.20786654949188232,24.63280990237862,0.21111451089382172,0.0,0.0,1,0,0,1.3671900976213784
cows,7,24.680263613179193,0.7723419070243835,0.975662112236023,0.20994623005390167,222122,24.680263613179193,0.20994623005390167,24.684310328691485,0.20995470881462097,0.004046715512291854,8.478760719299316e-06,1,0,1,1.3621763868208072
