schedule,sequence,frame_count,keyframe_count,mean_psnr,p10_psnr,mean_lpips,p90_lpips,mean_payload_bytes,delta_psnr_vs_gap8,delta_lpips_vs_gap8
stage165_adaptive,bmx-trees,80,13,30.195559195296426,26.31155101800206,0.14645609967410564,0.21557936668395997,206339.8875,0.0267627416355829,-0.0011221550405025593
stage165_adaptive,breakdance,84,12,25.456154199737064,25.061835275510724,0.17638299241662025,0.19735483825206757,123353.40476190476,0.0,0.0
stage165_adaptive,camel,90,17,25.716152001137395,25.394645670036386,0.1872884194056193,0.19767375886440275,189664.7,0.006799181982874103,-0.0006713466511832356
stage165_adaptive,car-roundabout,75,15,26.849713613328632,25.868553759540006,0.14759324232737223,0.16092438399791717,185399.84,0.038739033637902764,-0.0026072105765342912
stage165_adaptive,car-shadow,40,9,29.649088073192804,29.380255682448944,0.14427624586969615,0.1624058023095131,172262.125,0.0618294896970113,-0.0052025176584720445
stage165_adaptive,cows,104,18,24.66438053540446,24.539398238481382,0.2097907646630819,0.214829920232296,185410.49038461538,0.007446345359582551,-0.00018422979001814221
stage165_adaptive,dance-twirl,90,16,28.408255396784647,26.555276822615674,0.2080249748296208,0.25360273420810703,178716.13333333333,0.027327184088690615,-0.0020418804552820025
stage165_adaptive,dog,60,11,31.743174088080067,29.352801594538153,0.1672940010825793,0.21328420042991642,192067.05,0.013528198149334258,-0.0014305914441744283
stage165_adaptive,dogs-jump,66,11,32.02809696687124,31.232542179015773,0.15641298438563492,0.2275671511888504,129726.77272727272,0.0186216704258797,-0.0007931350758581535
stage165_adaptive,drift-chicane,52,10,30.805447450611727,30.405825809930406,0.18104476710924736,0.2036146119236946,98584.34615384616,0.014498715771470216,-0.0016070781992031935
stage165_adaptive,drift-straight,50,12,30.996909860210778,29.234824104162897,0.11949795566499233,0.1836175113916397,192289.3,0.17913984316910359,-0.007188346534967416
stage165_adaptive,goat,90,17,27.263653615680248,26.61665988795953,0.17373956044514974,0.18265976160764694,200340.13333333333,0.0151172050574786,-0.00029290401273304734
stage165_adaptive,gold-fish,78,11,33.52147658187607,33.07643299857011,0.07741329809411979,0.08759709522128105,178373.87179487178,0.0,0.0
stage165_adaptive,horsejump-high,50,10,27.86791211696258,27.495280576646262,0.1576545502245426,0.1819443330168724,172417.22,0.052594949799210866,-0.0040410986542701866
stage165_adaptive,india,81,14,33.06893211856979,31.07990414082106,0.1484325858361927,0.214697003364563,190026.38271604938,0.11638354177362942,-0.00641186599746163
stage165_adaptive,judo,34,6,31.277785481000585,30.619971072619407,0.16289897876627304,0.20512740314006805,95493.91176470589,0.0,0.0
stage165_adaptive,kite-surf,50,10,32.03769636416819,31.548992818350055,0.10284444004297257,0.11418097391724587,177707.62,0.01285297475558167,-0.0008987623453140248
stage165_adaptive,lab-coat,47,9,29.130341008318815,26.825112920606685,0.1594755135952158,0.22790797352790831,184544.04255319148,0.04265648351971052,-0.0016556225241498856
stage165_adaptive,libby,49,10,32.83620469599042,31.390130388655194,0.15880223774180122,0.21128703355789186,202640.18367346938,0.22538610456537356,-0.009054418121065388
stage165_adaptive,loading,50,11,28.588074499827467,27.30069494445752,0.1277662992477417,0.15874602198600768,181529.64,0.06701537313987416,-0.005048122704029101
stage165_adaptive,mbike-trick,79,11,29.92433375659513,29.27276835793948,0.21783426139928116,0.28598425388336185,157727.48101265822,0.0,0.0
stage165_adaptive,motocross-jump,40,9,33.7377074611378,31.342263329344977,0.19677689839154483,0.3302419662475586,180503.5,0.11148173869150213,-0.008527914248406876
stage165_adaptive,paragliding-launch,80,11,30.92775071377444,29.51794552398617,0.17496945187449456,0.19086637794971464,186789.275,0.0,0.0
stage165_adaptive,parkour,100,17,27.428333243852947,25.45254032261041,0.20187518402934074,0.2325374513864517,190606.47,0.03320763221426404,-0.0022487241029739424
stage165_adaptive,pigs,79,11,31.533248137505076,30.46826427546325,0.16034789072184624,0.18385129570960998,169667.15189873418,0.0,0.0
stage165_adaptive,scooter-black,43,11,26.257798809503246,24.820292271902655,0.16161027983870618,0.20699621737003324,175026.2558139535,0.13426856421876465,-0.00726422009079955
stage165_adaptive,shooting,40,10,35.02001623644067,33.722045310772685,0.1363637074828148,0.21539294719696048,178907.725,0.669619445318375,-0.0328212020918727
stage165_adaptive,soapbox,99,17,30.47101983391115,29.31463838333351,0.15208390889444737,0.20788475275039672,193294.9696969697,0.0927220128366315,-0.004017918022594075
uniform_gap4,bike-packing,69,18,25.98733384107402,25.118090641516147,0.19233632217282834,0.21197963058948519,126737.17391304347,0.07976144296562282,-0.005529316223186004
uniform_gap4,blackswan,50,14,29.950477559987295,29.474067891979182,0.1588968390226364,0.1714836210012436,165150.32,0.10119479412408339,-0.005701123476028441
uniform_gap4,bmx-trees,80,21,30.35007073176706,26.368097005917264,0.13865494644269347,0.2141250267624855,180331.125,0.1812742781062191,-0.008923308271914732
uniform_gap4,breakdance,84,22,25.510440708621054,25.08753020118625,0.17187441335547538,0.1937877878546715,100147.67857142857,0.054286508883990336,-0.0045085790611448795
uniform_gap4,camel,90,24,25.752721789111202,25.412676260135893,0.1861130322019259,0.19810146391391756,168509.65555555557,0.04336896995668127,-0.001846733854876631
uniform_gap4,car-roundabout,75,20,26.9238211191774,25.909218693769034,0.1432050335407257,0.1533136934041977,167874.76,0.11284653948667156,-0.0069954193631808215
uniform_gap4,car-shadow,40,11,29.721607685771442,29.52697682681232,0.13916552048176528,0.15331541895866396,159131.2,0.13434910227564956,-0.010313243046402909
