sequence,frame_index,cell_id,selector_score,vote_count,hard_quality_label,high_payload_label,gap8_psnr,adaptive_psnr,delta_psnr_adaptive_vs_gap8,gap8_ssim,adaptive_ssim,delta_ssim_adaptive_vs_gap8,gap8_ms_ssim,adaptive_ms_ssim,delta_ms_ssim_adaptive_vs_gap8,gap8_lpips,adaptive_lpips,delta_lpips_adaptive_vs_gap8,gap8_residual_payload_bytes,adaptive_keyframe_bitstream_bytes,local_payload_delta_bytes,false_positive_risk_flag,false_positive_reason
dance-twirl,21,dance-twirl:00016:00024,4.7176470588235295,4.0,0,1,30.97905017267847,31.687846352669418,0.7087961799909479,0.9060502052307129,0.9275140762329102,0.021463871002197266,0.98800128698349,0.9927694201469421,0.0047681331634521484,0.16428805887699127,0.11953261494636536,-0.044755443930625916,224238,719653,495415,0,large_local_payload_delta
dog,42,dog:00040:00048,1.584873949579832,1.0,0,1,34.10806484912435,34.81526610778948,0.7072012586651368,0.9096241593360901,0.9271561503410339,0.017531991004943848,0.9902266263961792,0.9936214089393616,0.003394782543182373,0.14061057567596436,0.10069679468870163,-0.039913780987262726,246429,719643,473214,0,large_local_payload_delta
parkour,34,parkour:00032:00040,2.59327731092437,2.0,0,1,29.200250580946985,29.869545353539614,0.6692947725926288,0.8374922275543213,0.8776394724845886,0.040147244930267334,0.980485737323761,0.9884536266326904,0.007967889308929443,0.20311561226844788,0.1529572457075119,-0.050158366560935974,225615,719647,494032,0,large_local_payload_delta
india,55,india:00048:00056,2.638655462184874,2.0,0,1,34.56764492569323,35.18902897332542,0.6213840476321906,0.9427253603935242,0.9578609466552734,0.015135586261749268,0.9910879731178284,0.9945774078369141,0.0034894347190856934,0.10373015701770782,0.06621304899454117,-0.037517108023166656,226381,719643,493262,0,large_local_payload_delta
bmx-trees,35,bmx-trees:00032:00040,4.764705882352941,4.0,0,1,28.770877103998398,29.389658681703075,0.6187815777046772,0.8767140507698059,0.8963688015937805,0.01965475082397461,0.9839161038398743,0.9874764680862427,0.003560364246368408,0.1397104412317276,0.11686243861913681,-0.02284800261259079,253713,719648,465935,0,large_local_payload_delta
dog,5,dog:00000:00008,1.5378151260504203,1.0,0,1,32.84254385698399,33.435867719208865,0.593323862224878,0.9094368815422058,0.9257194995880127,0.016282618045806885,0.9898074269294739,0.9929057955741882,0.0030983686447143555,0.15077131986618042,0.11666014790534973,-0.03411117196083069,236647,719635,482988,0,large_local_payload_delta
loading,38,loading:00032:00040,5.821848739495798,5.0,0,1,28.741749088266868,29.28366349726426,0.5419144089973926,0.9149414896965027,0.9343576431274414,0.01941615343093872,0.9887705445289612,0.9926409125328064,0.003870368003845215,0.14088964462280273,0.09675604104995728,-0.04413360357284546,237507,719651,482144,0,large_local_payload_delta
dance-twirl,68,dance-twirl:00064:00072,1.477310924369748,1.0,1,0,26.48338318474542,27.017210746533372,0.5338275617879518,0.7962043285369873,0.8219904899597168,0.025786161422729492,0.9773165583610535,0.983790934085846,0.0064743757247924805,0.2708384692668915,0.22935819625854492,-0.04148027300834656,212733,719654,506921,0,large_local_payload_delta
car-shadow,19,car-shadow:00016:00024,2.6554621848739495,2.0,0,1,29.512929977180747,30.00080071467604,0.4878707374952924,0.9000775814056396,0.9261853098869324,0.026107728481292725,0.9857726693153381,0.9922077655792236,0.006435096263885498,0.15990310907363892,0.11637955904006958,-0.043523550033569336,228569,719649,491080,0,large_local_payload_delta
car-roundabout,29,car-roundabout:00024:00032,2.635294117647059,2.0,0,1,27.358913898891714,27.788394820546216,0.4294809216545019,0.8845863342285156,0.9029920697212219,0.0184057354927063,0.9866432547569275,0.9908003211021423,0.004157066345214844,0.16654962301254272,0.13082319498062134,-0.03572642803192139,238738,719651,480913,0,large_local_payload_delta
