candidate,sequence,frame_index,full_type,candidate_type,full_psnr,candidate_psnr,delta_psnr_candidate_vs_full,gap8_psnr,delta_psnr_candidate_vs_gap8,full_lpips,candidate_lpips,delta_lpips_candidate_vs_full,gap8_lpips,delta_lpips_candidate_vs_gap8,candidate_payload_bytes
interval_score_ge4p0,dog,43,stage158_residual_recovery,stage158_residual_recovery,34.04839882377786,33.50454153529998,-0.5438572884778807,33.50454153529998,0.0,0.1409754902124405,0.18156316876411438,0.04058767855167389,0.18156316876411438,0.0,249831
interval_score_ge4p0,dance-twirl,84,stage158_residual_recovery,stage158_residual_recovery,28.723209254180997,28.18419548456793,-0.5390137696130672,28.18419548456793,0.0,0.19747966527938843,0.2261500209569931,0.028670355677604675,0.2261500209569931,0.0,225396
interval_score_ge4p0,dance-twirl,68,q12_keyframe,stage158_residual_recovery,27.017210746533372,26.48338318474542,-0.5338275617879518,26.48338318474542,0.0,0.22935819625854492,0.2708384692668915,0.04148027300834656,0.2708384692668915,0.0,212733
interval_score_ge4p0,car-shadow,20,stage158_residual_recovery,stage158_residual_recovery,29.829699652816615,29.32839675784317,-0.5013028949734455,29.32839675784317,0.0,0.1407337188720703,0.1812712401151657,0.0405375212430954,0.1812712401151657,0.0,237482
interval_score_ge4p0,car-roundabout,28,stage158_residual_recovery,stage158_residual_recovery,27.48382350329123,26.98573937151079,-0.4980841317804412,26.98573937151079,0.0,0.1481546014547348,0.17012456059455872,0.021969959139823914,0.17012456059455872,0.0,244190
interval_score_ge4p0,car-shadow,19,q12_keyframe,stage158_residual_recovery,30.00080071467604,29.512929977180747,-0.4878707374952924,29.512929977180747,0.0,0.11637955904006958,0.15990310907363892,0.043523550033569336,0.15990310907363892,0.0,228569
interval_score_ge4p0,horsejump-high,19,stage158_residual_recovery,stage158_residual_recovery,27.994721753800906,27.540926058787825,-0.45379569501308126,27.540926058787825,0.0,0.1652129739522934,0.19058175384998322,0.02536877989768982,0.19058175384998322,0.0,210259
interval_score_ge4p0,horsejump-high,21,stage158_residual_recovery,stage158_residual_recovery,28.242636682330293,27.797538549830435,-0.44509813249985797,27.797538549830435,0.0,0.15717960894107819,0.18487514555454254,0.027695536613464355,0.18487514555454254,0.0,223929
interval_score_ge4p0,dog,4,stage158_residual_recovery,stage158_residual_recovery,33.383187400165525,32.94343823612274,-0.4397491640427873,32.94343823612274,0.0,0.1426127403974533,0.16639311611652374,0.023780375719070435,0.16639311611652374,0.0,239782
interval_score_ge4p0,car-roundabout,29,q12_keyframe,stage158_residual_recovery,27.788394820546216,27.358913898891714,-0.4294809216545019,27.358913898891714,0.0,0.13082319498062134,0.16654962301254272,0.03572642803192139,0.16654962301254272,0.0,238738
interval_score_ge4p0,dance-twirl,83,stage158_residual_recovery,stage158_residual_recovery,28.379134117053844,27.96865171859933,-0.4104823984545156,27.96865171859933,0.0,0.18315312266349792,0.211711123585701,0.028558000922203064,0.211711123585701,0.0,222391
interval_score_ge4p0,car-shadow,11,stage158_residual_recovery,stage158_residual_recovery,29.72091775587984,29.323781876167104,-0.3971358797127351,29.323781876167104,0.0,0.14292588829994202,0.17080235481262207,0.027876466512680054,0.17080235481262207,0.0,228150
interval_score_ge4p0,bmx-trees,31,q12_keyframe,stage158_residual_recovery,33.3095672557742,32.92876171953782,-0.38080553623638025,32.92876171953782,0.0,0.08111889660358429,0.09049923717975616,0.009380340576171875,0.09049923717975616,0.0,250639
interval_score_ge4p0,horsejump-high,12,stage158_residual_recovery,stage158_residual_recovery,28.325204559791715,27.958546865899105,-0.36665769389260916,27.958546865899105,0.0,0.18162009119987488,0.20859219133853912,0.026972100138664246,0.20859219133853912,0.0,229301
interval_score_ge4p0,dance-twirl,82,q12_keyframe,stage158_residual_recovery,27.903029205020676,27.541942456797493,-0.3610867482231832,27.541942456797493,0.0,0.18091200292110443,0.21566399931907654,0.03475199639797211,0.21566399931907654,0.0,220544
interval_score_ge4p0,car-shadow,10,q12_keyframe,stage158_residual_recovery,29.78372715249877,29.457036012850565,-0.3266911396482044,29.457036012850565,0.0,0.11709575355052948,0.15345114469528198,0.0363553911447525,0.15345114469528198,0.0,221194
interval_score_ge4p0,car-shadow,12,stage158_residual_recovery,stage158_residual_recovery,29.422063366151477,29.099821760833088,-0.3222416053183892,29.099821760833088,0.0,0.15782086551189423,0.1786460131406784,0.02082514762878418,0.1786460131406784,0.0,231802
interval_score_ge4p0,dance-twirl,67,stage158_residual_recovery,stage158_residual_recovery,26.653572740591883,26.33721673527653,-0.31635600531535246,26.33721673527653,0.0,0.24104005098342896,0.26438090205192566,0.023340851068496704,0.26438090205192566,0.0,196535
interval_score_ge4p0,horsejump-high,13,stage158_residual_recovery,stage158_residual_recovery,28.62420322775323,28.33687908164783,-0.28732414610540147,28.33687908164783,0.0,0.1626778542995453,0.18302930891513824,0.020351454615592957,0.18302930891513824,0.0,226048
interval_score_ge4p0,dog,44,stage158_residual_recovery,stage158_residual_recovery,33.23045340013045,32.94819740872959,-0.28225599140085933,32.94819740872959,0.0,0.18751487135887146,0.20315563678741455,0.01564076542854309,0.20315563678741455,0.0,251482
interval_score_ge4p0,dance-twirl,85,stage158_residual_recovery,stage158_residual_recovery,28.02623791890886,27.745243317646427,-0.2809946012624316,27.745243317646427,0.0,0.21946834027767181,0.23651808500289917,0.017049744725227356,0.23651808500289917,0.0,234327
interval_score_ge4p0,kite-surf,2,q12_keyframe,stage158_residual_recovery,33.11363864246269,32.8413760996183,-0.27226254284438767,32.8413760996183,0.0,0.0756819099187851,0.08753389120101929,0.011851981282234192,0.08753389120101929,0.0,227335
interval_score_ge4p0,parkour,84,stage158_residual_recovery,stage158_residual_recovery,25.451023776021525,25.18384269121298,-0.26718108480854497,25.18384269121298,0.0,0.21318265795707703,0.22855056822299957,0.015367910265922546,0.22855056822299957,0.0,233364
interval_score_ge4p0,bmx-trees,28,stage158_residual_recovery,stage158_residual_recovery,31.043543776342347,30.794377643705865,-0.24916613263648202,30.794377643705865,0.0,0.13718393445014954,0.15092167258262634,0.013737738132476807,0.15092167258262634,0.0,255059
interval_score_ge4p0,car-shadow,35,q12_keyframe,stage158_residual_recovery,30.093017509907966,29.84856892019208,-0.244448589715887,29.84856892019208,0.0,0.11910896003246307,0.14372585713863373,0.024616897106170654,0.14372585713863373,0.0,235624
interval_score_ge4p0,car-shadow,36,stage158_residual_recovery,stage158_residual_recovery,29.753320061611205,29.53564901396692,-0.21767104764428424,29.53564901396692,0.0,0.14205260574817657,0.15208274126052856,0.01003013551235199,0.15208274126052856,0.0,240698
interval_score_ge4p0,kite-surf,6,q12_keyframe,stage158_residual_recovery,32.081621119619456,31.866850431519794,-0.21477068809966227,31.866850431519794,0.0,0.08890042454004288,0.10665919631719589,0.017758771777153015,0.10665919631719589,0.0,222180
interval_score_ge4p0,parkour,85,stage158_residual_recovery,stage158_residual_recovery,25.668445358867558,25.462114041497834,-0.20633131736972388,25.462114041497834,0.0,0.21219183504581451,0.22204911708831787,0.009857282042503357,0.22204911708831787,0.0,232408
interval_score_ge4p0,bmx-trees,29,stage158_residual_recovery,stage158_residual_recovery,31.397541647320914,31.192193245612863,-0.2053484017080507,31.192193245612863,0.0,0.11976733803749084,0.1334581971168518,0.013690859079360962,0.1334581971168518,0.0,256081
interval_score_ge4p0,drift-chicane,35,q12_keyframe,stage158_residual_recovery,30.51404163443291,30.31224517782708,-0.20179645660583034,30.31224517782708,0.0,0.1570097804069519,0.20890849828720093,0.05189871788024902,0.20890849828720093,0.0,135979
interval_score_ge4p0,horsejump-high,14,stage158_residual_recovery,stage158_residual_recovery,28.687012132700005,28.48744494766233,-0.1995671850376759,28.48744494766233,0.0,0.155248761177063,0.16623151302337646,0.010982751846313477,0.16623151302337646,0.0,220884
interval_score_ge4p0,dance-twirl,69,stage158_residual_recovery,stage158_residual_recovery,27.228248201094985,27.040902309861377,-0.18734589123360834,27.040902309861377,0.0,0.24270115792751312,0.2550656497478485,0.012364491820335388,0.2550656497478485,0.0,212770
interval_score_ge4p0,car-roundabout,12,stage158_residual_recovery,stage158_residual_recovery,27.119589676450545,26.939975114215198,-0.1796145622353471,26.939975114215198,0.0,0.15601781010627747,0.1650494933128357,0.009031683206558228,0.1650494933128357,0.0,243144
interval_score_ge4p0,bmx-trees,30,stage158_residual_recovery,stage158_residual_recovery,32.05352698888261,31.875308120321954,-0.1782188685606556,31.875308120321954,0.0,0.10131268203258514,0.11097265779972076,0.00965997576713562,0.11097265779972076,0.0,254497
interval_score_ge4p0,horsejump-high,15,q12_keyframe,stage158_residual_recovery,28.29748915560141,28.12031780235418,-0.17717135324723188,28.12031780235418,0.0,0.13833294808864594,0.15920446813106537,0.020871520042419434,0.15920446813106537,0.0,213190
interval_score_ge4p0,bike-packing,46,q12_keyframe,stage158_residual_recovery,26.201655199688936,26.026357385955002,-0.17529781373393405,26.026357385955002,0.0,0.16041170060634613,0.17958198487758636,0.019170284271240234,0.17958198487758636,0.0,239602
interval_score_ge4p0,dogs-jump,12,stage158_residual_recovery,stage158_residual_recovery,31.011488359417076,30.837018633115733,-0.17446972630134283,30.837018633115733,0.0,0.2479265332221985,0.24580936133861542,-0.002117171883583069,0.24580936133861542,0.0,186052
interval_score_ge4p0,drift-chicane,6,q12_keyframe,stage158_residual_recovery,30.426745929572135,30.26069492881328,-0.1660510007588556,30.26069492881328,0.0,0.15662918984889984,0.18118079006671906,0.024551600217819214,0.18118079006671906,0.0,124846
interval_score_ge4p0,car-roundabout,27,stage158_residual_recovery,stage158_residual_recovery,27.538332896287294,27.378704296584516,-0.15962859970277776,27.378704296584516,0.0,0.14735129475593567,0.15660595893859863,0.009254664182662964,0.15660595893859863,0.0,237251
interval_score_ge4p0,cows,60,q12_keyframe,stage158_residual_recovery,24.83721590775727,24.682251429793656,-0.15496447796361323,24.682251429793656,0.0,0.20389516651630402,0.20894943177700043,0.005054265260696411,0.20894943177700043,0.0,231565
interval_score_ge4p0,bike-packing,45,stage158_residual_recovery,stage158_residual_recovery,25.60878161201564,25.45540754964879,-0.1533740623668507,25.45540754964879,0.0,0.1819048523902893,0.1888011395931244,0.006896287202835083,0.1888011395931244,0.0,240427
interval_score_ge4p0,cows,61,stage158_residual_recovery,stage158_residual_recovery,24.78044837880112,24.631779246959265,-0.14866913184185293,24.631779246959265,0.0,0.21142534911632538,0.21221600472927094,0.0007906556129455566,0.21221600472927094,0.0,220042
interval_score_ge4p0,cows,43,stage158_residual_recovery,stage158_residual_recovery,24.711818090997536,24.564143072780386,-0.14767501821715,24.564143072780386,0.0,0.2174699902534485,0.22002840042114258,0.002558410167694092,0.22002840042114258,0.0,233990
interval_score_ge4p0,drift-chicane,5,stage158_residual_recovery,stage158_residual_recovery,30.45825167462198,30.310670783360237,-0.14758089126174312,30.310670783360237,0.0,0.17845283448696136,0.20336812734603882,0.024915292859077454,0.20336812734603882,0.0,134219
